date,open,high,low,close,volume,dividend,split
2002-06-12,1.12,1.12,1.12,1.12,50,0.0,1.0
2002-06-13,1.34,1.34,1.34,1.34,500,0.0,1.0
2002-06-17,1.6,1.6,1.6,1.6,250,0.0,1.0
2002-06-25,1.91,1.92,1.91,1.92,500,0.0,1.0
2002-06-26,2.3,2.3,2.3,2.3,2500,0.0,1.0
2002-07-01,3.51,3.51,3.11,3.11,775,0.0,1.0
2002-07-02,3.67,3.72,3.5,3.5,5250,0.0,1.0
2002-07-03,3.22,3.9,3.22,3.9,110,0.0,1.0
2002-07-04,3.8,4.3,3.8,4.28,8575,0.0,1.0
2002-07-05,4.73,4.8,3.9,4.5,8260,0.0,1.0
2002-07-08,3.66,3.66,3.66,3.66,500,0.0,1.0
2002-07-09,3.08,4.18,3.08,3.74,11500,0.0,1.0
2002-07-10,3.8,3.8,3.31,3.31,500,0.0,1.0
2002-07-11,3.4,3.95,3.02,3.95,755,0.0,1.0
2002-07-12,4.1,4.1,3.21,3.34,3650,0.0,1.0
2002-07-15,3.3,3.69,3.2,3.2,1500,0.0,1.0
2002-07-16,3.2,3.2,2.92,2.92,1010,0.0,1.0
2002-07-17,3.1,3.1,2.7,2.7,475,0.0,1.0
2002-07-18,2.53,2.53,2.52,2.52,500,0.0,1.0
2002-07-19,2.52,2.54,2.52,2.54,2550,0.0,1.0
2002-07-22,2.1,2.1,2.1,2.1,1000,0.0,1.0
2002-07-23,1.8,2.4,1.8,2.4,2905,0.0,1.0
2002-07-24,2.2,2.78,2.2,2.78,505,0.0,1.0
2002-07-25,2.88,2.88,2.6,2.61,5250,0.0,1.0
2002-07-26,2.2,2.2,2.2,2.2,500,0.0,1.0
2002-07-29,2,2,2,2,45,0.0,1.0
2002-07-31,1.85,1.85,1.85,1.85,250,0.0,1.0
2002-08-02,1.7,1.7,1.7,1.7,1000,0.0,1.0
2002-08-06,1.52,2.03,1.52,2.03,4555,0.0,1.0
2002-08-07,1.9,2.37,1.9,2.37,1755,0.0,1.0
2002-08-08,2.6,2.71,2.2,2.71,1480,0.0,1.0
2002-08-09,2.17,2.91,2.17,2.91,505,0.0,1.0
2002-08-12,2.35,3.26,2.33,2.33,1000,0.0,1.0
2002-08-13,2.06,2.06,2.06,2.06,300,0.0,1.0
2002-08-14,1.89,1.89,1.89,1.89,25,0.0,1.0
2002-08-16,2.2,2.2,2.2,2.2,1000,0.0,1.0
2002-08-20,1.8,1.8,1.8,1.8,500,0.0,1.0
2002-08-23,1.9,2.16,1.9,2.16,1000,0.0,1.0
2002-08-26,2.47,2.47,2.47,2.47,25,0.0,1.0
2002-08-28,2.86,2.86,2.86,2.86,25,0.0,1.0
2002-08-29,2.3,2.3,2.3,2.3,250,0.0,1.0
2002-08-30,2.48,2.48,2.48,2.48,300,0.0,1.0
2002-09-04,2.1,2.59,2.1,2.59,325,0.0,1.0
2002-09-16,2.08,2.08,2.08,2.08,100,0.0,1.0
2002-09-23,1.98,1.98,1.7,1.7,150,0.0,1.0
2002-09-30,1.9,2.04,1.9,1.97,500,0.0,1.0
2002-11-07,2.36,2.36,2.24,2.24,10,0.0,1.0
2002-11-26,1.9,1.9,1.9,1.9,250,0.0,1.0
2002-11-28,1.6,1.6,1.53,1.53,1000,0.0,1.0
2002-11-29,1.31,1.31,1.31,1.31,100,0.0,1.0
2002-12-02,1.4,1.57,1.24,1.57,4500,0.0,1.0
2002-12-03,1.68,1.68,1.6,1.6,1150,0.0,1.0
2002-12-06,1.8,1.8,1.7,1.7,500,0.0,1.0
2002-12-13,1.45,1.45,1.38,1.38,1250,0.0,1.0
2002-12-18,1.6,1.65,1.11,1.5,1600,0.0,1.0
2003-01-01,1.22,1.22,1.22,1.22,300,0.0,1.0
2003-01-08,0.99,0.99,0.99,0.99,650,0.0,1.0
2003-01-09,1.18,1.18,1.18,1.18,25,0.0,1.0
2003-01-10,1,1.1,1,1.1,2475,0.0,1.0
2003-01-14,0.93,0.93,0.93,0.93,50,0.0,1.0
2003-01-16,0.9,1,0.9,1,1750,0.0,1.0
2003-01-17,0.83,0.91,0.83,0.91,800,0.0,1.0
2003-01-20,0.87,0.87,0.87,0.87,100,0.0,1.0
2003-01-21,1.03,1.04,1.03,1.04,2800,0.0,1.0
2003-01-23,1.2,1.2,1.04,1.04,750,0.0,1.0
2003-01-24,0.9,0.9,0.9,0.9,100,0.0,1.0
2003-01-27,0.96,0.96,0.96,0.96,500,0.0,1.0
2003-01-29,1.1,1.11,1.1,1.11,600,0.0,1.0
2003-01-30,1.3,1.3,1.3,1.3,500,0.0,1.0
2003-01-31,1.22,1.22,1.22,1.22,1000,0.0,1.0
2003-02-04,1.02,1.02,1.02,1.02,150,0.0,1.0
2003-02-05,0.86,0.86,0.86,0.86,500,0.0,1.0
2003-02-07,0.9,0.9,0.9,0.9,1000,0.0,1.0
2003-02-17,1.08,1.08,1.08,1.08,900,0.0,1.0
2003-02-20,1.21,1.21,1.21,1.21,500,0.0,1.0
2003-02-24,1,1,0.98,0.98,1900,0.0,1.0
2003-03-03,1,1,1,1,500,0.0,1.0
2003-03-04,0.9,0.9,0.9,0.9,100,0.0,1.0
2003-03-06,1.08,1.08,1.08,1.08,500,0.0,1.0
2003-03-07,1,1,1,1,2500,0.0,1.0
2003-03-10,0.91,1.2,0.91,1.2,500,0.0,1.0
2003-03-11,1.2,1.2,1,1,1000,0.0,1.0
2003-03-12,1,1,1,1,690,0.0,1.0
2003-03-13,1.19,1.19,1.02,1.02,750,0.0,1.0
2003-03-19,1,1,1,1,250,0.0,1.0
2003-03-24,1,1,1,1,300,0.0,1.0
2003-03-25,1,1,0.91,1,5000,0.0,1.0
2003-03-26,1,1,1,1,8000,0.0,1.0
2003-03-27,1,1,0.96,1,3000,0.0,1.0
2003-03-28,1.02,1.02,1,1,6000,0.0,1.0
2003-04-01,1.17,1.17,1.17,1.17,750,0.0,1.0
2003-04-08,1.1,1.24,1.1,1.24,75,0.0,1.0
2003-04-09,1.25,1.25,1.25,1.25,250,0.0,1.0
2003-04-10,1.1,1.1,1.1,1.1,500,0.0,1.0
2003-04-11,0.9,0.98,0.9,0.98,3250,0.0,1.0
2003-04-15,0.91,0.91,0.9,0.9,2000,0.0,1.0
2003-04-16,0.86,0.86,0.86,0.86,150,0.0,1.0
2003-04-21,1.03,1.03,1.03,1.03,5000,0.0,1.0
2003-04-23,1.2,1.23,1,1.23,6500,0.0,1.0
2003-04-24,1.47,1.47,1.46,1.47,2250,0.0,1.0
2003-04-25,1.47,1.47,1.47,1.47,500,0.0,1.0
2003-04-28,1.64,1.64,1.64,1.64,5,0.0,1.0
2003-04-30,1.32,1.32,1.32,1.32,500,0.0,1.0
2003-05-08,1.07,1.07,1.07,1.07,100,0.0,1.0
2003-05-12,1.11,1.11,1.11,1.11,50,0.0,1.0
2003-05-14,1.3,1.33,1.3,1.33,1150,0.0,1.0
2003-05-15,1.3,1.3,1.25,1.25,1750,0.0,1.0
2003-05-16,1.25,1.25,1.25,1.25,2500,0.0,1.0
2003-05-19,1.07,1.46,1.07,1.46,2000,0.0,1.0
2003-05-20,1.46,1.7,1.46,1.57,4945,0.0,1.0
2003-05-21,1.5,1.74,1.5,1.73,4500,0.0,1.0
2003-05-22,1.84,1.85,1.64,1.64,6000,0.0,1.0
2003-05-23,1.84,1.84,1.68,1.68,4750,0.0,1.0
2003-05-26,1.71,1.71,1.71,1.71,350,0.0,1.0
2003-05-27,1.75,1.75,1.75,1.75,2500,0.0,1.0
2003-05-28,1.6,1.6,1.43,1.43,650,0.0,1.0
2003-05-30,1.42,1.42,1.4,1.41,750,0.0,1.0
2003-06-03,1.4,1.66,1.4,1.66,5000,0.0,1.0
2003-06-04,1.53,1.53,1.52,1.52,1000,0.0,1.0
2003-06-05,1.55,1.7,1.55,1.62,2500,0.0,1.0
