date,open,high,low,close,volume,dividend,split
2003-06-18,34,39.950001,30.5,36.650002,2092,0.0,1.0
2003-06-19,6.99,7.45,6.82,7.32,21138,0.0,1.0
2003-06-20,7.12,7.8,7.12,7.78,21927,0.0,1.0
2003-06-23,7.6,8,7.6,7.64,15452,0.0,1.0
2003-06-24,7.6,7.72,7.26,7.59,2169,0.0,1.0
2003-06-25,7.58,7.59,7.26,7.5,7551,0.0,1.0
2003-06-26,7.25,7.5,7.25,7.42,4817,0.0,1.0
2003-06-27,7.1,7.4,6.9,6.9,4509,0.0,1.0
2003-06-30,7.01,7.2,7,7.03,6206,1.51498,1.0
2003-07-01,7.2,7.35,7.06,7.07,4191,0.0,1.0
2003-07-02,7.09,7.96,7.05,7.54,18898,0.0,1.0
2003-07-03,7.96,8.1,7.6,7.64,12283,0.0,1.0
2003-07-04,7.36,7.7,7.3,7.32,7705,0.0,1.0
2003-07-07,7.55,7.7,7.22,7.42,5665,0.0,1.0
2003-07-08,7.4,7.48,7.33,7.36,7707,0.0,1.0
2003-07-09,7.25,7.37,7,7.07,7155,0.0,1.0
2003-07-10,7.1,7.58,7,7.47,14748,0.0,1.0
2003-07-11,7.4,7.59,7.17,7.4,8293,0.0,1.0
2003-07-14,7.2,7.8,7.2,7.77,19908,0.0,1.0
2003-07-15,7.3,7.8,7.3,7.74,17561,0.0,1.0
2003-07-16,7.44,7.82,7.4,7.73,12682,0.0,1.0
2003-07-17,7.7,8,7.52,7.86,22530,0.0,1.0
2003-07-18,7.55,7.79,7.4,7.42,5359,0.0,1.0
2003-07-21,7.5,7.6,7.31,7.56,2792,0.0,1.0
2003-07-22,7.24,7.7,7.21,7.23,2242,0.0,1.0
2003-07-23,7.4,7.4,7.22,7.24,700,0.0,1.0
2003-07-24,7.39,7.4,7.24,7.3,1399,0.0,1.0
2003-07-25,7.3,7.37,7.14,7.28,4619,0.0,1.0
2003-07-28,7.14,7.36,7.13,7.17,2006,0.0,1.0
2003-07-29,7.75,8,7.16,7.83,30309,0.0,1.0
2003-07-30,7.63,7.78,7.45,7.62,5866,0.0,1.0
2003-07-31,7.62,8.07,7.41,7.94,19652,0.0,1.0
2003-08-01,7.82,8,7.52,7.98,22461,0.0,1.0
2003-08-04,7.7,7.75,7.42,7.5,8099,0.0,1.0
2003-08-05,8.1,8.18,7.52,7.87,21135,0.0,1.0
2003-08-06,8.4,8.4,7.58,7.59,2796,0.0,1.0
2003-08-07,7.6,7.8,7.59,7.64,8357,0.0,1.0
2003-08-08,7.1,7.78,7.1,7.6,3801,0.0,1.0
2003-08-11,7.6,7.79,7.41,7.64,6504,0.0,1.0
2003-08-12,7.63,7.7,7.6,7.6,4430,0.0,1.0
2003-08-13,7.7,8.15,7.4,7.99,25462,0.0,1.0
2003-08-14,7.96,8.2,7.9,7.95,11083,0.0,1.0
2003-08-18,7.93,8.35,7.82,8.27,16061,0.0,1.0
2003-08-19,8.4,8.4,7.21,8.1,13634,0.0,1.0
2003-08-20,8.19,8.38,7.8,7.82,9026,0.0,1.0
2003-08-21,7.8,8.05,7.8,7.93,6902,0.0,1.0
2003-08-22,7.85,8.01,7.72,7.8,6220,0.0,1.0
2003-08-25,8,8.2,7.55,8,20579,0.0,1.0
2003-08-26,7.97,8.16,7.61,7.92,8955,0.0,1.0
2003-08-27,8,8.2,7.86,8.15,6951,0.0,1.0
2003-08-28,7.92,8.1,7.92,7.95,2564,0.0,1.0
2003-08-29,7.8,7.97,7.72,7.72,2473,0.0,1.0
2003-09-01,7.61,8.42,7.6,8.34,29349,0.0,1.0
2003-09-02,8.4,8.6,7.82,8.48,26110,0.0,1.0
2003-09-03,8.32,8.4,8.01,8.13,6676,0.0,1.0
2003-09-04,8,8.28,7.86,8,4136,0.0,1.0
2003-09-05,8.02,8.03,7.83,7.83,8267,0.0,1.0
2003-09-08,7.99,8.4,7.75,8.36,18476,0.0,1.0
2003-09-09,7.91,8.4,7.8,8.31,28698,0.0,1.0
2003-09-10,7.93,8.13,7.92,7.99,4284,0.0,1.0
2003-09-11,8,8.4,8,8.2,17677,0.0,1.0
2003-09-12,8.02,8.4,8.01,8.09,10332,0.0,1.0
2003-09-15,7.9,7.9,7.82,7.84,3563,0.0,1.0
2003-09-16,7.81,7.84,7.81,7.83,993,0.0,1.0
2003-09-17,7.82,7.91,7.8,7.81,10236,0.0,1.0
2003-09-18,7.73,7.94,7.71,7.72,2975,0.0,1.0
2003-09-19,7.64,7.83,7.64,7.74,5125,0.0,1.0
2003-09-22,7.62,7.77,7.62,7.67,1581,0.0,1.0
2003-09-23,7.65,7.8,7.65,7.78,2999,0.0,1.0
2003-09-24,7.7,7.99,7.7,7.87,4682,0.0,1.0
2003-09-25,6.76,7.76,6.76,7.74,13664,0.0,1.0
2003-09-26,7.6,8.57,7.6,8.54,48856,0.0,1.0
2003-09-29,9,9,7.95,7.99,36120,0.0,1.0
2003-09-30,8.44,8.45,7.84,7.98,12220,0.0,1.0
2003-10-01,7.99,8.15,7.9,7.96,9141,0.0,1.0
2003-10-03,8,8.19,7.97,8,6046,0.0,1.0
2003-10-06,8.18,8.5,8.17,8.2,19602,0.0,1.0
2003-10-07,8.2,8.45,8.2,8.35,9082,0.0,1.0
2003-10-08,8.31,8.48,8.12,8.18,8401,0.0,1.0
2003-10-09,8.2,8.4,8.14,8.23,6891,0.0,1.0
2003-10-10,8.2,8.46,8.16,8.26,14431,0.0,1.0
2003-10-13,8.58,8.58,8.2,8.24,7013,0.0,1.0
2003-10-14,8.2,9,8.01,8.24,17278,0.0,1.0
2003-10-15,8.07,8.6,8.07,8.13,8122,0.0,1.0
2003-10-16,8.06,8.6,8.06,8.35,22235,0.0,1.0
2003-10-17,8.31,8.55,8.14,8.19,11566,0.0,1.0
2003-10-20,8.1,8.2,7.91,7.95,6398,0.0,1.0
2003-10-21,8.12,8.12,7.83,7.84,5611,0.0,1.0
2003-10-22,7.92,7.94,7.68,7.68,5890,0.0,1.0
2003-10-23,8.35,8.35,7.78,7.78,3132,0.0,1.0
2003-10-24,7.8,7.97,7.7,7.88,6328,0.0,1.0
2003-10-27,8.45,9.1,8.12,8.95,33718,0.0,1.0
2003-10-28,8.65,8.65,8.13,8.19,5355,0.0,1.0
2003-10-29,8.2,8.38,8.1,8.17,1369,0.0,1.0
2003-10-30,8.14,9,8.14,8.76,25826,0.0,1.0
2003-10-31,8.65,8.65,8.22,8.25,6586,0.0,1.0
2003-11-03,8.4,9,8.24,8.72,40758,0.0,1.0
2003-11-04,8.32,8.54,8.2,8.29,5896,0.0,1.0
2003-11-05,8.24,8.34,8.1,8.28,8792,0.0,1.0
2003-11-06,8.5,8.94,8.28,8.37,23582,0.0,1.0
2003-11-07,8.42,9,8.42,8.73,24438,0.0,1.0
2003-11-10,8.7,9.07,8.7,8.97,21248,0.0,1.0
2003-11-11,9.16,9.2,9,9.08,22434,0.0,1.0
2003-11-12,8.8,9.52,8.8,9.37,14858,0.0,1.0
2003-11-13,9.4,9.59,9.27,9.3,24469,0.0,1.0
2003-11-14,9.4,9.54,9.2,9.2,11170,0.0,1.0
