date,open,high,low,close,volume,dividend,split
2002-03-18,0.7,0.7,0.7,0.7,5000,0.0,1.0
2002-04-24,0.6,0.6,0.6,0.6,1000,0.0,1.0
2002-06-17,0.72,0.72,0.72,0.72,2000,0.0,1.0
2002-06-18,0.7,0.7,0.7,0.7,3000,0.0,1.0
2002-06-19,0.7,0.7,0.7,0.7,1000,0.0,1.0
2002-06-21,0.84,0.84,0.615,0.615,20,0.0,1.0
2002-06-24,0.735,0.735,0.735,0.735,1000,0.0,1.0
2002-06-26,0.87,0.87,0.87,0.87,2000,0.0,1.0
2002-07-03,0.965,0.99,0.965,0.99,15000,0.0,1.0
2002-07-05,0.99,0.99,0.99,0.99,2000,0.0,1.0
2002-07-08,1.18,1.18,1.18,1.18,1000,0.0,1.0
2002-07-12,1.295,1.295,1.295,1.295,1000,0.0,1.0
2002-07-15,1.17,1.17,1.17,1.17,1000,0.0,1.0
2002-07-16,1.28,1.28,1.28,1.28,1000,0.0,1.0
2002-08-28,1.155,1.155,1.155,1.155,1000,0.0,1.0
2002-09-03,1.04,1.04,1.04,1.04,1000,0.0,1.0
2002-09-05,0.94,0.94,0.94,0.94,1000,0.0,1.0
2002-09-12,0.85,0.85,0.85,0.85,1000,0.0,1.0
2002-09-13,0.77,0.77,0.77,0.77,1000,0.0,1.0
2002-09-30,0.695,0.695,0.695,0.695,1000,0.0,1.0
2002-10-11,0.63,0.76,0.63,0.63,1000,0.0,1.0
2002-10-14,0.575,0.69,0.57,0.685,2000,0.0,1.0
2002-10-16,0.62,0.705,0.62,0.705,190,0.0,1.0
2002-10-17,0.72,0.72,0.71,0.71,20,0.0,1.0
2002-10-18,0.64,0.64,0.64,0.64,1000,0.0,1.0
2002-10-21,0.58,0.58,0.58,0.58,1000,0.0,1.0
2002-10-22,0.525,0.525,0.525,0.525,10,0.0,1.0
2002-10-23,0.475,0.475,0.475,0.475,3000,0.0,1.0
2002-10-24,0.43,0.43,0.43,0.43,4990,0.0,1.0
2002-10-25,0.47,0.47,0.47,0.47,100,0.0,1.0
2002-10-30,0.515,0.515,0.515,0.515,10,0.0,1.0
2002-11-07,0.515,0.515,0.515,0.515,1000,0.0,1.0
2002-11-08,0.5,0.5,0.5,0.5,1000,0.0,1.0
2002-11-11,0.455,0.455,0.455,0.455,2970,0.0,1.0
