date,open,high,low,close,volume,dividend,split
2015-09-01,77.5,81.474998,75,75.5,2110,0.0,1.0
2015-09-02,77.5,79.199997,77.5,79.199997,3200,0.0,1.0
2015-09-03,82,82,81.099998,82,7400,0.0,1.0
2015-09-04,80,80.5,80,80.5,3500,0.0,1.0
2015-09-07,80.800003,81.800003,80.599998,81.25,63280,0.0,1.0
2015-09-08,83,83.5,82.099998,82.5,55000,0.0,1.0
2015-09-09,83,84.900002,82.5,83.625,54470,0.0,1.0
2015-09-10,83.650002,83.800003,83.199997,83.800003,25810,0.0,1.0
2015-09-11,83.925003,83.974998,83.849998,83.849998,28410,0.0,1.0
2015-09-14,84,84.375,84,84.349998,38650,0.0,1.0
2015-09-15,85.099998,85.099998,84.5,84.800003,36010,0.0,1.0
2015-09-16,85.800003,87,85.800003,86.474998,32820,0.0,1.0
2015-09-18,86.599998,87.025002,86.599998,86.849998,36160,0.0,1.0
2015-09-21,87.699997,87.699997,86.800003,87.599998,40530,0.0,1.0
2015-09-22,87.5,87.550003,87.099998,87.300003,53400,0.0,1.0
2015-09-23,87.199997,87.599998,87.199997,87.599998,30500,0.0,1.0
2015-09-24,87.699997,87.849998,87.300003,87.425003,41780,0.0,1.0
2015-09-28,88,88.099998,87.300003,87.300003,35760,0.0,1.0
2015-09-29,87.5,87.550003,86.900002,86.900002,31700,0.0,1.0
2015-09-30,87.650002,88,87.599998,87.824997,48320,0.0,1.0
2015-10-01,88,88.199997,88,88.099998,52660,0.0,1.0
2015-10-05,87.824997,88.099998,87.824997,88.050003,37550,0.0,1.0
2015-10-06,88.099998,88.550003,88.099998,88.199997,46840,0.0,1.0
2015-10-07,88.199997,89.224998,88.199997,89.199997,107590,0.0,1.0
2015-10-08,89.199997,89.199997,87.300003,88.150002,47500,0.0,1.0
2015-10-09,88.25,88.800003,88.25,88.449997,35460,0.0,1.0
2015-10-12,88.5,88.949997,88.5,88.900002,39640,0.0,1.0
2015-10-13,88.949997,90.300003,88.949997,90.275002,101410,0.0,1.0
2015-10-14,90,90.900002,89.099998,90.775002,93780,0.0,1.0
2015-10-15,90.099998,90.25,88,88.050003,71410,0.0,1.0
2015-10-16,88.599998,88.699997,88.300003,88.5,31980,0.0,1.0
2015-10-19,88.5,89.199997,88.5,89.150002,111210,0.0,1.0
2015-10-20,88.025002,90,88.025002,88.599998,56690,0.0,1.0
2015-10-21,88.625,91,88.150002,88.675003,94120,0.0,1.0
2015-10-23,88.75,89.699997,88.125,88.650002,77180,0.0,1.0
2015-10-26,88.699997,88.949997,88.5,88.925003,47010,0.0,1.0
2015-10-27,88.925003,91,88.925003,90.125,111990,0.0,1.0
2015-10-28,90.400002,92.400002,90.199997,90.400002,127720,0.0,1.0
2015-10-29,90.400002,90.824997,88.099998,88.324997,84340,0.0,1.0
