date,open,high,low,close,volume,dividend,split
1991-01-02,76.666702,80,76.666702,80,0,0.0,1.0
1991-01-03,80,80.833298,75,80.833298,0,0.0,1.0
1991-01-07,73.333298,83.333298,73.333298,83.333298,0,0.0,1.0
1991-01-09,76.666702,81.666702,76.666702,81.666702,0,0.0,1.0
1991-01-11,80,84.166702,80,84.166702,0,0.0,1.0
1991-01-14,80,84.166702,80,84.166702,0,0.0,1.0
1991-01-23,80,83.333298,80,83.333298,0,0.0,1.0
1991-01-24,80,82.5,80,82.5,0,0.0,1.0
1991-01-25,78.333298,79.166702,75,79.166702,0,0.0,1.0
1991-01-31,76.666702,79.166702,76.666702,78.333298,0,0.0,1.0
1991-02-01,76.666702,79.166702,76.666702,78.333298,0,0.0,1.0
1991-02-04,80,85,80,85,0,0.0,1.0
1991-02-05,84.166702,87.5,84.166702,85.833298,0,0.0,1.0
1991-02-06,85,86.666702,83.333298,83.333298,0,0.0,1.0
1991-02-07,81.666702,81.666702,78.333298,80.833298,0,0.0,1.0
1991-02-08,78.333298,81.666702,78.333298,81.666702,0,0.0,1.0
1991-02-11,78.333298,83.333298,78.333298,83.333298,0,0.0,1.0
1991-02-13,80,82.5,80,82.5,0,0.0,1.0
1991-02-14,81.666702,84.166702,80.833298,83.333298,0,0.0,1.0
1991-02-15,83.333298,85,83.333298,85,0,0.0,1.0
1991-02-19,86.666702,90.833298,86.666702,88.333298,0,0.0,1.0
1991-02-20,87.5,87.5,85,86.666702,0,0.0,1.0
1991-02-21,90,90,86.666702,87.5,0,0.0,1.0
1991-02-22,90,91.666702,86.666702,88.333298,0,0.0,1.0
1991-02-26,88.333298,91.666702,86.666702,91.333298,0,0.0,1.0
1991-02-27,90,91.666702,88.333298,90.833298,0,0.0,1.0
1991-02-28,90.833298,92.5,90,90.833298,0,0.0,1.0
1991-03-04,88.333298,95,88.333298,92.5,0,0.0,1.0
1991-03-05,92.5,95.833298,90,93.333298,0,0.0,1.0
1991-03-07,86.666702,92.5,86.666702,90.833298,0,0.0,1.0
1991-03-08,91.666702,91.666702,88.333298,91.666702,0,0.0,1.0
1991-03-11,90,92,89.166702,92,0,0.0,1.0
1991-03-12,90.833298,91.666702,88.333298,90,0,0.0,1.0
1991-03-13,89.166702,91.666702,89.166702,89.166702,0,0.0,1.0
1991-03-15,90,95,90,91.666702,0,0.0,1.0
1991-03-18,91.666702,93.333298,90,90.833298,0,0.0,1.0
1991-03-20,90.833298,90.833298,87.5,90.833298,0,0.0,1.0
1991-03-21,90,92.333298,88.333298,92.333298,0,0.0,1.0
1991-03-22,96.666702,96.666702,92,93.333298,0,0.0,1.0
1991-03-25,91.666702,93.333298,91.666702,93.333298,0,0.0,1.0
1991-03-26,92,95,92,94.666702,0,0.0,1.0
1991-03-27,96.666702,98.333298,95.333298,96,0,0.0,1.0
1991-04-01,95,99.333298,95,98.666702,0,0.0,1.0
1991-04-02,98.666702,100,98,98.666702,0,0.0,1.0
1991-04-03,98.666702,101.667,98.666702,100,0,0.0,1.0
1991-04-04,99.333298,102,99.333298,101.333,0,0.0,1.0
1991-04-05,103.333,108.667,103.333,108.667,0,0.0,1.0
1991-04-08,110,120,110,117.333,0,0.0,1.0
