date,open,high,low,close,volume,dividend,split
2016-08-31,273.700012,305,273.700012,299.299988,20477923,0.0,1.0
2016-09-01,303,316.799988,302,305.299988,3197440,0.0,1.0
2016-09-02,305.899994,309,299,301.049988,1194614,0.0,1.0
2016-09-06,302.5,310,300.549988,307.100006,1036518,0.0,1.0
2016-09-07,309,312.399994,302,303.850006,731694,0.0,1.0
2016-09-08,305.5,307.899994,303.75,305.25,360623,0.0,1.0
2016-09-09,305,305,298,298.600006,358748,0.0,1.0
2016-09-12,293.899994,299.649994,287.200012,296.149994,418074,0.0,1.0
2016-09-14,298.549988,303.399994,296.299988,297.600006,245411,0.0,1.0
2016-09-15,299.399994,303,295,299.049988,283779,0.0,1.0
2016-09-16,300.950012,304.100006,299.5,300.850006,313723,0.0,1.0
2016-09-19,303,303.850006,299.100006,301.399994,187969,0.0,1.0
2016-09-20,300.200012,301.399994,296.049988,297.100006,85285,0.0,1.0
2016-09-21,298,301.700012,297.600006,299.100006,122653,0.0,1.0
2016-09-22,302,306.399994,300.5,301.100006,133933,0.0,1.0
2016-09-23,302.899994,307.549988,301.049988,302.799988,253340,0.0,1.0
2016-09-26,303,303,299.100006,301.350006,88731,0.0,1.0
2016-09-27,302.350006,303.149994,298,298.700012,65409,0.0,1.0
2016-09-28,300.899994,304.25,295.5,297.649994,125147,0.0,1.0
2016-09-29,299,302.5,283.399994,285.149994,1065118,0.0,1.0
2016-09-30,290,293.899994,286.649994,291.350006,123920,0.0,1.0
2016-10-03,295,299.899994,295,297.100006,114890,0.0,1.0
2016-10-04,298.75,299.700012,297.200012,297.950012,189329,0.0,1.0
2016-10-05,298.5,299.899994,295,295.549988,122822,0.0,1.0
2016-10-06,297.950012,307,296.049988,304.299988,313964,0.0,1.0
2016-10-07,305,314.899994,305,308.350006,529280,0.0,1.0
2016-10-10,309.200012,314.200012,309,312.549988,180590,0.0,1.0
2016-10-13,311.799988,311.799988,304,306.649994,178998,0.0,1.0
2016-10-14,307.299988,321.399994,306.5,314.75,420839,0.0,1.0
2016-10-17,318,318,306,307.549988,189662,0.0,1.0
2016-10-18,310.049988,312.75,303.600006,308.399994,164737,0.0,1.0
2016-10-19,311.25,315.950012,311.25,312.75,490551,0.0,1.0
2016-10-20,321,334.600006,317.149994,327.5,3327315,0.0,1.0
2016-10-21,328.950012,332.149994,322.649994,328.100006,547277,0.0,1.0
2016-10-24,329.450012,336.200012,324.100006,334.350006,386117,0.0,1.0
2016-10-25,334.350006,347.399994,320,344.549988,666603,0.0,1.0
2016-10-26,345.100006,356.700012,341.600006,352.649994,622983,0.0,1.0
2016-10-27,353,365.950012,343.5,361.149994,514416,0.0,1.0
2016-10-28,364.299988,376.799988,364.25,374.549988,841053,0.0,1.0
2016-11-01,396.75,404.700012,393.75,396.299988,963940,0.0,1.0
2016-11-02,391.5,391.5,381.299988,383,500321,0.0,1.0
2016-11-03,383.049988,389.799988,376.100006,378.100006,397342,0.0,1.0
2016-11-04,381.149994,382,353.149994,365.700012,956619,0.0,1.0
2016-11-07,374.100006,386.5,372,383.299988,498926,0.0,1.0
2016-11-08,388,392.100006,376.5,385.899994,444553,0.0,1.0
2016-11-09,340.100006,387,335,377.299988,1787068,0.0,1.0
2016-11-10,388,421,377.299988,381.350006,794095,0.0,1.0
2016-11-11,375.25,388.399994,375.25,379.299988,406866,0.0,1.0
2016-11-15,381,384.75,360.100006,364.049988,478158,0.0,1.0
2016-11-16,373,374.899994,353,355.149994,441410,0.0,1.0
2016-11-17,358,359.700012,338.399994,343.049988,484172,0.0,1.0
2016-11-18,343,348.600006,337.600006,339.350006,444465,0.0,1.0
2016-11-21,343.950012,344.5,330,333,415663,0.0,1.0
2016-11-22,337.5,348,332,343.850006,344048,0.0,1.0
2016-11-23,348,348.100006,338.100006,340.549988,222195,0.0,1.0
2016-11-24,339,343.350006,334.049988,338.149994,275834,0.0,1.0
2016-11-25,341.950012,352,341.5,350.549988,406753,0.0,1.0
2016-11-28,343.700012,357,341.549988,353.75,347019,0.0,1.0
2016-11-29,353.75,362.799988,352.100006,359.700012,297002,0.0,1.0
2016-11-30,362.049988,365.5,359.100006,364.25,262209,0.0,1.0
2016-12-01,366.950012,367.5,351.100006,353.049988,198099,0.0,1.0
2016-12-02,350,352.799988,344,345.75,285626,0.0,1.0
2016-12-05,347,351.950012,346,349.899994,159828,0.0,1.0
2016-12-06,350.75,353.75,346.25,348.200012,124873,0.0,1.0
2016-12-07,350.600006,356.600006,340.049988,345.25,272654,0.0,1.0
2016-12-08,345.899994,355,345,353.399994,165896,0.0,1.0
2016-12-09,355.5,356,349,351.399994,128032,0.0,1.0
2016-12-12,351.950012,352,346.5,348.100006,85515,0.0,1.0
2016-12-13,350.299988,350.799988,344,345.450012,83704,0.0,1.0
2016-12-14,346.350006,346.5,339.399994,340.25,93483,0.0,1.0
2016-12-15,335.100006,356.700012,335.100006,354.350006,427288,0.0,1.0
2016-12-16,356.899994,358.799988,351,352.450012,169349,0.0,1.0
2016-12-19,352,352,345.100006,346.25,66160,0.0,1.0
2016-12-20,346.899994,350.200012,343.200012,345.450012,277584,0.0,1.0
2016-12-21,347.75,347.75,342.700012,344.25,74559,0.0,1.0
2016-12-22,342.899994,345.75,339.299988,340.450012,83513,0.0,1.0
2016-12-23,341,342.5,335.950012,336.950012,108996,0.0,1.0
2016-12-26,337,337.100006,330,330.75,109569,0.0,1.0
2016-12-27,332.399994,336.899994,328,329.950012,176190,0.0,1.0
2016-12-28,331,334,325.649994,327.75,143223,0.0,1.0
2016-12-29,330.100006,334.75,327.649994,331.450012,760067,0.0,1.0
2016-12-30,332.75,336.950012,332,335.299988,141234,0.0,1.0
2017-01-02,337.950012,338.850006,333.5,336.75,95596,0.0,1.0
2017-01-03,337.5,345,335.950012,341.200012,196821,0.0,1.0
2017-01-04,342.700012,349.75,342.399994,344.700012,136986,0.0,1.0
2017-01-05,349.700012,354,347.549988,352.899994,157790,0.0,1.0
2017-01-06,354.950012,359.049988,353.25,355.649994,147956,0.0,1.0
2017-01-09,356.950012,359.700012,353.200012,354.950012,105092,0.0,1.0
2017-01-10,357.049988,364.5,356,361.850006,111816,0.0,1.0
2017-01-11,365,373,364.5,369.450012,261876,0.0,1.0
2017-01-12,370.149994,374,365.649994,368.149994,151991,0.0,1.0
2017-01-13,369,369.899994,362.950012,366.149994,104951,0.0,1.0
2017-01-16,366.5,379.899994,365.450012,376.200012,179095,0.0,1.0
2017-01-17,380.299988,385,380.25,381.950012,1526752,0.0,1.0
2017-01-18,382.200012,386.25,380.100006,381.200012,104807,0.0,1.0
2017-01-19,382.799988,383.399994,376.100006,377.850006,136110,0.0,1.0
2017-01-20,380.700012,385,366.049988,368.350006,313046,0.0,1.0
2017-01-23,383.899994,393.399994,380.25,389.149994,769149,0.0,1.0
2017-01-24,390.25,394.5,389.149994,390.75,221316,0.0,1.0
2017-01-25,393.850006,393.850006,387.549988,389.200012,168732,0.0,1.0
2017-01-27,391.75,411,390.100006,398.149994,653083,0.0,1.0
2017-01-30,398.149994,403,386.399994,391.5,235075,0.0,1.0
2017-01-31,389.899994,391.899994,380.100006,382.399994,169838,0.0,1.0
2017-02-01,385,402.5,382.299988,400.950012,431925,0.0,1.0
2017-02-02,401.25,403,392.75,394.799988,296420,0.0,1.0
2017-02-03,396.899994,399.799988,389,390.5,177178,0.0,1.0
2017-02-06,394,397.75,390.549988,392.350006,137962,0.0,1.0
2017-02-07,394,396,391.049988,392.600006,136485,0.0,1.0
