date,open,high,low,close,volume,dividend,split
2000-01-03,240,252.350006,240,252.350006,5731815,0.0,1.0
2000-01-04,255.100006,272.5,251,272.5,11491300,0.0,1.0
2000-01-05,272,286.799988,253.699997,285.5,19501032,0.0,1.0
2000-01-06,287.899994,299.5,287.899994,292.950012,11969528,0.0,1.0
2000-01-07,293.600006,316.350006,292.200012,313.5,15282948,0.0,1.0
2000-01-10,318,325,307,307.25,10577702,0.0,1.0
2000-01-11,309,312,282.700012,288.549988,10047006,0.0,1.0
2000-01-12,290,304,282,303.799988,7299547,0.0,1.0
2000-01-13,304.5,315.799988,303.75,308.5,11374733,0.0,1.0
2000-01-14,310,320.5,309,315.899994,12638267,0.0,1.0
2000-01-17,318,327,308.899994,309,6237246,0.0,1.0
2000-01-18,309.5,322,308,320,9552799,0.0,1.0
2000-01-19,321,323.850006,315.649994,317,7978953,0.0,1.0
2000-01-20,318,324.5,309,310.950012,9849381,0.0,1.0
2000-01-21,312,326.5,312,325.899994,12712072,0.0,1.0
2000-01-24,328.25,333.899994,325.5,328.149994,9245683,0.0,1.0
2000-01-25,328,328,320.5,323.549988,6857944,0.0,1.0
2000-01-26,323.549988,323.549988,323.549988,323.549988,0,0.0,1.0
2000-01-27,322.049988,335.100006,322,333,11499301,0.0,1.0
2000-01-28,333.5,339.5,330.649994,335.75,9096793,0.0,1.0
2000-01-31,328,337.5,328,329,7301830,0.0,1.0
2000-02-01,328.649994,339.450012,328.450012,339.25,8462497,0.0,1.0
2000-02-02,339.799988,346,337,337.799988,8383324,0.0,1.0
2000-02-03,337.799988,337.799988,337.799988,337.799988,0,0.0,1.0
2000-02-04,342.5,345.850006,338,338.25,8910935,0.0,1.0
2000-02-07,340,351.850006,340,344,8547410,0.0,1.0
2000-02-08,345.100006,348.5,343,344.399994,4123390,0.0,1.0
2000-02-09,345.700012,352.5,343.25,345.5,7993767,0.0,1.0
2000-02-10,346,364.450012,344.200012,364.25,8800576,0.0,1.0
2000-02-11,364.899994,380,356,357.5,8932391,0.0,1.0
2000-02-14,352,363.799988,352,352.5,3931137,0.0,1.0
2000-02-15,352,357,347.5,348.100006,5133566,0.0,1.0
2000-02-16,349,352.5,342.049988,345,4563064,0.0,1.0
2000-02-17,346,355.5,344,353.5,5922034,0.0,1.0
2000-02-18,352.100006,356.950012,348.100006,350,5370891,0.0,1.0
2000-02-21,350,354,346.100006,347.450012,2999003,0.0,1.0
2000-02-22,346,349.5,338.25,341,4143233,0.0,1.0
2000-02-23,340,343.700012,324,329,3516455,0.0,1.0
2000-02-24,330.899994,339.75,329.25,335.399994,4192549,0.0,1.0
2000-02-25,331.100006,340.5,320,322.100006,5542056,0.0,1.0
2000-02-28,329.799988,339.799988,319,338.5,5785784,0.0,1.0
2000-02-29,340,344.75,311.450012,311.450012,10270555,0.0,1.0
2000-03-01,305,322.5,298,317.549988,8349420,0.0,1.0
2000-03-02,318,320.899994,292.149994,292.149994,9208742,0.0,1.0
2000-03-03,285,288,268.799988,269.100006,7097235,0.0,1.0
2000-03-06,280,287.799988,248.5,260.899994,7876889,0.0,1.0
2000-03-07,257.049988,263,242.75,246.949997,7168259,0.0,1.0
2000-03-08,242,249,230,234.600006,5426086,0.0,1.0
2000-03-09,235.199997,241.350006,224,229,4162423,0.0,1.0
2000-03-10,232,234,215,219.75,7328112,0.0,1.0
2000-03-13,219.75,219.75,219.75,219.75,0,0.0,1.0
2000-03-14,205.899994,219.75,199,219.699997,8137113,0.0,1.0
2000-03-15,220,237.25,220,237.25,7086025,0.0,1.0
2000-03-16,239,247.399994,230,233.5,7685996,0.0,1.0
2000-03-17,233.5,233.5,233.5,233.5,0,0.0,1.0
2000-03-20,233.5,233.5,233.5,233.5,0,0.0,1.0
2000-03-21,237,241.5,228.050003,240.5,4532758,0.0,1.0
2000-03-22,241.75,247.899994,240.399994,241.25,3837519,0.0,1.0
2000-03-23,240.399994,245.5,238.25,239.649994,2913842,0.0,1.0
2000-03-24,240,242.5,239,240.5,2292951,0.0,1.0
2000-03-27,249.899994,259.700012,246,259.700012,3435983,0.0,1.0
2000-03-28,265.899994,280.450012,264,280.450012,6550155,0.0,1.0
2000-03-29,285,288,268.5,269.700012,7292475,0.0,1.0
2000-03-30,268.5,291.25,258.5,291.25,9824135,0.0,1.0
2000-03-31,291.25,314.5,285.299988,314.5,11125474,0.0,1.0
2000-04-03,320.75,334.25,318.600006,325.899994,14944193,0.0,1.0
2000-04-04,325.049988,326,299.850006,300.299988,14442579,0.0,1.0
2000-04-05,300.5,312.700012,279.100006,301,17298884,0.0,1.0
2000-04-06,304.600006,325.049988,302.149994,325.049988,9653827,0.0,1.0
2000-04-07,328.899994,351,328.899994,351,8246910,0.0,1.0
2000-04-10,370,376.899994,359.25,363,15551567,0.0,1.0
2000-04-11,363,363,363,363,0,0.0,1.0
2000-04-12,356.950012,359.899994,334,334,8817941,0.0,1.0
2000-04-13,331.100006,331.100006,307.299988,307.299988,187848,0.0,1.0
2000-04-14,307.299988,307.299988,307.299988,307.299988,0,0.0,1.0
2000-04-17,282.75,300.5,282.75,296.850006,13709168,0.0,1.0
2000-04-18,300,308.75,294,298.5,7039834,0.0,1.0
2000-04-19,299,322.350006,299,315.200012,11029772,0.0,1.0
2000-04-20,317,340.399994,309.25,340.399994,13106531,0.0,1.0
2000-04-21,340.399994,340.399994,340.399994,340.399994,0,0.0,1.0
2000-04-24,340.399994,340.399994,340.399994,340.399994,0,0.0,1.0
2000-04-25,322,338,310,334,12233281,0.0,1.0
2000-04-26,307.700012,355,307.700012,355,200,0.0,1.0
2000-04-27,361,366.75,340,345,18249612,0.0,1.0
2000-04-28,347,354,342,346.899994,10302337,0.0,1.0
2000-05-01,346.899994,346.899994,346.899994,346.899994,0,0.0,1.0
2000-05-02,354,355.25,325.049988,328.5,11168277,0.0,1.0
2000-05-03,328.5,328.5,328.5,328.5,0,0.0,1.0
2000-05-04,326,343.399994,326,337.100006,7746637,0.0,1.0
2000-05-05,337.100006,337.100006,337.100006,337.100006,0,0.0,1.0
2000-05-08,330.649994,338,322.600006,323.649994,3704505,0.0,1.0
2000-05-09,323.649994,323.649994,323.649994,323.649994,0,0.0,1.0
2000-05-10,329.5,334.649994,323.149994,325.25,5259464,0.0,1.0
