date,open,high,low,close,volume,dividend,split
2002-01-31,9.85,9.85,9.85,9.85,200,0.0,1.0
2002-02-01,9.5,9.5,9.5,9.5,200,0.0,1.0
2002-04-22,9.05,9.05,9.05,9.05,5,0.0,1.0
2002-05-09,9.5,9.5,9.5,9.5,200,0.0,1.0
2002-07-16,9.95,9.95,9.95,9.95,100,0.0,1.0
2002-12-20,10.4,10.4,10.4,10.4,200,0.0,1.0
2002-12-24,10.9,10.9,10.9,10.9,55,0.0,1.0
2002-12-27,11.4,11.4,11.4,11.4,1,0.0,1.0
2002-12-30,11.95,11.95,11.95,11.95,1,0.0,1.0
2002-12-31,12.5,12.5,12.5,12.5,1,0.0,1.0
2003-01-01,13.1,13.1,13.1,13.1,2,0.0,1.0
2003-01-02,13.75,13.75,13.75,13.75,100,0.0,1.0
2003-01-09,14.4,14.4,14.4,14.4,200,0.0,1.0
2003-01-17,15.1,15.1,15.1,15.1,2,0.0,1.0
2003-01-20,15.85,15.85,15.85,15.85,1,0.0,1.0
2003-01-22,16.6,16.6,16.6,16.6,1,0.0,1.0
2003-01-23,17.4,17.4,16.049999,17.4,341,0.0,1.0
2003-01-24,18.25,18.25,18.25,18.25,1,0.0,1.0
2003-01-27,19.15,19.15,19.15,19.15,1,0.0,1.0
2003-01-28,18.6,20.1,18.6,20.1,200,0.0,1.0
2003-01-29,21.1,21.1,21.1,21.1,24,0.0,1.0
2003-01-31,21.5,21.5,20.700001,20.700001,100,0.0,1.0
2003-02-03,20.299999,20.299999,20.299999,20.299999,25,0.0,1.0
2003-02-24,19.9,20.700001,19.9,20.700001,10,0.0,1.0
2003-02-25,21,21.049999,21,21.049999,395,0.0,1.0
2003-02-26,21.299999,21.299999,21.299999,21.299999,180,0.0,1.0
2003-03-10,20.9,20.9,20.9,20.9,90,0.0,1.0
2003-05-12,19.9,19.9,19.9,19.9,50,0.0,1.0
2003-05-13,18.950001,18.950001,18.950001,18.950001,50,0.0,1.0
2003-05-21,18.049999,18.049999,18.049999,18.049999,400,0.0,1.0
2003-05-23,18,18,18,18,50,0.0,1.0
2003-05-26,18.5,18.5,18.5,18.5,100,0.0,1.0
2003-06-18,16.700001,16.700001,16.700001,16.700001,55,0.0,1.0
2003-07-07,16.5,16.5,15.25,15.25,200,0.0,1.0
2003-07-18,14,14,14,14,100,0.0,1.0
2003-07-22,12.65,15.4,12.65,13.2,300,0.0,1.0
2003-07-23,13.5,14,12.85,14,435,0.0,1.0
2003-07-24,14,14,14,14,110,0.0,1.0
