date,open,high,low,close,volume,dividend,split
2010-12-27,64,90.300003,64,80.050003,44333484,0.0,1.0
2010-12-28,85.5,85.5,76,82.099998,14193579,0.0,1.0
2010-12-29,83,84.349998,79.5,83.099998,9416622,0.0,1.0
2010-12-30,82.5,83.199997,78,78.800003,4583592,0.0,1.0
2010-12-31,78.800003,93.949997,76.5,80.400002,18741260,0.0,1.0
2011-01-03,82,82.449997,64.349998,64.349998,12153361,0.0,1.0
2011-01-04,59.799999,67.349998,52.950001,61.599998,20396360,0.0,1.0
2011-01-05,61,63.099998,52.049999,53.75,11561947,0.0,1.0
2011-01-06,53,55.900002,51.75,55.150002,6044050,0.0,1.0
2011-01-07,52.5,59.299999,52.5,55.150002,7824323,0.0,1.0
2011-01-10,57.400002,57.900002,51.450001,51.450001,2073726,0.0,1.0
2011-01-11,50,50,46.349998,46.349998,852162,0.0,1.0
2011-01-12,44.900002,44.900002,41.75,41.75,460446,0.0,1.0
2011-01-13,39.700001,40.75,39.700001,40.049999,646694,0.0,1.0
2011-01-14,40.700001,40.700001,38.049999,38.049999,233557,0.0,1.0
2011-01-17,37,37,36.150002,36.150002,72883,0.0,1.0
2011-01-18,34.349998,35,34.349998,34.349998,83984,0.0,1.0
2011-01-19,32.650002,32.650002,32.650002,32.650002,16462,0.0,1.0
2011-01-20,31.049999,31.049999,31.049999,31.049999,76559,0.0,1.0
2011-01-21,29.799999,32.599998,29.799999,32.599998,312853,0.0,1.0
2011-01-24,32.599998,34.200001,32.599998,32.900002,311527,0.0,1.0
2011-01-25,32,33.150002,31.299999,31.299999,201595,0.0,1.0
2011-01-27,30.5,31.799999,29.75,29.75,251126,0.0,1.0
2011-01-28,28.75,28.85,28.299999,28.35,184026,0.0,1.0
2011-01-31,27.049999,28.6,27,28.4,156387,0.0,1.0
2011-02-01,28.299999,28.799999,28.049999,28.450001,148579,0.0,1.0
2011-02-02,28.549999,29.85,27.950001,29.85,107740,0.0,1.0
2011-02-03,30.1,31.15,30,30.200001,157348,0.0,1.0
2011-02-04,29.549999,30.1,29,29.200001,74206,0.0,1.0
2011-02-07,29.200001,29.200001,27.75,27.75,62505,0.0,1.0
2011-02-08,27.799999,27.799999,26.4,26.4,60357,0.0,1.0
2011-02-09,25.25,27.700001,25.1,27.450001,360356,0.0,1.0
2011-02-10,27.6,28.799999,26.75,28.450001,470106,0.0,1.0
2011-02-11,28.6,29.299999,28,29,214214,0.0,1.0
2011-02-14,29.200001,30.25,28.15,28.85,194087,0.0,1.0
2011-02-15,29.1,29.200001,28.549999,28.9,298262,0.0,1.0
2011-02-16,29,29.299999,28.6,29.049999,41998,0.0,1.0
2011-02-17,29.1,30.5,28.6,30.200001,131129,0.0,1.0
2011-02-18,30.5,30.5,29,29.6,77507,0.0,1.0
2011-02-21,29.049999,31.049999,29,30.700001,103651,0.0,1.0
2011-02-22,30.5,30.5,29.75,30.200001,39395,0.0,1.0
2011-02-23,30,30.299999,29.049999,29.15,28605,0.0,1.0
2011-02-24,28.549999,29.6,27.75,27.85,35021,0.0,1.0
2011-02-25,28.25,28.450001,27.200001,27.4,39019,0.0,1.0
2011-02-28,27.35,28.1,27.049999,27.25,35478,0.0,1.0
2011-03-01,27.15,28.6,27.1,28.6,83220,0.0,1.0
2011-03-03,29.450001,30,28.65,30,88608,0.0,1.0
2011-03-04,30.5,31.5,29.5,31.4,121780,0.0,1.0
2011-03-07,32,32.400002,30.200001,30.700001,74904,0.0,1.0
2011-03-08,30.5,31.4,30.5,30.799999,25996,0.0,1.0
2011-03-09,30.700001,31.1,30.450001,30.549999,14929,0.0,1.0
2011-03-10,30.049999,31.65,30,31.1,84134,0.0,1.0
2011-03-11,30.25,31.15,30.25,30.35,30104,0.0,1.0
2011-03-14,30.15,31,29.6,29.799999,33177,0.0,1.0
2011-03-15,28,29.4,28,28.700001,23630,0.0,1.0
2011-03-16,29.299999,29.450001,28.75,28.950001,18883,0.0,1.0
2011-03-17,29,30.25,28.75,30.049999,43206,0.0,1.0
2011-03-18,30.299999,30.799999,30,30.5,38104,0.0,1.0
2011-03-21,30.200001,33.5,30.200001,33.299999,116113,0.0,1.0
2011-03-22,34.299999,35.700001,33.5,35.299999,295859,0.0,1.0
2011-03-23,35.950001,38.799999,35.950001,38.799999,799003,0.0,1.0
2011-03-24,40.349998,40.400002,39.049999,39.299999,954174,0.0,1.0
2011-03-25,39.400002,39.5,38.599998,38.700001,971724,0.0,1.0
2011-03-28,39,39.849998,38.099998,38.450001,596131,0.0,1.0
2011-03-29,37,37.599998,36.849998,37.049999,294895,0.0,1.0
2011-03-30,37.099998,37.299999,35.75,35.75,229200,0.0,1.0
2011-03-31,35.75,37,34.900002,35.049999,83366,0.0,1.0
2011-04-01,35.75,36,35,35.400002,39142,0.0,1.0
2011-04-04,35.200001,36,35.200001,35.5,37292,0.0,1.0
2011-04-05,36,36.5,34.799999,35.25,27459,0.0,1.0
2011-04-06,35,35.150002,34.099998,34.599998,48083,0.0,1.0
2011-04-07,34.650002,35,34.099998,34.200001,24659,0.0,1.0
2011-04-08,34.400002,34.450001,32.5,32.650002,47534,0.0,1.0
