date,open,high,low,close,volume,dividend,split
2008-02-11,342.375,374.937988,221.906006,232.811996,102212754,0.0,1.0
2008-02-12,236.875,247.75,211.938004,221.593994,36907523,0.0,1.0
2008-02-13,225.031006,229.218994,207.811996,219.625,24274075,0.0,1.0
2008-02-14,224.968994,234.25,222.625,231.281006,13304013,0.0,1.0
2008-02-15,228.156006,243.25,223.75,240.438004,18829778,0.0,1.0
2008-02-18,261.656006,268.5,256.312012,258.531006,18022864,0.0,1.0
2008-02-19,261.25,262.375,255.625,258.312012,10023579,0.0,1.0
2008-02-20,258.75,258.75,253.5,255.125,5572965,0.0,1.0
2008-02-21,257.5,265.625,256.875,263.718994,9211838,0.0,1.0
2008-02-22,259.375,270.625,254.438004,260.531006,20041150,0.0,1.0
2008-02-25,265.625,285,263.375,281.5,28358874,0.0,1.0
2008-02-26,285,286.25,276.875,279.968994,10682984,0.0,1.0
2008-02-27,281.593994,283.406006,278.218994,279.312012,4106597,0.0,1.0
2008-02-28,278.062012,279.937988,273,276.656006,4584245,0.0,1.0
2008-02-29,275.562012,279.875,265.781006,269.125,5173966,0.0,1.0
2008-03-03,261.875,264.968994,254.688004,257.5,2498912,0.0,1.0
2008-03-04,258.687988,258.687988,243.156006,245.218994,3960744,0.0,1.0
2008-03-05,243.75,245.625,233.781006,235.156006,4083872,0.0,1.0
2008-03-07,231.25,232.5,206.875,211.375,7780264,0.0,1.0
2008-03-10,209.156006,213.656006,193.843994,209.375,7330680,0.0,1.0
2008-03-11,206.188004,227.75,203.156006,223.811996,8852029,0.0,1.0
2008-03-12,230.311996,235.938004,212.561996,215.406006,6421056,0.0,1.0
2008-03-13,209.25,210.625,200,201.438004,4948669,0.0,1.0
2008-03-14,203.218994,214.25,198.75,210.906006,5142656,0.0,1.0
2008-03-17,205,208.811996,196.968994,198.093994,4993542,0.0,1.0
2008-03-18,198.093994,204.25,195.811996,198.561996,3527776,0.0,1.0
2008-03-19,206.25,208.406006,195.625,196.718994,2343190,0.0,1.0
2008-03-24,198.811996,199.156006,189.656006,191.561996,2295528,0.0,1.0
2008-03-25,195.625,201.561996,192.811996,199.718994,3187966,0.0,1.0
2008-03-26,200.938004,206.75,198.188004,201.561996,3549027,0.0,1.0
2008-03-27,199.438004,206.811996,198.25,205.156006,3084506,0.0,1.0
2008-03-28,208.125,210.625,204.375,208.688004,2626294,0.0,1.0
2008-03-31,206.25,208.75,196.968994,198.468994,4681126,0.0,1.0
2008-04-01,200.625,202.5,195.061996,199.875,2152195,0.0,1.0
2008-04-02,199.875,207.468994,199.875,203.843994,1574334,0.0,1.0
2008-04-03,206.218994,207.718994,202.5,206,1853683,0.0,1.0
2008-04-04,205,206.875,200.093994,201.188004,1000784,0.0,1.0
2008-04-07,201.25,209.811996,198.875,207.843994,2227363,0.0,1.0
2008-04-08,209.375,226.5,204.438004,219.593994,9466318,0.0,1.0
2008-04-09,221.25,230,216.906006,226.406006,6063565,0.0,1.0
2008-04-10,223.438004,230,221.938004,224,4228904,0.0,1.0
2008-04-11,226.188004,228.468994,223.75,225.843994,2497507,0.0,1.0
2008-04-15,225.061996,243,222.031006,240.218994,5163504,0.0,1.0
2008-04-16,241,252.468994,233.25,234.875,6403613,0.0,1.0
2008-04-17,237.5,243.438004,236.406006,239.718994,3113346,0.0,1.0
2008-04-21,240.625,244.811996,231.25,233.593994,2832174,0.0,1.0
2008-04-22,231.875,239.811996,229.375,235.843994,2685002,0.0,1.0
2008-04-23,237.656006,242.438004,237.561996,240.031006,2403366,0.0,1.0
2008-04-24,244.688004,246.5,238.75,242.188004,3964322,0.0,1.0
2008-04-25,243.125,252.906006,241.156006,251.343994,8200990,0.0,1.0
2008-04-28,253.281006,259.187988,250.811996,252.031006,4706848,0.0,1.0
2008-04-29,253.125,254.343994,248.25,251.438004,2880765,0.0,1.0
2008-04-30,252.75,254.375,245.718994,246.438004,2158578,0.0,1.0
2008-05-02,249.375,252.718994,247.031006,247.968994,2596666,0.0,1.0
2008-05-05,249.375,253.656006,247.5,250.468994,2421995,0.0,1.0
2008-05-06,251.25,256.375,250.468994,252.5,3852362,0.0,1.0
2008-05-07,254.875,258.687988,250.156006,257.187988,3995910,0.0,1.0
2008-05-08,256.25,266.812012,254.156006,262.375,9567659,0.0,1.0
2008-05-09,262.5,267.312012,253.218994,255.031006,4743803,0.0,1.0
2008-05-12,255,258.562012,246.875,256.281006,3650755,0.0,1.0
2008-05-13,258.75,262.5,253.125,254.156006,2909781,0.0,1.0
2008-05-14,254.375,257.187988,252.5,255.781006,1785114,0.0,1.0
2008-05-15,256.218994,261.031006,256.218994,259.968994,1947112,0.0,1.0
2008-05-16,262.5,262.5,259.437988,260.781006,1473485,0.0,1.0
2008-05-20,260.781006,273.25,259.468994,271.75,5662574,0.0,1.0
2008-05-21,270.625,280,268.781006,276.812012,5933683,0.0,1.0
2008-05-22,276.25,279.812012,267.5,274.656006,6580018,0.0,1.0
2008-05-23,276.312012,279,272.812012,274.843994,5006758,0.0,1.0
2008-05-26,273.125,277.812012,261.937988,264.031006,5265474,0.0,1.0
2008-05-27,265.937988,268.093994,254.75,258.312012,5525936,0.0,1.0
2008-05-28,258.437988,260.906006,250.625,257,5148941,0.0,1.0
2008-05-29,259.375,266.687988,251.875,255.968994,6106125,0.0,1.0
2008-05-30,308.950012,309.399994,231.699997,235.850006,14439313,0.0,1.0
2008-06-02,238.800003,239.399994,225.600006,228.600006,3582193,0.0,1.0
2008-06-03,226.899994,226.899994,215.600006,218.800003,3679918,0.0,1.0
2008-06-04,220.149994,220.449997,201.149994,202.800003,3549650,0.0,1.0
2008-06-05,201,204.899994,191,198.649994,5031871,0.0,1.0
2008-06-06,201,202,191.199997,193.600006,2808491,0.0,1.0
2008-06-09,183.600006,190,181.550003,185.149994,2180193,0.0,1.0
2008-06-10,183,191.649994,179.25,182.300003,2948804,0.0,1.0
2008-06-11,184.699997,188.699997,179.550003,182.399994,2160012,0.0,1.0
2008-06-12,181.5,188.899994,175.149994,186.149994,2730477,0.0,1.0
