date,open,high,low,close,volume,dividend,split
2010-12-06,75,80.400002,67.349998,68.949997,20876900,0.0,1.0
2010-12-07,68.800003,69.400002,63.75,67.150002,3514534,0.0,1.0
2010-12-08,66.050003,66.900002,63.5,64.099998,948899,0.0,1.0
2010-12-09,63.900002,64.5,56.25,59.599998,959507,0.0,1.0
2010-12-10,57.450001,58.25,56.150002,57.25,313077,0.0,1.0
2010-12-13,57.049999,59.099998,55.599998,57.150002,210903,0.0,1.0
2010-12-14,56.900002,57.599998,55.549999,56.650002,168074,0.0,1.0
2010-12-15,56.099998,57,55,55.5,127924,0.0,1.0
2010-12-16,55.099998,63.5,53.049999,59.799999,1205209,0.0,1.0
2010-12-20,58,62.650002,57.150002,59,388253,0.0,1.0
2010-12-21,58,61.099998,58,59.700001,204030,0.0,1.0
2010-12-22,59.5,61.950001,59.150002,59.549999,258232,0.0,1.0
2010-12-23,60,60.5,57.700001,58.349998,93019,0.0,1.0
2010-12-24,57.349998,60.200001,57.349998,58.299999,104094,0.0,1.0
2010-12-27,58.950001,60,58.150002,58.299999,60963,0.0,1.0
2010-12-28,58.650002,59.099998,57.5,57.650002,143345,0.0,1.0
2010-12-29,58.099998,59,57.75,57.900002,71754,0.0,1.0
2010-12-30,57.849998,58.549999,57.5,57.549999,51912,0.0,1.0
2010-12-31,58.5,60.700001,57.25,58.599998,174762,0.0,1.0
2011-01-03,58.849998,59.799999,58.5,59.299999,53346,0.0,1.0
2011-01-04,58.700001,59.5,58.25,58.400002,44495,0.0,1.0
2011-01-05,58.200001,58.849998,57.549999,57.75,35305,0.0,1.0
2011-01-06,58.400002,59.25,57.5,58.400002,47736,0.0,1.0
2011-01-07,58.5,58.799999,57.150002,57.799999,217935,0.0,1.0
2011-01-10,57.5,60.299999,56.049999,57.400002,165661,0.0,1.0
2011-01-11,56.599998,58.75,55.5,57.799999,74714,0.0,1.0
2011-01-12,57,58.75,56.5,58.200001,44761,0.0,1.0
2011-01-13,58.549999,60,57.150002,57.849998,33667,0.0,1.0
2011-01-14,57,58.5,57,57.299999,27267,0.0,1.0
2011-01-17,57.200001,57.450001,56.349998,57,23358,0.0,1.0
2011-01-18,57.200001,58,56.450001,57.75,29091,0.0,1.0
2011-01-19,58.450001,59.5,57,57.299999,34116,0.0,1.0
2011-01-20,56.700001,58.900002,56.599998,58.25,13800,0.0,1.0
2011-01-21,58,60,57.5,59.700001,44760,0.0,1.0
2011-01-24,59.700001,61.900002,58.75,61.099998,50818,0.0,1.0
2011-01-25,60.200001,63,60.099998,62.049999,34640,0.0,1.0
2011-01-27,61.200001,61.900002,60,61.400002,36626,0.0,1.0
2011-01-28,60.099998,60.849998,57.599998,59.700001,36714,0.0,1.0
2011-01-31,58.700001,58.700001,55.799999,56.450001,27689,0.0,1.0
2011-02-01,57.099998,60,57,57.599998,82431,0.0,1.0
2011-02-02,58.049999,59.75,56.700001,57.450001,30984,0.0,1.0
2011-02-03,56.5,57.549999,56.5,57.299999,26023,0.0,1.0
2011-02-04,57.400002,57.650002,56,56.150002,27984,0.0,1.0
2011-02-07,57,58.900002,56.400002,57.950001,47140,0.0,1.0
2011-02-08,57.25,57.75,57,57.299999,33756,0.0,1.0
2011-02-09,56.549999,56.75,54.5,55.650002,41456,0.0,1.0
2011-02-10,57,57,54.5,54.700001,31065,0.0,1.0
2011-02-11,55,55.599998,55,55.25,24226,0.0,1.0
2011-02-14,55,58.099998,54.549999,55.700001,9948,0.0,1.0
2011-02-15,58,58.5,56.099998,57.650002,28184,0.0,1.0
