date,open,high,low,close,volume,dividend,split
2000-08-28,9.5,9.9,9,9.85,620,0.0,1.0
2000-08-29,9.95,9.95,9.55,9.55,700,0.0,1.0
2000-08-30,9.55,9.55,9.55,9.55,0,0.0,1.0
2000-08-31,10.5,10.5,7.2,7.4,14125,0.0,1.0
2000-09-01,7.4,7.4,7.4,7.4,0,0.0,1.0
2000-09-04,8.5,8.9,8,8.45,2300,0.0,1.0
2000-09-05,8.45,8.45,8.45,8.45,101,0.0,1.0
2000-09-06,8.2,8.45,8.05,8.45,477,0.0,1.0
2000-09-07,8.4,8.5,8.4,8.5,1884,0.0,1.0
2000-09-08,8.9,9,8.7,8.95,342,0.0,1.0
2000-09-11,10.25,10.25,9.5,9.75,265,0.0,1.0
2000-09-12,8,8.95,7.5,8.9,901,0.0,1.0
2000-09-13,8.9,8.9,8.3,8.35,1042,0.0,1.0
2000-09-14,8.05,8.9,8.05,8.9,3801,0.0,1.0
2000-09-15,8.6,8.85,8.5,8.8,2624,0.0,1.0
2000-09-18,8.8,8.8,8.8,8.8,0,0.0,1.0
2000-09-19,8.8,8.8,8.8,8.8,0,0.0,1.0
2000-09-20,10.35,10.35,10,10.2,625,0.0,1.0
2000-09-21,10.85,10.85,10.85,10.85,1,0.0,1.0
2000-09-22,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-09-25,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-09-26,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-09-27,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-09-28,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-09-29,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-10-02,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-10-03,10.85,10.85,10.85,10.85,0,0.0,1.0
2000-10-04,7.65,7.95,7.6,7.7,990,0.0,1.0
2000-10-05,7.7,7.7,7.7,7.7,0,0.0,1.0
2000-10-06,7.7,7.7,7.7,7.7,0,0.0,1.0
2000-10-09,7.7,7.7,7.7,7.7,0,0.0,1.0
2000-10-10,7.7,7.7,7.7,7.7,0,0.0,1.0
2000-10-11,9.2,9.2,9.2,9.2,1,0.0,1.0
2000-10-12,9.2,9.2,9.2,9.2,0,0.0,1.0
2000-10-13,9.2,9.2,9.2,9.2,0,0.0,1.0
2000-10-16,9.5,10.8,8,8.15,6000,0.0,1.0
2000-10-17,8.15,8.15,8.15,8.15,0,0.0,1.0
2000-10-18,7.1,7.1,7.1,7.1,160,0.0,1.0
2000-10-19,7.05,8,7.05,7.8,2020,0.0,1.0
2000-10-20,7.8,7.8,7.8,7.8,0,0.0,1.0
2000-10-23,9,9,7.8,8.5,421,0.0,1.0
2000-10-24,8.1,8.35,7.3,7.85,637,0.0,1.0
2000-10-25,7.85,7.85,7.85,7.85,0,0.0,1.0
2000-10-26,7.85,7.85,7.85,7.85,0,0.0,1.0
2000-10-27,8.5,8.95,8.5,8.6,5710,0.0,1.0
2000-10-30,8.4,8.4,8.4,8.4,1200,0.0,1.0
2000-10-31,8.4,8.4,8.4,8.4,0,0.0,1.0
2000-11-01,8.4,8.4,8.4,8.4,0,0.0,1.0
2000-11-02,8.5,8.5,8.5,8.5,1,0.0,1.0
2000-11-03,8.35,8.35,8.35,8.35,1,0.0,1.0
2000-11-06,8.4,9.7,8.05,8.65,2822,0.0,1.0
2000-11-07,8.55,8.55,8.1,8.4,115,0.0,1.0
2000-11-08,8.4,8.4,8.4,8.4,0,0.0,1.0
2000-11-09,8.7,8.9,8,8.1,5061,0.0,1.0
2000-11-10,8,8,7.75,7.75,530,0.0,1.0
2000-11-13,8.5,9.55,8.5,9.55,350,0.0,1.0
2000-11-14,9.3,9.45,9.05,9.15,799,0.0,1.0
2000-11-15,8.75,8.95,8.3,8.95,1910,0.0,1.0
2000-11-16,8.05,8.1,8.05,8.1,700,0.0,1.0
2000-11-17,8.65,8.7,8.65,8.7,200,0.0,1.0
2000-11-20,8.65,8.65,7.9,8.6,310,0.0,1.0
2000-11-21,8.45,8.45,8.15,8.15,290,0.0,1.0
2000-11-22,8.45,8.5,8.05,8.5,401,0.0,1.0
2000-11-23,8.35,8.35,8.35,8.35,400,0.0,1.0
2000-11-24,8.5,8.75,8,8,895,0.0,1.0
2000-11-27,9.7,9.7,8.35,8.35,5507,0.0,1.0
2000-11-28,8,8.15,7.9,8.1,3001,0.0,1.0
2000-11-29,7.8,8.1,7,8,375,0.0,1.0
2000-11-30,7.5,7.9,7.3,7.8,1510,0.0,1.0
2000-12-01,7.95,7.95,7.95,7.95,478,0.0,1.0
2000-12-04,8.4,8.4,8.35,8.35,11005,0.0,1.0
2000-12-05,8.05,8.2,7.7,8.2,21,0.0,1.0
2000-12-06,8,9,8,8,1207,0.0,1.0
2000-12-07,8,8.3,7.15,8.3,137,0.0,1.0
2000-12-08,8.2,8.2,8.2,8.2,12,0.0,1.0
2002-01-01,6.25,6.25,6.25,6.25,500,0.0,1.0
2002-01-02,6.25,6.25,6,6,500,0.0,1.0
2002-01-04,6,6,6,6,500,0.0,1.0
2002-01-07,6,6,5.9,5.9,300,0.0,1.0
2002-01-08,5.5,5.5,5.5,5.5,950,0.0,1.0
2002-01-16,5.35,5.35,5.3,5.3,900,0.0,1.0
2002-01-18,5.35,5.35,5.35,5.35,166,0.0,1.0
2002-01-21,5.75,5.75,5.75,5.75,100,0.0,1.0
2002-01-22,5.3,6.15,5.3,6,935,0.0,1.0
2002-01-23,5.9,6,5.9,6,220,0.0,1.0
2002-01-24,5.9,5.9,5.85,5.85,730,0.0,1.0
2002-01-28,6,6,6,6,350,0.0,1.0
2002-01-31,6,6,6,6,1000,0.0,1.0
2002-02-01,6,6,5.9,5.9,550,0.0,1.0
2002-02-04,6.05,6.05,6.05,6.05,100,0.0,1.0
2002-02-05,5.85,5.85,5.85,5.85,900,0.0,1.0
2002-02-06,6.05,6.05,6.05,6.05,3,0.0,1.0
2002-02-07,6,6.25,6,6.1,4502,0.0,1.0
2002-02-08,6.3,6.3,6.3,6.3,99,0.0,1.0
2002-02-12,6.1,6.1,6.05,6.05,1500,0.0,1.0
2002-02-13,5.2,6.85,5.2,6.85,255,0.0,1.0
2002-02-14,6.5,6.5,6.5,6.5,600,0.0,1.0
2002-02-15,6.75,6.75,6.3,6.75,2650,0.0,1.0
2002-02-18,7.4,8.1,6.75,7.7,27899,0.0,1.0
2002-02-19,7.1,8.05,7.1,7.8,5465,0.0,1.0
2002-02-20,7.9,7.9,6.75,6.75,640,0.0,1.0
2002-02-21,6.8,6.8,6.75,6.8,2100,0.0,1.0
2002-02-25,7.4,7.4,7,7.4,2160,0.0,1.0
2002-02-26,7.35,7.75,7.35,7.75,3470,0.0,1.0
2002-02-27,7.5,7.65,7,7.55,1516,0.0,1.0
2002-02-28,6.75,7.1,6.75,6.9,651,0.0,1.0
2002-03-01,6.9,6.9,6.9,6.9,500,0.0,1.0
2002-03-05,6.3,6.95,6.3,6.95,1050,0.0,1.0
2002-03-06,6.4,6.4,6.4,6.4,500,0.0,1.0
2002-03-07,5.6,6.25,5.6,6.15,630,0.0,1.0
2002-03-11,5.1,7.15,5.1,7.15,150,0.0,1.0
2002-03-12,5.75,5.75,5.75,5.75,1000,0.0,1.0
2002-03-14,6,6,6,6,340,0.0,1.0
2002-03-15,6.8,6.8,6,6.5,1440,0.0,1.0
2002-03-19,6,6.25,6,6.1,600,0.0,1.0
2002-03-20,6.1,6.15,6.1,6.15,25550,0.0,1.0
2002-03-21,7.3,7.3,7.3,7.3,1,0.0,1.0
2002-03-22,7.6,7.6,6.5,6.5,11,0.0,1.0
2002-03-27,7,7,6.25,6.3,600,0.0,1.0
2002-04-01,6.3,6.3,6.3,6.3,240,0.0,1.0
2002-04-02,6.3,6.5,6.25,6.5,1160,0.0,1.0
2002-04-03,6.3,6.3,6.3,6.3,20,0.0,1.0
2002-04-04,6.5,6.75,6.3,6.5,6457,0.0,1.0
2002-04-05,7,7,6.4,6.4,200,0.0,1.0
2002-04-08,6.85,6.85,6.85,6.85,100,0.0,1.0
2002-04-09,6.5,6.8,6.5,6.8,400,0.0,1.0
2002-04-10,6.5,6.5,6.5,6.5,200,0.0,1.0
2002-04-15,6.3,7.5,6.3,7,700,0.0,1.0
2002-04-16,6.95,6.95,6.95,6.95,500,0.0,1.0
2002-04-17,7.05,7.05,7,7,1500,0.0,1.0
2002-04-18,6.7,6.7,6.5,6.5,1400,0.0,1.0
2002-04-19,6.5,6.5,6.5,6.5,500,0.0,1.0
2002-04-22,6.7,7,6.7,7,1635,0.0,1.0
