date,open,high,low,close,volume,dividend,split
2000-11-03,4.5,4.5,4.5,4.5,2400,0.0,1.0
2000-11-06,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-07,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-08,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-09,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-10,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-13,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-11-14,4,4,4,4,100,0.0,1.0
2000-11-15,4,4,4,4,300,0.0,1.0
2000-11-16,3.3,3.3,3.3,3.3,1000,0.0,1.0
2000-11-17,4.1,4.1,4.1,4.1,1000,0.0,1.0
2000-11-20,5,5.1,5,5.1,5500,0.0,1.0
2000-11-21,5.8,6.1,5.8,6.1,2500,0.0,1.0
2000-11-22,6.1,6.1,6.1,6.1,2600,0.0,1.0
2000-11-23,5.3,5.3,5.3,5.3,500,0.0,1.0
2000-11-24,6.1,6.1,5.55,5.55,2300,0.0,1.0
2000-11-27,6.6,6.9,6.25,6.25,4700,0.0,1.0
2000-11-29,6.5,6.5,6.5,6.5,500,0.0,1.0
2000-11-30,6.3,7.4,6.25,6.25,3100,0.0,1.0
2000-12-01,6.4,6.4,6.3,6.3,2000,0.0,1.0
2000-12-04,5.55,5.55,5.55,5.55,200,0.0,1.0
2000-12-05,5.55,5.55,5.55,5.55,100,0.0,1.0
2000-12-06,5.5,5.5,5.25,5.25,1600,0.0,1.0
2001-06-08,9.4,9.4,9.4,9.4,200,0.0,1.0
2001-06-12,10,10,10,10,275,0.0,1.0
2001-06-14,11,11,9.8,9.8,1000,0.0,1.0
2001-08-24,8.5,8.5,8.5,8.5,275,0.0,1.0
2001-12-31,7.15,7.25,7.15,7.2,375,0.0,1.0
2002-01-01,7.4,7.5,7.4,7.5,6850,0.0,1.0
2002-01-02,7.45,7.45,7.35,7.35,700,0.0,1.0
2002-01-03,7.05,7.25,6.55,6.55,1450,0.0,1.0
2002-01-04,7.2,7.2,6.25,6.7,3900,0.0,1.0
2002-01-07,6.55,6.55,6.55,6.55,200,0.0,1.0
2002-01-08,6.8,6.8,6.65,6.65,1300,0.0,1.0
2002-01-09,6.65,6.65,6.25,6.25,2400,0.0,1.0
2002-01-11,6.75,6.75,6.65,6.65,1020,0.0,1.0
2002-01-14,5.75,6.95,5.75,6.75,3075,0.0,1.0
2002-01-15,6.1,6.75,6.1,6.7,900,0.0,1.0
2002-01-16,7.45,7.6,7,7.4,4650,0.0,1.0
2002-01-17,7,8.6,6.8,8.6,6475,0.0,1.0
2002-01-18,8.15,8.4,8.15,8.15,1500,0.0,1.0
2002-01-21,8.6,8.8,8,8.75,7725,0.0,1.0
2002-01-22,8.75,9.5,8.3,8.6,7400,0.0,1.0
2002-01-23,8.95,9.25,8.6,9,12350,0.0,1.0
2002-01-24,9.45,9.5,9,9.1,3251,0.0,1.0
2002-01-25,9.2,9.95,9.2,9.8,6095,0.0,1.0
2002-01-28,9.8,10.1,9.5,10.1,4700,0.0,1.0
2002-01-29,10.05,10.4,10.05,10.2,8100,0.0,1.0
2002-01-30,10.5,10.95,10,10.8,7620,0.0,1.0
2002-01-31,12,12,10.95,11.75,3977,0.0,1.0
2002-02-01,13.05,13.7,12,12.45,16000,0.0,1.0
2002-02-04,14.35,14.35,11.6,11.6,8575,0.0,1.0
2002-02-05,13.4,13.4,10.25,10.75,7025,0.0,1.0
2002-02-06,12.75,12.75,9.9,10,4000,0.0,1.0
2002-02-07,9.6,9.6,8.55,8.55,4700,0.0,1.0
2002-02-08,8.9,8.9,7.65,8.85,4330,0.0,1.0
2002-02-11,10,10,8.6,8.65,4145,0.0,1.0
2002-02-12,9.5,9.5,8.5,8.65,1850,0.0,1.0
2002-02-13,9.15,10,8.75,10,4825,0.0,1.0
2002-02-14,9.3,9.3,9.25,9.25,275,0.0,1.0
2002-02-15,9.2,9.25,9.1,9.15,4600,0.0,1.0
2002-02-18,8.7,8.9,8.7,8.7,1200,0.0,1.0
2002-02-19,9.5,9.85,9.5,9.8,16415,0.0,1.0
2002-02-20,9.15,9.5,9.1,9.1,4905,0.0,1.0
2002-02-21,8.75,9.5,8.75,9.5,3350,0.0,1.0
2002-02-22,8.75,9.25,8.75,9,2300,0.0,1.0
2002-02-25,8.7,9.4,8.7,9,402,0.0,1.0
2002-02-26,9,9.2,8.7,8.85,3650,0.0,1.0
2002-02-27,8.95,9,8.75,9,2775,0.0,1.0
2002-02-28,9,9.2,8.75,9,2624,0.0,1.0
2002-03-01,8.55,8.95,8.55,8.95,975,0.0,1.0
2002-03-04,8.2,8.2,8.2,8.2,275,0.0,1.0
2002-03-05,8.6,8.6,8.4,8.4,2200,0.0,1.0
2002-03-06,8.2,8.2,8,8,1601,0.0,1.0
2002-03-07,8,8.5,7.65,8.5,3425,0.0,1.0
2002-03-08,8.2,8.85,8,8.85,300,0.0,1.0
2002-03-11,8.1,8.4,7.75,8.4,2250,0.0,1.0
2002-03-12,7.95,9,7.95,9,6435,0.0,1.0
2002-03-13,8.15,8.25,8.05,8.25,1600,0.0,1.0
2002-03-14,7.15,8,7.15,7.85,1000,0.0,1.0
2002-03-15,8.25,8.35,8.25,8.25,8175,0.0,1.0
2002-03-18,8.3,8.3,8.25,8.25,476,0.0,1.0
2002-03-19,8.1,8.25,8,8,2575,0.0,1.0
2002-03-20,8,8.2,7.65,8,3850,0.0,1.0
2002-03-21,8.1,8.4,8,8,1325,0.0,1.0
2002-03-22,7.9,8.9,7.9,8.9,900,0.0,1.0
2002-03-26,8,8.25,8,8.25,2700,0.0,1.0
2002-03-27,8,8,8,8,1200,0.0,1.0
2002-04-01,8.9,9.55,8.9,9.25,3975,0.0,1.0
2002-04-02,8,9.5,8,8.6,11975,0.0,1.0
2002-04-03,8.5,8.55,8.5,8.55,3200,0.0,1.0
2002-04-04,8.6,9,8.6,9,6701,0.0,1.0
2002-04-05,9,9.1,9,9,1100,0.0,1.0
2002-04-08,9.45,9.5,9.2,9.5,13050,0.0,1.0
2002-04-09,9.5,9.75,9.5,9.75,4100,0.0,1.0
2002-04-10,11.5,11.5,9.65,10.5,15025,0.0,1.0
2002-04-11,11,11,10.5,10.75,3925,0.0,1.0
2002-04-12,10.1,10.6,10.1,10.3,4475,0.0,1.0
2002-04-15,9.55,10.6,9.55,10.3,8000,0.0,1.0
2002-04-16,9.25,9.95,9.25,9.95,1125,0.0,1.0
2002-04-17,9.8,10.1,9.8,10.1,1400,0.0,1.0
2002-04-18,9.8,10.5,9.8,10.05,6855,0.0,1.0
2002-04-19,10,10,9.6,9.6,2025,0.0,1.0
2002-04-22,9.3,9.3,9.3,9.3,505,0.0,1.0
2002-04-23,9.5,10,9.2,9.45,7760,0.0,1.0
2002-04-24,8.8,9.8,8.8,9.8,3005,0.0,1.0
2002-04-25,9.5,10.3,9.5,9.75,9025,0.0,1.0
2002-04-26,10.3,10.3,9.85,9.85,1100,0.0,1.0
2002-04-29,10.75,10.75,9.65,10.2,4910,0.0,1.0
2002-04-30,10,10.1,9.8,9.9,3950,0.0,1.0
2002-05-02,9.9,9.9,9.75,9.8,2850,0.0,1.0
2002-05-03,9.75,10.5,9.5,9.7,6360,0.0,1.0
2002-05-06,9.95,10.6,9.55,10.15,6730,0.0,1.0
2002-05-07,10.9,11.85,10.55,11.8,17787,0.0,1.0
2002-05-08,12.4,12.5,11.65,11.85,14800,0.0,1.0
2002-05-09,11.85,11.85,11.3,11.3,4859,0.0,1.0
2002-05-10,11.2,11.2,10.75,10.8,4075,0.0,1.0
2002-05-13,10.75,10.75,10.55,10.55,3025,0.0,1.0
2002-05-14,11,11,10.85,10.85,2075,0.0,1.0
2002-05-15,10.6,10.95,10.6,10.95,1900,0.0,1.0
2002-05-16,10.65,10.7,10.5,10.5,2675,0.0,1.0
