date,open,high,low,close,volume,dividend,split
2005-09-09,400,575,400,464.549988,8789145,0.0,1.0
2005-09-12,466,468.950012,422.149994,439.299988,3072087,0.0,1.0
2005-09-13,441.25,470.899994,431.049988,462.299988,3995062,0.0,1.0
2005-09-14,472,472.799988,446.5,453.049988,1355200,0.0,1.0
2005-09-15,451,461.5,445,451.100006,800875,0.0,1.0
2005-09-16,452,457.899994,447,450.200012,260666,0.0,1.0
2005-09-19,450,454.75,435,439.5,188963,0.0,1.0
2005-09-20,440,460,433,449.350006,672359,0.0,1.0
2005-09-21,449.799988,449.799988,426.25,441.899994,359697,0.0,1.0
2005-09-22,444,444,398,403.649994,204844,0.0,1.0
2005-09-23,403.450012,421,396,401.549988,167242,0.0,1.0
2005-09-26,405,436,405,422.200012,237038,0.0,1.0
2005-09-27,422,431,407.200012,411.25,163578,0.0,1.0
2005-09-28,413.75,423,406.149994,408.200012,92369,0.0,1.0
2005-09-29,411.899994,415.399994,395,397.200012,126284,0.0,1.0
2005-09-30,395,412,376,407.149994,334338,0.0,1.0
2005-10-03,407.799988,409,395,397.549988,145145,0.0,1.0
2005-10-04,403,416.100006,401,411.5,150083,0.0,1.0
2005-10-05,412.200012,426,402,421.75,148263,0.0,1.0
2005-10-06,419.899994,419.899994,403,408.75,66722,0.0,1.0
2005-10-07,409,416.799988,395.149994,398.25,56341,0.0,1.0
2005-10-10,399.5,408.950012,399.5,401.399994,37366,0.0,1.0
2005-10-11,405,415.5,383.049988,386.600006,42039,0.0,1.0
2005-10-13,390,395,381.100006,384.350006,28656,0.0,1.0
2005-10-14,384,388.950012,369.200012,372.600006,30164,0.0,1.0
2005-10-17,370,377.850006,367.049988,371.200012,27924,0.0,1.0
2005-10-18,374,384.399994,365.25,368.850006,24224,0.0,1.0
2005-10-19,370,370,350,353.049988,23073,0.0,1.0
2005-10-20,364,364,335.100006,342,20573,0.0,1.0
2005-10-21,345,345,317.100006,330.899994,53645,0.0,1.0
2005-10-24,337,337.25,321,326.600006,16234,0.0,1.0
2005-10-25,324.950012,353.899994,322.100006,349.850006,63067,0.0,1.0
2005-10-26,346,348.950012,340,346.850006,17544,0.0,1.0
2005-10-27,345,352,331.100006,334.100006,19161,0.0,1.0
2005-10-28,327,340,316,328.5,89838,0.0,1.0
2005-10-31,329,362,329,357.25,47228,0.0,1.0
2005-11-02,356,358.700012,344,355.399994,9399,0.0,1.0
2005-11-07,368,369,357.5,359.75,11930,0.0,1.0
2005-11-08,360,360,345,347.299988,11242,0.0,1.0
2005-11-09,351.100006,355.450012,334.100006,335.25,46449,0.0,1.0
2005-11-10,345,346,332.100006,334.649994,16739,0.0,1.0
2005-11-11,335,353,331.100006,342.649994,43781,0.0,1.0
2005-11-14,344,349,337.5,339.450012,12791,0.0,1.0
2005-11-16,342,343.899994,335.100006,336.700012,18374,0.0,1.0
