date,open,high,low,close,volume,dividend,split
2010-10-05,135.100006,141,108.300003,110.900002,16978700,0.0,1.0
2010-10-06,111,112.900002,97.25,101,3781042,0.0,1.0
2010-10-07,102,111.699997,101.400002,104.800003,1701798,0.0,1.0
2010-10-08,106,107.550003,101.300003,102.550003,528107,0.0,1.0
2010-10-11,103.099998,105.5,98.849998,100.150002,430878,0.0,1.0
2010-10-12,101,101.150002,94.5,95.449997,261480,0.0,1.0
2010-10-13,95.900002,99.800003,94.050003,95.099998,370215,0.0,1.0
2010-10-14,95.75,96,90.199997,91,190383,0.0,1.0
2010-10-15,91.099998,94.150002,86.5,87.699997,237414,0.0,1.0
2010-10-18,81,88,81,84.5,148592,0.0,1.0
2010-10-19,85,96.400002,83,91,1245197,0.0,1.0
2010-10-20,89.449997,94.800003,88.050003,88.849998,345893,0.0,1.0
2010-10-21,89.800003,93.5,89.800003,91.75,321619,0.0,1.0
2010-10-22,92,93.300003,88.550003,89.099998,173043,0.0,1.0
2010-10-25,90,91.75,87,88.599998,156682,0.0,1.0
2010-10-26,89.150002,91.699997,88,88.300003,145101,0.0,1.0
2010-10-27,88.099998,89.400002,85.699997,86.050003,69869,0.0,1.0
2010-10-28,86.900002,87.5,85.150002,85.5,58117,0.0,1.0
2010-10-29,86.550003,86.550003,80.75,81.400002,87927,0.0,1.0
2010-11-01,82.949997,83,80.349998,81.25,30605,0.0,1.0
2010-11-02,81.099998,83,80,80.199997,61295,0.0,1.0
2010-11-03,81.300003,81.300003,79.150002,79.400002,57079,0.0,1.0
2010-11-04,80,82.349998,79.300003,80.5,74927,0.0,1.0
2010-11-08,83,89,81.25,87.599998,216600,0.0,1.0
2010-11-09,86,93.400002,86,91.5,378021,0.0,1.0
2010-11-10,105,105,90.25,91.300003,320177,0.0,1.0
2010-11-11,92,93,85.099998,85.699997,77665,0.0,1.0
2010-11-12,85,86,82.699997,83.199997,93253,0.0,1.0
2010-11-15,83.699997,84.5,80.650002,81.150002,59012,0.0,1.0
2010-11-16,94,94,77,77.650002,167553,0.0,1.0
2010-11-18,78.699997,80.650002,73.400002,74.75,107929,0.0,1.0
2010-11-19,74.75,75.099998,71.050003,72.050003,52213,0.0,1.0
2010-11-22,74,74,68.400002,72.300003,27156,0.0,1.0
2010-11-23,70.5,72.550003,67.550003,70.099998,47762,0.0,1.0
2010-11-24,63,71.5,63,68.599998,130528,0.0,1.0
2010-11-25,66.25,69.75,66.25,68,26431,0.0,1.0
2010-11-26,79.300003,79.300003,61,62.349998,163005,0.0,1.0
2010-11-29,61.5,63.849998,61.5,62.5,63508,0.0,1.0
2010-11-30,61.5,63.700001,61.299999,62.700001,14415,0.0,1.0
