date,open,high,low,close,volume,dividend,split
2000-03-02,0.53,0.53,0.53,0.53,5000,0.0,1.0
2000-03-03,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-06,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-07,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-08,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-09,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-10,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-13,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-14,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-15,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-16,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-17,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-20,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-21,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-22,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-23,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-24,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-27,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-28,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-29,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-30,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-03-31,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-03,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-04,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-05,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-06,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-07,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-10,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-11,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-12,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-13,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-14,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-17,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-18,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-19,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-20,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-21,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-24,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-25,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-26,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-27,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-04-28,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-01,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-02,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-03,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-04,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-05,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-08,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-09,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-10,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-11,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-12,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-15,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-16,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-17,0.53,0.53,0.53,0.53,0,0.0,1.0
2000-05-18,0.53,0.53,0.53,0.53,0,0.0,1.0
