date,open,high,low,close,volume,dividend,split
2006-04-04,0.74867,0.74867,0.74867,0.74867,750,0.0,1.0
2006-04-19,0.786,0.786,0.786,0.786,1515000,0.0,1.0
2006-04-20,0.82467,0.82467,0.82467,0.82467,750,0.0,1.0
2006-04-21,0.86533,0.86533,0.86533,0.86533,750,0.0,1.0
2006-04-25,0.908,0.908,0.908,0.908,750,0.0,1.0
2006-04-26,0.95333,0.95333,0.95333,0.95333,750,0.0,1.0
2006-04-27,1.00067,1.00067,1.00067,1.00067,750,0.0,1.0
2006-04-28,1.05067,1.05067,1.05067,1.05067,750,0.0,1.0
2006-05-02,1.15667,1.15667,1.15667,1.15667,750,0.0,1.0
2006-05-03,1.21333,1.21333,1.21333,1.21333,750,0.0,1.0
2006-05-04,1.27333,1.27333,1.27333,1.27333,750,0.0,1.0
2006-05-05,1.33667,1.33667,1.33667,1.33667,750,0.0,1.0
2006-05-08,1.40333,1.40333,1.40333,1.40333,750,0.0,1.0
2006-05-09,1.47333,1.47333,1.47333,1.47333,750,0.0,1.0
2006-05-10,1.54667,1.54667,1.54667,1.54667,750,0.0,1.0
2006-05-11,1.62333,1.62333,1.62333,1.62333,750,0.0,1.0
2006-05-12,1.70333,1.70333,1.70333,1.70333,750,0.0,1.0
2006-05-15,1.78667,1.78667,1.78667,1.78667,750,0.0,1.0
2006-05-16,1.87333,1.87333,1.87333,1.87333,750,0.0,1.0
2006-05-17,1.96667,1.96667,1.96667,1.96667,750,0.0,1.0
2006-05-18,2.06333,2.06333,2.06333,2.06333,750,0.0,1.0
2006-05-19,2.16333,2.16333,2.16333,2.16333,750,0.0,1.0
2006-05-22,2.27,2.27,2.27,2.27,150000,0.0,1.0
2006-05-23,2.38333,2.38333,2.38333,2.38333,750,0.0,1.0
2006-05-24,2.5,2.5,2.5,2.5,750,0.0,1.0
2006-05-25,2.62333,2.62333,2.62333,2.62333,750,0.0,1.0
2006-05-26,2.75333,2.75333,2.75333,2.75333,750,0.0,1.0
2006-05-29,2.89,2.89,2.89,2.89,4500,0.0,1.0
2006-05-30,3.03333,3.03333,3.03333,3.03333,20250,0.0,1.0
2006-05-31,3.18333,3.18333,3.18333,3.18333,750,0.0,1.0
2006-06-01,3.34,3.34,3.34,3.34,750,0.0,1.0
2006-06-02,3.50667,3.50667,3.50667,3.50667,60750,0.0,1.0
2006-06-05,3.68,3.68,3.68,3.68,61500,0.0,1.0
2006-06-06,3.86333,3.86333,3.86333,3.86333,750,0.0,1.0
2006-06-07,4.05333,4.05333,4.05333,4.05333,750,0.0,1.0
2006-06-08,4.25333,4.25333,4.25333,4.25333,750,0.0,1.0
2006-06-09,4.46333,4.46333,4.46333,4.46333,49500,0.0,1.0
2006-06-12,4.68333,4.68333,4.68333,4.68333,1500,0.0,1.0
2006-06-13,4.91667,4.91667,4.91667,4.91667,2250,0.0,1.0
2006-06-14,5.16,5.16,5.16,5.16,750,0.0,1.0
2006-06-15,5.41667,5.41667,5.41667,5.41667,750,0.0,1.0
2006-06-16,5.68667,5.68667,5.68667,5.68667,750,0.0,1.0
2006-06-19,5.97,5.97,5.97,5.97,149250,0.0,1.0
2006-06-20,6.26667,6.26667,6.26667,6.26667,300750,0.0,1.0
2006-06-21,6.58,6.58,6.58,6.58,180000,0.0,1.0
2006-06-22,6.90667,6.90667,6.90667,6.90667,115050,0.0,1.0
2006-06-23,7.25,7.25,7.25,7.25,187500,0.0,1.0
2006-06-26,7.99,7.99,7.99,7.99,436500,0.0,1.0
2006-06-27,8.38667,8.38667,8.38667,8.38667,541500,0.0,1.0
2006-06-28,8.80333,8.80333,8.80333,8.80333,255750,0.0,1.0
2006-06-29,9.24333,9.24333,9.24333,9.24333,594000,0.0,1.0
2006-06-30,9.70333,9.70333,9.24333,9.24667,269250,0.0,1.0
2006-07-03,9.70667,9.70667,8.78667,9.20667,191400,0.0,1.0
2006-07-04,9,9,9,9,750,0.0,1.0
2006-07-06,8.87667,8.90333,8.87667,8.89333,3750,0.0,1.0
2006-07-07,8.67333,8.67333,8.45,8.55667,9750,0.0,1.0
2006-07-10,8.46667,8.46667,8.21667,8.21667,4500,0.0,1.0
2006-07-11,8.33333,8.55333,8.33333,8.33333,5250,0.0,1.0
2006-07-12,8.01667,8.01667,8.01667,8.01667,3750,0.0,1.0
2006-07-13,8.23333,8.41667,8.23333,8.41667,13500,0.0,1.0
2006-07-14,8.82333,8.82667,8,8.15667,30750,0.0,1.0
2006-07-17,8.3,8.36667,8,8.36667,14250,0.0,1.0
2006-07-18,8.45,8.45,8.23333,8.23333,4500,0.0,1.0
2006-07-19,8.43333,8.43333,8,8.13333,15000,0.0,1.0
2006-07-20,8.38333,8.38333,8.38333,8.38333,750,0.0,1.0
2006-07-21,8.23333,8.23333,8.2,8.21333,3000,0.0,1.0
2006-07-24,8.33333,8.33333,8.25,8.25,1500,0.0,1.0
2006-07-25,8.46,8.59333,8.46,8.59333,19500,0.0,1.0
2006-07-26,8.66667,8.8,8.66667,8.8,1500,0.0,1.0
2006-07-27,8.66667,8.66667,8.54,8.54,9000,0.0,1.0
2006-07-31,8.86333,8.96667,8.86333,8.96667,30000,0.0,1.0
2006-08-01,9,9,8.66667,8.66667,2250,0.0,1.0
2006-08-04,8.86667,8.86667,8.86667,8.86667,750,0.0,1.0
2006-08-07,9,9,9,9,750,0.0,1.0
2006-08-08,8.60667,8.60667,8.60667,8.60667,750,0.0,1.0
2006-08-09,8.93333,8.93333,8.55,8.89667,8250,0.0,1.0
2006-08-10,8.67333,8.67333,8.6,8.63667,1500,0.0,1.0
