date,open,high,low,close,volume,dividend,split
2017-04-05,545,638,545,632.799988,4173554,0.0,1.0
2017-04-06,635,650.950012,623,629.799988,673385,0.0,1.0
2017-04-07,624.900024,695,617,685.099976,1425058,0.0,1.0
2017-04-10,690,786,690,754.75,1950151,0.0,1.0
2017-04-11,760.700012,789,752.299988,774.5,581977,0.0,1.0
2017-04-12,776.200012,783.25,748,758.400024,337084,0.0,1.0
2017-04-13,760,788.400024,746.700012,757.549988,471309,0.0,1.0
2017-04-17,760,765.400024,741,748.200012,122843,0.0,1.0
2017-04-18,750,752.450012,712.200012,716.75,135294,0.0,1.0
2017-04-19,718,738.799988,716,726.049988,143735,0.0,1.0
2017-04-20,727,741.900024,720.599976,732.650024,119216,0.0,1.0
2017-04-21,732.700012,739,719.849976,724.900024,59362,0.0,1.0
2017-04-24,724,730.450012,704,708.700012,59621,0.0,1.0
2017-04-25,712.900024,728,708.150024,722.5,80028,0.0,1.0
2017-04-26,728.799988,734.700012,710,715.799988,63768,0.0,1.0
2017-04-27,716,722,705,708.450012,26968,0.0,1.0
2017-04-28,710,716.400024,697.349976,703.099976,25783,0.0,1.0
2017-05-02,709.900024,709.900024,672.299988,674.950012,76226,0.0,1.0
2017-05-03,680.849976,685,673,676.799988,34547,0.0,1.0
2017-05-04,679,704.650024,675.049988,695.75,97502,0.0,1.0
2017-05-05,699,716.400024,688.900024,704.549988,125747,0.0,1.0
2017-05-08,711,733,701.25,706.450012,151253,0.0,1.0
2017-05-09,718,724.450012,712.700012,717.799988,50448,0.0,1.0
2017-05-10,711.099976,731.950012,711.099976,723.75,52628,0.0,1.0
2017-05-11,725,732.25,701,717.349976,39388,0.0,1.0
2017-05-12,717.349976,722.700012,700.099976,705.75,35065,0.0,1.0
2017-05-15,709.950012,713.450012,696.75,703.700012,16836,0.0,1.0
2017-05-16,705.599976,709.900024,696.700012,702.950012,17106,0.0,1.0
2017-05-17,701.700012,704.150024,696,700.549988,19176,0.0,1.0
2017-05-18,705,712.200012,695.150024,706.450012,21637,0.0,1.0
2017-05-19,707.5,713.799988,702.200012,706.450012,32577,0.0,1.0
2017-05-22,706.200012,710,693,696.700012,19906,0.0,1.0
2017-05-23,704.900024,704.900024,670.549988,680.400024,12594,0.0,1.0
2017-05-24,684,694.900024,653,662.450012,32408,0.0,1.0
2017-05-25,666,695,666,690.75,16357,0.0,1.0
2017-05-26,694.950012,705,690.950012,701.349976,16923,0.0,1.0
2017-05-29,699.549988,705.049988,688.099976,694.349976,11046,0.0,1.0
2017-05-30,695,708,683.799988,693.650024,22940,0.0,1.0
2017-05-31,694,716.700012,694,711.799988,15903,0.0,1.0
2017-06-01,712,724,710.5,712.099976,13629,0.0,1.0
2017-06-02,719.700012,722,709.200012,712.450012,8332,0.0,1.0
