date,open,high,low,close,volume,dividend,split
2002-07-01,4.45,4.5,4.35,4.35,2787,0.0,1.0
2002-07-02,4.52,4.52,4.3,4.31,744,0.0,1.0
2002-07-03,4.2,4.35,4.2,4.35,710,0.0,1.0
2002-07-04,4.35,4.4,4.21,4.21,2260,0.0,1.0
2002-07-05,4.35,5.06,4.33,4.93,9319,0.0,1.0
2002-07-08,5,5.25,4.9,4.94,5501,0.0,1.0
2002-07-09,5,5,4.65,4.69,2368,0.0,1.0
2002-07-10,4.7,4.82,4.57,4.57,2082,0.0,1.0
2002-07-11,4.55,4.6,4.43,4.45,726,-0.16080,1.0
2002-07-12,4.51,4.64,4.4,4.43,926,0.0,1.0
2002-07-15,4.45,4.45,4.1,4.1,265,0.0,1.0
2002-07-16,4,4.25,4,4.24,1910,0.0,1.0
2002-07-17,4.06,4.06,4,4,1268,0.0,1.0
2002-07-18,4.01,4.12,4.01,4.04,240,0.0,1.0
2002-07-19,4,4.05,4,4.01,225,0.0,1.0
2002-07-22,3.89,3.89,3.86,3.86,220,0.0,1.0
2002-07-23,3.85,3.99,3.85,3.95,650,0.0,1.0
2002-07-24,3.97,3.97,3.5,3.5,653,0.0,1.0
2002-07-25,3.9,3.9,3.35,3.35,2182,0.0,1.0
2002-07-26,3.31,3.4,3.31,3.37,400,0.0,1.0
2002-07-29,3.15,3.2,3,3.2,1248,0.0,1.0
2002-07-30,3.58,3.58,3.23,3.23,912,0.0,1.0
2002-07-31,3.3,3.3,3.05,3.05,1200,0.0,1.0
2002-08-01,3.25,3.25,3.17,3.23,252,0.0,1.0
2002-08-02,3.25,3.25,3.25,3.25,50,0.0,1.0
2002-08-05,3.35,3.43,3.35,3.41,668,0.0,1.0
2002-08-06,3.48,3.48,3.35,3.4,552,0.0,1.0
2002-08-07,2.85,3.5,2.85,3.43,1917,0.0,1.0
2002-08-08,3.4,3.44,3.27,3.27,1099,0.0,1.0
2002-08-09,3.25,3.4,3.15,3.26,302,0.0,1.0
2002-08-12,3.49,3.49,3.49,3.49,20,0.0,1.0
2002-08-13,3.31,3.34,3.31,3.34,300,0.0,1.0
2002-08-14,3.35,3.49,3.35,3.36,350,0.0,1.0
2002-08-16,3.4,3.4,3.4,3.4,100,0.0,1.0
2002-08-19,3.31,3.31,3.31,3.31,100,0.0,1.0
2002-08-20,3.3,3.3,3.3,3.3,59,0.0,1.0
2002-08-21,3.26,3.5,3.25,3.45,1326,0.0,1.0
2002-08-22,3.25,3.3,3.25,3.3,3500,0.0,1.0
2002-08-23,3.35,3.35,3.35,3.35,200,0.0,1.0
2002-08-26,3.59,3.59,3.25,3.27,3660,0.0,1.0
2002-08-28,3.4,3.4,3.4,3.4,100,0.0,1.0
2002-08-30,3.35,3.38,3.35,3.38,100,0.0,1.0
2002-09-02,3.26,3.26,3.26,3.26,200,0.0,1.0
2002-09-04,3.3,3.4,3.3,3.4,225,0.0,1.0
2002-09-06,3.35,3.35,3.35,3.35,100,0.0,1.0
2002-09-09,3.1,3.5,3.1,3.5,152,0.0,1.0
2002-09-12,3.2,3.35,3.2,3.27,500,0.0,1.0
2002-09-16,3.35,3.45,3.35,3.35,273,0.0,1.0
2002-09-17,3.35,3.35,3.35,3.35,34,0.0,1.0
2002-09-18,3.43,3.43,3.28,3.28,23,0.0,1.0
2002-09-19,3.25,3.45,3.25,3.45,210,0.0,1.0
