date,open,high,low,close,volume,dividend,split
2000-11-10,6.5,6.5,6.5,6.5,100,0.0,1.0
2000-11-13,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-14,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-15,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-16,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-17,6.5,6.5,6.5,6.5,600,0.0,1.0
2000-11-20,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-21,6.5,6.5,6.5,6.5,0,0.0,1.0
2000-11-28,6.5,6.5,6.5,6.5,50,0.0,1.0
2000-11-30,6.5,6.5,6.5,6.5,100,0.0,1.0
2000-12-01,6.5,6.5,6.5,6.5,400,0.0,1.0
2000-12-04,6.5,6.5,6.5,6.5,300,0.0,1.0
2000-12-05,6.5,6.5,6.5,6.5,100,0.0,1.0
2002-03-11,7.35,7.35,7.35,7.35,2,0.0,1.0
2002-03-19,7.1,7.1,7.1,7.1,300,0.0,1.0
2002-04-01,6.85,6.85,6.85,6.85,50,0.0,1.0
2002-05-02,6,6,6,6,500,0.0,1.0
2002-05-06,4.85,4.85,4.85,4.85,400,0.0,1.0
2002-05-08,3.9,3.9,3.9,3.9,100,0.0,1.0
2002-05-09,4.25,4.65,3.5,4.65,1000,0.0,1.0
2002-05-10,3.95,5.55,3.95,5.55,700,0.0,1.0
2002-05-13,5,5.25,5,5.25,100,0.0,1.0
2002-05-14,4.45,4.95,4.45,4.95,300,0.0,1.0
2002-05-16,5.35,5.35,5.35,5.35,100,0.0,1.0
2002-05-17,5.75,5.75,4.75,4.75,100,0.0,1.0
2002-05-21,3.85,3.85,3.85,3.85,200,0.0,1.0
2002-05-22,3.5,3.5,3.5,3.5,50,0.0,1.0
2002-05-28,3.5,3.5,3.5,3.5,100,0.0,1.0
2002-05-29,3.7,3.7,3.7,3.7,50,0.0,1.0
2002-05-30,4.4,4.4,4.4,4.4,500,0.0,1.0
2002-05-31,4.5,4.5,4.5,4.5,50,0.0,1.0
2002-06-03,4.4,5.4,4.4,5.4,500,0.0,1.0
2002-06-04,5.8,6.45,5.8,6.45,1300,0.0,1.0
2002-06-05,6.7,6.75,6.15,6.15,1100,0.0,1.0
2002-06-06,5.3,5.3,5.25,5.25,300,0.0,1.0
2002-06-07,5,5.5,4.5,5,600,0.0,1.0
2002-06-11,6,6,6,6,200,0.0,1.0
2002-06-12,6,6,5.75,6,2100,0.0,1.0
2002-06-13,7,7,7,7,500,0.0,1.0
2002-06-14,7.5,7.5,6.25,6.8,1100,0.0,1.0
2002-06-17,7.5,8.15,7.5,8.15,4500,0.0,1.0
2002-06-18,8.3,8.3,8.3,8.3,700,0.0,1.0
2002-06-19,8.3,9.8,8.2,9,10100,0.0,1.0
2002-06-20,8.95,9.25,8.95,9,3500,0.0,1.0
2002-06-21,9.25,9.25,8.6,9,1700,0.0,1.0
2002-06-24,9.3,9.7,9.15,9.15,1700,0.0,1.0
2002-06-25,9.3,9.5,9,9,1100,0.0,1.0
2002-06-26,8.25,9.35,8.25,9.35,1100,0.0,1.0
2002-07-01,9.5,9.5,9,9,1305,0.0,1.0
2002-07-02,9.15,9.25,9.1,9.1,1450,0.0,1.0
2002-07-03,8.6,8.75,8.05,8.75,2200,0.0,1.0
2002-07-04,7.1,8,7.1,7.9,450,0.0,1.0
2002-07-05,7.05,9.35,7.05,9.35,1135,0.0,1.0
2002-07-08,10.2,10.2,8.75,9.5,6200,0.0,1.0
2002-07-09,9.95,9.95,9.1,9.45,2750,0.0,1.0
2002-07-10,9.5,10.25,8.5,8.6,1971,0.0,1.0
2002-07-11,9.9,9.9,7.2,8.5,2302,0.0,1.0
2002-07-15,8.25,8.25,8.25,8.25,10,0.0,1.0
2002-07-16,8,8,7.3,7.3,1550,0.0,1.0
2002-07-17,7.05,7.25,7,7,1800,0.0,1.0
2002-07-18,7.25,7.55,7.25,7.4,2750,0.0,1.0
2002-07-19,7.1,7.1,7.1,7.1,1000,0.0,1.0
2002-07-22,6.1,6.1,6.1,6.1,200,0.0,1.0
2002-07-24,5.1,7.3,5.1,7.3,600,0.0,1.0
2002-07-25,6.5,6.5,6.3,6.4,950,0.0,1.0
2002-08-06,7,7,7,7,300,0.0,1.0
2002-08-08,6,6,6,6,1100,0.0,1.0
2002-08-09,6,6,6,6,225,0.0,1.0
2002-08-16,5.4,7.2,5.4,7,300,0.0,1.0
2002-08-19,5.65,5.65,5.65,5.65,150,0.0,1.0
2002-08-20,4.6,6.75,4.6,6.75,100,0.0,1.0
2002-08-21,7.2,7.2,7.2,7.2,50,0.0,1.0
2002-08-23,5.8,5.8,5.8,5.8,50,0.0,1.0
2002-08-27,5,5,5,5,1000,0.0,1.0
2002-08-28,4.95,5,4.95,5,150,0.0,1.0
2002-09-02,5,5,5,5,150,0.0,1.0
2002-09-03,4.25,4.25,4.25,4.25,100,0.0,1.0
2002-09-04,4.15,5.1,4.15,5.1,200,0.0,1.0
2002-09-06,4.4,4.4,4.4,4.4,50,0.0,1.0
2002-09-11,5,5,5,5,100,0.0,1.0
2002-09-16,4.1,4.1,4.1,4.1,50,0.0,1.0
2002-09-18,4.5,4.5,4.5,4.5,100,0.0,1.0
