date,open,high,low,close,volume,dividend,split
2002-01-02,27.049999,27.049999,27,27,200,0.0,1.0
2002-01-08,25,26.5,24.950001,26,400,-0.00260,1.0
2002-01-09,27,27,27,27,10,0.00270,1.0
2002-01-11,27,28,27,27.25,1100,0.0,1.0
2002-01-14,27.35,27.4,27.25,27.4,200,0.0,1.0
2002-01-17,27.5,27.5,26.6,26.6,100,0.0,1.0
2002-01-22,25.549999,25.549999,25.549999,25.549999,57,-0.00256,1.0
2002-01-23,26.549999,26.549999,26.549999,26.549999,500,0.00265,1.0
2002-01-29,27,27,27,27,50,0.0,1.0
2002-01-30,27,27.4,27,27.4,300,0.0,1.0
2002-02-01,27,27,27,27,200,0.0,1.0
2002-02-04,27.049999,27.049999,27.049999,27.049999,45,0.0,1.0
2002-02-05,27,27,26.299999,26.299999,200,0.0,1.0
2002-02-06,27.049999,27.049999,27.049999,27.049999,600,0.0,1.0
2002-02-07,27.25,27.25,27.25,27.25,25,0.0,1.0
2002-02-08,26.25,26.25,26.25,26.25,100,-0.00263,1.0
2002-02-11,26.1,26.1,26.1,26.1,12,0.0,1.0
2002-02-12,26.5,26.5,26,26,300,0.0,1.0
2002-02-13,27,27,27,27,11,0.00270,1.0
2002-02-14,27,27,27,27,100,0.0,1.0
2002-02-15,27.5,27.5,26.549999,26.549999,200,0.0,1.0
2002-02-18,27.25,27.25,27.25,27.25,30,0.0,1.0
2002-02-19,27.25,27.25,27.25,27.25,100,0.0,1.0
2002-02-20,28.25,28.25,26.200001,26.25,300,-0.00263,1.0
2002-02-21,26.5,27.299999,26.5,27.299999,81,0.0,1.0
2002-02-25,28.25,28.35,27.25,27.25,500,0.00272,1.0
2002-02-26,27.5,27.5,27.5,27.5,100,0.0,1.0
2002-02-27,28.5,28.5,27.549999,27.549999,200,0.0,1.0
2002-02-28,27.799999,27.799999,27.799999,27.799999,100,0.0,1.0
2002-03-04,28,28,26.700001,26.700001,200,-0.00267,1.0
2002-03-05,27.5,27.75,27.1,27.15,600,0.00271,1.0
2002-03-06,26.4,27.049999,26.4,27,1300,0.0,1.0
2002-03-08,27.950001,28,27.950001,28,400,0.0,1.0
2002-03-11,28,29.1,28,29,500,-0.00290,1.0
