date,open,high,low,close,volume,dividend,split
2000-11-08,4.35,5.75,4.35,5.75,700,0.0,1.0
2000-11-09,5.75,5.75,5.75,5.75,0,0.0,1.0
2000-11-10,5.15,5.5,5.15,5.5,900,0.0,1.0
2000-11-13,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-14,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-15,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-16,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-17,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-20,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-11-21,5.5,5.5,5.5,5.5,0,0.0,1.0
2001-12-31,13.5,13.65,13.05,13.1,4500,0.0,1.0
2002-01-01,13.7,13.7,13.25,13.6,2700,0.0,1.0
2002-01-02,13,13.5,13,13.2,3300,0.0,1.0
2002-01-03,13.85,13.85,13.25,13.3,3600,0.0,1.0
2002-01-04,13.7,13.9,13.55,13.6,89400,0.0,1.0
2002-01-07,13.8,14,13.6,13.65,5900,0.0,1.0
2002-01-08,13.6,13.8,13.2,13.25,2100,0.0,1.0
2002-01-09,13.7,13.9,13.25,13.5,4700,0.0,1.0
2002-01-10,13.5,13.9,13.5,13.6,2700,0.0,1.0
2002-01-11,13.6,13.6,13.6,13.6,400,0.0,1.0
2002-01-14,12.75,13.9,12.75,13.55,1100,0.0,1.0
2002-01-15,12.85,14.45,12.85,13.7,1000,0.0,1.0
2002-01-16,13.7,13.7,13.3,13.7,1500,0.0,1.0
2002-01-17,12.9,16.25,12.9,13.7,1000,0.0,1.0
2002-01-18,13,13.5,13,13,1200,0.0,1.0
2002-01-21,13,13.5,13,13.5,5900,0.0,1.0
2002-01-22,12.55,13.2,12.55,13.2,200,0.0,1.0
2002-01-23,12.25,12.9,11.9,12.7,5400,0.0,1.0
2002-01-24,12,12.5,12,12.5,200,0.0,1.0
2002-01-25,12.4,12.5,12.4,12.5,600,0.0,1.0
2002-01-28,11.4,12.7,11.4,12.7,1100,0.0,1.0
2002-01-29,12.6,12.75,12.5,12.75,2900,0.0,1.0
2002-01-30,12.1,12.1,12,12,1000,0.0,1.0
2002-01-31,12,12,12,12,200,0.0,1.0
2002-02-01,11.9,12,11.55,11.75,1200,0.0,1.0
2002-02-04,12.5,12.5,12.5,12.5,500,0.0,1.0
2002-02-05,12.25,12.5,12.25,12.5,1200,0.0,1.0
2002-02-06,12.55,12.7,12.55,12.6,1400,0.0,1.0
2002-02-07,13.85,13.85,12.25,12.4,2000,0.0,1.0
2002-02-08,11.8,12.5,11.35,12.4,3900,0.0,1.0
2002-02-11,11.75,12.75,11,11.75,2700,0.0,1.0
2002-02-12,12,12.4,11.25,11.55,49500,0.0,1.0
2002-02-13,11.3,12.25,11.3,11.85,2300,0.0,1.0
2002-02-14,11.8,12,11.8,12,1200,0.0,1.0
2002-02-15,12,12.6,11.75,11.8,4300,0.0,1.0
2002-02-18,11.5,11.5,10.5,11,800,0.0,1.0
2002-02-19,10.05,10.05,9.75,9.75,14000,0.0,1.0
2002-02-20,10.2,10.25,9.9,10.25,2300,0.0,1.0
2002-02-21,9.45,9.8,9.45,9.8,400,0.0,1.0
2002-02-22,9.55,9.7,9.55,9.7,200,0.0,1.0
2002-02-25,10.25,11.5,10.25,10.9,1700,0.0,1.0
2002-02-26,10.1,11.25,9.5,10.65,6600,0.0,1.0
2002-02-27,10.25,11.55,10.2,11,1400,0.0,1.0
2002-02-28,10.1,11.5,10,11.5,500,0.0,1.0
2002-03-01,12.9,13,12.9,12.95,800,0.0,1.0
2002-03-04,11.35,11.35,11.3,11.3,100,0.0,1.0
2002-03-05,9.9,11.45,9.9,11,1600,0.0,1.0
2002-03-06,11,11,11,11,300,0.0,1.0
2002-03-07,11.5,11.9,11.5,11.9,200,0.0,1.0
2002-03-08,10.4,11.05,10.4,11.05,1200,0.0,1.0
2002-03-11,11,11,10.5,10.5,300,0.0,1.0
2002-03-12,10.55,10.75,10.55,10.6,300,0.0,1.0
2002-03-13,10.25,10.25,10.25,10.25,1000,0.0,1.0
2002-03-14,10.6,11.35,10,10.2,2900,0.0,1.0
2002-03-15,10,11,10,11,2200,0.0,1.0
2002-03-18,11,11,10.9,10.9,200,0.0,1.0
2002-03-19,10.5,10.9,10.5,10.9,2000,0.0,1.0
2002-03-20,10.5,10.5,10.25,10.3,19600,0.0,1.0
2002-03-21,10.9,10.9,10.55,10.55,200,0.0,1.0
2002-03-22,11.75,11.75,11.75,11.75,10,0.0,1.0
2002-03-26,10.05,10.5,10,10.5,600,0.0,1.0
2002-03-27,9.8,10,9.8,10,800,0.0,1.0
2002-04-01,10,10,10,10,400,0.0,1.0
2002-04-02,10.9,10.9,10.9,10.9,1,0.0,1.0
2002-04-03,9.4,10.5,9.4,10.5,300,0.0,1.0
2002-04-04,9.65,11,9.65,10.35,1700,0.0,1.0
