date,open,high,low,close,volume,dividend,split
2017-08-10,875,878,749,756.700012,1319728,0.0,1.0
2017-08-11,749,790.150024,708,770.400024,216412,0.0,1.0
2017-08-14,790,812,782.799988,803.75,124812,0.0,1.0
2017-08-16,790,815,790,810.099976,72771,0.0,1.0
2017-08-17,814.900024,827,810.25,812.900024,288417,0.0,1.0
2017-08-18,812.75,812.75,780,789.950012,27767,0.0,1.0
2017-08-21,790,794.650024,764.950012,769.700012,17100,0.0,1.0
2017-08-22,763.200012,790,756.5,762.299988,18424,0.0,1.0
2017-08-23,764.200012,782.799988,764,773.75,13352,0.0,1.0
2017-08-24,771.549988,781.950012,761.299988,766.5,8803,0.0,1.0
2017-08-28,756,778.349976,756,772.75,9595,0.0,1.0
2017-08-29,770.049988,776.75,752,758,6808,0.0,1.0
2017-08-30,765,779.799988,765,775.5,10774,0.0,1.0
2017-08-31,778,785.900024,770,777.900024,4280,0.0,1.0
2017-09-01,778.900024,783.75,772.400024,776.650024,5039,0.0,1.0
2017-09-04,776.75,787.5,774.900024,780.5,5466,0.0,1.0
2017-09-05,779.5,786.799988,770.049988,773.049988,1825,0.0,1.0
2017-09-06,766.650024,782.849976,766.400024,772.849976,4481,0.0,1.0
2017-09-07,778.900024,780,773,773.700012,2236,0.0,1.0
2017-09-08,777.200012,800,773.099976,790.200012,13332,0.0,1.0
2017-09-11,789.900024,817,782.099976,799.049988,18208,0.0,1.0
2017-09-12,804,807.549988,781.049988,786.349976,4324,0.0,1.0
2017-09-13,786.950012,786.950012,775.049988,779.950012,1782,0.0,1.0
2017-09-14,777,784.599976,766,770.650024,2437,0.0,1.0
2017-09-15,765,785,765,782.099976,4641,0.0,1.0
2017-09-18,787,797,782.099976,791.299988,7967,0.0,1.0
2017-09-19,790,790,775.549988,779.049988,3072,0.0,1.0
2017-09-20,786.400024,799.5,766.049988,767.299988,1351,0.0,1.0
2017-09-21,770,780,768.299988,777.75,1690,0.0,1.0
2017-09-22,771.099976,775,765,766.5,1595,0.0,1.0
2017-09-25,765.099976,800,754.5,781.25,2241,0.0,1.0
2017-09-26,778,778.5,725,763.200012,2455,0.0,1.0
2017-09-27,770,780,767,777.099976,3388,0.0,1.0
2017-09-28,776.049988,793.950012,770.099976,791.200012,2614,0.0,1.0
2017-09-29,790,805,788.099976,799.299988,4194,0.0,1.0
2017-10-03,800,800,775.450012,781.150024,2545,0.0,1.0
2017-10-04,779.400024,780.349976,772.150024,773.25,703,0.0,1.0
2017-10-05,771,784.5,770.150024,771.599976,1297,0.0,1.0
2017-10-06,765,784.900024,762,767,1534,0.0,1.0
2017-10-09,772.5,774.799988,770.099976,772,520,0.0,1.0
