date,open,high,low,close,volume,dividend,split
2017-12-06,25.700001,26,25.5,25.6,12600,0.0,1.0
2018-03-14,15,15.25,14.5,15,24887,0.0,1.0
2018-03-15,15,15.7,15,15.45,436158,0.0,1.0
2018-03-16,15.3,15.55,15,15.3,26814,0.0,1.0
2018-03-19,15.8,15.8,14.8,14.95,29292,0.0,1.0
2018-03-20,14.55,14.9,14.5,14.6,9202,0.0,1.0
2018-03-21,15,16.1,14.8,15.55,27787,0.0,1.0
2018-03-22,15.6,16,15.5,15.65,16870,0.0,1.0
2018-03-23,15.35,16.5,15.2,16.1,21184,0.0,1.0
2018-03-26,16.450001,16.450001,14.95,15.3,36037,0.0,1.0
2018-03-27,15.8,15.9,15.4,15.5,18476,0.0,1.0
2018-03-28,15.95,15.95,14.75,15,188310,0.0,1.0
2018-04-02,15,16.6,15,15.6,19669,0.0,1.0
2018-04-03,15.7,16.049999,15.45,15.9,8668,0.0,1.0
2018-04-04,15.85,16.25,15.75,16,14433,0.0,1.0
2018-04-05,16.200001,16.200001,15.85,16.200001,7840,0.0,1.0
2018-04-06,15.9,16,15.9,15.95,3391,0.0,1.0
2018-04-09,15.95,16.25,15.85,16.049999,19066,0.0,1.0
2018-04-10,16.15,16.5,15.85,15.95,31219,0.0,1.0
2018-04-11,16.450001,16.450001,15.7,16.1,6624,0.0,1.0
2018-04-12,16.200001,16.299999,15.75,15.9,24267,0.0,1.0
2018-04-13,16.049999,16.6,16,16.200001,30370,0.0,1.0
2018-04-16,16.200001,16.200001,15.9,15.95,3660,0.0,1.0
2018-04-17,15.75,16.299999,15.75,16.15,4781,0.0,1.0
2018-04-18,16.450001,16.450001,15.7,15.95,1246,0.0,1.0
2018-04-19,15.7,15.95,15.7,15.9,6272,0.0,1.0
2018-04-20,16.1,16.1,15.75,15.95,6452,0.0,1.0
2018-04-23,15.8,16.1,15.7,15.95,4353,0.0,1.0
2018-04-24,16,16,15.8,15.95,2671,0.0,1.0
2018-04-25,15.8,15.95,15.7,15.85,4988,0.0,1.0
2018-04-26,15.95,15.95,15.75,15.75,5237,0.0,1.0
2018-04-27,16,17.4,15.7,16.700001,33783,0.0,1.0
2018-04-30,16.9,17,16.799999,17,6327,0.0,1.0
2018-05-02,17,17.1,16.700001,16.799999,5746,0.0,1.0
2018-05-03,16.450001,17,16.049999,17,3976,0.0,1.0
2018-05-04,16.450001,16.950001,16.200001,16.700001,3915,0.0,1.0
2018-05-07,16.950001,17.200001,15.7,16.200001,306498,0.0,1.0
2018-05-08,16.200001,16.75,16,16.450001,5411,0.0,1.0
2018-05-09,16.549999,17.200001,16.549999,16.9,9875,0.0,1.0
2018-05-10,16.799999,17,16.549999,16.9,6389,0.0,1.0
2018-05-11,16.85,17.15,16.4,16.6,5341,0.0,1.0
2018-05-14,16.700001,17,16,16.450001,12859,0.0,1.0
2018-05-15,16.700001,17,16.4,16.5,5523,0.0,1.0
2018-05-16,16.299999,16.299999,15.2,15.45,6781,0.0,1.0
2018-05-17,15.85,15.85,15,15,11081,0.0,1.0
2018-05-18,15.5,15.9,14.65,14.8,6912,0.0,1.0
2018-05-21,14.5,14.7,13.8,14,7466,0.0,1.0
2018-05-22,14,14.45,13.85,14,23573,0.0,1.0
2018-05-23,14,14,13.4,13.55,4666,0.0,1.0
2018-05-24,13.45,13.95,13.25,13.85,11725,0.0,1.0
2018-05-25,14,14.05,11.65,13.35,22785,0.0,1.0
2018-05-28,13.05,13.5,13,13.35,5980,0.0,1.0
2018-05-29,13.35,13.35,12.9,13.05,17164,0.0,1.0
2018-05-30,12.7,12.7,11.85,12.3,34219,0.0,1.0
2018-05-31,12.65,12.9,11.25,11.4,38574,0.0,1.0
2018-06-01,11.13,11.6,10.6,11.08,28021,0.0,1.0
2018-06-04,11.3,11.5,11,11.29,9178,0.0,1.0
2018-06-05,11.25,11.4,10.42,11.21,22504,0.0,1.0
2018-06-06,11.01,12.1,11.01,11.9,2036114,0.0,1.0
2018-06-07,11.6,12.3,10.6,11.72,16128,0.0,1.0
2018-06-08,12,12.53,11.71,12.36,18531,0.0,1.0
2018-06-11,12.46,13.35,12.45,13.29,5514,0.0,1.0
2018-06-12,13.02,14.27,13.02,13.94,11076,0.0,1.0
2018-06-13,14,15,14,14.67,1926031,0.0,1.0
2018-06-14,15.59,15.74,15.15,15.47,20326,0.0,1.0
2018-06-15,15.55,15.8,15.19,15.48,7480,0.0,1.0
2018-06-18,15.48,15.48,14.37,14.73,9292,0.0,1.0
2018-06-19,14.82,14.82,14.16,14.25,9028,0.0,1.0
2018-06-20,14.8,14.84,14.19,14.49,4173,0.0,1.0
2018-06-21,14.14,14.7,13.81,14.53,2538,0.0,1.0
2018-06-22,14.45,14.5,14.07,14.48,3416,0.0,1.0
2018-06-25,14.8,14.8,14.24,14.24,4735,0.0,1.0
2018-06-26,14.15,14.25,13.78,14.03,4022,0.0,1.0
2018-06-27,13.96,15.65,13.61,14.1,15137,0.0,1.0
2018-06-28,14.11,14.11,13.7,13.74,2180,0.0,1.0
2018-06-29,13.95,14.09,13.8,13.95,3274,0.0,1.0
2018-07-02,14,14,13.61,13.9,4094,0.0,1.0
2018-07-03,13.65,13.65,13.2,13.48,8176,0.0,1.0
2018-07-04,13.3,14.25,13.3,13.75,1932450,0.0,1.0
2018-07-05,13.35,14.06,13,13.37,9530,0.0,1.0
2018-07-06,12.84,12.99,12.66,12.7,8982,0.0,1.0
2018-07-09,12.87,12.87,12.21,12.36,8748,0.0,1.0
2018-07-10,12.31,12.5,12.13,12.26,3454,0.0,1.0
2018-07-11,12.1,12.7,12.06,12.16,5597,0.0,1.0
2018-07-12,12.58,12.58,12.01,12.03,3281,0.0,1.0
2018-07-13,12.82,12.82,11.3,11.49,15715,0.0,1.0
2018-07-16,11.45,11.48,10.66,10.79,4963,0.0,1.0
2018-07-17,11.01,11.3,10.8,10.92,7074,0.0,1.0
