date,open,high,low,close,volume,dividend,split
2014-07-18,35,36.75,35,36.75,151827,0.0,1.0
2014-07-21,38.549999,38.549999,38.549999,38.549999,22052,0.0,1.0
2014-07-22,40.450001,40.450001,36.700001,36.950001,2925,0.0,1.0
2014-07-23,37,38,37,38,1592,0.0,1.0
2014-07-24,39.5,39.5,38,39,2670,0.0,1.0
2014-07-25,40.700001,40.700001,39.849998,39.849998,625,0.0,1.0
2014-07-28,41.700001,41.700001,38.5,40.950001,795,0.0,1.0
2014-07-30,42,42.950001,42,42.950001,25315,0.0,1.0
2014-07-31,41.5,41.5,40.849998,41.450001,6650,0.0,1.0
2014-08-01,41.450001,41.450001,41.450001,41.450001,0,0.0,1.0
2014-08-04,40,44,40,42.950001,6353,0.0,1.0
2014-08-05,39,39,37.5,38.650002,1540,0.0,1.0
2014-08-06,38.650002,38.650002,38.650002,38.650002,0,0.0,1.0
2014-08-07,46,46.349998,40.599998,41.299999,55685,0.0,1.0
2014-08-08,40.099998,43.700001,39,39,4254,0.0,1.0
2014-08-11,39,43.25,38.099998,38.450001,8806,0.0,1.0
2014-08-12,41,42.799999,36,36.099998,13022,0.0,1.0
2014-08-13,36,41,32,37.849998,3856,0.0,1.0
2014-08-14,37,40.950001,35.099998,37.25,5938,0.0,1.0
2014-08-18,37.5,37.5,34,36.349998,1919,0.0,1.0
2014-08-19,43,43,35.049999,35.049999,1392,0.0,1.0
2014-08-20,38,38,36,36.75,966,0.0,1.0
2014-08-21,37,38,35.200001,35.25,3013,0.0,1.0
2014-08-22,35.25,37,35.25,36,1700,0.0,1.0
2014-08-25,35.5,35.950001,33.5,34.049999,2775,0.0,1.0
2014-08-26,34.049999,39.700001,34.049999,37.200001,10802,0.0,1.0
2014-08-27,41,41.5,36.25,37.299999,14478,0.0,1.0
2014-08-28,40.950001,40.950001,37.549999,39.5,2710,0.0,1.0
2014-09-01,45,46,37.599998,39.75,5573,0.0,1.0
2014-09-02,43.599998,43.599998,39.950001,41,54102,0.0,1.0
2014-09-03,40.549999,42.950001,37.150002,38.349998,6654,0.0,1.0
2014-09-04,39.099998,39.099998,38,39.099998,1325,0.0,1.0
2014-09-05,39.5,39.5,39.5,39.5,1013,0.0,1.0
2014-09-08,46,46,37.650002,38.200001,1048,0.0,1.0
2014-09-09,41.950001,41.950001,38.25,39.299999,2540,0.0,1.0
2014-09-10,41.950001,47.150002,40.549999,41.299999,67820,0.0,1.0
2014-09-11,44.400002,44.400002,39,39.799999,24631,0.0,1.0
2014-09-12,40.950001,41.299999,38,39.5,16926,0.0,1.0
2014-09-15,47,47.400002,41.75,47.400002,2227417,0.0,1.0
2014-09-16,56.849998,56.849998,56.849998,56.849998,322804,0.0,1.0
2014-09-17,62.5,62.5,62.5,62.5,7210,0.15626,1.0
2014-09-18,68.75,68.75,68.75,68.75,3125,0.0,1.0
2014-09-19,75.599998,75.599998,75.599998,75.599998,7180,0.0,1.0
2014-09-22,79.349998,79.349998,75.599998,79.349998,93128,0.0,1.0
2014-09-23,83.300003,83.300003,83.300003,83.300003,15885,0.0,1.0
2014-09-24,87.449997,87.449997,80.150002,87.349998,375965,0.0,1.0
2014-09-25,89.900002,91.699997,83,88.75,159364,0.0,1.0
2014-09-26,85,93.150002,84.349998,93.099998,154277,0.0,1.0
2014-09-29,97,97.75,93,97.75,55719,0.0,1.0
2014-09-30,102.300003,102.599998,95.099998,98.099998,111217,0.0,1.0
2014-10-01,96.199997,103,94.099998,102.949997,141216,0.0,1.0
2014-10-07,105,108,103,105.199997,39597,0.0,1.0
2014-10-08,106.5,106.5,99.949997,102.449997,22322,0.0,1.0
2014-10-09,101,107.550003,101,107.300003,104819,0.0,1.0
2014-10-10,106,109.650002,103,108.099998,35466,0.0,1.0
2014-10-13,107,110.25,105.099998,109.199997,32089,0.0,1.0
