date,open,high,low,close,volume,dividend,split
2016-08-12,305,305,289.75,295,619737,0.0,1.0
2016-08-16,290,294,280.25,284.950012,154426,0.0,1.0
2016-08-17,276,294,276,290.649994,73184,0.0,1.0
2016-08-18,290,305.149994,289,304.700012,130912,0.0,1.0
2016-08-19,304.700012,313.5,298.100006,299.549988,67970,0.0,1.0
2016-08-22,302.5,302.649994,292,292.25,45697,0.0,1.0
2016-08-23,290,300,288.049988,295.450012,16783,0.0,1.0
2016-08-24,291,309,291,307.75,45571,0.0,1.0
2016-08-25,323.100006,323.100006,323.100006,323.100006,9802,0.0,1.0
2016-08-26,339.25,339.25,332.200012,339.25,135210,0.0,1.0
2016-08-29,348,352.5,323,329.799988,147581,0.0,1.0
2016-08-30,334.399994,345,332.600006,335.649994,85148,0.0,1.0
2016-08-31,338.850006,340.049988,323.549988,324.799988,31007,0.0,1.0
2016-09-01,326,335,321.299988,323.450012,38177,0.0,1.0
2016-09-02,326.600006,340,326.549988,337.5,82482,0.0,1.0
2016-09-06,342,342,332.799988,334.100006,24471,0.0,1.0
2016-09-07,337.5,351,333,348.75,73639,0.0,1.0
2016-09-08,349.149994,359.950012,345.049988,349.299988,81722,0.0,1.0
2016-09-09,349,349,335,341.450012,31368,0.0,1.0
2016-09-12,333.5,334.25,324.5,325.700012,159332,0.0,1.0
2016-09-14,327.5,334,327.25,331,90615,0.0,1.0
2016-09-15,332.5,342.700012,332.350006,334.950012,27410,0.0,1.0
2016-09-16,338,341,329.950012,332.350006,25642,0.0,1.0
2016-09-19,334.950012,352.700012,333.149994,344.049988,69934,0.0,1.0
2016-09-20,344.950012,358.399994,335,351.450012,65803,0.0,1.0
2016-09-21,356.399994,360,347.799988,351.950012,36647,0.0,1.0
2016-09-22,354.5,358.75,346.200012,349.549988,30805,0.0,1.0
2016-09-23,350,356.799988,347.049988,349.75,31055,0.0,1.0
2016-09-26,350.049988,352.950012,341.5,348.399994,19024,0.0,1.0
2016-09-27,348.549988,355,343.649994,346.350006,18067,0.0,1.0
2016-09-28,347.5,350,345.5,346.100006,4836,0.0,1.0
2016-09-29,346.5,349.149994,321,328.350006,41789,0.0,1.0
2016-09-30,327.049988,339,327,336.5,9321,0.0,1.0
2016-10-03,341.5,358,340,353.950012,46706,0.0,1.0
2016-10-04,353.950012,360,348,350.399994,12485,0.0,1.0
2016-10-05,353.5,353.5,342.549988,344.850006,6050,0.0,1.0
2016-10-06,347.75,354.799988,338,342.100006,12238,0.0,1.0
2016-10-07,344.399994,345.450012,335.649994,336,6232,0.0,1.0
2016-10-10,339.399994,343,331.399994,333.5,8995,0.0,1.0
2016-10-13,330.299988,333,322.200012,324.100006,15204,0.0,1.0
2016-10-14,327,336,325.100006,329.799988,17948,0.0,1.0
2016-10-17,330,330,320,320.799988,10030,0.0,1.0
2016-10-18,325.899994,339,323,337.5,37015,0.0,1.0
2016-10-19,335.5,345.75,334.350006,340.049988,12203,0.0,1.0
2016-10-20,341.149994,344,338,339.850006,4474,0.0,1.0
2016-10-21,341.5,347.299988,335,338.200012,7512,0.0,1.0
2016-10-24,339.049988,342.25,337,340.549988,2273,0.0,1.0
2016-10-25,337.299988,345,337.100006,339,9107,0.0,1.0
2016-10-26,340.700012,346.049988,337.100006,339.799988,8979,0.0,1.0
