date,open,high,low,close,volume,dividend,split
2009-10-26,100,170,100,164.300003,17924800,0.0,1.0
2009-10-27,163.699997,197.149994,160.100006,195.899994,12135600,0.0,1.0
2009-10-28,200,216,181.5,212.050003,13579089,0.0,1.0
2009-10-29,210,223.399994,200,220.5,7391343,0.0,1.0
2009-10-30,225,231.399994,221,226.699997,3808771,0.0,1.0
2009-11-03,224.800003,229.850006,200,227.100006,4644827,0.0,1.0
2009-11-04,227,248,218.699997,235.300003,5436652,0.0,1.0
2009-11-05,233,244.199997,207.300003,215.949997,6469229,0.0,1.0
2009-11-06,209.050003,221.399994,205,215.75,2785316,0.0,1.0
2009-11-09,216,231.399994,213,229.899994,2069267,0.0,1.0
2009-11-10,234,244.350006,231,242.149994,2230789,0.0,1.0
2009-11-11,243,258.549988,242.100006,254.199997,2212641,0.0,1.0
2009-11-12,280,280,243.25,250.050003,2958785,0.0,1.0
2009-11-13,254,265,245.100006,253.649994,1482482,0.0,1.0
2009-11-16,255.100006,261.899994,255.100006,259.700012,911202,0.0,1.0
2009-11-17,268.100006,268.899994,255,259.75,568065,0.0,1.0
2009-11-18,263.700012,263.700012,247.199997,254.75,945521,0.0,1.0
2009-11-19,254,265.25,254,263.25,1077123,0.0,1.0
2009-11-20,264,293.399994,262.100006,279.950012,3341782,0.0,1.0
2009-11-23,283.799988,296.5,280,293.850006,1718631,0.0,1.0
2009-11-24,295,305.600006,293.100006,298.100006,1418346,0.0,1.0
2009-11-25,299,302.899994,293,294.850006,564428,0.0,1.0
2009-11-26,294.850006,304.649994,291,303.100006,855010,0.0,1.0
2009-11-27,301.399994,320.600006,298,319.200012,2330553,0.0,1.0
2009-11-30,320.5,335.399994,298.100006,302.25,3654941,0.0,1.0
2009-12-01,303.549988,309.799988,288.049988,290.049988,1939851,0.0,1.0
2009-12-02,288.100006,302.799988,280.549988,300.5,2198849,0.0,1.0
2009-12-03,303.149994,309.799988,301,303.25,1231556,0.0,1.0
2009-12-04,305,310.899994,301.049988,302.549988,911464,0.0,1.0
2009-12-07,305.100006,312.299988,256.600006,260.049988,3583037,0.0,1.0
2009-12-08,264.399994,266,239.100006,260.200012,3169690,0.0,1.0
2009-12-09,259.799988,268,254.100006,263.299988,1492506,0.0,1.0
2009-12-10,265.100006,267.399994,258.75,265.799988,848537,0.0,1.0
2009-12-11,268.799988,275,258.100006,261.200012,429686,0.0,1.0
2009-12-14,263,282,253,279.049988,2040463,0.0,1.0
2009-12-15,279,296.5,275,285.25,2399741,0.0,1.0
2009-12-16,285.049988,295.799988,285.049988,291.600006,1292122,0.0,1.0
2009-12-17,293,303,291.299988,294.200012,676704,0.0,1.0
2009-12-18,297.799988,299.899994,290.100006,292.049988,356705,0.0,1.0
2009-12-21,294,295.899994,286.899994,293.25,384518,0.0,1.0
2009-12-22,294.899994,303.700012,294,298.899994,672839,0.0,1.0
2009-12-23,301,314.899994,298,306.149994,1494837,0.0,1.0
2009-12-24,308.899994,313,308.899994,309.75,83400,0.0,1.0
2009-12-29,309,316,302.600006,304.5,1033826,0.0,1.0
2009-12-30,306.799988,332.399994,304.899994,329.200012,2088197,0.0,1.0
2009-12-31,339,339.399994,322.299988,324.549988,1146777,0.0,1.0
2010-01-04,328.799988,351.5,321.049988,349.25,2137901,0.0,1.0
2010-01-05,350.100006,369.25,350.100006,353.100006,1812370,0.0,1.0
2010-01-06,355.899994,360.200012,346,349.450012,831878,0.0,1.0
2010-01-07,351,355.399994,345.100006,348.399994,390359,0.0,1.0
2010-01-08,350.799988,363.899994,346,362.149994,1242701,0.0,1.0
2010-01-11,365,411.399994,363.049988,407.200012,4453071,0.0,1.0
2010-01-12,410,423.799988,393.299988,420.850006,4336620,0.0,1.0
2010-01-13,409.100006,426.799988,406.25,409.450012,1678957,0.0,1.0
2010-01-14,412.149994,424,404.899994,421.600006,1261066,0.0,1.0
2010-01-15,424.549988,447,421.399994,440.149994,2009349,0.0,1.0
2010-01-18,440,455.899994,427.149994,429.549988,1847524,0.0,1.0
2010-01-19,432.149994,442.899994,414.049988,439.5,2151697,0.0,1.0
2010-01-20,444,469.950012,442.299988,467.200012,2674631,0.0,1.0
2010-01-21,474.799988,474.799988,443.350006,462.799988,1390670,0.0,1.0
2010-01-22,373.799988,477.799988,373.799988,461.75,1529249,0.0,1.0
2010-01-25,460,487.899994,456,483.25,1716748,0.0,1.0
2010-01-27,484,491,448.049988,459.049988,1200103,0.0,1.0
2010-01-28,465,478.799988,450.299988,461.299988,1077473,0.0,1.0
2010-01-29,461,464.700012,433,443.5,805161,0.0,1.0
2010-02-01,440,483.549988,438.049988,458.899994,1582801,0.0,1.0
2010-02-02,464.950012,481.299988,464,477.649994,1279579,0.0,1.0
2010-02-03,484,486,471.100006,481,706441,0.0,1.0
2010-02-04,482,501.700012,478,486,1697396,0.0,1.0
2010-02-05,478,478.700012,456.649994,463.25,799900,0.0,1.0
2010-02-08,472,507,464,502.5,1389300,0.0,1.0
2010-02-09,505,522.700012,502,508.350006,1670900,0.0,1.0
2010-02-10,512.900024,540.400024,511.049988,527.599976,1871800,0.0,1.0
2010-02-11,533.200012,544,510,513.950012,1988800,0.0,1.0
2010-02-15,519,521.900024,490.100006,496.100006,953300,0.0,1.0
2010-02-16,497.700012,500,396.899994,396.899994,1154500,0.0,1.0
2010-02-17,321.149994,330.100006,317.549988,317.549988,47800,0.0,1.0
2010-02-18,285.799988,285.799988,285.799988,285.799988,55976,0.0,1.0
2010-02-19,271.549988,271.549988,271.549988,271.549988,5730,0.0,1.0
2010-02-22,258.100006,284,258,258,171800,0.0,1.0
2010-02-23,245.199997,245.199997,245.149994,245.149994,12200,0.0,1.0
2010-02-24,232.899994,232.899994,232.899994,232.899994,2569,0.0,1.0
2010-02-25,221.300003,244.5,221.300003,244.149994,118700,0.0,1.0
2010-02-26,244,256.350006,235,256.350006,59100,0.0,1.0
2010-03-02,266,269.149994,265,269.100006,79500,0.0,1.0
2010-03-03,276.700012,280,259,266.149994,88400,0.0,1.0
2010-03-04,267,269.899994,253.5,254.800003,33000,0.0,1.0
2010-03-05,263.700012,263.700012,245.100006,250.75,38900,0.0,1.0
2010-03-08,255,258.950012,246,247.399994,20200,0.0,1.0
2010-03-09,247.5,250.899994,235.649994,237.25,28900,0.0,1.0
2010-03-10,240,240,227,228.75,24800,0.0,1.0
2010-03-11,233.5,233.5,220,221.899994,54500,0.0,1.0
2010-03-12,221,221,210.850006,210.949997,37400,0.0,1.0
2010-03-15,219,219,200.449997,200.449997,22700,0.0,1.0
2010-03-16,198,201.100006,190.449997,190.449997,10300,0.0,1.0
2010-03-17,181.649994,199.949997,180.949997,199.949997,23400,0.0,1.0
2010-03-18,209,209.899994,202,209.600006,99500,0.0,1.0
2010-03-19,214.899994,220.050003,212,220.050003,143500,0.0,1.0
2010-03-22,220,231,211,222.5,93700,0.0,1.0
2010-03-23,225.050003,231,211.5,214.149994,23800,0.0,1.0
2010-03-25,215.050003,215.199997,204,205.899994,16300,0.0,1.0
2010-03-26,210,210,198.25,201.300003,25600,0.0,1.0
2010-03-29,205,207,191.25,191.699997,48000,0.0,1.0
2010-03-30,191.050003,198.800003,190.149994,195.399994,31600,0.0,1.0
2010-03-31,196,198.75,187,187.800003,28947,0.0,1.0
2010-04-01,190,195,189,192.600006,17552,0.0,1.0
2010-04-05,196,197,190,192.949997,11833,0.0,1.0
2010-04-06,192.75,196,191.050003,193.199997,8258,0.0,1.0
2010-04-07,196.949997,196.949997,190.5,191.800003,7055,0.0,1.0
2010-04-08,192.449997,197.899994,188.5,192.600006,12377,0.69337,1.0
2010-04-09,196,200,190.25,191.149994,14369,0.0,1.0
2010-04-12,191,193,186,190,9052,0.0,1.0
2010-04-13,192.699997,192.75,188.100006,189.350006,7434,0.0,1.0
2010-04-15,189,192,183.050003,185.050003,14083,0.0,1.0
2010-04-16,184,189,180.100006,182,6944,0.0,1.0
2010-04-19,181,183,173.100006,175.199997,12086,0.0,1.0
2010-04-20,175.100006,176.199997,170.199997,171.600006,8056,0.0,1.0
2010-04-21,171,174.800003,170.050003,172.5,5950,0.0,1.0
2010-04-22,173,175,170.050003,173.949997,7745,0.0,1.0
2010-04-23,170.100006,173,168,169.449997,55982,0.0,1.0
2010-04-26,165.100006,172,165,165.800003,40110,0.0,1.0
2010-04-27,167.899994,167.899994,160,160.800003,13732,0.0,1.0
2010-04-28,158,160,154,154.899994,14403,0.0,1.0
2010-04-29,159,159.199997,154.550003,156.800003,7882,0.0,1.0
2010-04-30,159.949997,161.5,155.199997,156.350006,10913,0.0,1.0
2010-05-03,155,160,151,153.399994,6969,0.0,1.0
2010-05-04,156.300003,156.300003,146.5,148.050003,13914,0.0,1.0
2010-05-05,142,147,140.649994,144,13398,0.0,1.0
2010-05-06,143,143.949997,140,141.5,7511,0.0,1.0
2010-05-07,137,142,134.600006,135.100006,7406,0.0,1.0
2010-05-10,132.5,141.850006,128.5,141.850006,9892,0.0,1.0
2010-05-11,144.949997,148.899994,143.5,148.899994,3588,0.0,1.0
2010-05-12,156.300003,156.300003,156.300003,156.300003,2864,0.0,1.0
2010-05-13,164.100006,164.100006,164.100006,164.100006,4916,0.0,1.0
2010-05-14,172.300003,172.300003,158,159.699997,49091,0.0,1.0
2010-05-17,151.75,158.649994,151.75,153.850006,11548,0.0,1.0
2010-05-18,157,159,150.5,152.5,7827,0.0,1.0
2010-05-19,146.050003,154.850006,145.5,147.449997,8152,0.0,1.0
