date,open,high,low,close,volume,dividend,split
2000-01-03,9.97222,10.5556,9.97222,10.5556,10620,0.0,1.0
2000-01-04,10.8333,10.8333,9.02778,9.63889,6840,0.0,1.0
2000-01-05,10.5556,10.5556,9.16667,9.16667,8640,0.0,1.0
2000-01-06,8.61111,9.33333,8.33333,8.61111,6660,0.0,1.0
2000-01-07,7.77778,8.80556,7.77778,8.41667,8280,0.0,1.0
2000-01-10,8.44444,8.61111,8.16667,8.33333,1800,0.0,1.0
2000-01-11,8.33333,8.33333,7.77778,7.77778,1080,0.0,1.0
2000-01-12,7.22222,7.25,7.22222,7.25,2340,0.0,1.0
2000-01-13,7.30556,7.33333,7.19444,7.19444,12060,0.0,1.0
2000-01-14,6.80556,6.80556,6.80556,6.80556,900,0.0,1.0
2000-01-17,7.05556,7.22222,7.05556,7.22222,14400,0.0,1.0
2000-01-18,7.22222,7.22222,7.08333,7.22222,9720,0.0,1.0
2000-01-19,7.22222,7.5,7.22222,7.5,540,0.0,1.0
2000-01-20,7.38889,7.91667,7.38889,7.91667,3420,0.0,1.0
2000-01-21,8.05556,8.05556,7.36111,7.36111,4500,0.0,1.0
2000-01-24,7.75,7.77778,7.75,7.77778,360,0.0,1.0
2000-01-25,7.77778,7.77778,7.77778,7.77778,360,0.0,1.0
2000-01-26,7.77778,7.77778,7.77778,7.77778,0,0.0,1.0
2000-01-27,7.88889,8.38889,7.5,8.33333,2340,0.0,1.0
2000-01-28,7.77778,8.05556,7.77778,7.86111,4680,0.0,1.0
2000-01-31,8.05556,8.05556,8.05556,8.05556,900,0.0,1.0
2000-02-01,8.61111,8.61111,8.13889,8.47222,5940,0.0,1.0
2000-02-02,8.66667,9.11111,8.47222,9.11111,4680,0.0,1.0
2000-02-03,9.11111,9.11111,9.11111,9.11111,0,0.0,1.0
2000-02-04,8.77778,9.44444,8.75,9.16667,3420,0.0,1.0
2000-02-07,9.5,9.88889,9.47222,9.61111,8640,0.0,1.0
2000-02-08,10,10.3333,10,10,5580,0.0,1.0
2000-02-09,10.7778,10.7778,10,10,10980,0.0,1.0
2000-02-10,9.47222,10.7778,9.47222,10.4444,6840,0.0,1.0
2000-02-11,10.5556,10.5556,9.61111,9.61111,8280,0.0,1.0
2000-02-14,9.44444,9.72222,9.16667,9.16667,4320,0.0,1.0
2000-02-15,8.88889,8.88889,8.63889,8.63889,3060,0.0,1.0
2000-02-16,8.08333,8.33333,8.08333,8.11111,4140,0.0,1.0
2000-02-17,8.19444,8.33333,8.11111,8.33333,900,0.0,1.0
2000-02-18,8.88889,8.88889,8.61111,8.72222,1800,0.0,1.0
2000-02-21,8.88889,9.16667,8.88889,9.16667,2340,0.0,1.0
2000-02-22,9.16667,9.88889,9.16667,9.88889,6480,0.0,1.0
2000-02-23,10.6667,10.6667,10,10.6667,16740,0.0,1.0
2000-02-24,10.5556,11.5,10.2778,10.5556,12960,0.0,1.0
2000-02-25,10.1389,11.3889,10.1389,11.3889,8640,0.0,1.0
2000-02-28,11.9444,12.0278,11.7222,11.9167,14220,0.0,1.0
2000-02-29,12.0278,12.2222,11.25,11.25,5220,0.0,1.0
2000-03-01,10.8889,10.8889,10.8889,10.8889,180,0.0,1.0
2000-03-02,11.6667,11.6667,10.0556,10.0556,3600,0.0,1.0
2000-03-03,9.58333,9.97222,9.5,9.77778,3780,0.0,1.0
2000-03-06,9.58333,9.58333,9.44444,9.5,1080,0.0,1.0
2000-03-07,9.38889,9.72222,9.38889,9.38889,5580,0.0,1.0
2000-03-08,9.38889,10.1111,8.88889,8.88889,1080,0.0,1.0
2000-03-09,8.47222,8.88889,8.47222,8.47222,900,0.0,1.0
2000-03-10,7.91667,9.11111,7.91667,9.02778,1800,0.0,1.0
2000-03-13,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-14,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-15,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-16,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-17,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-20,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-21,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-22,9.02778,9.02778,9.02778,9.02778,0,0.0,1.0
2000-03-23,9.16667,9.16667,9.16667,9.16667,360,0.0,1.0
2000-03-24,9.16667,9.16667,9.16667,9.16667,0,0.0,1.0
2000-03-27,9.16667,9.16667,9.16667,9.16667,0,0.0,1.0
2000-03-28,8.44444,8.44444,8.44444,8.44444,1440,0.0,1.0
2000-03-29,8.44444,8.44444,8.44444,8.44444,0,0.0,1.0
2000-03-30,7.77778,7.77778,7.77778,7.77778,900,0.0,1.0
2000-03-31,7.22222,7.77778,7.22222,7.5,360,0.0,1.0
2000-04-03,7.5,7.5,7.5,7.5,0,0.0,1.0
2000-04-04,7.5,7.5,7.5,7.5,0,0.0,1.0
2000-04-05,6.94444,7.22222,6.94444,7.22222,540,0.0,1.0
2000-04-06,6.97222,6.97222,6.94444,6.94444,1080,0.0,1.0
2000-04-07,7.16667,7.41667,6.94444,7.41667,900,0.0,1.0
2000-04-10,7.36111,7.36111,7.13889,7.22222,3600,0.0,1.0
2000-04-11,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-04-12,7.19444,7.19444,7.19444,7.19444,1980,0.0,1.0
2000-04-13,7.25,7.63889,6.63889,6.66667,13860,0.0,1.0
2000-04-14,6.66667,6.66667,6.66667,6.66667,0,0.0,1.0
2000-04-17,6.66667,6.66667,6.66667,6.66667,0,0.0,1.0
2000-04-18,7.19444,7.19444,7.19444,7.19444,1800,0.0,1.0
2000-04-19,7.22222,7.22222,7.22222,7.22222,360,0.0,1.0
2000-04-20,7.22222,7.52778,7.22222,7.52778,720,0.0,1.0
2000-04-21,7.52778,7.52778,7.52778,7.52778,0,0.0,1.0
2000-04-24,7.52778,7.52778,7.52778,7.52778,0,0.51720,1.0
2000-04-25,7.22222,7.22222,7.22222,7.22222,360,0.0,1.0
2000-04-26,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-04-27,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-04-28,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-01,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-02,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-03,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-04,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-05,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-08,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-09,7.22222,7.22222,7.22222,7.22222,0,0.0,1.0
2000-05-10,6.80556,6.94444,6.52778,6.52778,1080,0.0,1.0
2000-05-11,6.44444,6.44444,6.44444,6.44444,180,0.0,1.0
2000-05-12,6.44444,6.44444,6.44444,6.44444,180,0.0,1.0
2000-05-15,6.44444,6.44444,6.44444,6.44444,0,0.0,1.0
2000-05-16,6.44444,6.44444,6.44444,6.44444,0,0.0,1.0
2000-05-17,6.44444,6.44444,6.44444,6.44444,0,0.0,1.0
2000-05-18,6.44444,6.44444,6.44444,6.44444,0,0.0,1.0
2000-05-19,5.97222,5.97222,5.97222,5.97222,900,0.0,1.0
2000-05-22,5.97222,5.97222,5.97222,5.97222,0,0.0,1.0
2000-05-23,5.83333,5.83333,5.5,5.5,720,0.0,1.0
2000-05-24,5.55556,5.55556,5.55556,5.55556,360,0.0,1.0
2000-05-25,4.44444,4.44444,4.44444,4.44444,180,0.0,1.0
2000-05-26,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-05-29,4.52778,4.52778,4.52778,4.52778,360,0.0,1.0
2000-05-30,4.58333,4.58333,4.58333,4.58333,180,0.0,1.0
2000-05-31,4.58333,4.58333,4.58333,4.58333,0,0.0,1.0
2000-06-01,5.22222,5.27778,5.22222,5.27778,360,0.0,1.0
2000-06-02,5.27778,5.27778,5.27778,5.27778,0,0.0,1.0
2000-06-05,5.27778,5.27778,5.27778,5.27778,0,0.0,1.0
2000-06-06,5.27778,5.27778,5.27778,5.27778,0,0.0,1.0
2000-06-07,5.27778,5.27778,5.27778,5.27778,1800,0.0,1.0
2000-06-08,5.27778,5.27778,5.27778,5.27778,0,0.0,1.0
2000-06-09,5.5,5.5,5.5,5.5,360,0.0,1.0
2000-06-12,5.27778,5.27778,5.27778,5.27778,720,0.0,1.0
2000-06-13,5.55556,5.55556,5.55556,5.55556,180,0.0,1.0
2000-06-14,5.55556,5.55556,5.55556,5.55556,0,0.0,1.0
2000-06-15,4.75,4.75,4.75,4.75,360,0.0,1.0
2000-06-16,4.80556,5,4.72222,5,7380,0.0,1.0
2000-06-19,5,5,5,5,0,0.0,1.0
2000-06-20,4.94444,5.55556,4.94444,5.55556,360,0.0,1.0
2000-06-21,4.47222,4.47222,4.47222,4.47222,180,0.0,1.0
2000-06-22,4.47222,4.47222,4.47222,4.47222,0,0.0,1.0
2000-06-23,4.61111,4.61111,4.58333,4.58333,1800,0.0,1.0
2000-06-26,4.58333,4.58333,4.58333,4.58333,0,0.0,1.0
2000-06-27,4.58333,4.58333,4.58333,4.58333,0,0.0,1.0
2000-06-28,4.58333,4.58333,4.58333,4.58333,0,0.0,1.0
2000-06-29,4.75,4.75,4.75,4.75,180,0.0,1.0
2000-06-30,4.75,4.75,4.75,4.75,0,0.0,1.0
2000-07-03,4.75,4.75,4.75,4.75,0,0.0,1.0
2000-07-04,4.75,4.75,4.75,4.75,0,0.0,1.0
2000-07-05,4.61111,4.61111,4.61111,4.61111,360,0.0,1.0
2000-07-06,4.61111,4.61111,4.61111,4.61111,0,0.0,1.0
2000-07-07,4.61111,4.61111,4.61111,4.61111,0,0.0,1.0
2000-07-10,4.61111,4.61111,4.61111,4.61111,0,0.0,1.0
2000-07-11,4.61111,4.61111,4.61111,4.61111,0,0.0,1.0
2000-07-12,4.58333,4.58333,4.44444,4.44444,3600,0.0,1.0
2000-07-13,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-14,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-17,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-18,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-19,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-20,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-21,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-24,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-25,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-26,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-27,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-28,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-07-31,4.44444,4.44444,4.44444,4.44444,0,0.0,1.0
2000-08-01,4.22222,5,4.22222,5,3060,0.0,1.0
2000-08-02,6.22222,6.22222,6.22222,6.22222,540,0.0,1.0
2000-08-03,6.63889,6.63889,6.61111,6.61111,900,0.0,1.0
2000-08-04,6.08333,6.08333,6.08333,6.08333,360,0.0,1.0
2000-08-07,6.08333,6.08333,6.08333,6.08333,0,0.0,1.0
2000-08-08,5.83333,5.83333,5.83333,5.83333,1080,0.0,1.0
2000-08-09,5.83333,5.83333,5.83333,5.83333,0,0.0,1.0
2000-08-10,5.83333,5.83333,5.83333,5.83333,0,0.0,1.0
