date,open,high,low,close,volume,dividend,split
2000-01-17,49,54.650002,49,54.650002,9350,0.0,1.0
2000-01-18,56.5,56.5,52.099998,54.799999,30235,0.0,1.0
2000-01-19,54.900002,54.900002,52.099998,52.950001,13750,0.0,1.0
2000-01-20,53.5,54.75,51.5,51.5,4250,0.0,1.0
2000-01-21,51,52,49,49.25,14503,0.0,1.0
2000-01-24,53,53.150002,50.5,50.599998,43350,0.0,1.0
2000-01-25,52.450001,54,49.5,50.549999,21548,0.0,1.0
2000-01-26,50.549999,50.549999,50.549999,50.549999,0,0.0,1.0
2000-01-27,51.900002,52,48.299999,49.150002,10613,0.0,1.0
2000-01-28,52,53,48.700001,48.950001,11990,0.0,1.0
2000-01-31,50,52.5,48.25,48.849998,20550,0.0,1.0
2000-02-01,50.900002,50.900002,48.5,49.75,16000,0.0,1.0
2000-02-02,50.950001,53,48.599998,49,15300,0.0,1.0
2000-02-03,49,49,49,49,0,0.0,1.0
2000-02-04,50.5,50.5,47,48.049999,12000,0.0,1.0
2000-02-07,51.599998,51.849998,45,51.75,10860,0.0,1.0
2000-02-08,52,52,50,50.5,17800,0.0,1.0
2000-02-09,50.099998,52,49.5,49.799999,4650,0.0,1.0
2000-02-10,49.049999,50,47.650002,48.5,5850,0.0,1.0
2000-02-11,47.5,48.150002,47.049999,47.75,8150,0.0,1.0
2000-02-14,50.450001,50.5,44.5,45.349998,5270,0.0,1.0
2000-02-15,46,46.75,45,45,23800,0.0,1.0
2000-02-16,43.950001,45.5,43,45,7200,0.0,1.0
2000-02-17,46.900002,46.900002,43.049999,45,9500,0.0,1.0
2000-02-18,44.75,47,42,45.5,22200,0.0,1.0
2000-02-21,46.849998,47.700001,44.150002,45,9100,0.0,1.0
2000-02-22,44.599998,44.950001,44,44,6019,0.0,1.0
2000-02-23,45.950001,46,43.299999,44.900002,5500,0.0,1.0
2000-02-24,44,44.799999,42.299999,44.700001,9200,0.0,1.0
2000-02-25,42.299999,45.5,42.299999,42.950001,19100,0.0,1.0
2000-02-28,46.349998,46.349998,42.5,43.400002,3415,0.0,1.0
2000-02-29,44.900002,44.900002,40.299999,43.400002,2810,0.0,1.0
2000-03-01,40.5,45.400002,40.5,45.400002,2763,0.0,1.0
2000-03-02,45.049999,45.049999,43,43.700001,4800,0.0,1.0
2000-03-03,41.049999,41.099998,40.25,40.25,11590,0.0,1.0
2000-03-06,41.400002,41.400002,38,41,6350,0.0,1.0
2000-03-07,38.099998,39,37.75,37.75,15100,0.0,1.0
2000-03-08,36,36,34.75,34.75,1350,0.0,1.0
2000-03-09,32.25,33,32,32,3850,0.0,1.0
2000-03-10,29.549999,33.900002,29.5,33.900002,8250,0.0,1.0
2000-03-13,33.900002,33.900002,33.900002,33.900002,0,0.0,1.0
2000-03-14,31.200001,31.5,29.450001,30,7900,0.0,1.0
2000-03-15,30,32.349998,30,30.75,6300,0.0,1.0
2000-03-16,33.200001,33.200001,33,33.200001,6000,0.0,1.0
2000-03-17,33.200001,33.200001,33.200001,33.200001,0,0.0,1.0
2000-03-20,33.200001,33.200001,33.200001,33.200001,0,0.0,1.0
2000-03-21,32,35.75,32,33.549999,8100,0.0,1.0
2000-03-22,33.5,36.200001,33.400002,36,5500,0.0,1.0
2000-03-23,37,38.849998,33.549999,33.549999,6250,0.0,1.0
2000-03-24,34.099998,36,32,32.700001,4650,0.0,1.0
2000-03-27,33.099998,34,32.599998,34,1150,0.0,1.0
2000-03-28,33.5,36,33.5,34,3700,0.0,1.0
2000-03-29,33.599998,33.799999,33.599998,33.75,1150,0.0,1.0
2000-03-30,32.299999,34.5,32.25,33.700001,1550,0.0,1.0
2000-03-31,33.049999,34,32.25,32.599998,3800,0.0,1.0
2000-04-03,34,34,31,32.950001,3600,0.0,1.0
2000-04-04,31,31,30.5,30.5,8650,0.0,1.0
2000-04-05,30,30,30,30,100,0.0,1.0
2000-04-06,29.1,29.25,29.049999,29.25,700,0.0,1.0
2000-04-07,30.5,31.549999,30,31.549999,3000,0.0,1.0
2000-04-10,32.75,34,32.75,33.049999,5800,0.0,1.0
2000-04-11,33.049999,33.049999,33.049999,33.049999,0,0.0,1.0
2000-04-12,32,32,32,32,400,0.0,1.0
2000-04-13,31.5,31.5,30.1,30.4,1950,0.0,1.0
2000-04-14,30.4,30.4,30.4,30.4,0,0.0,1.0
2000-04-17,28.6,28.65,28.6,28.6,300,0.0,1.0
2000-04-18,28.799999,29,27.1,28.25,6058,0.0,1.0
2000-04-19,30,30.200001,28.700001,28.700001,3000,0.0,1.0
2000-04-20,28.5,28.75,27.15,28.1,15500,0.0,1.0
2000-04-21,28.1,28.1,28.1,28.1,0,0.0,1.0
2000-04-24,28.1,28.1,28.1,28.1,0,0.0,1.0
2000-04-25,29,29,29,29,435,0.0,1.0
2000-04-26,29,29,29,29,0,0.0,1.0
2000-04-27,29,29,29,29,0,0.0,1.0
2000-04-28,29,29.049999,28.1,29,3280,0.60318,1.0
2000-05-01,29,29,29,29,0,0.0,1.0
2000-05-02,27.5,28.5,27.5,28.5,1500,0.0,1.0
2000-05-03,28.5,28.5,28.5,28.5,0,0.0,1.0
2000-05-04,28.5,28.5,28.5,28.5,0,0.0,1.0
2000-05-05,28.5,28.5,28.5,28.5,0,0.0,1.0
2000-05-08,29,29,29,29,150,0.0,1.0
2000-05-09,29,29,29,29,0,0.0,1.0
2000-05-10,28.25,28.5,27,27.450001,6000,0.0,1.0
2000-05-11,27,27.5,26.5,26.5,5000,0.0,1.0
2000-05-12,28,28,26.5,26.75,1400,0.0,1.0
2000-05-15,28.25,28.25,27.799999,27.9,550,0.0,1.0
2000-05-16,29.5,29.5,26.049999,27,900,0.0,1.0
2000-05-17,27,27.200001,27,27.200001,350,0.0,1.0
2000-05-18,27.200001,27.200001,27.200001,27.200001,0,0.0,1.0
2000-05-19,25.5,25.5,25.5,25.5,450,0.0,1.0
2000-05-22,25.15,26,25.15,26,150,0.0,1.0
2000-05-23,26.15,26.15,26.15,26.15,200,0.0,1.0
2000-05-24,27,28.200001,25.35,28.200001,1650,0.0,1.0
2000-05-25,30.4,30.4,30.4,30.4,300,0.0,1.0
2000-05-26,32.799999,32.799999,32.799999,32.799999,1550,0.0,1.0
2000-05-29,35.400002,35.400002,32.700001,33.950001,19271,0.0,1.0
2000-05-30,34.5,34.599998,33.75,34.049999,9375,0.0,1.0
2000-05-31,36,36,33.599998,33.599998,4950,0.0,1.0
2000-06-01,32.049999,33.349998,32,32.5,2210,0.0,1.0
2000-06-02,34,34,33,33.049999,3600,0.0,1.0
2000-06-05,35.599998,35.599998,32.900002,32.900002,8802,0.0,1.0
2000-06-06,32.5,32.75,31.799999,32.099998,5600,0.0,1.0
2000-06-07,32.5,33.799999,32,32.150002,4200,0.0,1.0
2000-06-08,33.900002,33.900002,32.25,32.650002,1625,0.0,1.0
2000-06-09,32,32.75,31.049999,32.700001,2950,0.0,1.0
2000-06-12,33,35.299999,32,32,7250,0.0,1.0
2000-06-13,32,32.349998,31.200001,31.549999,3650,0.0,1.0
2000-06-14,32,32.5,31,31,4100,0.0,1.0
2000-06-15,31,31.200001,30,30,3250,0.0,1.0
2000-06-16,30.299999,32.25,30,30.6,5200,0.0,1.0
2000-06-19,30.6,30.6,30.6,30.6,0,0.0,1.0
2000-06-20,35.599998,35.599998,33.799999,35.200001,11700,0.0,1.0
2000-06-21,35.200001,36,35,36,3959,0.0,1.0
2000-06-22,36,36,35.5,36,1025,0.0,1.0
2000-06-23,36.599998,38.849998,35.5,36.849998,5625,0.0,1.0
2000-06-26,38,38,35.25,35.25,901,0.0,1.0
2000-06-27,35,35.25,33.799999,34,5872,0.0,1.0
2000-06-28,34.349998,36.700001,34.099998,35.200001,5318,0.0,1.0
2000-06-29,35,35,33.5,33.5,11780,0.0,1.0
2000-06-30,32.650002,36.150002,32.599998,34.950001,3674,0.0,1.0
2000-07-03,35.849998,35.849998,33.400002,35.799999,10364,0.0,1.0
2000-07-04,38.400002,38.650002,37.75,38.650002,9217,0.0,1.0
2000-07-05,41.5,41.700001,40.849998,41.25,22850,0.0,1.0
2000-07-06,41.75,42.900002,41.75,42.150002,3798,0.0,1.0
2000-07-07,42.150002,42.150002,42.150002,42.150002,0,0.0,1.0
2000-07-10,42.150002,42.150002,42.150002,42.150002,0,0.0,1.0
2000-07-11,42.450001,42.5,41.700001,42.25,2890,0.0,1.0
2000-07-12,41.5,41.5,41.5,41.5,100,0.0,1.0
2000-07-13,41,41.950001,40.75,40.950001,1828,0.0,1.0
2000-07-14,42,42.25,39.650002,40.599998,1967,0.0,1.0
2000-07-17,40.400002,40.599998,39.450001,39.450001,658,0.0,1.0
2000-07-18,39.099998,39.099998,38,38.950001,1199,0.0,1.0
2000-07-19,39.5,39.5,36.049999,36.650002,2542,0.0,1.0
2000-07-20,37.5,37.5,36.5,36.5,1000,0.0,1.0
2000-07-21,36.5,37.5,36.5,37.5,1300,0.0,1.0
2000-07-24,37.5,37.5,37.5,37.5,0,0.0,1.0
2000-07-25,36,38.349998,36,37.049999,1184,0.0,1.0
2000-07-26,38.049999,38.5,37,37,2934,0.0,1.0
2000-07-27,37,37,37,37,0,0.0,1.0
2000-07-28,37,37,37,37,0,0.0,1.0
2000-07-31,37.900002,37.900002,37.900002,37.900002,50,0.0,1.0
2000-08-01,36.549999,36.549999,36,36,2450,0.0,1.0
2000-08-02,35.049999,35.25,33.700001,35.25,666,0.0,1.0
2000-08-03,34.25,34.25,34.25,34.25,67,0.0,1.0
2000-08-04,32.599998,33.400002,32.5,32.599998,800,0.0,1.0
2000-08-07,32.900002,32.900002,32,32,710,0.0,1.0
2000-08-08,32,32,32,32,0,0.0,1.0
2000-08-09,32.5,32.950001,31.549999,32.950001,350,0.0,1.0
2000-08-10,32.950001,32.950001,31.299999,32.349998,152,0.0,1.0
2000-08-11,31,32.25,30.9,31,508,0.0,1.0
2000-08-14,31,31,31,31,0,0.0,1.0
2000-08-15,31,31,31,31,0,0.0,1.0
2000-08-16,30.5,32.5,30.5,31.15,300,0.0,1.0
2000-08-17,31.9,31.9,30.65,30.65,20200,0.0,1.0
2000-08-18,30.1,30.15,30,30.1,1500,0.0,1.0
2000-08-21,32.400002,32.400002,30,31.700001,2750,0.0,1.0
2000-08-22,31.700001,31.700001,31.700001,31.700001,0,0.0,1.0
2000-08-23,30.200001,30.200001,30.15,30.15,200,0.0,1.0
2000-08-24,29.299999,29.299999,28.5,28.5,452,0.0,1.0
2000-08-25,27.5,29.049999,27.5,28.5,1512,0.0,1.0
2000-08-28,28.5,29.85,26.25,26.25,2371,0.0,1.0
2000-08-29,27.549999,28.299999,27.549999,28,201,0.0,1.0
2000-08-30,30,30.200001,29.75,30.200001,16820,0.0,1.0
2000-08-31,30,32.5,30,30.700001,4833,0.0,1.0
2000-09-01,30.700001,30.700001,30.700001,30.700001,0,0.0,1.0
2000-09-04,30,31.950001,30,30.549999,2792,0.0,1.0
2000-09-05,30.75,31.25,30.700001,30.700001,1042,0.0,1.0
2000-09-06,31,31,30.200001,31,3200,0.0,1.0
2000-09-07,31,31.299999,30.549999,31.299999,321,0.0,1.0
2000-09-08,31.200001,31.25,30.799999,31.049999,1700,0.0,1.0
2000-09-11,31,33.400002,30.85,31.25,5014,0.0,1.0
2000-09-12,32.5,32.5,29.049999,30,8320,0.0,1.0
2000-09-13,30,30,30,30,380,0.0,1.0
2000-09-14,29.5,29.5,29.299999,29.299999,166,0.0,1.0
2000-09-15,30,31,29.75,30,16032,0.0,1.0
2000-09-18,30,30,30,30,0,0.0,1.0
2000-09-19,30,30,30,30,0,0.0,1.0
2000-09-20,28.5,28.75,28.5,28.75,725,0.0,1.0
2000-09-21,29.200001,30,29,29.4,1591,0.0,1.0
2000-09-22,28.549999,30,28.15,29.35,2059,0.0,1.0
2000-09-25,30,30,29,29,1879,0.0,1.0
2000-09-26,29,29,29,29,0,0.0,1.0
2000-09-27,29,29,29,29,0,0.0,1.0
2000-09-28,28,28,25.5,25.700001,804,0.0,1.0
2000-09-29,25.700001,25.700001,25.700001,25.700001,0,0.0,1.0
2000-10-02,25.700001,25.700001,25.700001,25.700001,0,0.0,1.0
2000-10-03,26,28.35,26,27.200001,1305,0.0,1.0
2000-10-04,27,27,27,27,19,0.0,1.0
2000-10-05,26.35,27.5,26.35,27.5,121,0.0,1.0
2000-10-06,26.6,26.6,25.35,25.700001,4624,0.0,1.0
2000-10-09,26.75,26.75,24.1,24.5,4900,0.0,1.0
2000-10-10,24.5,24.5,23.65,23.65,575,0.0,1.0
2000-10-11,24,24.1,23.65,23.65,350,0.0,1.0
2000-10-12,22.6,22.6,22.6,22.6,100,0.0,1.0
2000-10-13,21.85,23,21.85,22.299999,345,0.0,1.0
2000-10-16,22.200001,22.25,22.200001,22.25,250,0.0,1.0
2000-10-17,23.75,23.75,23.75,23.75,350,0.0,1.0
2000-10-18,23.75,23.75,23,23,555,0.0,1.0
2000-10-19,23,23,22.5,23,834,0.0,1.0
2000-10-20,23,23,23,23,0,0.0,1.0
2000-10-23,23,23,23,23,0,0.0,1.0
2000-10-24,23,23,23,23,0,0.0,1.0
2000-10-25,23,23,23,23,0,0.0,1.0
2000-10-26,23,23,23,23,0,0.0,1.0
2000-10-27,23,23,23,23,0,0.0,1.0
2000-10-30,21,21,20.5,20.5,400,0.0,1.0
2000-10-31,20.5,20.5,20.5,20.5,0,0.0,1.0
2000-11-01,21.9,21.9,21.9,21.9,200,0.0,1.0
2000-11-02,20.65,21.5,20.65,21.5,16406,0.0,1.0
2000-11-03,22.950001,22.950001,22,22,375,0.0,1.0
2000-11-06,23.25,23.75,23.25,23.5,1291,0.0,1.0
2000-11-07,23.5,25.299999,23.5,25.299999,301,0.0,1.0
