date,open,high,low,close,volume,dividend,split
2001-12-31,4.9,4.9,4.9,4.9,200,0.0,1.0
2002-01-03,4.85,4.9,4.85,4.9,1500,0.0,1.0
2002-01-04,4.9,4.9,4.9,4.9,1000,0.0,1.0
2002-01-08,4.9,4.9,4.9,4.9,200,0.0,1.0
2002-01-09,4.9,4.9,4.9,4.9,500,0.0,1.0
2002-01-17,5,5,5,5,200,0.0,1.0
2002-01-29,4.5,4.5,4.5,4.5,100,0.0,1.0
2002-02-20,5.25,5.25,5.25,5.25,500,0.0,1.0
2002-02-21,6,6,5.75,5.75,700,0.0,1.0
2002-02-25,6.2,6.2,6,6,200,0.0,1.0
2002-02-27,6,6,5.5,5.5,300,0.0,1.0
2002-03-05,6.2,6.2,6.1,6.1,300,0.0,1.0
2002-03-06,6.2,6.2,6.2,6.2,300,0.0,1.0
2002-03-07,6.2,6.2,6,6,200,0.0,1.0
2002-03-08,6.1,6.1,6.1,6.1,500,0.0,1.0
2002-03-11,6,6,6,6,200,0.0,1.0
2002-03-12,6,6,5,5,500,0.0,1.0
2002-03-13,5.5,5.5,5.5,5.5,300,0.0,1.0
2002-03-14,5.95,5.95,5.95,5.95,100,0.0,1.0
2002-03-15,5.8,5.8,5.8,5.8,200,0.0,1.0
2002-03-18,5.5,5.5,5.1,5.5,3100,0.0,1.0
2002-03-19,5.5,5.5,5.5,5.5,300,0.0,1.0
2002-03-20,5,5,5,5,200,0.0,1.0
2002-03-21,4.9,4.9,4.8,4.8,400,0.0,1.0
2002-03-22,4.5,4.5,4.5,4.5,100,0.0,1.0
2002-03-26,4.9,4.9,4.4,4.6,300,0.0,1.0
2002-03-27,4.4,4.4,3.8,3.95,600,0.0,1.0
2002-04-03,4.7,4.7,4.7,4.7,500,0.0,1.0
2002-04-04,4.5,4.5,4.5,4.5,500,0.0,1.0
2002-04-05,5.4,5.4,5.4,5.4,200,0.0,1.0
2002-04-08,5.2,5.2,5,5,300,0.0,1.0
2002-04-09,5,5,4.9,4.9,200,0.0,1.0
2002-04-10,5,5,4.5,4.5,500,0.0,1.0
2002-04-11,4.9,4.9,4.6,4.6,200,0.0,1.0
2002-04-12,5,5,5,5,200,0.0,1.0
2002-04-15,5,5,5,5,200,0.0,1.0
2002-04-16,5.5,5.5,5.5,5.5,100,0.0,1.0
2002-04-17,4.9,4.9,4.45,4.45,600,0.0,1.0
2002-04-18,4.8,5.25,3.6,5.25,600,0.0,1.0
2002-04-23,6.3,6.3,6.3,6.3,100,0.0,1.0
2002-04-24,5.05,7.3,5.05,7.3,100,0.0,1.0
2002-04-25,5.85,5.85,5.85,5.85,50,0.0,1.0
2002-05-02,4.9,5,4.7,4.8,400,0.0,1.0
2002-05-03,4.25,4.25,4,4.15,200,0.0,1.0
2002-05-06,3.9,3.9,3.9,3.9,100,0.0,1.0
2002-05-07,4.5,4.5,4.5,4.5,100,0.0,1.0
2002-05-09,3.9,5.2,3.9,5.2,500,0.0,1.0
2002-05-10,5.45,5.45,5.45,5.45,600,0.0,1.0
2002-05-14,6,6,6,6,200,0.0,1.0
2002-05-15,6.3,6.8,6.3,6.8,1200,0.0,1.0
2002-05-16,6.8,6.8,6.8,6.8,200,0.0,1.0
2002-05-17,6.5,6.5,6.5,6.5,1000,0.0,1.0
2002-05-20,5.35,5.35,5.35,5.35,100,0.0,1.0
2002-05-21,6.1,6.2,6.1,6.2,1000,0.0,1.0
2002-05-22,5,5,5,5,300,0.0,1.0
2002-05-23,4.8,5.9,4.8,5.9,500,0.0,1.0
2002-05-28,5,5,5,5,200,0.0,1.0
2002-05-29,4.05,4.05,4.05,4.05,100,0.0,1.0
2002-05-30,4.85,4.85,4.85,4.85,500,0.0,1.0
2002-05-31,5.8,5.8,4.6,4.6,100,0.0,1.0
2002-06-12,5.5,5.5,5.5,5.5,100,0.0,1.0
2002-06-13,6,6,5.5,6,300,0.0,1.0
2002-06-14,5.5,5.5,5.5,5.5,500,0.0,1.0
2002-06-17,5.1,5.1,5,5,200,0.0,1.0
2002-06-18,5.1,5.1,4.9,5,300,0.0,1.0
2002-06-19,4.85,4.9,4.85,4.9,1000,0.0,1.0
2002-06-20,5,5.1,5,5,1000,0.0,1.0
2002-06-21,5,5,4.8,5,800,0.0,1.0
2002-06-24,5.45,5.5,5.45,5.5,500,0.0,1.0
2002-06-25,5.85,5.85,5.85,5.85,50,0.0,1.0
2002-06-26,5.8,5.8,5.8,5.8,50,0.0,1.0
2002-07-01,2.628,2.628,2.628,2.628,270,0.0,1.0
2002-07-02,2.628,2.628,2.628,2.628,135,0.0,1.0
2002-07-03,2.24305,2.44293,2.24305,2.44293,743,0.0,1.0
2002-07-04,2.1098,2.1098,2.02097,2.02097,405,0.0,1.0
2002-07-05,2.42072,2.42072,2.42072,2.42072,135,0.0,1.0
2002-07-08,2.24305,2.24305,2.24305,2.24305,135,0.0,1.0
2002-07-10,2.24305,2.46514,2.24305,2.46514,405,0.0,1.0
2002-07-11,2.24305,2.3541,2.19864,2.19864,608,0.0,1.0
2002-07-12,2.24305,2.24305,2.19864,2.19864,540,0.0,1.0
2002-07-15,2.28747,2.3541,2.15422,2.3541,1351,0.0,1.0
2002-07-16,2.69462,2.78346,2.69462,2.69462,681,0.0,1.0
2002-07-18,2.17643,2.17643,2.17643,2.17643,675,0.0,1.0
2002-07-30,1.74706,1.74706,1.74706,1.74706,68,0.0,1.0
2002-07-31,1.79148,1.79148,1.79148,1.79148,1283,0.0,1.0
2002-08-01,2.15422,2.15422,2.15422,2.15422,1486,0.0,1.0
2002-08-02,2.15422,2.22084,2.15422,2.22084,1756,0.0,1.0
2002-08-07,2.02097,2.02097,2.02097,2.02097,135,0.0,1.0
2002-08-08,2.15422,2.33189,2.15422,2.33189,270,0.0,1.0
2002-08-09,2.19864,2.19864,2.19864,2.19864,675,0.0,1.0
2002-08-14,2.19864,2.19864,2.19864,2.19864,473,0.0,1.0
2002-08-16,2.19864,2.19864,2.19864,2.19864,135,0.0,1.0
2002-08-20,2.15422,2.19864,2.15422,2.19864,1486,0.0,1.0
2002-08-21,2.15422,2.15422,2.15422,2.15422,135,0.0,1.0
2002-08-27,2.19864,2.19864,2.15422,2.15422,2837,0.0,1.0
2002-08-28,2.46514,2.46514,2.46514,2.46514,135,0.0,1.0
2002-09-02,2.15422,2.15422,2.15422,2.15422,135,0.0,1.0
2002-09-03,2.19864,2.19864,2.19864,2.19864,270,0.0,1.0
2002-09-18,2.44293,2.46514,2.44293,2.46514,811,0.0,1.0
2002-09-23,2.42072,2.46514,2.42072,2.46514,1148,0.0,1.0
2002-09-24,2.3541,2.65021,2.3541,2.3541,2837,0.0,1.0
2002-09-27,2.65021,2.65021,2.65021,2.65021,135,0.0,1.0
2002-09-30,2.65021,2.65021,2.65021,2.65021,270,0.0,1.0
2002-10-01,2.65021,2.65021,2.46514,2.46514,946,0.0,1.0
2002-10-03,2.65021,2.65021,2.02097,2.46514,4728,0.0,1.0
2002-10-04,2.28747,2.65021,2.24305,2.65021,3107,0.0,1.0
2002-10-07,2.50955,2.57618,2.33189,2.33189,1216,0.0,1.0
2002-10-08,2.15422,2.55397,2.15422,2.55397,270,0.0,1.0
2002-10-09,2.3541,2.53176,2.3541,2.53176,811,0.0,1.0
2002-10-10,2.42072,2.42072,2.42072,2.42072,270,0.0,1.0
2002-10-11,2.55397,2.65021,2.42072,2.42072,540,0.0,1.0
2002-10-17,2.57618,2.57618,2.57618,2.57618,135,0.0,1.0
2002-10-18,2.3763,2.3763,2.3763,2.3763,270,0.0,1.0
2002-10-22,2.46514,2.46514,2.46514,2.46514,270,0.0,1.0
2002-10-23,2.46514,2.46514,2.46514,2.46514,675,0.0,1.0
2002-10-24,2.60579,2.60579,2.60579,2.60579,135,0.0,1.0
2002-10-25,2.60579,2.60579,2.28747,2.57618,811,0.0,1.0
2002-10-28,2.60579,2.60579,2.60579,2.60579,3377,0.0,1.0
2002-10-30,2.46514,2.46514,2.46514,2.46514,135,0.0,1.0
2002-11-01,2.28747,2.28747,2.28747,2.28747,135,0.0,1.0
2002-11-05,2.60579,2.60579,2.60579,2.60579,1081,0.0,1.0
2002-11-14,2.60579,2.60579,2.60579,2.60579,135,0.0,1.0
2002-11-15,2.60579,2.60579,2.60579,2.60579,270,0.0,1.0
2002-11-21,2.08759,2.08759,2.08759,2.08759,270,0.0,1.0
2002-11-22,1.68044,2.48735,1.68044,2.3541,1351,0.0,1.0
2002-11-26,1.95434,1.95434,1.95434,1.95434,270,0.0,1.0
2002-11-27,1.5694,1.5694,1.5694,1.5694,270,0.0,1.0
2002-11-28,1.48056,1.48056,1.48056,1.48056,135,0.0,1.0
2002-12-03,1.76927,1.76927,1.76927,1.76927,405,0.0,1.0
2002-12-04,2.1098,2.1098,2.1098,2.1098,135,0.0,1.0
2002-12-05,2.50955,2.50955,2.50955,2.50955,1418,0.0,1.0
2002-12-06,2.91671,2.93892,2.91671,2.93892,946,0.0,1.0
2002-12-09,2.3541,2.57618,2.3541,2.57618,743,0.0,1.0
2002-12-10,2.17643,2.17643,2.17643,2.17643,405,0.0,1.0
2002-12-13,1.81369,1.81369,1.81369,1.81369,405,0.0,1.0
2002-12-16,2.17643,2.17643,2.17643,2.17643,540,0.0,1.0
2002-12-17,2.46514,2.46514,2.46514,2.46514,675,0.0,1.0
2002-12-18,2.46514,2.46514,2.46514,2.46514,743,0.0,1.0
2002-12-19,2.60579,2.60579,2.60579,2.60579,135,0.0,1.0
2002-12-23,2.42072,2.42072,2.42072,2.42072,675,0.0,1.0
2002-12-24,2.65021,2.65021,2.65021,2.65021,811,0.0,1.0
2002-12-26,2.24305,2.24305,2.24305,2.24305,405,0.0,1.0
2002-12-27,2.24305,2.24305,2.24305,2.24305,135,0.0,1.0
2002-12-30,2.33189,2.46514,2.33189,2.46514,1891,0.0,1.0
2002-12-31,2.46514,2.46514,2.46514,2.46514,135,0.0,1.0
2003-01-01,2.46514,2.46514,2.46514,2.46514,2296,0.0,1.0
2003-01-02,2.24305,2.46514,1.99876,2.46514,3917,0.0,1.0
2003-01-07,1.99876,1.99876,1.99876,1.99876,135,0.0,1.0
2003-01-09,1.81369,1.81369,1.81369,1.81369,270,0.0,1.0
2003-01-13,1.45835,1.45835,1.45835,1.45835,270,0.0,1.0
2003-01-15,1.48056,1.48056,1.48056,1.48056,540,0.0,1.0
2003-01-16,1.76927,1.76927,1.76927,1.76927,68,0.0,1.0
2003-01-17,2.1098,2.1098,1.43615,1.43615,405,0.0,1.0
2003-01-20,1.70265,1.70265,1.70265,1.70265,1,0.0,1.0
2003-01-21,2.04318,2.04318,2.04318,2.04318,135,0.0,1.0
2003-01-22,2.33189,2.33189,2.24305,2.24305,1283,0.0,1.0
2003-01-23,2.24305,2.24305,1.81369,1.81369,1486,0.0,1.0
2003-01-24,2.1098,2.17643,2.1098,2.1098,1621,0.0,1.0
2003-01-27,2.24305,2.24305,2.24305,2.24305,1351,0.0,1.0
2003-01-28,2.24305,2.24305,1.81369,1.81369,878,0.0,1.0
2003-01-29,1.81369,1.81369,1.81369,1.81369,270,0.0,1.0
2003-01-31,1.79148,1.99876,1.79148,1.99876,405,0.0,1.0
2003-02-03,2.02097,2.02097,2.02097,2.02097,135,0.0,1.0
2003-02-10,1.65823,1.68044,1.65823,1.68044,405,0.0,1.0
2003-02-11,2.02097,2.02097,1.70265,1.70265,743,0.0,1.0
2003-02-27,1.61381,1.61381,1.61381,1.61381,7,0.0,1.0
2003-03-03,1.74706,1.74706,1.45835,1.45835,270,0.0,1.0
2003-03-04,1.21406,1.21406,1.19185,1.19185,1486,0.0,1.0
2003-03-06,1.14744,1.14744,1.14744,1.14744,811,0.0,1.0
2003-03-19,0.98457,0.98457,0.91795,0.91795,1621,0.0,1.0
2003-03-25,0.74028,0.74028,0.74028,0.74028,135,0.0,1.0
2003-04-01,0.60703,0.60703,0.60703,0.60703,68,0.0,1.0
2003-04-03,0.62924,0.62924,0.62924,0.62924,405,0.0,1.0
2003-04-04,0.74028,0.74028,0.74028,0.74028,68,0.0,1.0
2003-04-07,0.87353,0.87353,0.87353,0.87353,68,0.0,1.0
2003-04-08,1.02899,1.02899,1.02899,1.02899,68,0.0,1.0
