date,open,high,low,close,volume,dividend,split
2009-12-03,43.599998,45.099998,41.5,42.599998,12102,0.0,1.0
2009-12-04,40.549999,43.75,40.549999,42.099998,9135,0.0,1.0
2009-12-07,41,45.349998,41,43.400002,22546,0.0,1.0
2009-12-08,42.5,44.349998,42.349998,44,4797,0.0,1.0
2009-12-09,43,43.5,42.599998,42.650002,2653,0.0,1.0
2009-12-10,42.5,44.5,42.5,43.099998,7675,0.0,1.0
2009-12-11,43.5,44,42.450001,42.950001,5754,0.0,1.0
2009-12-14,42.549999,43.75,41.549999,42,4026,0.0,1.0
2009-12-15,41.75,42.950001,41.75,41.75,2672,0.0,1.0
2009-12-16,42,42.5,40.400002,41.5,3460,0.0,1.0
2009-12-17,41.049999,42.450001,41.049999,42.049999,4705,0.0,1.0
2009-12-18,41.5,42,40.650002,40.950001,4914,0.0,1.0
2009-12-21,41,42.150002,40.900002,40.900002,6569,0.0,1.0
2009-12-22,41.5,41.5,40.5,40.900002,2512,0.0,1.0
2009-12-23,41,42.25,41,41.150002,3914,0.0,1.0
2009-12-24,40.5,41.200001,40.400002,40.950001,10001,0.0,1.0
2009-12-29,40.5,41.75,40.400002,40.599998,5645,0.0,1.0
2009-12-30,40.25,42,39.799999,40,13799,0.0,1.0
2009-12-31,40.650002,41.700001,39.25,39.950001,14271,0.0,1.0
2010-01-04,40.5,41.549999,40.25,40.25,21242,0.0,1.0
2010-01-05,41.599998,42,40.049999,40.349998,30729,0.0,1.0
2010-01-06,40.5,41.349998,39.900002,40.5,41706,0.0,1.0
2010-01-07,40.5,44.549999,40.299999,44.549999,110053,0.0,1.0
2010-01-08,53,53,45.549999,45.950001,61382,0.0,1.0
2010-01-11,49.799999,49.799999,46.049999,46.799999,33947,0.0,1.0
2010-01-12,47,47,43.200001,43.75,15046,0.0,1.0
2010-01-13,44.5,47.150002,42.200001,45.549999,29808,0.0,1.0
2010-01-14,45.5,47.400002,45,46.799999,50749,0.0,1.0
2010-01-15,47.099998,48.900002,46,47.400002,42459,0.0,1.0
