date,open,high,low,close,volume,dividend,split
2002-02-26,0.6,0.6,0.6,0.6,250,0.0,1.0
2002-03-04,0.72,0.72,0.72,0.72,250,0.0,1.0
2002-03-05,0.82,0.82,0.82,0.82,250,0.0,1.0
2002-03-07,0.97,0.97,0.97,0.97,250,0.0,1.0
2002-03-11,1.15,1.15,1.15,1.15,250,0.0,1.0
2002-03-14,1.36,1.36,1.36,1.36,250,0.0,1.0
2002-03-20,1.6,1.6,1.6,1.6,250,0.0,1.0
2002-04-03,2.26,2.26,2.26,2.26,1000,0.0,1.0
2002-04-05,2.6,2.6,2.6,2.6,1000,0.0,1.0
2002-04-08,3.1,3.1,3.1,3.1,1500,0.0,1.0
2002-04-10,3.4,3.4,3.4,3.4,1500,0.0,1.0
2002-04-22,3.68,3.68,3.68,3.68,1000,0.0,1.0
2002-04-24,3.82,3.82,3.82,3.82,1000,0.0,1.0
2002-04-26,3.98,3.98,3.98,3.98,500,0.0,1.0
2002-05-02,4.15,4.15,4.15,4.15,1000,0.0,1.0
2002-05-03,4.35,4.35,4.35,4.35,2000,0.0,1.0
2002-05-07,4.54,4.54,4.54,4.54,500,0.0,1.0
2002-05-20,4.4,4.4,4.4,4.4,500,0.0,1.0
2002-05-22,4.22,4.22,4.22,4.22,6000,0.0,1.0
2002-05-24,4.28,4.28,4.28,4.28,3500,0.0,1.0
2003-11-28,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-01,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-02,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-03,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-04,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-05,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-08,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-09,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-10,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-11,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-12,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-15,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-16,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-17,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-18,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-19,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-22,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-23,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-24,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-25,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-26,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-29,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-30,4.28,4.28,4.28,4.28,0,0.0,1.0
2003-12-31,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-01,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-02,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-05,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-06,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-07,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-08,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-09,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-12,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-13,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-14,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-15,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-16,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-19,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-20,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-21,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-22,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-23,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-26,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-27,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-28,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-29,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-01-30,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-02,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-03,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-04,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-05,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-06,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-09,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-10,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-11,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-12,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-13,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-16,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-17,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-18,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-19,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-20,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-23,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-24,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-25,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-26,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-02-27,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-01,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-02,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-03,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-04,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-05,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-08,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-09,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-10,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-11,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-12,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-15,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-16,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-17,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-18,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-19,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-22,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-23,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-24,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-25,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-26,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-29,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-30,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-03-31,4.28,4.28,4.28,4.28,0,0.0,1.0
2004-04-01,4.28,4.28,4.28,4.28,0,0.0,1.0
