date,open,high,low,close,volume,dividend,split
2006-04-24,277.75,375,265.25,366.513,21195464,0.0,1.0
2006-04-25,365.975006,368.700012,312.5,327.138,2847380,0.0,1.0
2006-04-26,337.5,337.5,319.5,325,715424,0.0,1.0
2006-04-27,337.5,347.5,325.5,331.412994,643546,0.0,1.0
2006-04-28,300,325,276.287994,318.575012,316258,0.0,1.0
2006-05-02,318.75,333.75,308.75,325.674988,372116,0.0,1.0
2006-05-03,326.75,332.5,322,324.25,143840,0.0,1.0
2006-05-04,325.25,327.75,313.75,317.774994,65942,0.0,1.0
2006-05-05,319.975006,321.187988,313.125,315.162994,36426,0.0,1.0
2006-05-08,316.75,324.5,316.25,320.575012,38996,0.0,1.0
2006-05-09,327.5,352.5,325,345.962006,465136,0.0,1.0
2006-05-10,347.5,373.75,340.537994,369.950012,646786,0.0,1.0
2006-05-11,375,394.75,350.5,357.524994,640116,0.0,1.0
2006-05-12,350,375,330,345.162994,251704,0.0,1.0
2006-05-15,345.25,347.25,312.763,322.149994,334814,0.0,1.0
2006-05-16,323,342.5,320.25,333.013,183608,0.0,1.0
2006-05-17,335.5,340,321.375,324.899994,99802,0.0,1.0
2006-05-18,324.75,327.5,300,307.649994,147626,0.0,1.0
2006-05-19,322.5,322.5,293.75,298.087006,67272,0.0,1.0
2006-05-22,300,300,250,289.888,69408,0.0,1.0
2006-05-23,287.5,297.5,277.5,292.412994,36790,0.0,1.0
2006-05-24,290,295,287.5,287.575012,37062,0.0,1.0
2006-05-25,287.5,299.5,269,294.112,36380,0.0,1.0
2006-05-26,297.5,308,296.25,303.388,34646,0.0,1.0
2006-05-29,305.013,313.75,302.625,306.513,26404,0.0,1.0
2006-05-30,307.5,309,296.375,298.100006,20474,0.0,1.0
2006-05-31,295,307.75,285.138,300.850006,38368,0.0,1.0
2006-06-01,306.25,308.75,302.5,304.325012,27910,0.0,1.0
2006-06-02,304.75,304.75,284.25,293.75,30524,0.0,1.0
2006-06-05,302.5,303.75,287.5,287.924988,14094,0.0,1.0
2006-06-06,279.987,293.75,275.25,291.5,37464,0.0,1.0
2006-06-07,285.25,291.5,265,272.862,35694,0.0,1.0
2006-06-08,265.25,265.25,215,221.061996,86272,0.0,1.0
2006-06-09,219.975006,262.5,210.061996,255.875,100146,0.0,1.0
2006-06-12,256.25,256.25,231.25,236.949997,35258,0.0,1.0
2006-06-13,225,231.25,222.75,225.175003,26626,0.0,1.0
2006-06-14,235,240.725006,225,225.837006,38918,0.0,1.0
2006-06-15,237,239.949997,230.375,234.261993,21158,0.0,1.0
2006-06-16,244.75,251.25,238.761993,248.962006,32952,0.0,1.0
2006-06-19,250,250,238.75,243.300003,8564,0.0,1.0
2006-06-20,243.75,243.75,233.75,235.824997,13892,0.0,1.0
2006-06-21,241.5,243.488007,237.5,239.024994,5638,0.0,1.0
2006-06-22,244.75,252.5,238.300003,240.925003,15976,0.0,1.0
2006-06-23,242.5,246.212006,239.75,243.75,9162,0.0,1.0
2006-06-26,240.011993,246.5,240,244.511993,8676,0.0,1.0
2006-06-27,247.25,247.5,240.837006,244.188004,9566,0.0,1.0
2006-06-28,238,243,237.5,241.899994,1196,0.0,1.0
2006-06-29,250.75,253,242.011993,249.625,16026,0.0,1.0
2006-06-30,252.5,256.225006,247.5,249.475006,8774,0.0,1.0
2006-07-03,249.886993,262.5,249.886993,259.962006,20304,0.0,1.0
2006-07-04,262.5,286.112,262.5,282.888,36442,0.0,1.0
2006-07-05,272.5,281.25,272.5,276.162994,51554,0.0,1.0
2006-07-06,276.25,282.475006,266.5,268.712006,31418,0.0,1.0
2006-07-07,269,279,264,265.674988,15198,0.0,1.0
2006-07-10,266.274994,270.75,265,268.049988,3964,0.0,1.0
2006-07-11,264.5,268,258.825012,265.774994,9060,0.0,1.0
2006-07-12,260,276.25,250.100006,272.399994,14706,0.0,1.0
2006-07-13,269.25,269.25,261.5,263.237,7298,0.0,1.0
2006-07-14,260.25,268.75,256.5,266.475006,13358,0.0,1.0
2006-07-17,266.75,271.975006,259.5,265.837006,13872,0.0,1.0
2006-07-18,269.5,273.612,266.125,271.575012,24516,0.0,1.0
2006-07-19,274.75,275,260.537994,261.375,6940,0.0,1.0
2006-07-20,272.5,272.5,261.225006,270.899994,7090,0.0,1.0
2006-07-21,262.5,268.75,262.5,267.138,4534,0.0,1.0
2006-07-24,260.513,272.5,260.25,267.662994,6612,0.0,1.0
2006-07-25,269.962006,272.225006,262.75,268.825012,8318,0.0,1.0
2006-07-26,266.524994,280,266.524994,272.649994,13466,0.0,1.0
2006-07-27,274.5,277.700012,268.75,274.299988,29544,0.0,1.0
2006-07-28,257.5,277.5,257.5,276.513,23562,0.0,1.0
2006-07-31,277.25,292.5,277.25,289.924988,53856,0.0,1.0
2006-08-01,290,297.5,290,294.138,17960,0.0,1.0
2006-08-02,293.25,297.25,290,291.737,13520,0.0,1.0
2006-08-03,294.5,295.225006,286.263,287.763,4490,0.0,1.0
2006-08-04,283.875,291.75,283.875,286.237,3792,0.0,1.0
2006-08-07,286,289.5,285,287.375,2786,0.0,1.0
2006-08-08,290,291,283.513,287.674988,2448,0.0,1.0
2006-08-09,284.5,291.25,284.5,288.187988,3042,0.0,1.0
2006-08-10,290.75,292.5,288,289.587006,3142,0.0,1.0
2006-08-11,290.25,295,289.987,292.625,4536,0.0,1.0
2006-08-14,293.5,296.25,290.25,295.412994,25918,0.0,1.0
2006-08-16,297.5,340,294.75,335.325012,115108,0.0,1.0
2006-08-17,337.5,340.700012,313.888,327.75,153882,0.0,1.0
2006-08-18,327.75,331.25,317.5,319.587006,20128,0.0,1.0
2006-08-21,320.5,333.25,318.774994,321.049988,35966,0.0,1.0
2006-08-22,324.5,328,316.312012,318.799988,45160,0.0,1.0
2006-08-23,319.987,325,306.5,308.524994,23668,0.0,1.0
2006-08-24,312.25,320,298.75,301.325012,41088,0.0,1.0
2006-08-25,303.75,307.475006,301.537994,303.763,22694,0.0,1.0
2006-08-28,313.75,313.75,296.312012,298.424988,24794,0.0,1.0
2006-08-29,300,305,297.75,300.587006,18916,0.0,1.0
2006-08-30,303,309,301.25,306.112,46708,0.0,1.0
2006-08-31,306.5,309.5,297.5,299.774994,12856,0.0,1.0
2006-09-01,299.75,302.5,297.013,298.462006,10188,0.0,1.0
2006-09-04,299.5,303.700012,298.25,301.737,8870,0.0,1.0
2006-09-05,306.225006,319.5,304,311.062012,61384,0.0,1.0
2006-09-06,311.674988,316.25,307,308.062012,19446,0.0,1.0
2006-09-07,307.5,318,307.5,312.638,22980,0.0,1.0
2006-09-08,313.674988,330.825012,311.625,326.274994,84682,0.0,1.0
