date,open,high,low,close,volume,dividend,split
2000-01-03,30.9,31.299999,30.1,30.1,2587,0.0,1.0
2000-01-04,32,32,30,30,300,0.0,1.0
2000-01-05,28.799999,31.200001,28,31.200001,6300,0.0,1.0
2000-01-06,29,30,29,29.299999,707,0.0,1.0
2000-01-07,27,29,27,27.75,2600,0.0,1.0
2000-01-10,28.65,29.9,28.65,29.9,1000,0.0,1.0
2000-01-11,27.85,32,27.85,28.15,2300,0.0,1.0
2000-01-12,28,30.35,28,30,2100,0.0,1.0
2000-01-13,30,32,29.549999,31,4624,0.0,1.0
2000-01-14,29.200001,31,28.65,29.799999,1075,0.0,1.0
2000-01-17,31,31,31,31,2000,0.0,1.0
2000-01-18,30,30,29,29,22500,0.0,1.0
2000-01-19,30.65,31,29,29,148100,0.0,1.0
2000-01-20,28.65,31.299999,28.65,31.299999,4100,0.0,1.0
2000-01-21,33.5,33.5,29.549999,30.1,7400,0.0,1.0
2000-01-24,31,32.299999,29.1,29.1,1450,0.0,1.0
2000-01-25,30.6,30.6,29,29.200001,28500,0.0,1.0
2000-01-26,29.200001,29.200001,29.200001,29.200001,0,0.0,1.0
2000-01-27,29.5,30,27,29,2300,0.0,1.0
2000-01-28,30,30,27.25,27.549999,1200,0.0,1.0
2000-01-31,29,29,27,27,1300,0.0,1.0
2000-02-01,27,27.35,26,26.15,640,0.0,1.0
2000-02-02,26,28.200001,26,28.200001,708,0.0,1.0
2000-02-03,28.200001,28.200001,28.200001,28.200001,0,0.0,1.0
2000-02-04,27.65,29,27.65,28.5,1100,0.0,1.0
2000-02-07,28.75,29.700001,28.75,28.85,900,0.0,1.0
2000-02-08,28.35,28.35,27,27,13600,0.0,1.0
2000-02-09,27.049999,28.200001,27.049999,28.15,600,0.0,1.0
2000-02-10,27.65,28.5,27.65,28.5,732,0.0,1.0
2000-02-11,28,28,27.5,28,1154,0.0,1.0
2000-02-14,28,28,27,27,500,0.0,1.0
2000-02-15,27.5,27.5,27.5,27.5,500,0.0,1.0
2000-02-16,26.549999,26.549999,26,26.5,918,0.0,1.0
2000-02-17,26,28.6,26,28.6,3605,0.0,1.0
2000-02-18,30.5,30.85,30.5,30.85,3100,0.0,1.0
2000-02-21,29,33.25,29,33,5300,0.0,1.0
2000-02-22,32,32.950001,31.9,32.75,28875,0.0,1.0
2000-02-23,32.900002,35.25,32.900002,34.25,9400,0.0,1.0
2000-02-24,34.799999,35,32.549999,33.75,12900,0.0,1.0
2000-02-25,33,33.5,32,32,6700,0.0,1.0
2000-02-28,34.5,34.5,30.6,31.5,1500,0.0,1.0
2000-02-29,30.15,31.799999,30.1,30.75,400,0.0,1.0
2000-03-01,32,32.099998,31.450001,32,2300,0.0,1.0
2000-03-02,34.549999,34.549999,32,33,8100,0.0,1.0
2000-03-03,32.299999,33,31,31,12800,0.0,1.0
2000-03-06,31,31.549999,29.75,31.549999,800,0.0,1.0
2000-03-07,29.049999,29.75,29.049999,29.049999,28200,0.0,1.0
2000-03-08,30.5,31.35,28,31.35,4500,0.0,1.0
2000-03-09,28.85,29,28.85,29,1000,0.0,1.0
2000-03-10,28.049999,28.049999,27.9,28,1700,0.0,1.0
2000-03-13,28,28,28,28,0,0.0,1.0
2000-03-14,27.5,27.5,26,26.200001,1700,0.0,1.0
2000-03-15,24.200001,27,24.200001,27,300,0.0,1.0
2000-03-16,26,28.4,24.85,25.1,24000,0.0,1.0
2000-03-17,25.1,25.1,25.1,25.1,0,0.0,1.0
2000-03-20,25.1,25.1,25.1,25.1,0,0.0,1.0
2000-03-21,23.549999,23.549999,23.5,23.5,1000,0.0,1.0
2000-03-22,25.35,25.35,23.35,23.35,30400,0.0,1.0
2000-03-23,23,23.1,23,23.1,500,0.0,1.0
2000-03-24,23,23,22,22,11400,0.0,1.0
2000-03-27,23.5,23.549999,23.5,23.549999,700,0.0,1.0
2000-03-28,23.75,23.75,22.5,22.5,22800,0.0,1.0
2000-03-29,22.25,23,22.25,23,300,0.0,1.0
2000-03-30,21.5,22,21.5,22,200,0.0,1.0
2000-03-31,22,23.5,22,23.5,811,0.0,1.0
2000-04-03,25.35,25.35,23.85,25.1,31900,0.0,1.0
2000-04-04,24.049999,24.049999,23.5,24,600,0.0,1.0
2000-04-05,24,24,24,24,0,0.0,1.0
2000-04-06,22.5,22.5,22.200001,22.5,500,0.0,1.0
2000-04-07,22.049999,24.25,22.049999,24.15,52500,0.0,1.0
2000-04-10,25.049999,25.049999,25,25,800,0.0,1.0
2000-04-11,25,25,25,25,0,0.0,1.0
2000-04-12,23.200001,24.549999,23.200001,23.25,27500,0.0,1.0
2000-04-13,23.9,25.1,23,25.1,122000,0.0,1.0
2000-04-14,25.1,25.1,25.1,25.1,0,0.0,1.0
2000-04-17,25.1,25.1,25.1,25.1,0,0.0,1.0
2000-04-18,24.25,24.25,24.25,24.25,100,0.0,1.0
2000-04-19,24.25,24.25,24.25,24.25,0,0.0,1.0
2000-04-20,24.25,24.25,24.25,24.25,0,0.0,1.0
2000-04-21,24.25,24.25,24.25,24.25,0,0.0,1.0
2000-04-24,24.25,24.25,24.25,24.25,0,0.93603,1.0
2000-04-25,22.35,23.4,22.35,22.35,1400,0.0,1.0
2000-04-26,22.35,22.35,22.35,22.35,0,0.0,1.0
2000-04-27,22.35,22.35,22.35,22.35,0,0.0,1.0
2000-04-28,23,23.85,22.5,23.1,300,0.0,1.0
2000-05-01,23.1,23.1,23.1,23.1,0,0.0,1.0
2000-05-02,23.5,23.5,23.5,23.5,145000,0.0,1.0
2000-05-03,23.5,23.5,23.5,23.5,0,0.0,1.0
2000-05-04,23.450001,23.450001,23.450001,23.450001,200,0.0,1.0
2000-05-05,23.450001,23.450001,23.450001,23.450001,0,0.0,1.0
2000-05-08,23,23,22.65,22.65,900,0.0,1.0
2000-05-09,22.65,22.65,22.65,22.65,0,0.0,1.0
2000-05-10,21.5,21.5,20,21,900,0.0,1.0
2000-05-11,22.25,22.65,21.5,21.5,94700,0.0,1.0
2000-05-12,22,23.15,20,20.700001,37600,0.0,1.0
2000-05-15,20.299999,20.4,20.200001,20.299999,130700,0.0,1.0
2000-05-16,20,20.4,20,20.4,500,0.0,1.0
