date,open,high,low,close,volume,dividend,split
2017-12-06,190,200,190,196,55100,0.0,1.0
2018-03-14,179.100006,180,176.5,177.350006,80042,0.0,1.0
2018-03-15,178,183.899994,178,183.050003,36683,0.0,1.0
2018-03-16,183,184.949997,177.5,178.699997,23446,0.0,1.0
2018-03-19,178.949997,178.949997,172,173.149994,58386,0.0,1.0
2018-03-20,173.800003,174.399994,166.399994,167.649994,48595,0.0,1.0
2018-03-21,168.100006,172,168.100006,169.199997,39733,0.0,1.0
2018-03-22,170.699997,175,169.399994,169.949997,47501,0.0,1.0
2018-03-23,169,170.449997,163.300003,168.5,29997,0.0,1.0
2018-03-26,167,170.050003,165.199997,169,47837,0.0,1.0
2018-03-27,172,174.949997,171.050003,173.5,19460,0.0,1.0
2018-03-28,171.550003,172.149994,167.100006,167.800003,28049,0.0,1.0
2018-04-02,170.800003,173.350006,169.350006,172.649994,16798,0.0,1.0
2018-04-03,171,177.699997,171,172.5,47688,0.0,1.0
2018-04-04,174.5,175.75,170.25,170.850006,44048,0.0,1.0
2018-04-05,173.100006,175.5,171,171.75,49331,0.0,1.0
2018-04-06,173.600006,173.699997,170.5,170.800003,66716,0.0,1.0
2018-04-09,172.350006,182.350006,170.25,181.149994,357546,0.0,1.0
2018-04-10,180.899994,181.350006,175.600006,177.75,65677,0.0,1.0
2018-04-11,178,178.550003,175.300003,176.899994,39340,0.0,1.0
2018-04-12,177.100006,181,175.800003,177.449997,23608,0.0,1.0
2018-04-13,178.199997,179.149994,174.5,174.800003,24834,0.0,1.0
2018-04-16,174.5,178.350006,173.550003,174.600006,45756,0.0,1.0
2018-04-17,175.300003,178.149994,175.300003,175.949997,29790,0.0,1.0
2018-04-18,177,177.449997,174.899994,175.149994,24481,0.0,1.0
2018-04-19,173.300003,188.600006,173.300003,186.050003,143772,0.0,1.0
2018-04-20,185,195.649994,182.050003,193.199997,211180,0.0,1.0
2018-04-23,192.75,201.699997,192.699997,197.149994,138461,0.0,1.0
2018-04-24,198.149994,202,180.25,182.75,184280,0.0,1.0
2018-04-25,184,186.449997,177.5,178.75,133251,0.0,1.0
2018-04-26,180.199997,184.699997,176.75,177.600006,72689,0.0,1.0
2018-04-27,179.449997,180.949997,178.25,178.800003,25333,0.0,1.0
2018-04-30,179.050003,184.350006,179,179.449997,35901,0.0,1.0
2018-05-02,180.050003,184.800003,179.350006,180.5,45625,0.0,1.0
2018-05-03,179.550003,184.350006,179,181.199997,37165,0.0,1.0
2018-05-04,180.199997,183.75,180.199997,181.25,21927,0.0,1.0
2018-05-07,183.100006,192,183.100006,189.850006,161235,0.0,1.0
2018-05-08,190,191.699997,183,184.449997,46319,0.0,1.0
2018-05-09,184.600006,187.600006,182,182.850006,89945,0.0,1.0
2018-05-10,183.399994,184.100006,180,180.399994,28974,0.0,1.0
2018-05-11,179.699997,182.199997,178.449997,179.75,71787,0.0,1.0
2018-05-14,181,185,180.5,181.850006,80627,0.0,1.0
2018-05-15,180.5,196.300003,180.5,189.449997,314102,0.0,1.0
2018-05-16,190.300003,202.550003,188,191.699997,208140,0.0,1.0
2018-05-17,195.75,195.75,185.25,186.449997,63484,0.0,1.0
2018-05-18,188,188.800003,180.600006,182.850006,76161,0.0,1.0
2018-05-21,182.800003,188,179.649994,180.449997,82344,0.0,1.0
2018-05-22,180.75,190.649994,180.100006,188.75,87357,0.0,1.0
2018-05-23,188,194.600006,188,191.850006,117327,0.0,1.0
2018-05-24,193.850006,194.699997,185.850006,189.600006,46365,0.0,1.0
2018-05-25,190,193.5,189.25,190.449997,32921,0.0,1.0
2018-05-28,191,199,191,196.800003,45073,0.0,1.0
2018-05-29,196.850006,198.949997,189.199997,192.199997,67225,0.0,1.0
2018-05-30,192,199.199997,190.399994,196.850006,79686,0.0,1.0
2018-05-31,199.399994,199.399994,189.350006,190.399994,31560,0.0,1.0
2018-06-01,194.899994,194.899994,190.5,193.449997,33983,0.0,1.0
2018-06-04,192.75,194.850006,183.149994,186,48074,0.0,1.0
2018-06-05,186.949997,191.899994,183.350006,185.800003,78675,0.0,1.0
2018-06-06,186,193.649994,186,190.649994,42164,0.0,1.0
2018-06-07,191.350006,210.25,191.350006,203.199997,222805,0.0,1.0
2018-06-08,200.050003,217.800003,200.050003,214.300003,315517,0.0,1.0
2018-06-11,218.300003,228,218,226.350006,285928,0.0,1.0
2018-06-12,227.100006,233.199997,218.350006,230.75,326448,0.0,1.0
2018-06-13,230.899994,238,224.600006,228.75,181288,0.0,1.0
2018-06-14,227.699997,235.399994,225.800003,233.449997,119515,0.0,1.0
2018-06-15,234,240.600006,233.600006,238.5,152997,0.0,1.0
2018-06-18,239,242,226.800003,229.399994,89786,0.0,1.0
2018-06-19,229,229,216,217.75,111636,0.0,1.0
2018-06-20,218.699997,226.800003,217.5,223.649994,183722,0.0,1.0
2018-06-21,225.399994,225.399994,214.449997,216.199997,65673,0.0,1.0
2018-06-22,214.300003,222,209.800003,220.850006,135687,0.0,1.0
2018-06-25,220.199997,224.649994,214.350006,215.399994,47296,0.0,1.0
2018-06-26,213.050003,217.399994,210,210.850006,59885,0.0,1.0
2018-06-27,211,213.199997,201.350006,203.649994,75371,0.0,1.0
2018-06-28,202.100006,208.600006,199,200.050003,83378,0.0,1.0
2018-06-29,200.300003,209.5,200.300003,208.300003,161377,0.0,1.0
2018-07-02,209,210,203.550003,205.350006,24632,0.0,1.0
2018-07-03,203,213.300003,203,208.550003,52301,0.0,1.0
2018-07-04,210.800003,219.5,209.350006,218.449997,136904,0.0,1.0
2018-07-05,217.5,225.050003,215.949997,217.350006,116787,0.0,1.0
2018-07-06,219.449997,228.850006,218.100006,222.949997,140510,0.0,1.0
2018-07-09,225,229,224.399994,227.899994,80834,0.0,1.0
2018-07-10,230,232.399994,228.050003,229.699997,62786,0.0,1.0
2018-07-11,230,230,219.399994,220.399994,73473,0.0,1.0
2018-07-12,223.949997,225.649994,218,220.050003,39367,0.0,1.0
2018-07-13,221,221.149994,215,217.25,39402,0.0,1.0
2018-07-16,217,218,214.399994,216.300003,30180,0.0,1.0
2018-07-17,215.699997,223.699997,215.699997,222.100006,48812,0.0,1.0
2018-07-18,222.949997,226.199997,219,220.399994,47839,0.0,1.0
2018-07-19,222,222.300003,215.350006,216.600006,55325,0.0,1.0
2018-07-20,216,225.800003,215.300003,223.75,46362,0.0,1.0
2018-07-23,223.75,231.600006,220,230.050003,64485,0.0,1.0
2018-07-24,232,240.350006,229,238.050003,177395,0.0,1.0
2018-07-25,240,241.949997,230.399994,231.449997,59859,0.0,1.0
2018-07-26,230,235.25,227.5,228.800003,77603,0.0,1.0
2018-07-27,230.899994,239,228.350006,229.25,24187,0.0,1.0
2018-07-30,230.25,233.899994,227,229.699997,69944,0.0,1.0
2018-07-31,227.899994,233.5,227.899994,229.649994,30144,0.0,1.0
2018-08-01,229.75,234,220,221.100006,46625,0.0,1.0
2018-08-02,221.899994,226.899994,220.050003,222.449997,46230,0.0,1.0
2018-08-03,222.649994,225,222.300003,222.800003,47948,0.0,1.0
2018-08-06,223.75,227.949997,223.100006,225.100006,28937,0.0,1.0
2018-08-07,225,232,224.399994,229,72764,0.0,1.0
2018-08-08,228.850006,235,227.149994,230.050003,67060,0.0,1.0
2018-08-09,231.899994,234.649994,228.350006,230.350006,67552,0.0,1.0
2018-08-10,231.699997,238.199997,229.949997,234.699997,85751,0.0,1.0
2018-08-13,233.800003,239.149994,231.399994,233.75,72331,0.0,1.0
2018-08-14,236,238.75,227.100006,236.350006,87175,0.0,1.0
2018-08-16,238,241,229.199997,230.350006,111238,0.0,1.0
2018-08-17,233.899994,237,232.350006,233.25,59356,0.0,1.0
2018-08-20,234.899994,236.5,230.5,231.850006,35737,0.0,1.0
2018-08-21,232.699997,264.799988,224.550003,258,762653,0.0,1.0
2018-08-23,257,267,252.899994,260.649994,495238,0.0,1.0
2018-08-24,259.399994,264.799988,255.75,261.799988,170401,0.0,1.0
2018-08-27,262.549988,285,262.549988,272.25,515370,0.0,1.0
2018-08-28,273,295.049988,273,290.799988,400524,0.0,1.0
2018-08-29,295.049988,300.049988,267.600006,271.149994,522974,0.0,1.0
2018-08-30,272.75,280.75,271.75,278.649994,156586,0.0,1.0
2018-08-31,278,283.450012,273.049988,279.049988,94251,0.0,1.0
2018-09-03,281.899994,282.25,271,272.200012,118770,0.0,1.0
2018-09-04,274.5,274.5,258.100006,260.549988,91706,0.0,1.0
2018-09-05,260,275,260,271.600006,149160,0.0,1.0
2018-09-06,274.899994,283.75,274.25,280.450012,162136,0.0,1.0
2018-09-07,282,319,276.200012,309.399994,864309,0.0,1.0
2018-09-10,308.700012,322.399994,305,318.649994,336723,0.0,1.0
2018-09-11,324.25,337.700012,305.600006,309.100006,640338,0.0,1.0
2018-09-12,309.899994,315,298.700012,306.5,269894,0.0,1.0
2018-09-14,309,319,307.799988,312.700012,266052,0.0,1.0
2018-09-17,311.600006,318.399994,306.299988,314.75,257542,0.0,1.0
2018-09-18,315,317.25,298.149994,302.350006,153834,0.0,1.0
2018-09-19,302,307.5,284.25,289.399994,262359,0.0,1.0
2018-09-21,291.049988,293,232.899994,272.950012,299810,0.0,1.0
2018-09-24,274,275,263.700012,266.450012,141805,0.0,1.0
2018-09-25,268.899994,284.049988,264.950012,274.149994,169360,0.0,1.0
2018-09-26,278,289.399994,275.850006,278.799988,198783,0.0,1.0
2018-09-27,280.25,280.25,265.649994,267.200012,108882,0.0,1.0
2018-09-28,268.100006,274.5,263.100006,270.149994,159979,0.0,1.0
2018-10-01,272,273.799988,245.25,270.100006,194275,0.0,1.0
2018-10-03,270,280,264.700012,272.700012,108713,0.0,1.0
2018-10-04,266.100006,272,255.600006,263.799988,155049,0.0,1.0
2018-10-05,265,268.75,251,253,96454,0.0,1.0
2018-10-08,253,253,241,243.350006,80780,0.0,1.0
2018-10-09,244.800003,249,230,243.550003,323414,0.0,1.0
2018-10-10,239.100006,256.049988,237.399994,253.850006,132941,0.0,1.0
2018-10-11,245,253.800003,241.600006,244.550003,122173,0.0,1.0
2018-10-12,245.149994,261.649994,245.149994,258.149994,98466,0.0,1.0
2018-10-15,257,272,257,261.799988,120240,0.0,1.0
2018-10-16,264.399994,269.549988,257,258.450012,119618,0.0,1.0
2018-10-17,260.950012,261.799988,247,248.949997,145051,0.0,1.0
2018-10-19,247.199997,249.949997,241,243,100635,0.0,1.0
2018-10-22,246,248.899994,223.300003,229.800003,138492,0.0,1.0
2018-10-23,227.399994,227.699997,220.350006,223.350006,87635,0.0,1.0
2018-10-24,226,243.949997,218.300003,231.050003,141243,0.0,1.0
2018-10-25,223,232.399994,223,226.699997,90789,0.0,1.0
2018-10-26,227,235.25,222.399994,226.600006,75916,0.0,1.0
2018-10-29,229.850006,242.5,227.100006,240.449997,92805,0.0,1.0
2018-10-30,240,244.25,233.399994,235.899994,58958,0.0,1.0
2018-10-31,235.699997,245.850006,233.899994,242.25,61491,0.0,1.0
2018-11-01,245.949997,248.199997,239.100006,240.25,111309,0.0,1.0
2018-11-02,242.949997,249,234.149994,236.75,76102,0.0,1.0
2018-11-05,237.600006,242.5,236,240.75,60403,0.0,1.0
2018-11-06,243.449997,247.149994,239.550003,245.350006,46362,0.0,1.0
2018-11-07,247.899994,252,245.5,249.75,29471,0.0,1.0
2018-11-09,256.649994,257.600006,251,255.699997,65218,0.0,1.0
2018-11-12,255,260.5,251.699997,253.850006,40972,0.0,1.0
2018-11-13,252.5,257,251.300003,252.600006,76997,0.0,1.0
2018-11-14,255.850006,255.850006,243.949997,247.75,92545,0.0,1.0
2018-11-15,239,258,224,254.649994,369136,0.0,1.0
2018-11-16,250.800003,256,245.199997,247.449997,74265,0.0,1.0
2018-11-19,247.449997,253.850006,245.649994,247.300003,64608,0.0,1.0
2018-11-20,247.550003,250,245,245.149994,61882,0.0,1.0
2018-11-21,245.399994,251.949997,245.050003,246.300003,51025,0.0,1.0
2018-11-22,248.800003,254.449997,248.199997,250.75,81295,0.0,1.0
2018-11-26,251.899994,254.050003,245.5,247.550003,51355,0.0,1.0
2018-11-27,248.649994,250.75,245,246.5,40824,0.0,1.0
2018-11-28,251.949997,251.949997,235.199997,241.300003,56242,0.0,1.0
2018-11-29,243.600006,245.449997,238.949997,240.449997,44456,0.0,1.0
2018-11-30,240.75,244.100006,237.050003,241.5,34154,0.0,1.0
2018-12-03,241.100006,243.25,237,237.949997,64926,0.0,1.0
2018-12-04,237.300003,240,235.5,236.449997,32797,0.0,1.0
2018-12-05,235.550003,236.649994,231,232.899994,39833,0.0,1.0
2018-12-06,232,232.899994,225.600006,231.100006,33408,0.0,1.0
2018-12-07,230.899994,234.75,229.75,231.050003,31033,0.0,1.0
2018-12-10,228,229,219.25,223.149994,34693,0.0,1.0
2018-12-11,216.350006,232,216.350006,231,68150,0.0,1.0
2018-12-12,232.199997,239.199997,232,237.25,48114,0.0,1.0
2018-12-13,238,240.949997,235.5,236.649994,34773,0.0,1.0
2018-12-14,235.699997,238.300003,232.100006,233.050003,25108,0.0,1.0
2018-12-17,233,235.949997,230,230.600006,25522,0.0,1.0
2018-12-18,228.199997,231.050003,227.5,228.449997,29881,0.0,1.0
2018-12-19,230,235.949997,228,228.949997,41321,0.0,1.0
2018-12-20,227.050003,231.699997,227.050003,228.949997,16422,0.0,1.0
2018-12-21,228.050003,231,223.399994,224.850006,29328,0.0,1.0
2018-12-24,225.050003,227.5,221,221.800003,27408,0.0,1.0
2018-12-26,221,224.199997,216.899994,221.850006,33453,0.0,1.0
2018-12-27,224.949997,229.550003,222.649994,226.149994,51308,0.0,1.0
2018-12-28,227.75,233.300003,227.600006,229.899994,63589,0.0,1.0
2018-12-31,231.149994,234.399994,226.100006,227.350006,26956,0.0,1.0
2019-01-01,227.300003,233.899994,226.550003,232.350006,20795,0.0,1.0
2019-01-02,230.449997,239.800003,229.100006,236.449997,63383,0.0,1.0
2019-01-03,235.850006,238.399994,232.550003,234.300003,20717,0.0,1.0
2019-01-04,234.300003,236.949997,231.300003,232.550003,21408,0.0,1.0
2019-01-07,236.600006,236.600006,230,230.649994,11669,0.0,1.0
2019-01-08,230.75,233.149994,228.300003,229.5,23343,0.0,1.0
2019-01-09,230.100006,231.850006,223.149994,226.149994,26435,0.0,1.0
2019-01-10,226.199997,228.850006,224.399994,227.100006,17053,0.0,1.0
2019-01-11,229.100006,229.149994,223.300003,224.399994,19024,0.0,1.0
2019-01-14,224.5,224.5,217.550003,218.649994,27233,0.0,1.0
2019-01-15,218.5,222,216.100006,219.050003,22255,0.0,1.0
2019-01-16,221,226.199997,217.899994,219.550003,104340,0.0,1.0
2019-01-17,220,223.5,217.5,218.699997,24050,0.0,1.0
2019-01-18,218.550003,220,216.800003,217.600006,24080,0.0,1.0
2019-01-21,218.75,219.399994,209.050003,213.449997,37280,0.0,1.0
2019-01-22,212.550003,215.850006,209.050003,210.899994,22264,0.0,1.0
2019-01-23,211,212.850006,202.100006,204.100006,34637,0.0,1.0
2019-01-24,205.199997,207.300003,200,202.100006,25983,0.0,1.0
2019-01-25,204,204.75,191.100006,193.399994,58670,0.0,1.0
2019-01-28,194.850006,196.399994,183.25,186.100006,34283,0.0,1.0
2019-01-29,186,194,184.449997,192.75,38761,0.0,1.0
2019-01-30,194.699997,198.399994,191.850006,193.449997,34633,0.0,1.0
2019-01-31,195,195.550003,188.399994,192.899994,19954,0.0,1.0
2019-02-01,194.850006,195.600006,191.899994,194.600006,25788,0.0,1.0
2019-02-04,192.149994,201.850006,192.100006,199.899994,40607,0.0,1.0
2019-02-05,202.75,208.25,202.449997,205.550003,50483,0.0,1.0
2019-02-06,202.399994,231.449997,202.399994,220.300003,118363,0.0,1.0
2019-02-07,222.550003,230,221,228.149994,62517,0.0,1.0
2019-02-08,229.949997,236.800003,229.949997,232.399994,62999,0.0,1.0
2019-02-11,232.449997,233.800003,223.949997,225,14873,0.0,1.0
2019-02-12,225,239,225,236.449997,49584,0.0,1.0
2019-02-14,232.100006,234,223.800003,225.949997,29027,1.42348,1.0
2019-02-15,225.899994,228.449997,218.850006,222.449997,25209,0.0,1.0
2019-02-18,220.949997,226.899994,218.100006,224.100006,30572,0.0,1.0
2019-02-19,223.199997,227.449997,220.100006,221.550003,22540,0.0,1.0
2019-02-20,220.550003,226.699997,220.550003,221.800003,24389,0.0,1.0
2019-02-21,222.350006,237,220,234.25,60791,0.0,1.0
2019-02-22,237,240.100006,233.050003,235.300003,37058,0.0,1.0
2019-02-25,235.100006,237.899994,232.050003,234.649994,19814,0.0,1.0
2019-02-26,234,241.899994,228.399994,237.649994,78114,0.0,1.0
2019-02-27,237.649994,245.5,233.399994,239.350006,75396,0.0,1.0
2019-02-28,241.899994,242.800003,238.899994,240.850006,18579,0.0,1.0
2019-03-01,242.899994,246.550003,241.75,245.5,32940,0.0,1.0
2019-03-05,245.899994,254.399994,245.899994,252.899994,81537,0.0,1.0
2019-03-06,251.100006,257.149994,249.899994,252.399994,48587,0.0,1.0
2019-03-07,252.5,272.850006,251.100006,266.799988,165918,0.0,1.0
2019-03-08,269.850006,275,263.799988,265.100006,82421,0.0,1.0
2019-03-11,267,272.299988,265.299988,268.100006,47606,0.0,1.0
2019-03-12,269.75,270,258,261,43022,0.0,1.0
2019-03-13,261.700012,262.700012,245.699997,249.850006,61592,0.0,1.0
2019-03-14,251,254,247,250.5,37232,0.0,1.0
