date,open,high,low,close,volume,dividend,split
1995-07-12,11.7732,11.7732,11.3872,11.5802,177883,0.0,1.0
1995-07-13,11.5802,11.6767,11.4837,11.4837,146495,0.0,1.0
1995-07-14,11.4837,11.4837,11.2907,11.3872,133915,0.0,1.0
1995-07-17,11.5802,11.6767,11.3872,11.6767,238193,0.0,1.0
1995-07-18,11.7732,11.7732,11.5802,11.7732,340326,0.0,1.0
1995-07-19,11.7732,11.7732,11.5802,11.6767,167375,0.0,1.0
1995-07-20,11.7732,11.8697,11.6767,11.7732,164795,0.0,1.0
1995-07-21,11.6767,11.7732,11.5802,11.7732,155686,0.0,1.0
1995-07-25,11.6767,11.8697,11.1942,11.3872,443806,0.0,1.0
1995-07-26,11.7732,12.0627,11.5802,11.6767,524322,0.0,1.0
1995-07-27,11.5802,11.6767,11.4837,11.5802,150018,0.0,1.0
1995-07-28,10.8082,11.3872,10.8082,11.1942,264441,0.0,1.0
1995-07-31,11.0977,11.2907,11.0012,11.0977,124972,0.0,1.0
1995-08-01,11.0977,11.1942,10.9047,11.0977,117107,0.0,1.0
1995-08-02,11.2907,11.2907,11.0977,11.1942,114081,0.0,1.0
1995-08-03,11.2907,11.2907,11.0012,11.0977,102972,0.0,1.0
1995-08-04,11.0012,11.0977,10.9047,11.0977,117646,0.0,1.0
1995-08-07,11.0977,11.1942,10.6152,10.9047,310036,0.0,1.0
1995-08-08,10.8082,11.0977,10.7117,11.0977,342388,0.0,1.0
1995-08-09,11.0977,11.0977,10.9047,11.0012,163665,0.0,1.0
1995-08-11,10.9047,11.0012,10.8082,10.9047,225405,0.0,1.0
1995-08-14,10.8082,10.9047,10.6152,10.8082,128381,0.0,1.0
1995-08-16,10.7117,10.9047,10.7117,10.8082,91335,0.0,1.0
1995-08-17,10.8082,10.9047,10.7117,10.7117,92651,0.0,1.0
1995-08-21,10.8082,10.8082,10.7117,10.8082,153676,0.0,1.0
1995-08-22,10.6152,10.8082,10.6152,10.8082,182826,0.0,1.0
1995-08-24,10.7117,10.7117,10.4222,10.6152,282295,0.0,1.0
1995-08-25,10.5187,10.6152,10.4222,10.6152,221851,0.0,1.0
1995-08-28,10.5187,10.6152,10.5187,10.6152,80195,0.0,1.0
1995-08-31,10.6152,10.6152,10.2292,10.4222,278814,0.0,1.0
1995-09-01,10.2292,10.4222,10.1327,10.2292,432438,0.0,1.0
1995-09-04,10.2292,10.2292,9.84318,9.93968,209209,0.0,1.0
1995-09-05,9.84318,10.0362,9.74667,9.84318,516809,0.0,1.0
1995-09-06,9.93968,9.93968,9.74667,9.84318,300150,0.0,1.0
1995-09-07,10.1327,10.1327,9.84318,9.93968,175831,0.0,1.0
1995-09-08,9.93968,10.0362,9.84318,9.93968,137251,0.0,1.0
1995-09-11,9.93968,10.0362,9.84318,9.93968,520996,0.0,1.0
1995-09-12,9.93968,10.0362,9.84318,9.93968,261653,0.0,1.0
1995-09-13,9.93968,9.93968,9.74667,9.93968,232431,0.0,1.0
1995-09-14,9.93968,10.0362,9.84318,9.93968,85936,0.0,1.0
1995-09-15,9.84318,10.3257,9.84318,10.1327,166764,0.0,1.0
1995-09-18,10.2292,10.3257,9.93968,10.0362,206691,0.0,1.0
1995-09-19,10.0362,10.2292,9.93968,10.1327,241706,0.0,1.0
1995-09-20,10.3257,10.3257,10.1327,10.1327,331922,0.0,1.0
1995-09-21,10.1327,10.2292,10.1327,10.2292,284389,0.0,1.0
1995-09-22,10.2292,10.3257,10.1327,10.2292,516809,0.0,1.0
1995-09-25,10.2292,10.3257,10.1327,10.3257,242752,0.0,1.0
1995-09-26,10.3257,11.0012,10.2292,10.7117,476437,0.0,1.0
1995-09-27,10.5187,10.6152,10.4222,10.4222,207198,0.0,1.0
1995-09-28,10.5187,10.5187,10.2292,10.4222,243156,0.0,1.0
1995-09-29,10.3257,10.7117,10.3257,10.6152,178442,0.0,1.0
1995-10-04,10.7117,11.3872,10.7117,11.2907,707241,0.0,1.0
1995-10-05,11.6767,11.9662,11.2907,11.4837,1635266,0.0,1.0
1995-10-06,12.0627,12.1592,11.6767,11.7732,939610,0.0,1.0
1995-10-09,11.6767,11.6767,11.4837,11.5802,303653,0.0,1.0
1995-10-10,11.5802,11.5802,11.3872,11.3872,175727,0.0,1.0
1995-10-11,11.3872,11.3872,11.1942,11.1942,153448,0.0,1.0
1995-10-12,11.3872,11.4837,11.1942,11.3872,168194,0.0,1.0
1995-10-13,11.3872,11.5802,11.1942,11.5802,623357,0.0,1.0
1995-10-16,11.4837,11.6767,11.2907,11.6767,486261,0.0,1.0
1995-10-17,10.7117,11.6767,10.7117,11.5802,622714,0.0,1.0
1995-10-18,11.5802,11.6767,11.3872,11.3872,217882,0.0,1.0
1995-10-19,11.3872,11.3872,11.0977,11.1942,176950,0.0,1.0
1995-10-20,11.1942,11.1942,10.9047,11.0977,146526,0.0,1.0
1995-10-23,11.1942,11.4837,11.0012,11.3872,342999,0.0,1.0
1995-10-26,11.2907,11.3872,11.0977,11.2907,615119,0.0,1.0
1995-10-27,11.1942,11.4837,11.1942,11.3872,257861,0.0,1.0
1995-10-30,11.4837,11.5802,11.3872,11.4837,276068,0.0,1.0
1995-10-31,11.4837,11.5802,11.2907,11.5802,507121,0.0,1.0
1995-11-01,11.6767,11.7732,11.5802,11.5802,344740,0.0,1.0
1995-11-02,11.5802,11.8697,11.5802,11.6767,328108,0.0,1.0
1995-11-03,11.5802,11.6767,11.4837,11.4837,211758,0.0,1.0
1995-11-06,11.5802,11.5802,11.2907,11.3872,336098,0.0,1.0
1995-11-08,11.2907,11.4837,11.1942,11.4837,490333,0.0,1.0
1995-11-09,11.3872,11.5802,11.3872,11.4837,832607,0.0,1.0
1995-11-10,11.4837,11.4837,11.3872,11.3872,45875,0.0,1.0
1995-11-13,11.4837,11.4837,10.9047,10.9047,243716,0.0,1.0
1995-11-14,10.8082,11.0977,10.5187,10.8082,223374,0.0,1.0
1995-11-15,10.7117,10.9047,10.6152,10.8082,626455,0.0,1.0
1995-11-16,10.8082,10.8082,10.4222,10.6152,297663,0.0,1.0
1995-11-17,10.3257,10.5187,10.2292,10.4222,262006,0.0,1.0
1995-11-20,10.4222,10.5187,10.2292,10.2292,329062,0.0,1.0
1995-11-21,10.1327,10.2292,9.93968,10.0362,582010,0.0,1.0
1995-11-22,10.1327,10.1327,9.74667,9.84318,214639,0.0,1.0
1995-11-23,9.55367,9.84318,9.16766,9.36067,375558,0.0,1.0
1995-11-24,9.26416,9.93968,9.26416,9.79492,411879,0.0,1.0
1995-11-27,9.93968,10.0362,9.84318,9.93968,360854,0.0,1.0
1995-11-28,9.84318,9.84318,9.45717,9.65017,296762,0.0,1.0
1995-11-29,9.55367,9.65017,9.36067,9.55367,236172,0.0,1.0
1995-11-30,9.45717,9.74667,9.45717,9.69842,275487,0.0,1.0
1995-12-01,10.1327,10.1327,9.84318,9.84318,867166,0.0,1.0
1995-12-04,10.0362,10.2292,9.93968,10.1327,467111,0.0,1.0
1995-12-05,9.93968,10.5187,9.93968,10.4222,463474,0.0,1.0
1995-12-06,10.5187,10.8082,10.5187,10.8082,498126,0.0,1.0
