date,open,high,low,close,volume,dividend,split
2011-04-19,190,339,110.099998,282.700012,9578,0.0,1.0
2011-04-20,271.100006,277,268.600006,268.600006,559,0.0,1.0
2011-04-21,255.199997,255.199997,255.199997,255.199997,196,0.0,1.0
2011-04-25,242.449997,242.449997,242.449997,242.449997,291,0.0,1.0
2011-04-26,230.350006,230.350006,230.350006,230.350006,113,0.0,1.0
2011-04-27,218.850006,230,218.850006,219.25,4662,0.0,1.0
2011-04-28,210,230.199997,208.300003,230.199997,1378,0.0,1.0
2011-04-29,239.800003,241.699997,239.800003,241.699997,5673,0.0,1.0
2011-05-02,248.949997,248.949997,232,244.300003,1009,0.0,1.0
2011-05-03,236.100006,243,232.100006,237.899994,1366,0.0,1.0
2011-05-04,239.949997,239.949997,218,224.75,1411,0.0,1.0
2011-05-05,182.350006,229.949997,182.350006,199.149994,1361,0.0,1.0
2011-05-06,205,205,195,203.649994,796,0.0,1.0
2011-05-09,190,197.5,190,190.050003,1212,0.0,1.0
2011-05-10,200.050003,203,182.199997,191.949997,336,0.0,1.0
2011-05-11,175,192.5,175,191.600006,851,0.0,1.0
2011-05-12,205,205,188.449997,189.399994,310,0.0,1.0
2011-05-13,204,204,185,186.949997,222,0.0,1.0
2011-05-16,185,185,185,185,120,0.0,1.0
2011-05-17,185,194.899994,176.300003,194.899994,61,0.0,1.0
2011-05-18,195,197,180,197,178,0.0,1.0
2011-05-19,199,199,189.600006,189.800003,199,0.0,1.0
2011-05-20,182.050003,190.100006,182.050003,190.100006,218,0.0,1.0
2011-05-23,175.199997,187,175,181.75,507,0.0,1.0
2011-05-24,180,184,172,176.300003,371,0.0,1.0
2011-05-25,180,185,180,185,120,0.0,1.0
2011-05-26,171,187,171,186.5,45,0.0,1.0
2011-05-27,173.399994,186,173.399994,180.25,71,0.0,1.0
2011-05-30,190,216.300003,187.199997,216.300003,636,0.0,1.0
2011-05-31,230,248,221,238.949997,2627,0.0,1.0
2011-06-01,207,239.800003,207,225.449997,4458,0.0,1.0
