date,open,high,low,close,volume,dividend,split
2016-02-12,860,1032,805.900024,1021.950012,1315394,0.0,1.0
2016-02-15,1079,1175.900024,1079,1165.449951,393337,0.0,1.0
2016-02-16,1184,1207.699951,1105.25,1161.900024,293576,0.0,1.0
2016-02-17,1160,1161,1106.550049,1128.400024,100062,0.0,1.0
2016-02-18,1130,1153.650024,1115,1122.25,72303,0.0,1.0
2016-02-19,1129,1170,916,1137,839270,0.0,1.0
2016-02-22,1159.300049,1174.900024,1086.300049,1125.800049,260501,0.0,1.0
2016-02-23,1125,1140.5,1047.599976,1084.5,193369,0.0,1.0
2016-02-24,1094,1094,1048.849976,1063.349976,77905,0.0,1.0
2016-02-25,1065,1074.199951,1046,1052.400024,31225,0.0,1.0
2016-02-26,1055,1066,974,1013.200012,111629,0.0,1.0
2016-02-29,1004,1042,975.599976,1024.300049,84593,0.0,1.0
2016-03-01,1021,1075,1016.5,1053.75,58746,0.0,1.0
2016-03-02,1075,1093.5,1035.5,1051.75,54503,0.0,1.0
2016-03-03,1050.75,1063,1025,1042.25,46326,0.0,1.0
2016-03-04,1038,1066,1032,1038.75,21144,0.0,1.0
2016-03-08,1047,1054,1020,1024.25,14332,0.0,1.0
2016-03-09,1025,1045,1023,1032.5,11766,0.0,1.0
2016-03-10,1037.75,1059,1008.5,1018.5,20707,0.0,1.0
2016-03-11,1027.75,1030.25,971.25,979.5,20699,0.0,1.0
2016-03-14,981,1001,952.25,980.5,73203,0.0,1.0
2016-03-15,985,988.75,955.5,964,8745,0.0,1.0
2016-03-16,951,977,951,959,8602,0.0,1.0
2016-03-17,968.75,974.75,930,948,10441,0.0,1.0
2016-03-18,959,962.5,930,938.5,12498,0.0,1.0
2016-03-21,931,948,928,932.5,5533,0.0,1.0
2016-03-22,936,936,904.25,912,7271,0.0,1.0
2016-03-23,906,977.5,906,921.75,20151,0.0,1.0
2016-03-28,920,940,878,886,9721,0.0,1.0
2016-03-29,889,923,856.5,885.75,16783,0.0,1.0
2016-03-30,886,919.75,886,896.25,7560,0.0,1.0
2016-03-31,897.75,913.25,884.25,890.5,4551,0.0,1.0
2016-04-01,898,910.25,897,901,5164,0.0,1.0
2016-04-04,903.25,913.75,879.75,903.25,5694,0.0,1.0
2016-04-05,901.25,908,878,889.75,3760,0.0,1.0
2016-04-06,890,915,875,881.5,6797,0.0,1.0
2016-04-07,892,899,870,872.5,5397,0.0,1.0
2016-04-08,875,886.5,875,879.5,5030,0.0,1.0
2016-04-11,851,891,851,866.25,24522,0.0,1.0
2016-04-12,870,885.25,865.25,868.25,11928,0.0,1.0
2016-04-13,871.75,884.5,870.5,877.5,10117,0.0,1.0
2016-04-18,878.25,884,870.25,878.5,5376,0.0,1.0
2016-04-20,875.25,892,873.5,882.25,6265,0.0,1.0
2016-04-21,885.75,889,877,887,4773,0.0,1.0
2016-04-22,886.75,932,880,914,23194,0.0,1.0
2016-04-25,910,929,895.25,905.25,3623,0.0,1.0
2016-04-26,904,953,898,930.75,8137,0.0,1.0
2016-04-27,915.25,983.75,915.25,963.5,12787,0.0,1.0
2016-04-28,955,968,790,936.25,5103,0.0,1.0
2016-04-29,938.25,940,915,933.5,2238,0.0,1.0
2016-05-02,932.75,959.75,929.5,949,27415,0.0,1.0
2016-05-03,958.5,979.75,931,947.5,2868,0.0,1.0
2016-05-04,941,950.25,920,924.25,845,0.0,1.0
2016-05-05,940,942.5,919,923,387,0.0,1.0
2016-05-06,923,932,882.25,893.75,1153,0.0,1.0
2016-05-09,905,918,890,910,1897,0.0,1.0
2016-05-10,882,910,870,884.5,1054,0.0,1.0
2016-05-11,877,903,873.5,897.25,1176,0.0,1.0
2016-05-12,898,902,886,890.25,374,0.0,1.0
2016-05-13,890,890,868,879.75,1132,0.0,1.0
2016-05-16,892.25,997,870,962,18624,0.0,1.0
2016-05-17,962,970,902,912.25,4243,0.0,1.0
2016-05-18,896,948,892.25,934.25,6813,0.0,1.0
2016-05-19,931,964,910,919.25,4024,0.0,1.0
2016-05-20,930,940,906,922.5,3437,0.0,1.0
2016-05-23,930,961.950012,916.549988,940.450012,17507,0.0,1.0
2016-05-24,926,950.25,918.049988,927.900024,1704,0.0,1.0
2016-05-25,928,948.75,921,926.599976,640,0.0,1.0
2016-05-26,932,974.950012,925.5,944.25,383370,0.0,1.0
2016-05-27,951,964.650024,882.349976,943.150024,2308,0.0,1.0
2016-05-30,950,950,925,931.549988,815,0.0,1.0
2016-05-31,943.75,943.75,925,932,1201,0.0,1.0
2016-06-01,934.900024,938,910,918,800,0.0,1.0
2016-06-02,929.75,930.049988,919.950012,923,2169,0.0,1.0
2016-06-03,929.950012,934,907,911.150024,1533,0.0,1.0
2016-06-06,912.049988,918,905.5,911.25,710,0.0,1.0
2016-06-07,914.5,922.799988,905,916.049988,628,0.0,1.0
