date,open,high,low,close,volume,dividend,split
2000-01-03,8.1,9.45,8.1,9.1,3000,0.0,1.0
2000-01-04,8.25,8.5,7.9,8.05,3400,0.0,1.0
2000-01-05,8.1,8.9,8.1,8.1,3000,0.0,1.0
2000-01-06,7.95,8.7,7.95,8.55,3500,0.0,1.0
2000-01-07,8.5,8.9,8.1,8.25,2500,0.0,1.0
2000-01-10,8,8.55,8,8.05,6700,0.0,1.0
2000-01-11,8.1,8.1,7.4,7.6,2600,0.0,1.0
2000-01-12,7.6,8.4,7.6,8.25,2600,0.0,1.0
2000-01-13,7.55,8,7.55,8,1400,0.0,1.0
2000-01-14,7.8,8.2,7.75,8,2300,0.0,1.0
2000-01-17,7.75,7.75,7,7.35,1700,0.0,1.0
2000-01-18,7.15,7.65,7.15,7.4,3600,0.0,1.0
2000-01-19,7.15,8,7.15,8,5300,0.0,1.0
2000-01-20,7.75,7.95,7.55,7.95,1000,0.0,1.0
2000-01-21,7.55,8.1,7.5,7.9,5400,0.0,1.0
2000-01-24,8,8.1,7.35,8.1,2800,0.0,1.0
2000-01-25,8.25,8.4,8,8,3600,0.0,1.0
2000-01-26,8,8,8,8,0,0.0,1.0
2000-01-27,8,8.25,7.65,8.25,2600,0.0,1.0
2000-01-28,8,8.75,8,8.5,4500,0.0,1.0
2000-01-31,8,8.55,8,8.5,4700,0.0,1.0
2000-02-01,8.3,8.8,8.3,8.6,1000,0.0,1.0
2000-02-02,8.15,8.45,7.8,8.25,13600,0.0,1.0
2000-02-03,8.25,8.25,8.25,8.25,0,0.0,1.0
2000-02-04,8,8,7.65,7.75,1400,0.0,1.0
2000-02-07,8.2,9,7.5,7.8,3800,0.0,1.0
2000-02-08,7.8,8.1,7.5,7.55,8300,0.0,1.0
2000-02-09,7.25,8,7.25,7.55,3000,0.0,1.0
2000-02-10,8,8,7.5,7.6,4000,0.0,1.0
2000-02-11,7.5,7.9,7.25,7.65,4900,0.0,1.0
2000-02-14,8,8,7.25,7.25,3400,0.0,1.0
2000-02-15,7.3,7.5,7.3,7.3,3100,0.0,1.0
2000-02-16,6.05,7.6,6.05,7.35,5100,0.0,1.0
2000-02-17,7.3,7.8,7.1,7.35,9700,0.0,1.0
2000-02-18,7.3,7.9,7.1,7.35,2500,0.0,1.0
2000-02-21,6.5,7.6,6.5,7.55,3300,0.0,1.0
2000-02-22,8.1,8.1,7.35,7.85,2100,0.0,1.0
2000-02-23,7.9,7.9,7.05,7.5,2000,0.0,1.0
2000-02-24,7.75,8.4,7.75,8.25,4000,0.0,1.0
2000-02-25,7.75,8.95,7.75,8.4,6100,0.0,1.0
2000-02-28,8.3,8.8,7.25,7.45,8400,0.0,1.0
2000-02-29,8.25,8.95,7.6,7.6,55800,0.0,1.0
2000-03-01,7.5,8,7.25,7.6,1900,0.0,1.0
2000-03-02,7.6,7.8,7.5,7.5,4200,0.0,1.0
2000-03-03,7.75,7.75,7,7.35,2400,0.0,1.0
2000-03-06,7.9,8,7,7.3,2600,0.0,1.0
