date,open,high,low,close,volume,dividend,split
2002-07-01,1.12333,1.12333,1.12333,1.12333,558,0.0,1.0
2002-07-02,1.16889,1.34667,1.16889,1.23667,3150,0.0,1.0
2002-07-03,1.48222,1.48222,1.14778,1.17333,16695,0.0,1.0
2002-07-04,1.18222,1.40556,1.18222,1.40556,32949,0.0,1.0
2002-07-05,1.52,1.68444,1.35556,1.68444,27000,0.0,1.0
2002-07-08,1.68444,1.68444,1.68444,1.68444,450,0.0,1.0
2002-07-09,1.52,1.52,1.52,1.52,2925,0.0,1.0
2002-07-10,1.37222,1.37222,1.37222,1.37222,1332,0.0,1.0
2002-07-11,1.47778,1.50333,1.27111,1.27111,5148,0.0,1.0
2002-07-12,1.26667,1.26667,1.26667,1.26667,2484,0.0,1.0
2002-07-15,1.35111,1.35111,1.35111,1.35111,4320,0.0,1.0
2002-07-17,1.47333,1.47333,1.47333,1.47333,9,0.0,1.0
2002-07-18,1.33,1.33,1.33,1.33,900,0.0,1.0
2002-07-19,1.33,1.33,1.19889,1.19889,207,0.0,1.0
2002-07-22,1.30889,1.30889,1.30889,1.30889,1062,0.0,1.0
2002-07-23,1.19,1.19,1.18222,1.18222,4050,0.0,1.0
2002-07-24,1.18222,1.18222,1.18222,1.18222,4500,0.0,1.0
2002-07-25,1.06778,1.06778,1.06778,1.06778,396,0.0,1.0
2002-07-26,1.04667,1.05556,1.04667,1.05556,2169,0.0,1.0
2002-07-29,0.95444,0.95444,0.95444,0.95444,2250,0.0,1.0
2002-07-30,1.04222,1.04222,0.86556,0.86556,2250,0.0,1.0
2002-07-31,0.86556,0.86556,0.86556,0.86556,162,0.0,1.0
2002-08-01,0.84444,0.84444,0.84444,0.84444,72,0.0,1.0
2002-08-05,0.84444,0.92889,0.76778,0.92889,5130,0.0,1.0
2002-08-07,0.92889,0.92889,0.84889,0.84889,495,0.0,1.0
2002-08-08,0.82778,0.82778,0.82778,0.82778,540,0.0,1.0
2002-08-09,0.83111,0.84444,0.83111,0.84444,2304,0.0,1.0
2002-08-13,0.77222,0.77222,0.76444,0.76444,2790,0.0,1.0
2002-08-16,0.70111,0.84,0.70111,0.84,4437,0.0,1.0
2002-08-21,0.76444,0.76444,0.76444,0.76444,81,0.0,1.0
2002-08-22,0.76778,0.76778,0.68778,0.68778,20412,0.0,1.0
2002-08-26,0.72222,0.72222,0.72222,0.72222,261,0.0,1.0
2002-08-27,0.72222,0.72222,0.72222,0.72222,999,0.0,1.0
2002-08-28,0.73889,0.86111,0.73889,0.76,6345,0.0,1.0
2002-08-29,0.70889,0.76,0.70889,0.76,1350,0.0,1.0
2002-08-30,0.76444,0.84444,0.76444,0.77222,1107,0.0,1.0
2002-09-02,0.92,0.92,0.76778,0.76778,495,0.0,1.0
2002-09-03,0.84444,0.84444,0.84444,0.84444,225,0.0,1.0
2002-09-06,0.76444,0.76444,0.76444,0.76444,1350,0.0,1.0
2002-09-09,0.76,0.76,0.76,0.76,1467,0.0,1.0
2002-09-11,0.76444,0.76444,0.76444,0.76444,144,0.0,1.0
