date,open,high,low,close,volume,dividend,split
2011-10-14,62,67.800003,16.049999,18.1,47475546,0.0,1.0
2011-10-17,18.1,18.799999,15.05,15.85,2957487,0.0,1.0
2011-10-18,16.4,18.5,15.25,17.799999,3493252,0.0,1.0
2011-10-19,18.25,19.200001,17.200001,17.5,1228211,0.0,1.0
2011-10-20,17.5,17.5,16.25,16.549999,462007,0.0,1.0
2011-10-21,16.35,17.049999,16.049999,16.549999,516781,0.0,1.0
2011-10-24,16.799999,16.9,14.75,15.05,370888,0.0,1.0
2011-10-25,15.05,15.25,13.3,13.55,484558,0.0,1.0
2011-10-28,13.65,14,13.35,13.65,185632,0.0,1.0
2011-10-31,15,15,13.1,13.25,115001,0.0,1.0
2011-11-01,13.15,13.15,10.8,12.27,301254,0.0,1.0
2011-11-02,12,12,11.35,11.49,260151,0.0,1.0
2011-11-03,11.3,12.15,10.61,11.97,278136,0.0,1.0
2011-11-04,12,12.4,11.75,12.25,166639,0.0,1.0
2011-11-08,12.2,13,12.2,12.82,158061,0.0,1.0
2011-11-09,13.4,14.1,12.9,14.1,338725,0.0,1.0
2011-11-11,14.3,15.51,14.25,15.51,616313,0.0,1.0
2011-11-14,16.190001,16.280001,16,16.280001,251030,0.0,1.0
2011-11-15,16.74,16.74,15.47,15.47,114276,0.0,1.0
2011-11-16,14.7,14.7,14.7,14.7,65134,0.0,1.0
2011-11-17,13.97,14.5,13.97,13.97,89332,0.0,1.0
2011-11-18,13.5,14.35,13.45,14.28,161134,0.0,1.0
2011-11-21,14.5,14.7,14,14,78234,0.0,1.0
2011-11-22,14.15,14.17,13.31,13.6,100151,0.0,1.0
2011-11-23,13.5,13.75,12.93,12.93,63303,0.0,1.0
2011-11-24,12.5,12.88,12.29,12.52,71075,0.0,1.0
2011-11-25,12.25,13.14,11.9,13.14,40337,0.0,1.0
2011-11-28,13.15,13.75,12.51,12.94,190994,0.0,1.0
2011-11-29,12.95,13.4,12.64,12.89,182051,0.0,1.0
2011-11-30,13.34,13.34,12.25,12.25,37146,0.0,1.0
2011-12-01,12.36,12.76,12.25,12.46,36198,0.0,1.0
2011-12-02,12.18,12.68,12.17,12.35,27768,0.0,1.0
2011-12-05,12.05,12.55,11.9,12.21,37655,0.0,1.0
2011-12-07,12.6,12.6,11.63,12.03,55378,0.0,1.0
2011-12-08,11.65,12.63,11.61,11.8,27949,0.0,1.0
2011-12-09,11.95,12.18,11.4,11.82,20949,0.0,1.0
2011-12-12,11.92,12.41,11.62,11.71,52876,0.0,1.0
2011-12-13,11.26,11.8,11.13,11.16,47290,0.0,1.0
2011-12-14,11.45,11.45,10.61,10.88,44790,0.0,1.0
2011-12-15,10.7,10.7,10.34,10.35,26371,0.0,1.0
2011-12-16,10.11,10.41,9.84,9.84,36068,0.0,1.0
2011-12-19,10.2,10.33,9.35,10.28,69746,0.0,1.0
2011-12-20,10.7,10.7,9.94,10.51,76639,0.0,1.0
2011-12-21,10.98,10.98,10.21,10.77,22863,0.0,1.0
2011-12-22,10.4,10.74,10.4,10.53,13312,0.0,1.0
2011-12-23,10.51,10.83,10.35,10.41,13288,0.0,1.0
2011-12-26,10.02,10.73,10.02,10.37,22557,0.0,1.0
2011-12-27,10.7,10.7,10.21,10.28,20237,0.0,1.0
2011-12-28,10.1,10.55,10.05,10.14,24932,0.0,1.0
2011-12-29,9.7,9.87,9.64,9.64,39604,0.0,1.0
2011-12-30,9.16,9.98,9.16,9.29,52703,0.0,1.0
2012-01-02,8.85,9.14,8.83,8.83,18812,0.0,1.0
2012-01-03,8.51,8.79,8.39,8.42,54848,0.0,1.0
2012-01-04,8.39,8.39,8.16,8.36,17468,0.0,1.0
2012-01-05,8.4,8.42,8.03,8.34,10373,0.0,1.0
2012-01-06,8.25,8.49,8.12,8.27,6859,0.0,1.0
2012-01-09,8.4,8.5,8,8.29,17775,0.0,1.0
2012-01-10,8.49,8.64,8.17,8.57,10622,0.0,1.0
2012-01-11,8.88,8.99,8.51,8.96,8938,0.0,1.0
2012-01-12,9.23,9.4,9.05,9.4,31013,0.0,1.0
2012-01-13,9.31,9.8,9.15,9.58,27032,0.0,1.0
2012-01-16,9.12,10,9.12,9.89,27178,0.0,1.0
2012-01-17,10.25,10.35,9.7,10.03,13692,0.0,1.0
2012-01-18,9.71,10,9.6,9.61,7983,0.0,1.0
2012-01-19,9.84,9.84,9.13,9.3,14598,0.0,1.0
2012-01-20,9.3,9.55,8.95,9.07,15481,0.0,1.0
2012-01-23,8.8,9.39,8.75,8.94,14683,0.0,1.0
2012-01-24,8.68,9.04,8.68,8.7,9090,0.0,1.0
2012-01-25,8.32,9.11,8.32,8.83,2280,0.0,1.0
2012-01-27,8.56,9.03,8.46,8.66,27052,0.0,1.0
2012-01-30,8.42,8.98,8.42,8.66,5666,0.0,1.0
2012-01-31,8.5,9.05,8.5,8.94,18324,0.0,1.0
2012-02-01,9,9.19,8.77,8.98,8555,0.0,1.0
2012-02-02,8.61,9.35,8.61,9.33,35878,0.0,1.0
2012-02-03,8.91,9.17,8.87,8.9,15943,0.0,1.0
2012-02-06,8.9,9.26,8.8,8.86,23431,0.0,1.0
2012-02-07,9.17,9.17,8.67,8.75,39698,0.0,1.0
2012-02-08,8.82,8.9,8.6,8.7,5382,0.0,1.0
2012-02-09,8.42,9,8.42,8.88,12664,0.0,1.0
