date,open,high,low,close,volume,dividend,split
2002-05-29,4.9,4.9,4.85,4.9,200,0.0,1.0
2002-05-30,5.85,5.85,5.85,5.85,100,0.0,1.0
2002-05-31,7,7,7,7,100,0.0,1.0
2002-06-03,8.4,8.4,7,7,300,0.0,1.0
2002-06-04,7.05,8.4,7.05,8.4,400,0.0,1.0
2002-06-05,8.4,10,8.4,10,400,0.0,1.0
2002-06-06,8.55,8.55,8.55,8.55,200,0.0,1.0
2002-06-07,7,7,7,7,50,0.0,1.0
2002-06-10,6.85,8.4,6.85,8.4,400,0.0,1.0
2002-06-11,7.35,10.05,7.35,10.05,1600,0.0,1.0
2002-06-12,10,12,10,10.8,2800,0.0,1.0
2002-06-13,11.05,12.25,11.05,11.5,600,0.0,1.0
2002-06-14,10.5,12.65,10.5,12.6,2400,0.0,1.0
2002-06-17,13.45,13.85,12.7,12.7,2000,0.0,1.0
2002-06-18,12.9,13.9,11.95,13.4,2700,0.0,1.0
2002-06-19,12.9,12.9,12.9,12.9,100,0.0,1.0
2002-06-20,11.65,11.65,11.65,11.65,50,0.0,1.0
2002-06-21,10.65,12.5,10.6,12.5,1000,0.0,1.0
2002-06-24,11.3,11.3,11.3,11.3,100,0.0,1.0
2002-06-25,10.4,11.25,10.4,11.25,900,0.0,1.0
2002-06-26,11,11.5,10.55,11.05,1100,0.0,1.0
2002-07-01,10,10,9.65,9.65,700,0.0,1.0
2002-07-02,9.95,10,9.6,9.65,2000,0.0,1.0
2002-07-03,10,10.55,9.4,9.4,2700,0.0,1.0
2002-07-04,9,10.25,9,10,850,0.0,1.0
2002-07-05,10,10,9.25,9.25,150,0.0,1.0
2002-07-08,9.5,10.15,9.5,10.15,998,0.0,1.0
2002-07-09,10.25,10.95,10,10.8,1200,0.0,1.0
2002-07-10,9.85,10,9.85,10,850,0.0,1.0
2002-07-11,10.95,10.95,9.5,9.5,1700,0.0,1.0
2002-07-15,10.35,10.45,10.35,10.45,1100,0.0,1.0
2002-07-16,9.5,9.6,9.5,9.6,500,0.0,1.0
2002-07-17,10,10,9,9,300,0.0,1.0
2002-07-18,8.2,8.5,8.2,8.45,600,0.0,1.0
2002-07-19,9,9.15,9,9.15,200,0.0,1.0
2002-07-23,8.35,8.4,8.35,8.4,250,0.0,1.0
2002-07-24,8,8,8,8,300,0.0,1.0
2002-07-25,7.8,7.8,7.8,7.8,50,0.0,1.0
2002-07-26,8,8.55,7.25,7.3,300,0.0,1.0
2002-07-30,8,8,7.1,7.1,100,0.0,1.0
2002-07-31,7.8,7.8,7.8,7.8,50,0.0,1.0
2002-08-01,8.5,8.55,8.5,8.55,150,0.0,1.0
