date,open,high,low,close,volume,dividend,split
2007-06-13,45.205002,49.785,41.555,48.035,5767840,0.0,1.0
2007-06-14,49.5,51.299999,47.18,48.669998,1191730,0.0,1.0
2007-06-15,48.669998,49.360001,46.610001,47.285,1082190,0.0,1.0
2007-06-18,47.285,56.220001,45.099998,52.424999,2463470,0.0,1.0
2007-06-19,52.424999,56.154999,52.424999,54.145,1238310,0.0,1.0
2007-06-20,54.145,54.5,51.860001,52.994999,3145470,0.0,1.0
2007-06-21,52.994999,62.389999,52.325001,61.255001,1839960,0.0,1.0
2007-06-22,61.389999,61.654999,58.849998,59.424999,1645820,0.0,1.0
2007-06-25,59.424999,59.424999,57.215,57.695,654530,0.0,1.0
2007-06-26,57.5,63.580002,57.5,61.860001,567050,0.0,1.0
2007-06-27,61.860001,62.349998,58.825001,59.16,1193110,0.0,1.0
2007-06-28,59.16,60.990002,58.525002,58.834999,662290,0.0,1.0
2007-06-29,58.834999,60.25,57.255001,57.43,463300,0.0,1.0
2007-07-02,58,61.290001,56.700001,59.415001,434330,0.0,1.0
2007-07-03,59.415001,61.16,59.415001,59.674999,1059070,0.0,1.0
2007-07-04,60.169998,60.169998,57.775002,58.035,360640,0.0,1.0
2007-07-05,59.5,59.5,55.32,56.595001,432800,0.0,1.0
2007-07-06,56.799999,58.619999,55.724998,56.25,380590,0.0,1.0
2007-07-09,56.5,57.900002,56.115002,56.380001,278790,0.0,1.0
2007-07-10,56.799999,61.555,56.700001,59.41,388880,0.0,1.0
2007-07-11,59.41,59.700001,57.825001,58.09,537460,0.0,1.0
2007-07-12,58.674999,67.400002,58.645,65.184998,353490,0.0,1.0
2007-07-13,65.184998,66.849998,63.125,63.549999,729360,0.0,1.0
2007-07-16,64.099998,65.339996,63.43,63.950001,278420,0.0,1.0
2007-07-17,64.595001,66.449997,63.41,63.775002,298210,0.0,1.0
2007-07-18,64,65,61.535,62.34,324390,0.0,1.0
2007-07-19,62.68,63.889999,61.52,62.365002,332760,0.0,1.0
2007-07-20,62.900002,63.380001,60.334999,60.924999,255360,0.0,1.0
2007-07-23,60.900002,61.200001,58.650002,59.330002,275320,0.0,1.0
2007-07-24,59.330002,61.650002,59.330002,60.055,297720,0.0,1.0
2007-07-25,59.799999,59.799999,57.799999,58.209999,233890,0.0,1.0
2007-07-26,59.18,59.259998,57.5,58.014999,235290,0.0,1.0
2007-07-27,55.799999,57.400002,54.5,54.884998,309710,0.0,1.0
2007-07-30,54.705002,56.900002,53.200001,53.5,287270,0.0,1.0
2007-07-31,54.790001,62.435001,54.099998,60.52,413930,0.0,1.0
2007-08-01,59.439999,59.439999,49.700001,51.349998,416590,0.0,1.0
2007-08-02,44.965,57.889999,44.965,55.415001,8534570,0.0,1.0
2007-08-03,56,58.099998,55.91,56.32,309520,0.0,1.0
2007-08-06,53.400002,57.810001,52.5,56.09,338100,0.0,1.0
2007-08-07,58,59.654999,56.625,57.314999,321140,0.0,1.0
2007-08-08,57.955002,59.299999,57.325001,57.57,273410,0.0,1.0
2007-08-09,58.5,60.98,56.900002,57.259998,259720,0.0,1.0
2007-08-10,52.5,56.200001,52.5,55.685001,261580,0.0,1.0
2007-08-13,57.400002,58.48,56.68,57.134998,233120,0.0,1.0
2007-08-14,57.494999,58.5,55.799999,56.575001,258600,0.0,1.0
2007-08-16,53.990002,55.459999,52.110001,53.314999,289730,0.0,1.0
2007-08-17,53.68,55.299999,50.900002,52.055,220680,0.0,1.0
2007-08-20,55.799999,56.110001,52.16,52.16,265410,0.0,1.0
2007-08-21,54,54,50.299999,50.785,247540,0.0,1.0
2007-08-22,51.740002,52.959999,49.404999,51.125,287580,0.0,1.0
2007-08-23,52.665001,53.299999,50.299999,50.654999,258460,0.0,1.0
2007-08-24,51.5,53.150002,50.700001,51.84,253340,0.0,1.0
2007-08-27,52.555,53.290001,52.400002,52.805,263360,0.0,1.0
2007-08-28,52.860001,54.029999,52.599998,53.220001,398040,0.0,1.0
2007-08-29,52.5,53.445,52.325001,52.75,229630,0.0,1.0
2007-08-30,54.200001,56.369999,53.200001,54.735001,275360,0.0,1.0
2007-08-31,55.025002,57.740002,55.025002,57.18,268480,0.0,1.0
2007-09-03,57.599998,58.400002,57.299999,57.75,184060,0.0,1.0
2007-09-04,58.049999,58.59,57.200001,57.535,204020,0.0,1.0
2007-09-05,57.810001,64.150002,57.529999,61.605,5348890,0.0,1.0
2007-09-06,60.099998,64.489998,60.099998,61.389999,1813260,0.0,1.0
2007-09-07,62.5,63.279999,60.625,60.889999,1210180,0.0,1.0
2007-09-10,60.5,62.200001,59.985001,61.099998,689250,0.0,1.0
2007-09-11,61.915001,73.32,61.560001,73.32,12957300,0.0,1.0
2007-09-12,74,79.099998,71.125,71.885002,14368040,0.0,1.0
2007-09-13,72.5,81.900002,71.400002,79.309998,12364570,0.0,1.0
2007-09-14,80.5,82.675003,76.099998,77.379997,13544790,0.0,1.0
2007-09-17,78.769997,81.525002,76.010002,77.589996,8503490,0.0,1.0
2007-09-18,77.470001,80.224998,76.220001,77.010002,3588390,0.0,1.0
2007-09-19,78.5,80.169998,76.214996,76.650002,2379810,0.0,1.0
2007-09-20,77.5,77.690002,72.224998,72.620003,1467240,0.0,1.0
2007-09-21,73.199997,77.110001,72.025002,72.654999,2975870,0.0,1.0
2007-09-24,73.525002,74.699997,70.599998,71.360001,1031240,0.0,1.0
2007-09-25,71.754997,74.629997,70,70.525002,1530470,0.0,1.0
2007-09-26,71.199997,72.699997,69.5,69.980003,676020,0.0,1.0
