date,open,high,low,close,volume,dividend,split
2000-01-03,62.950001,63.799999,60.099998,63,4604,0.0,1.0
2000-01-04,60.599998,62.799999,60,60,5050,0.0,1.0
2000-01-05,60,60,56,57.049999,1712,0.0,1.0
2000-01-06,54.5,60,54.5,58.849998,6120,0.0,1.0
2000-01-07,56.5,57.5,55.25,56.299999,3800,0.0,1.0
2000-01-10,60,60,57,57.599998,1958,0.0,1.0
2000-01-11,56.5,59.5,55,55.900002,1400,0.0,1.0
2000-01-12,55,57,54.400002,55.099998,2466,0.0,1.0
2000-01-13,55,56.200001,53,55.400002,4900,0.0,1.0
2000-01-14,52.150002,55.849998,52.150002,54.25,3650,0.0,1.0
2000-01-17,57,58.549999,57,58,2074,0.0,1.0
2000-01-18,57,57.950001,55,56.950001,2350,0.0,1.0
2000-01-19,54.549999,57,54,55.5,3250,0.0,1.0
2000-01-20,57,57,53.5,54.799999,3700,0.0,1.0
2000-01-21,53.5,55,53,54.299999,5000,0.0,1.0
2000-01-24,53,54.849998,53,54.75,1950,0.0,1.0
2000-01-25,52.599998,54,52.599998,53,1462,0.0,1.0
2000-01-26,53,53,53,53,0,0.0,1.0
2000-01-27,53.75,57.200001,53.75,57.200001,4520,0.0,1.0
2000-01-28,61.5,61.75,60.799999,61.75,5400,0.0,1.0
2000-01-31,66.650002,66.650002,60,60.450001,13750,0.0,1.0
2000-02-01,62.5,62.5,58,58.950001,5950,0.0,1.0
2000-02-02,59.599998,59.599998,57,57,1400,0.0,1.0
2000-02-03,57,57,57,57,0,0.0,1.0
2000-02-04,58,58,54.5,55,5616,0.0,1.0
2000-02-07,57,57,54.400002,55.099998,2150,0.0,1.0
2000-02-08,54,58.25,52.400002,57.150002,4750,0.0,1.0
2000-02-09,53.5,53.599998,53.049999,53.049999,1324,0.0,1.0
2000-02-10,51.650002,53,51.5,52.349998,3666,0.0,1.0
2000-02-11,51.5,53,51,51.400002,7412,0.0,1.0
2000-02-14,50.349998,52.900002,50.299999,52,3908,0.0,1.0
2000-02-15,51,51.950001,51,51,1604,0.0,1.0
2000-02-16,50.099998,52,50.099998,51.400002,3700,0.0,1.0
2000-02-17,52,52,50,50.599998,2691,0.0,1.0
2000-02-18,50.099998,52.5,49.5,49.650002,4200,0.0,1.0
2000-02-21,50,50.900002,48.299999,48.599998,3448,0.0,1.0
2000-02-22,49,49.849998,48.349998,48.549999,5100,0.0,1.0
2000-02-23,50,50.75,48.25,48.5,2608,0.0,1.0
2000-02-24,48.25,49.5,48.049999,48.75,4800,0.0,1.0
2000-02-25,47,47.849998,45,47.099998,8800,0.0,1.0
2000-02-28,48.5,49.200001,46,48,3450,0.0,1.0
2000-02-29,49.200001,50,48,48,2400,0.0,1.0
2000-03-01,45.200001,48,45,48,2100,0.0,1.0
2000-03-02,47,49,44.5,44.849998,4608,0.0,1.0
2000-03-03,42,44.950001,42,43.150002,3250,0.0,1.0
2000-03-06,41.5,43.25,40,42,900,0.0,1.0
2000-03-07,44,44,39.299999,40.5,3300,0.0,1.0
2000-03-08,42,42,40,41,1904,0.0,1.0
2000-03-09,41,41.099998,39,39.5,3900,0.0,1.0
2000-03-10,38.650002,42.650002,38.650002,41.75,5400,0.0,1.0
2000-03-13,41.75,41.75,41.75,41.75,0,0.0,1.0
2000-03-14,43.700001,44.900002,42.599998,44,1500,0.0,1.0
2000-03-15,42.150002,43.799999,42.150002,42.150002,2250,0.0,1.0
2000-03-16,41.099998,44.049999,41.099998,42.5,2200,0.0,1.0
2000-03-17,42.5,42.5,42.5,42.5,0,0.0,1.0
2000-03-20,42.5,42.5,42.5,42.5,0,0.0,1.0
2000-03-21,41.549999,43.75,41.549999,42.5,600,0.0,1.0
2000-03-22,42.5,43,41.5,41.5,1400,0.0,1.0
2000-03-23,41.549999,42,41.5,41.549999,1085,0.0,1.0
2000-03-24,41.549999,41.75,41.5,41.549999,1350,0.0,1.0
2000-03-27,41.450001,44,41.450001,43,1300,0.0,1.0
2000-03-28,41,42,41,41.75,750,0.0,1.0
2000-03-29,39.049999,41.049999,39,41.049999,1108,0.0,1.0
2000-03-30,40.099998,40.700001,39.5,39.5,1500,0.0,1.0
2000-03-31,40,41.700001,39.099998,41,2600,0.0,1.0
2000-04-03,40.200001,43,40.099998,41.400002,700,0.0,1.0
2000-04-04,40.5,42,40.5,41.599998,1000,0.0,1.0
2000-04-05,42,42,40.5,40.5,900,0.0,1.0
2000-04-06,40.5,41.5,40.5,41,900,0.0,1.0
2000-04-07,41,41.900002,40.599998,40.599998,1550,0.0,1.0
2000-04-10,40.599998,42,40.599998,42,1100,0.0,1.0
2000-04-11,42,42,42,42,0,0.0,1.0
2000-04-12,40.049999,40.049999,39,40,1100,0.0,1.0
2000-04-13,38.799999,39.900002,38.799999,39.5,950,0.0,1.0
2000-04-14,39.5,39.5,39.5,39.5,0,0.0,1.0
2000-04-17,39.099998,39.099998,36.5,39,5150,0.0,1.0
2000-04-18,39,39.599998,39,39,400,0.0,1.0
2000-04-19,39,39.049999,38.700001,38.700001,450,0.0,1.0
2000-04-20,38,38.349998,37,37.5,2900,0.0,1.0
2000-04-21,37.5,37.5,37.5,37.5,0,0.0,1.0
2000-04-24,37.5,37.5,37.5,37.5,0,0.0,1.0
2000-04-25,36.900002,37.950001,36.099998,37,1050,0.0,1.0
2000-04-26,37,37,37,37,0,0.0,1.0
2000-04-27,39.950001,39.950001,38.049999,38.049999,650,0.0,1.0
2000-04-28,38.049999,39.150002,37.799999,39.150002,1250,0.0,1.0
2000-05-01,39.150002,39.150002,39.150002,39.150002,0,0.0,1.0
2000-05-02,36.25,38,36.25,37.049999,1100,0.0,1.0
2000-05-03,37.049999,37.049999,37.049999,37.049999,0,0.0,1.0
2000-05-04,37,37,37,37,100,0.0,1.0
2000-05-05,37,37,37,37,0,0.0,1.0
2000-05-08,38,38,36.5,36.900002,2000,0.0,1.0
2000-05-09,36.900002,36.900002,36.900002,36.900002,0,0.0,1.0
2000-05-10,37,37,35.75,36.200001,1700,0.0,1.0
2000-05-11,36.25,36.700001,36.25,36.700001,500,0.0,1.0
2000-05-12,35.099998,36.400002,34.5,35.950001,1750,0.0,1.0
2000-05-15,35.950001,35.950001,35.950001,35.950001,0,0.0,1.0
2000-05-16,38.799999,38.799999,34.5,34.5,200,0.0,1.0
2000-05-17,36.950001,37,36,36.099998,500,0.0,1.0
2000-05-18,34.650002,35.5,34.650002,35.5,300,0.0,1.0
2000-05-19,34.599998,35.450001,33.75,35.450001,1050,0.0,1.0
2000-05-22,33.799999,36,33.799999,36,500,0.0,1.0
2000-05-23,34.75,35,34.5,35,400,0.0,1.0
2000-05-24,33.75,33.75,33.75,33.75,300,0.0,1.0
2000-05-25,33.450001,35,33.400002,35,400,0.0,1.0
2000-05-26,33.5,35,33.5,34.150002,2050,0.0,1.0
2000-05-29,35.75,35.900002,35.75,35.799999,200,0.0,1.0
2000-05-30,33.299999,35.900002,33.299999,35.650002,1200,0.0,1.0
2000-05-31,35.900002,37.5,35.900002,37.5,450,0.0,1.0
2000-06-01,37.75,37.900002,36.5,36.5,800,0.0,1.0
2000-06-02,36.200001,36.200001,36,36,600,0.0,1.0
2000-06-05,34.549999,36,34.549999,35.099998,2308,0.0,1.0
2000-06-06,35,35,34.5,34.5,500,0.0,1.0
2000-06-07,34.5,34.5,33.700001,33.700001,450,0.0,1.0
2000-06-08,33,34.950001,32.75,34,550,0.0,1.0
2000-06-09,34,34.200001,34,34.099998,1100,0.0,1.0
2000-06-12,36.799999,36.799999,36.799999,36.799999,3450,0.0,1.0
2000-06-13,36.5,37,34.299999,36.900002,1600,0.0,1.0
2000-06-14,35.200001,35.5,35.099998,35.5,400,0.0,1.0
2000-06-15,34.549999,34.549999,33.700001,34.25,3750,0.0,1.0
2000-06-16,35.049999,35.049999,33.549999,34,2250,0.0,1.0
2000-06-19,34,34,34,34,0,0.0,1.0
2000-06-20,39.599998,39.599998,39,39.599998,2150,0.0,1.0
2000-06-21,40.599998,42.349998,36.5,39.5,1900,0.0,1.0
2000-06-22,42,42.5,41.849998,42.5,1400,0.0,1.0
2000-06-23,44,45.849998,42,45,1250,0.0,1.0
2000-06-26,46.700001,46.700001,42,42.099998,3405,0.0,1.0
2000-06-27,43.799999,43.799999,40.549999,43,3585,0.0,1.0
2000-06-28,43.349998,43.349998,41.25,41.25,1384,0.0,1.0
2000-06-29,41.799999,42.799999,41.400002,42.75,2090,0.0,1.0
2000-06-30,42.5,46.150002,42.5,45,3063,0.0,1.0
2000-07-03,45,45,44.799999,44.799999,350,0.0,1.0
2000-07-04,45.5,45.5,44,44,250,0.0,1.0
2000-07-05,43,44,43,44,204,0.0,1.0
