date,open,high,low,close,volume,dividend,split
2001-06-04,19,20.25,19,20.25,500,0.0,1.0
2001-06-07,18,18,18,18,100,0.0,1.0
2001-06-08,18,18,18,18,100,0.0,1.0
2001-06-11,17.75,19.5,17.6,19.5,900,0.0,1.0
2001-06-12,19.75,19.75,19.75,19.75,500,0.0,1.0
2001-06-14,20.299999,20.299999,20.25,20.299999,800,0.0,1.0
2001-06-15,20.299999,20.299999,20.299999,20.299999,400,0.0,1.0
2001-06-20,18.9,18.9,18,18.4,900,0.0,1.0
2001-06-25,16.799999,16.799999,16.799999,16.799999,600,0.0,1.0
2001-06-28,15.75,15.75,15.75,15.75,100,0.0,1.0
2001-06-29,16.9,16.9,16.9,16.9,200,0.0,1.0
2001-07-06,16.25,17.1,16.25,17.1,200,0.0,1.0
2001-07-19,14.4,14.4,14.4,14.4,400,0.0,1.0
2001-07-30,15.1,15.1,15.1,15.1,1,0.0,1.0
2001-07-31,17,17,17,17,35,0.0,1.0
2001-08-10,16.25,16.25,16.25,16.25,100,0.0,1.0
2001-08-13,17.549999,17.549999,17.549999,17.549999,100,0.0,1.0
2001-08-14,17.5,17.5,17.5,17.5,100,0.0,1.0
2001-08-17,16.299999,16.299999,16.1,16.1,300,0.0,1.0
2001-08-21,16.299999,16.299999,16.299999,16.299999,50,0.0,1.0
2001-08-24,16.5,16.5,16.5,16.5,100,0.0,1.0
2001-08-28,16.049999,17.25,16.049999,17.25,300,0.0,1.0
2001-08-30,16.5,16.5,16.5,16.5,200,0.0,1.0
2001-08-31,17,17,16.5,16.5,500,0.0,1.0
2001-09-04,15.35,15.35,15.35,15.35,100,0.0,1.0
2001-09-10,15.05,15.1,15.05,15.1,100,0.0,1.0
2001-09-26,14.2,14.2,14.1,14.1,200,0.0,1.0
2001-10-03,14.5,14.5,14.5,14.5,100,0.0,1.0
2001-10-19,15.75,16,15.5,15.85,300,0.0,1.0
2001-10-23,17,17,17,17,20,0.0,1.0
2001-10-30,17.5,17.5,17.5,17.5,50,0.0,1.0
2001-11-19,18.65,18.65,18.65,18.65,50,0.0,1.0
2001-12-31,18.5,18.5,18.5,18.5,300,0.0,1.0
2002-01-01,16.25,16.25,15.8,16.049999,600,0.0,1.0
2002-01-02,15.6,15.6,15.6,15.6,100,0.0,1.0
2002-01-03,17.5,17.5,16,16,600,0.0,1.0
2002-01-04,16.1,16.1,16,16,400,0.0,1.0
2002-01-07,16,16,16,16,100,0.0,1.0
2002-01-08,16.1,16.299999,15,15,1200,0.0,1.0
2002-01-10,16.200001,16.200001,16.200001,16.200001,200,0.0,1.0
2002-01-11,16,16,15,15.1,2100,0.0,1.0
2002-01-14,15.7,15.7,15,15,1000,0.0,1.0
2002-01-15,15.2,15.2,14.5,14.5,1100,0.0,1.0
2002-01-16,14.7,15.15,14.65,14.75,600,0.0,1.0
2002-01-18,15.5,15.5,15,15.5,3300,0.0,1.0
2002-01-21,15.8,15.8,15.8,15.8,100,0.0,1.0
2002-01-22,16,16,16,16,50,0.0,1.0
2002-01-23,15.5,15.5,14.85,14.85,500,0.0,1.0
2002-01-29,14.85,14.85,14.85,14.85,100,0.0,1.0
2002-01-30,14.85,14.85,14,14.1,2300,0.0,1.0
