date,open,high,low,close,volume,dividend,split
2000-02-10,1724,1799,1650,1780.949951,11800,0.0,1.0
2000-02-11,1805,1923.400024,1771.25,1923.400024,19500,0.0,1.0
2000-02-14,2050,2077.25,1951,2077.25,46000,0.0,1.0
2000-02-15,2070,2243.399902,2005,2243.25,42100,0.0,1.0
2000-02-16,2300,2422.699951,2200,2419.050049,23500,0.0,1.0
2000-02-17,2480,2612.550049,2337,2608.199951,16700,0.0,1.0
2000-02-18,2680,2816.800049,2680,2816.800049,35600,0.0,1.0
2000-02-21,2900,2995,2592.5,2603.850098,13200,0.0,1.0
2000-02-22,2585,2740,2500,2691.300049,11600,0.0,1.0
2000-02-23,2651.699951,2651.699951,2476.100098,2521.899902,9100,0.0,1.0
2000-02-24,2575,2600,2351,2375.5,2200,0.0,1.0
2000-02-25,2400,2400,2187.5,2200.300049,12600,0.0,1.0
2000-02-28,2130,2350,2025,2125,19300,0.0,1.0
2000-02-29,2060,2205,1955.5,1955.5,6600,0.0,1.0
2000-03-01,1960,2111.899902,1920,2111.899902,27600,0.0,1.0
2000-03-02,2233,2280.800049,2233,2280.800049,3700,0.0,1.0
2000-03-03,2463.25,2463.25,2360,2463.25,26500,0.0,1.0
2000-03-06,2525,2660.300049,2469,2659.949951,38800,0.0,1.0
2000-03-07,2600,2872.699951,2482,2872.199951,36600,0.0,1.0
2000-03-08,2900,3101.949951,2850,3071.199951,35800,0.0,1.0
2000-03-09,3100,3100,2825.550049,2899.5,12000,0.0,1.0
2000-03-10,2800,2949,2667.550049,2777.100098,3900,0.0,1.0
2000-03-13,2777.100098,2777.100098,2777.100098,2777.100098,0,0.0,1.0
2000-03-14,2451,2759,2350.600098,2494.449951,8700,0.0,1.0
2000-03-15,2294.899902,2465,2294.899902,2398.449951,3900,0.0,1.0
2000-03-16,2400,2400,2206.600098,2208.850098,6300,0.0,1.0
2000-03-17,2208.850098,2208.850098,2208.850098,2208.850098,0,0.0,1.0
2000-03-20,2208.850098,2208.850098,2208.850098,2208.850098,0,0.0,1.0
2000-03-21,2225,2320,2205,2248.649902,3600,0.0,1.0
2000-03-22,2300,2428.5,2299,2428.5,20300,0.0,1.0
2000-03-23,2501,2520,2400,2437.100098,11100,0.0,1.0
2000-03-24,2242.149902,2380,2242.149902,2317.5,4100,0.0,1.0
2000-03-27,2440,2440,2210,2224.300049,1800,0.0,1.0
2000-03-28,2190,2190,2046.400024,2085.649902,6100,0.0,1.0
2000-03-29,2084,2084,2025,2027.75,900,0.0,1.0
2000-03-30,1885,1885,1865.550049,1880,500,0.0,1.0
2000-03-31,1750,2030,1729.650024,1996.25,4800,0.0,1.0
2000-04-03,2010,2010,1836.599976,1836.599976,500,0.0,1.0
2000-04-04,1836.599976,1836.599976,1836.599976,1836.599976,0,0.0,1.0
2000-04-05,1836.599976,1836.599976,1836.599976,1836.599976,0,0.0,1.0
2000-04-06,1836.599976,1836.599976,1836.599976,1836.599976,0,0.0,1.0
2000-04-07,1689.699951,1983.5,1689.699951,1983.5,27700,0.0,1.0
2000-04-10,2142.149902,2142.149902,1900,1907,17400,0.0,1.0
2000-04-11,1907,1907,1907,1907,0,0.0,1.0
2000-04-12,1614.099976,1614.099976,1614.099976,1614.099976,400,0.0,1.0
2000-04-13,1485,1485,1485,1485,700,0.0,1.0
2000-04-14,1485,1485,1485,1485,0,0.0,1.0
2000-04-17,1485,1485,1485,1485,0,0.0,1.0
2000-04-18,1485,1485,1485,1485,0,0.0,1.0
2000-04-19,1485,1485,1485,1485,0,0.0,1.0
2000-04-20,1485,1485,1485,1485,0,0.0,1.0
2000-04-21,1485,1485,1485,1485,0,0.0,1.0
2000-04-24,1485,1485,1485,1485,0,0.0,1.0
2000-04-25,1485,1485,1485,1485,0,0.0,1.0
2000-04-26,1485,1485,1485,1485,0,0.0,1.0
2000-04-27,1485,1485,1485,1485,0,0.0,1.0
2000-04-28,1485,1485,1485,1485,0,0.0,1.0
2000-05-01,1485,1485,1485,1485,0,0.0,1.0
2000-05-02,801,801,800,800,200,0.0,1.0
2000-05-03,800,800,800,800,0,0.0,1.0
2000-05-04,736.049988,788,665,753,6000,0.0,1.0
2000-05-05,753,753,753,753,0,0.0,1.0
2000-05-08,870,903.950012,815,815,2900,0.0,1.0
2000-05-09,815,815,815,815,0,0.0,1.0
2000-05-10,849,860,740,740,1900,0.0,1.0
2000-05-11,700,729,700,725.349976,2000,0.0,1.0
2000-05-12,716.25,721,668,677.400024,2000,0.0,1.0
2000-05-15,624,660,620,640,2100,0.0,1.0
2000-05-16,639,639,596.150024,596.150024,1300,0.0,1.0
2000-05-17,630,650,610.200012,613,5600,0.0,1.0
2000-05-18,564,564,539.450012,539.599976,3900,0.0,1.0
2000-05-19,497,545,495,516.849976,1600,0.0,1.0
2000-05-22,499,500,454.850006,454.850006,1800,0.0,1.0
2000-05-23,448,509.399994,419,509,4000,0.0,1.0
2000-05-24,490,536,470,526,1500,0.0,1.0
2000-05-25,535,554,499,499.799988,1300,0.0,1.0
2000-05-26,492,539.75,480,533,4500,0.0,1.0
2000-05-29,517.5,520,500,500,600,0.0,1.0
2000-05-30,510,537.900024,507.5,537.900024,1900,0.0,1.0
2000-05-31,580.900024,602.400024,580.900024,602.400024,600,0.0,1.0
2000-06-01,624.950012,628.799988,595,600,6700,0.0,1.0
2000-06-02,642.5,671.950012,632,671.900024,5400,0.0,1.0
2000-06-05,725.599976,752.5,725.599976,734.349976,12400,0.0,1.0
2000-06-06,735,780,701,756.150024,7400,0.0,1.0
2000-06-07,793,825,777.700012,787,6000,0.0,1.0
2000-06-08,831.950012,831.950012,780,798.900024,4200,0.0,1.0
2000-06-09,800,800,735,784.349976,12200,0.0,1.0
2000-06-12,809,809.900024,713,718.150024,10200,0.0,1.0
2000-06-13,695,700,645,653.200012,57800,0.0,1.0
2000-06-14,667,669,651,654.599976,31100,0.0,1.0
2000-06-15,644.099976,653.900024,625,639.849976,9800,0.0,1.0
2000-06-16,628.900024,685,628.900024,680.25,16300,0.0,1.0
2000-06-19,680.25,680.25,680.25,680.25,0,0.0,1.0
2000-06-20,853.25,853.25,853.25,853.25,100,0.0,1.0
2000-06-21,921.5,955.599976,900,905.25,19400,0.0,1.0
2000-06-22,939,960.900024,881,928.650024,19600,0.0,1.0
2000-06-23,891,908.5,877,893.849976,11800,0.0,1.0
2000-06-26,851.099976,912,826.099976,904.150024,8800,3.07398,1.0
2000-06-27,925.900024,942,887,894.950012,20500,0.0,1.0
2000-06-28,894.950012,900,878,896.450012,6100,0.0,1.0
2000-06-29,920,924.5,888,894,6900,0.0,1.0
2000-06-30,880,896.5,875,882.75,5700,0.0,1.0
2000-07-03,901,901,871,884.099976,8600,0.0,1.0
2000-07-04,895.400024,900,880,886,3100,0.0,1.0
2000-07-05,870,870,816,830.25,9300,0.0,1.0
2000-07-06,832,843,786.099976,816.349976,9200,0.0,1.0
2000-07-07,816.349976,816.349976,816.349976,816.349976,0,0.0,1.0
2000-07-10,816.349976,816.349976,816.349976,816.349976,0,0.0,1.0
2000-07-11,780,780,735,739.549988,7400,0.0,1.0
2000-07-12,720,757,653,748.099976,20000,0.0,1.0
2000-07-13,768,768,700,702.849976,11700,0.0,1.0
2000-07-14,710,727.950012,680.099976,690.599976,22700,0.0,1.0
2000-07-17,710,710,630,633.5,23500,0.0,1.0
2000-07-18,620,624.650024,575,579.400024,48800,0.0,1.0
2000-07-19,578.950012,614,563,573.75,27600,0.0,1.0
2000-07-20,568,568,514,521.450012,31200,0.0,1.0
2000-07-21,548,549,479.75,481.450012,34400,0.0,1.0
2000-07-24,481.450012,481.450012,481.450012,481.450012,0,0.0,1.0
2000-07-25,375,461,355,423.450012,138800,0.0,1.0
2000-07-26,434.950012,460,415.049988,420.549988,87300,0.0,1.0
2000-07-27,420.549988,420.549988,420.549988,420.549988,0,0.0,1.0
2000-07-28,424,437,412.100006,415.25,34300,0.0,1.0
2000-07-31,404,409.75,393.100006,399.399994,25700,0.0,1.0
2000-08-01,406,410,375,381.350006,52100,0.0,1.0
2000-08-02,376,411,361.100006,403.450012,45600,0.0,1.0
2000-08-03,391.25,402,385,387.149994,16700,0.0,1.0
2000-08-04,394,394,364,371.100006,26800,0.0,1.0
2000-08-07,378,386.950012,371,376.649994,16500,0.0,1.0
2000-08-08,379.950012,394,373.5,376.350006,52800,0.0,1.0
2000-08-09,381,427,381,411.100006,60800,0.0,1.0
2000-08-10,415,433,401.600006,404.5,39200,0.0,1.0
2000-08-11,401,402,384,389.649994,21100,0.0,1.0
2000-08-14,380,414,377,410.200012,36500,0.0,1.0
2000-08-15,410.200012,410.200012,410.200012,410.200012,0,0.0,1.0
2000-08-16,428,428,410,422.75,21600,0.0,1.0
2000-08-17,422,426.5,405,409.25,9300,0.0,1.0
2000-08-18,410.950012,419,402.25,414.75,13400,0.0,1.0
2000-08-21,430,453,418,420.600006,81800,0.0,1.0
2000-08-22,434,447,417,435.049988,67200,0.0,1.0
2000-08-23,438,474,438,448.25,87100,0.0,1.0
2000-08-24,449,455,437.25,450.700012,19700,0.0,1.0
2000-08-25,460,522,455,507.450012,38700,0.0,1.0
2000-08-28,548,548,507.100006,514.900024,75100,0.0,1.0
2000-08-29,503.25,514.900024,452,472.100006,66600,0.0,1.0
2000-08-30,479,493.399994,466.25,474.049988,39600,0.0,1.0
2000-08-31,472,499,463.149994,486.649994,46600,0.0,1.0
2000-09-01,486.649994,486.649994,486.649994,486.649994,0,0.0,1.0
