date,open,high,low,close,volume,dividend,split
2007-12-28,63.098999,73.237503,61.667999,65.519997,29583833,0.0,1.0
2007-12-31,69.93,78.624001,66.100502,78.624001,25707078,0.0,1.0
2008-01-01,81.499496,84.464996,78.407997,79.6455,15946989,0.0,1.0
2008-01-02,79.983002,80.459999,75.712502,76.468498,4457178,0.0,1.0
2008-01-03,76.050003,77.040001,71.558998,72,2941967,0.0,1.0
2008-01-04,72.981003,77.220001,69.300003,70.9785,3876767,0.0,1.0
2008-01-07,71.550003,74.691002,69.75,70.352997,2050867,0.0,1.0
2008-01-08,71.095497,72.720001,67.635002,68.328003,1765844,0.0,1.0
2008-01-09,67.594498,68.489998,65.259003,65.691002,1325711,0.0,1.0
2008-01-10,65.884499,69.75,63.900002,64.579498,1810156,0.0,1.0
2008-01-11,65.610001,65.610001,63.184502,63.683998,751489,0.0,1.0
2008-01-14,63.683998,66.599998,63.683998,64.547997,810311,0.0,1.0
2008-01-15,65.25,67.050003,64.349998,64.376999,593433,0.0,1.0
2008-01-16,63.09,64.250999,59.849998,61.231499,769789,0.0,1.0
2008-01-17,63,65.605499,61.501499,63.5355,1153200,0.0,1.0
2008-01-18,62.216999,63.890999,59.040001,60.142502,524978,0.0,1.0
2008-01-21,59.400002,59.400002,51.488998,53.977501,1150044,0.0,1.0
2008-01-22,51.75,51.75,43.186501,45.747002,1181444,0.0,1.0
2008-01-23,46.889999,54.810001,46.889999,53.945999,429322,0.0,1.0
2008-01-24,55.98,56.141998,46.984501,48.622501,561478,0.0,1.0
2008-01-25,51.209999,52.200001,49.59,51.943501,312889,0.0,1.0
2008-01-28,50.400002,55.259998,49.594501,53.685001,377589,0.0,1.0
2008-01-29,54.630001,55.611,52.200001,53.765999,284300,0.0,1.0
2008-01-30,54.720001,54.720001,51.389999,52.514999,312356,0.0,1.0
2008-01-31,51.862499,53.009998,50.710499,51.754501,99678,0.0,1.0
2008-02-01,52.650002,52.650002,49.049999,50.436001,188567,0.0,1.0
2008-02-04,51.48,53.549999,50.849998,51.592499,255178,0.0,1.0
2008-02-05,51.66,52.650002,50.868,52.033501,218922,0.0,1.0
2008-02-06,50.220001,53.631001,49.054501,52.0425,219411,0.0,1.0
2008-02-07,52.200001,53.279999,50.445,50.778,138711,0.0,1.0
2008-02-08,51.291,51.291,47.700001,48.672001,163956,0.0,1.0
2008-02-11,47.348999,48.419998,41.939999,44.604,247122,0.0,1.0
2008-02-12,42.75,45,41.400002,43.0425,197567,0.0,1.0
2008-02-13,44.099998,44.459999,41.409,42.75,106767,0.0,1.0
2008-02-14,42.848999,45.850498,42.029999,45.4095,136111,0.0,1.0
2008-02-15,44.145,47.223,40.59,46.7145,176244,0.0,1.0
2008-02-18,47.16,49.77,47.078999,49.225498,128733,0.0,1.0
2008-02-19,50.400002,50.841,49.049999,49.581001,131511,0.0,1.0
2008-02-20,49.054501,49.139999,47.132999,47.294998,90222,0.0,1.0
2008-02-21,48.105,48.599998,46.349998,46.349998,75122,0.0,1.0
2008-02-22,45.450001,45.886501,44.5905,45.004501,137656,0.0,1.0
2008-02-25,45,45.004501,43.254002,44.549999,41678,0.0,1.0
2008-02-26,44.342999,45.810001,44.099998,44.361,101044,0.0,1.0
2008-02-27,45,46.165501,44.82,45,92900,0.0,1.0
2008-02-28,45.09,45.09,44.0145,44.4105,136944,0.0,1.0
2008-02-29,44.549999,45.247501,43.757999,44.055,70500,0.0,1.0
