date,open,high,low,close,volume,dividend,split
2002-02-06,6.215,6.215,6.215,6.215,260,0.0,1.0
2002-02-07,6,7.455,6,7.455,50000,0.0,1.0
2002-02-08,8.945,8.945,6,6.01,1e+05,0.0,1.0
2002-02-11,7,7,6,6,1000,0.0,1.0
2002-02-12,6.1,6.1,6.1,6.1,14000,0.0,1.0
2002-02-13,7.31,7.32,7.1,7.32,710,0.0,1.0
2002-02-14,6.96,6.96,6.96,6.96,10000,0.0,1.0
2002-02-15,8.3,8.3,6.5,6.96,12000,0.0,1.0
2002-02-21,7.8,8,6.62,6.62,350,0.0,1.0
2002-02-25,5.3,5.3,5.3,5.3,10,0.0,1.0
2002-03-01,6,6,6,6,500,0.0,1.0
2002-03-11,6,6,6,6,500,0.0,1.0
2002-03-18,6.1,6.1,6.1,6.1,50,0.0,1.0
2002-03-19,6.7,6.7,6.7,6.7,59000,0.0,1.0
2002-03-20,6.7,6.7,6.7,6.7,500,0.0,1.0
2002-03-21,6.7,6.7,6.025,6.025,1000,0.0,1.0
2002-03-22,6.4,6.4,6.4,6.4,200,0.0,1.0
2002-03-27,5.6,5.7,5.6,5.7,500,0.0,1.0
2002-04-04,6,6,5.5,5.5,1e+05,0.0,1.0
2002-04-05,5.5,6,5.5,5.6,102000,0.0,1.0
2002-04-08,6,6,6,6,20000,0.0,1.0
2002-04-09,6,6.4,6,6,101000,0.0,1.0
2002-04-10,5,6.015,5,6,113000,0.0,1.0
2002-04-11,6,6.01,6,6,102000,0.0,1.0
2002-04-12,6.2,6.2,6,6,1e+05,0.0,1.0
2002-04-15,6,6,6,6,1e+05,0.0,1.0
2002-04-16,6.03,6.03,6,6,120000,0.0,1.0
2002-04-17,6.05,6.35,5.215,5.225,103000,0.0,1.0
2002-04-18,6.27,6.27,6.27,6.27,50,0.0,1.0
2002-04-22,6.3,6.3,6.3,6.3,500,0.0,1.0
2002-04-23,5.51,5.51,5.51,5.51,50,0.0,1.0
2002-04-24,6.195,6.195,5.985,5.985,1000,0.0,1.0
2002-04-25,6.1,6.1,4.795,4.795,5000,0.0,1.0
2002-04-26,5.6,5.75,5.6,5.75,550,0.0,1.0
2002-04-30,5.995,5.995,5.995,5.995,1000,0.0,1.0
2002-05-03,6,6,5.6,6,120,0.0,1.0
2002-05-07,6,6,6,6,1000,0.0,1.0
2002-05-10,6,6,5.99,5.995,1000,0.0,1.0
2002-05-14,5.99,6,5.705,5.85,2000,0.0,1.0
2002-05-15,6,6,6,6,250,0.0,1.0
2002-05-16,6.2,6.2,5.51,5.51,460,0.0,1.0
2002-05-17,5.7,5.7,5.5,5.5,4000,0.0,1.0
2002-05-21,5.8,5.995,5,5.77,70,0.0,1.0
2002-05-24,4.9,5,4.9,5,40,0.0,1.0
2002-05-29,4.205,6,4.205,6,10000,0.0,1.0
2002-05-30,6,6,6,6,3000,0.0,1.0
2002-06-03,5.8,5.8,5.8,5.8,20,0.0,1.0
2002-06-04,5.8,5.8,5.8,5.8,500,0.0,1.0
2002-06-05,5.95,5.95,5.95,5.95,580,0.0,1.0
2002-06-06,5.95,5.95,5.95,5.95,980,0.0,1.0
2002-06-10,6,6,6,6,10000,0.0,1.0
2002-06-11,5.9,6,5.9,6,3000,0.0,1.0
2002-06-12,6,6,5.96,6,112000,0.0,1.0
2002-06-13,6,6,5.03,6,102000,0.0,1.0
2002-06-14,7.14,7.14,6,6.01,104000,0.0,1.0
2002-06-17,6.1,6.5,6.1,6.135,101000,0.0,1.0
2002-06-18,6.105,6.795,6.105,6.795,20000,0.0,1.0
2002-06-19,6.5,7.085,6.5,6.62,540,0.0,1.0
2002-06-20,7.935,7.935,6.315,7.6,258000,0.0,1.0
2002-06-21,8.79,8.79,6.7,7.835,760,0.0,1.0
2002-06-24,9.37,9.37,7.3,7.895,3000,0.0,1.0
2002-06-25,7.99,7.99,7,7.25,4000,0.0,1.0
2002-06-26,7.3,7.4,7.3,7.4,4000,0.0,1.0
