date,open,high,low,close,volume,dividend,split
2017-12-06,1.98,2.09,1.98,2.09,10200,0.0,1.0
2018-03-14,1.31,1.4,1.31,1.4,589,0.0,1.0
2018-03-15,1.45,1.45,1.45,1.45,50,0.0,1.0
2018-03-16,1.45,1.45,1.45,1.45,0,0.0,1.0
2018-03-19,1.45,1.45,1.45,1.45,0,0.0,1.0
2018-03-20,1.38,1.51,1.38,1.51,200,0.0,1.0
2018-03-21,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-03-22,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-03-23,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-03-26,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-03-27,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-03-28,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-04-02,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-04-03,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-04-04,1.51,1.51,1.51,1.51,0,0.0,1.0
2018-04-05,1.44,1.44,1.44,1.44,100,0.0,1.0
2018-04-06,1.44,1.44,1.44,1.44,0,0.0,1.0
2018-04-09,1.37,1.43,1.37,1.43,125,0.0,1.0
2018-04-10,1.36,1.5,1.36,1.5,1390,0.0,1.0
2018-04-11,1.43,1.43,1.43,1.43,100,0.0,1.0
2018-04-12,1.43,1.43,1.43,1.43,0,0.0,1.0
2018-04-13,1.36,1.41,1.36,1.41,204,0.0,1.0
2018-04-16,1.34,1.34,1.34,1.34,314,0.0,1.0
2018-04-17,1.28,1.34,1.28,1.34,150,0.0,1.0
2018-04-18,1.34,1.34,1.34,1.34,0,0.0,1.0
2018-04-19,1.28,1.39,1.28,1.39,507,0.0,1.0
2018-04-20,1.33,1.33,1.33,1.33,860,0.0,1.0
2018-04-23,1.33,1.33,1.33,1.33,1000,0.0,1.0
2018-04-24,1.33,1.33,1.33,1.33,500,0.0,1.0
2018-04-25,1.27,1.27,1.27,1.27,6000,0.0,1.0
2018-04-26,1.21,1.27,1.21,1.27,400,0.0,1.0
2018-04-27,1.21,1.21,1.21,1.21,27908,0.0,1.0
2018-04-30,1.26,1.26,1.15,1.15,1973,0.0,1.0
2018-05-02,1.2,1.2,1.12,1.12,16088,0.0,1.0
2018-05-03,1.12,1.12,1.12,1.12,0,0.0,1.0
2018-05-04,1.11,1.12,1.11,1.12,399,0.0,1.0
2018-05-07,1.12,1.12,1.12,1.12,0,0.0,1.0
2018-05-08,1.12,1.12,1.12,1.12,510,0.0,1.0
2018-05-09,1.16,1.16,1.1,1.1,4487,0.0,1.0
2018-05-10,1.05,1.06,1.05,1.06,20000,0.0,1.0
2018-05-11,1.06,1.06,1.06,1.06,0,0.0,1.0
2018-05-14,1.11,1.11,1.02,1.02,5100,0.0,1.0
2018-05-15,1.05,1.07,1.05,1.07,5501,0.0,1.0
2018-05-16,1.12,1.12,1.12,1.12,11000,0.0,1.0
2018-05-17,1.17,1.17,1.17,1.17,1,0.0,1.0
2018-05-18,1.17,1.17,1.17,1.17,5000,0.0,1.0
2018-05-21,1.15,1.15,1.12,1.12,3028,0.0,1.0
2018-05-22,1.17,1.17,1.17,1.17,5000,0.0,1.0
2018-05-23,1.17,1.17,1.17,1.17,0,0.0,1.0
2018-05-24,1.17,1.17,1.17,1.17,100,0.0,1.0
2018-05-25,1.12,1.12,1.12,1.12,3808,0.0,1.0
2018-05-28,1.12,1.12,1.12,1.12,0,0.0,1.0
2018-05-29,1.17,1.17,1.07,1.07,200,0.0,1.0
2018-05-30,1.02,1.02,1.02,1.02,63,0.0,1.0
2018-05-31,1.02,1.02,1.02,1.02,0,0.0,1.0
2018-06-01,1.02,1.02,1.02,1.02,0,0.0,1.0
2018-06-04,0.98,1,0.98,1,2008,0.0,1.0
2018-06-05,1,1,1,1,0,0.0,1.0
2018-06-06,1,1,1,1,0,0.0,1.0
2018-06-07,1.05,1.05,1.05,1.05,500,0.0,1.0
2018-06-08,1.05,1.05,1.05,1.05,0,0.0,1.0
2018-06-11,1.05,1.05,1.05,1.05,0,0.0,1.0
2018-06-12,1.05,1.05,1.05,1.05,0,0.0,1.0
2018-06-13,1,1,1,1,195,0.0,1.0
2018-06-14,0.95,1,0.95,1,1025,0.0,1.0
2018-06-15,0.95,1.05,0.95,1.05,8147,0.0,1.0
2018-06-18,1.1,1.1,1.02,1.02,29717,0.0,1.0
2018-06-19,0.97,0.97,0.97,0.97,2500,0.0,1.0
2018-06-20,0.93,0.93,0.93,0.93,4750,0.0,1.0
2018-06-21,0.97,0.97,0.97,0.97,20808,0.0,1.0
2018-06-22,0.93,1,0.93,1,2648,0.0,1.0
2018-06-25,1,1,1,1,0,0.0,1.0
2018-06-26,1,1,1,1,0,0.0,1.0
2018-06-27,1.05,1.05,1.05,1.05,1800,0.0,1.0
2018-06-28,1.1,1.1,1.1,1.1,1,0.0,1.0
2018-06-29,1.1,1.1,1.1,1.1,0,0.0,1.0
2018-07-02,1.1,1.1,1.1,1.1,0,0.0,1.0
2018-07-03,1.1,1.1,1.1,1.1,10000,0.0,1.0
2018-07-04,1.1,1.1,1.1,1.1,0,0.0,1.0
2018-07-05,1.1,1.1,1.1,1.1,500,0.0,1.0
2018-07-06,1.1,1.1,1.1,1.1,0,0.0,1.0
2018-07-09,1.07,1.07,1.07,1.07,1070,0.0,1.0
2018-07-10,1.02,1.12,1.02,1.12,416,0.0,1.0
2018-07-11,1.12,1.12,1.12,1.12,0,0.0,1.0
2018-07-12,1.12,1.12,1.12,1.12,0,0.0,1.0
2018-07-13,1.07,1.07,1.07,1.07,3728,0.0,1.0
2018-07-16,1.07,1.07,1.07,1.07,0,0.0,1.0
2018-07-17,1.12,1.12,1.03,1.03,1500,0.0,1.0
2018-07-18,1.03,1.03,1.03,1.03,0,0.0,1.0
2018-07-19,0.98,0.98,0.98,0.98,816,0.0,1.0
2018-07-20,1.02,1.02,1,1.02,951,0.0,1.0
2018-07-23,1.02,1.02,1.02,1.02,0,0.0,1.0
2018-07-24,1,1,0.98,0.98,5066,0.0,1.0
2018-07-25,0.98,0.98,0.98,0.98,1,0.0,1.0
2018-07-26,0.98,0.98,0.98,0.98,0,0.0,1.0
2018-07-27,0.94,0.98,0.94,0.94,5613,0.0,1.0
