date,open,high,low,close,volume,dividend,split
2005-07-06,5.92,6.44,5.6,5.99,120456080,0.0,1.0
2005-07-07,6.05,6.3,5.73,5.81,20405925,0.0,1.0
2005-07-08,5.92,6.05,5.85,6.01,4109500,0.0,1.0
2005-07-11,6.19,6.3,6.06,6.12,4205000,0.0,1.0
2005-07-12,6.16,6.16,5.9,5.99,2316500,0.0,1.0
2005-07-13,5.92,6.08,5.75,5.79,1818000,0.0,1.0
2005-07-14,5.87,5.87,5.61,5.62,1567500,0.0,1.0
2005-07-15,5.6,6.74,5.5,6.74,7601000,0.0,1.0
2005-07-18,7,7.19,6.52,6.68,7759500,0.0,1.0
2005-07-19,6.66,6.84,6.42,6.63,3088000,0.0,1.0
2005-07-20,6.67,6.85,6.51,6.58,2119500,0.0,1.0
2005-07-21,6.74,6.76,6.32,6.41,1506000,0.0,1.0
2005-07-22,6.52,6.75,6.5,6.55,2001500,0.0,1.0
2005-07-25,6.64,6.74,6.3,6.38,945000,0.0,1.0
2005-07-26,6.7,6.72,6.08,6.16,425155,0.0,1.0
2005-07-27,6.02,6.2,5.8,5.98,313500,0.0,1.0
2005-07-29,5.72,6.13,5.7,5.73,412000,0.0,1.0
2005-08-01,5.7,5.9,5.7,5.73,245000,0.0,1.0
2005-08-02,5.83,6.8,5.83,6.48,1598000,0.0,1.0
2005-08-03,6.6,7,6,6.06,6919500,0.0,1.0
2005-08-04,6.36,6.55,6.2,6.49,2418500,0.0,1.0
2005-08-05,6.48,6.55,6.2,6.24,860500,0.0,1.0
2005-08-08,6.29,6.46,6.05,6.09,399500,0.0,1.0
2005-08-09,6.26,6.27,6.05,6.1,298500,0.0,1.0
2005-08-10,6.35,6.35,6.01,6.19,448500,0.0,1.0
2005-08-11,6.3,6.3,6.1,6.14,351500,0.0,1.0
2005-08-12,6.24,6.3,5.82,6,437000,0.0,1.0
2005-08-16,6.14,6.14,5.94,6,299500,0.0,1.0
2005-08-17,6.1,6.19,5.96,6.05,1215000,0.0,1.0
2005-08-18,6.1,6.54,6.1,6.37,1700000,0.0,1.0
2005-08-19,6.44,6.57,6.21,6.32,846000,0.0,1.0
2005-08-22,6.4,6.45,6.2,6.24,476500,0.0,1.0
2005-08-23,6.24,6.3,5.88,5.9,450000,0.0,1.0
2005-08-24,6,6,5.74,5.8,323500,0.0,1.0
2005-08-25,6,6,5.78,5.91,313925,0.0,1.0
2005-08-26,6,6.12,5.94,6,184000,0.0,1.0
2005-08-29,6,6.13,5.8,6.02,235500,0.0,1.0
2005-08-30,6.16,6.18,5.94,5.99,334715,0.0,1.0
2005-08-31,6.1,6.48,5.94,6.24,1155000,0.0,1.0
2005-09-01,6.3,6.32,6.05,6.1,535000,0.0,1.0
2005-09-02,6.14,6.14,5.98,6,425500,0.0,1.0
2005-09-05,6.1,6.1,5.84,5.91,314000,0.0,1.0
2005-09-06,5.9,6.7,5.9,6.31,2567500,0.0,1.0
2005-09-08,6.38,6.64,6.25,6.29,1544000,0.0,1.0
2005-09-09,6.16,6.36,6.02,6.09,777000,0.0,1.0
2005-09-12,6.18,6.3,6.14,6.21,534000,0.0,1.0
2005-09-13,6.21,6.3,6.2,6.23,760975,0.0,1.0
2005-09-14,6.2,6.3,5.96,6.01,592000,0.0,1.0
2005-09-15,6.22,6.22,5.9,5.97,553500,0.0,1.0
2005-09-16,6.19,6.19,5.97,6.02,660000,0.0,1.0
2005-09-19,6.5,6.5,5.91,5.95,816500,0.0,1.0
2005-09-20,6,6.09,5.85,5.9,439000,0.0,1.0
2005-09-21,5.94,6,5.2,5.62,629500,0.0,1.0
2005-09-22,5.43,5.68,4.6,4.69,899500,0.0,1.0
2005-09-23,5,5.11,4.71,5.01,525590,0.0,1.0
2005-09-26,5.02,5.38,5.02,5.36,344500,0.0,1.0
2005-09-27,5.4,5.45,5.2,5.28,363000,0.0,1.0
2005-09-28,5.44,5.44,5,5.12,242565,0.0,1.0
2005-09-29,5.2,5.2,4.87,4.91,259500,0.0,1.0
2005-09-30,4.7,5,4.41,4.63,570500,0.0,1.0
2005-10-03,4.7,4.86,4.7,4.77,224500,0.0,1.0
2005-10-04,4.71,5,4.7,4.87,361500,0.0,1.0
2005-10-05,4.9,4.9,4.74,4.8,145500,0.0,1.0
2005-10-06,4.74,4.85,4.66,4.78,122500,0.0,1.0
2005-10-07,4.9,4.9,4.6,4.64,238500,0.0,1.0
2005-10-10,4.74,4.76,4.5,4.51,171000,0.0,1.0
2005-10-11,4.59,4.59,4.42,4.53,62000,0.0,1.0
2005-10-13,4.5,4.59,4.46,4.54,119000,0.0,1.0
2005-10-14,5.38,5.38,4.41,4.47,232500,0.0,1.0
2005-10-17,4.59,4.59,4.21,4.25,129000,0.0,1.0
2005-10-18,4.3,4.36,4.24,4.28,144325,0.0,1.0
2005-10-19,4.3,4.33,3.85,3.9,226050,0.0,1.0
2005-10-20,4,4.11,3.64,3.71,213450,0.0,1.0
2005-10-21,3.72,3.83,3.53,3.64,250275,0.0,1.0
2005-10-24,3.7,3.92,3.69,3.77,230500,0.0,1.0
2005-10-25,3.82,3.87,3.8,3.82,58125,0.0,1.0
2005-10-26,3.87,4,3.8,3.89,60500,0.0,1.0
2005-10-27,3.84,3.9,3.72,3.79,82500,0.0,1.0
2005-10-28,3.66,3.73,3.56,3.6,91995,0.0,1.0
