date,open,high,low,close,volume,dividend,split
2002-07-01,0.00605,0.00627,0.00605,0.00605,155844,0.0,1.0
2002-07-02,0.00613,0.00648,0.00613,0.00641,291611,-0.03471,1.0
2002-07-03,0.00634,0.00634,0.00613,0.00613,137592,0.85881,1.0
2002-07-04,0.00613,0.00613,0.0057,0.0057,77641,-1.81729,1.0
2002-07-05,0.00563,0.0062,0.00556,0.00613,189540,1.95439,1.0
2002-07-08,0.00598,0.00627,0.00598,0.00605,45630,-0.81484,1.0
2002-07-09,0.00591,0.0062,0.00591,0.0062,80028,0.23554,1.0
2002-07-10,0.00605,0.00627,0.00605,0.00605,87048,-0.22984,1.0
2002-07-11,0.00605,0.00605,0.00605,0.00605,7020,0.0,1.0
2002-07-12,0.00605,0.00613,0.00605,0.00605,8424,0.0,1.0
2002-07-15,0.00605,0.00613,0.00584,0.00591,52229,0.18017,1.0
2002-07-16,0.00598,0.00598,0.00598,0.00598,7020,-1.09222,1.0
2002-07-17,0.00563,0.00641,0.00563,0.00605,208634,0.92057,1.0
2002-07-18,0.00613,0.00634,0.00605,0.0062,74412,0.23554,1.0
2002-07-19,0.00584,0.00584,0.00584,0.00584,8424,0.04839,1.0
2002-07-23,0.00548,0.00548,0.00548,0.00548,7020,-0.44863,1.0
2002-07-24,0.00556,0.0057,0.00556,0.00563,62899,0.74088,1.0
2002-07-25,0.00584,0.00584,0.0057,0.0057,39312,-1.59680,1.0
2002-07-26,0.00534,0.00556,0.00534,0.00548,54756,0.81404,1.0
2002-07-29,0.00527,0.0057,0.00527,0.00527,59249,-0.73723,1.0
2002-07-30,0.00541,0.00556,0.00534,0.00556,113584,1.10626,1.0
2002-07-31,0.00548,0.00548,0.00548,0.00548,14040,-0.32374,1.0
2002-08-02,0.00563,0.00563,0.00548,0.00548,15444,0.0,1.0
2002-08-05,0.00534,0.00577,0.00534,0.00577,57564,0.06569,1.0
2002-08-06,0.0057,0.0057,0.0057,0.0057,8424,-0.91161,1.0
2002-08-08,0.0057,0.00577,0.00563,0.00563,40716,1.57719,1.0
2002-08-09,0.00577,0.00577,0.00563,0.0057,7020,-1.59680,1.0
2002-08-13,0.00584,0.00584,0.00584,0.00584,7020,1.34561,1.0
2002-08-14,0.00584,0.00584,0.00577,0.00577,100386,-0.40668,1.0
2002-08-19,0.0057,0.00584,0.00563,0.00577,29063,0.0,1.0
2002-08-20,0.00584,0.00584,0.00584,0.00584,18252,0.41161,1.0
2002-08-21,0.00605,0.00605,0.00598,0.00598,15444,-1.18664,1.0
2002-08-22,0.00605,0.00605,0.00605,0.00605,6178,0.92057,1.0
2002-08-23,0.00605,0.00605,0.00591,0.00605,9547,0.0,1.0
2002-08-26,0.00577,0.00577,0.0057,0.00577,35100,-0.13967,1.0
2002-08-27,0.00577,0.00627,0.00577,0.0062,71183,0.38562,1.0
2002-08-28,0.00499,0.00613,0.00499,0.00584,63180,0.04839,1.0
2002-08-29,0.00584,0.00598,0.00584,0.00598,29484,-1.18664,1.0
2002-08-30,0.00577,0.00577,0.00577,0.00577,65988,0.73829,1.0
2002-09-02,0.00591,0.00591,0.00577,0.00577,32292,0.0,1.0
2002-09-04,0.0057,0.0057,0.0057,0.0057,14040,-0.91161,1.0
2002-09-05,0.0057,0.00627,0.0057,0.00577,35100,0.92281,1.0
2002-09-06,0.0057,0.00591,0.0057,0.00591,40014,0.32322,1.0
2002-09-09,0.00598,0.00598,0.00598,0.00598,281,-1.09222,1.0
2002-09-11,0.00548,0.00548,0.00548,0.00548,8424,0.63880,1.0
2002-09-12,0.00584,0.00584,0.00563,0.0057,22464,-0.84672,1.0
2002-09-13,0.0057,0.0057,0.0057,0.0057,7020,0.0,1.0
2002-09-16,0.00563,0.00563,0.00563,0.00563,14040,1.57719,1.0
2002-09-17,0.00556,0.00556,0.00556,0.00556,6880,-5482907.78608,1.0
2002-09-18,0.00506,0.00506,0.00506,0.00506,28080,0.00031,1.0
2002-09-19,0.00491,0.0052,0.00491,0.0052,19656,-0.00119,1.0
2002-09-20,0.00499,0.00499,0.00499,0.00499,1544,-0.00022,1.0
2002-09-23,0.00506,0.00506,0.00499,0.00499,36504,0.0,1.0
2002-09-24,0.00463,0.00584,0.00463,0.00584,21200,-0.00210,1.0
2002-09-25,0.0047,0.00499,0.0047,0.00499,23026,0.00180,1.0
2002-09-30,0.00506,0.00506,0.00499,0.00506,28080,0.00138,1.0
2002-10-01,0.00491,0.00506,0.00484,0.00484,61916,-0.00301,1.0
2002-10-03,0.00491,0.00491,0.00491,0.00491,14040,0.00140,1.0
2002-10-04,0.00491,0.00491,0.0047,0.00477,15725,0.00114,1.0
2002-10-07,0.0047,0.00477,0.0047,0.0047,30888,0.00059,1.0
2002-10-08,0.0047,0.0047,0.00456,0.00463,46472,-0.00136,1.0
2002-10-09,0.0047,0.0047,0.0047,0.0047,19375,0.00138,1.0
2002-10-10,0.00477,0.00563,0.00463,0.00548,58828,-0.00079,1.0
2002-10-14,0.00491,0.00491,0.00491,0.00491,7301,-0.00109,1.0
2002-10-16,0.00491,0.00491,0.00484,0.00484,47736,-0.00138,1.0
2002-10-18,0.00491,0.00513,0.00442,0.00513,40014,0.00163,1.0
2002-10-21,0.00506,0.00506,0.00506,0.00506,2106,0.00155,1.0
2002-10-22,0.00484,0.00499,0.00484,0.00484,36223,-0.00301,1.0
2002-10-24,0.00491,0.00491,0.00484,0.00484,29484,0.0,1.0
2002-10-25,0.00399,0.00477,0.00399,0.0047,42260,0.00305,1.0
2002-10-28,0.0047,0.0047,0.0047,0.0047,15444,0.0,1.0
2002-10-30,0.00506,0.00506,0.00506,0.00506,140,-0.00014,1.0
2002-10-31,0.00506,0.00506,0.0047,0.0047,842,0.00013,1.0
2002-11-01,0.00463,0.00463,0.00463,0.00463,22464,-0.00136,1.0
2002-11-08,0.00463,0.00477,0.00463,0.0047,49140,0.00138,1.0
2002-11-11,0.00449,0.00491,0.00449,0.00491,40154,-0.00179,1.0
2002-11-12,0.0047,0.00491,0.0047,0.00484,64584,-0.00138,1.0
2002-11-13,0.00491,0.00491,0.00484,0.00484,46332,0.0,1.0
2002-11-14,0.00484,0.00506,0.00484,0.00506,10109,0.00315,1.0
2002-11-15,0.00506,0.00506,0.00484,0.00484,35100,-0.00301,1.0
2002-11-18,0.00484,0.00506,0.00442,0.00506,50123,0.00315,1.0
2002-11-20,0.00491,0.00491,0.00491,0.00491,42120,-0.00166,1.0
2002-11-21,0.00491,0.00491,0.00491,0.00491,57564,0.0,1.0
2002-11-22,0.00477,0.00484,0.00477,0.00484,28080,-0.00138,1.0
2002-11-25,0.00484,0.00506,0.00484,0.00484,74552,0.0,1.0
2002-11-26,0.00477,0.00477,0.00477,0.00477,29484,0.00250,1.0
2002-11-27,0.0047,0.00477,0.0047,0.00477,28080,0.0,1.0
2002-11-28,0.0047,0.0047,0.0047,0.0047,11232,0.00059,1.0
2002-11-29,0.00463,0.00484,0.00463,0.00484,40716,-0.00315,1.0
2002-12-02,0.0047,0.0047,0.0047,0.0047,562,0.00305,1.0
2002-12-03,0.00484,0.00484,0.00477,0.00477,23868,-0.00060,1.0
2002-12-05,0.00477,0.00477,0.00477,0.00477,28080,0.0,1.0
2002-12-06,0.0052,0.0052,0.00463,0.00477,169884,0.0,1.0
2002-12-09,0.00477,0.00491,0.00477,0.00477,37908,0.0,1.0
2002-12-10,0.00484,0.00484,0.00484,0.00484,14040,-0.00254,1.0
2002-12-11,0.00477,0.00477,0.00477,0.00477,8424,0.00250,1.0
2002-12-12,0.00484,0.00484,0.00477,0.00477,35100,0.0,1.0
2002-12-18,0.0047,0.0047,0.0047,0.0047,8424,0.00059,1.0
2002-12-19,0.00484,0.00484,0.00484,0.00484,36504,-0.00315,1.0
2002-12-20,0.00527,0.00527,0.00527,0.00527,140,0.00345,1.0
2002-12-23,0.00477,0.00477,0.00477,0.00477,20358,-0.00062,1.0
2002-12-24,0.00477,0.00477,0.00477,0.00477,14040,0.0,1.0
2002-12-26,0.00477,0.00506,0.00477,0.00484,70090631,-0.00254,1.0
2002-12-27,0.00491,0.00491,0.00484,0.00484,42401,0.0,1.0
2002-12-30,0.00442,0.0047,0.00442,0.0047,43524,0.00305,1.0
2002-12-31,0.00484,0.00484,0.00484,0.00484,7020,-0.00315,1.0
2003-01-02,0.00491,0.00491,0.00491,0.00491,702,0.00140,1.0
2003-01-03,0.00484,0.00484,0.00484,0.00484,9828,-0.00138,1.0
2003-01-06,0.00506,0.00506,0.00506,0.00506,7020,0.00315,1.0
2003-01-07,0.00484,0.00513,0.00484,0.00513,25974,-0.00157,1.0
2003-01-08,0.00499,0.00499,0.00499,0.00499,21060,0.00017,1.0
2003-01-14,0.00484,0.00491,0.00484,0.00484,37908,-0.00170,1.0
2003-01-15,0.00463,0.0047,0.00463,0.0047,28080,0.00305,1.0
2003-01-16,0.00491,0.00491,0.00491,0.00491,7020,-0.00179,1.0
2003-01-17,0.00484,0.00484,0.00484,0.00484,33696,-0.00138,1.0
2003-01-20,0.00449,0.00484,0.00449,0.00484,28080,0.0,1.0
