date,open,high,low,close,volume,dividend,split
2000-06-23,2.6,2.7,2.4,2.5,8500,0.0,1.0
2000-06-26,2.55,2.95,2.55,2.95,5500,0.0,1.0
2000-06-27,2.85,2.95,2.7,2.7,10700,0.0,1.0
2000-06-28,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-06-29,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-06-30,2.5,2.55,2.5,2.55,500,0.0,1.0
2000-07-03,2.75,2.75,2.75,2.75,200,0.0,1.0
2000-07-04,2.7,2.7,2.7,2.7,4500,0.0,1.0
2000-07-05,2.7,2.75,2.7,2.75,900,0.0,1.0
2000-07-06,2.75,2.95,2.65,2.65,1500,0.0,1.0
2000-07-07,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-07-10,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-07-11,2.6,2.65,2.6,2.65,400,0.0,1.0
2000-07-12,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-07-13,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-07-14,2.6,2.6,2.6,2.6,3300,0.0,1.0
2000-07-17,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-07-18,2.45,2.45,2.4,2.4,2700,0.0,1.0
2000-07-19,2.6,2.75,2.6,2.75,7000,0.0,1.0
2000-07-20,2.4,2.4,2.4,2.4,1000,0.0,1.0
2000-07-21,2.4,2.75,2.4,2.75,6600,0.0,1.0
2000-07-24,2.75,2.75,2.75,2.75,0,0.0,1.0
2000-07-25,1.6,2.6,1.6,2.6,1700,0.0,1.0
2000-07-26,2.55,2.55,2.55,2.55,1000,0.0,1.0
2000-07-27,2.55,2.55,2.55,2.55,0,0.0,1.0
2000-07-28,2.35,2.35,2.15,2.15,8300,0.0,1.0
2000-07-31,2.65,2.65,2.65,2.65,400,0.0,1.0
2000-08-01,3,3,3,3,2100,0.0,1.0
2000-08-02,2.9,3,2.85,3,6400,0.0,1.0
2000-08-03,3,3,3,3,0,0.0,1.0
2000-08-04,3.2,3.2,3.2,3.2,100,0.0,1.0
2000-08-07,2.75,2.75,2.75,2.75,200,0.0,1.0
2000-08-08,3.25,3.25,3.25,3.25,500,0.0,1.0
2000-08-09,3.5,3.55,3.5,3.55,1600,0.0,1.0
2000-08-10,3.4,3.65,3,3,6200,0.0,1.0
2000-08-11,3,3,2.8,2.8,2300,0.0,1.0
2000-08-14,3,3,3,3,1100,0.0,1.0
2000-08-15,3,3,3,3,0,0.0,1.0
2000-08-16,3,3,3,3,900,0.0,1.0
2000-08-17,2.95,2.95,2.6,2.6,6400,0.0,1.0
2000-08-18,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-08-21,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-08-22,2.2,2.2,2,2.1,13800,0.0,1.0
2000-08-23,2.25,2.25,2,2,800,0.0,1.0
2000-08-24,2.35,2.35,2,2,12200,0.0,1.0
2000-08-25,2.25,2.3,2,2.1,4200,0.0,1.0
2000-08-28,2.6,2.6,2.4,2.4,16010,0.0,1.0
2000-08-29,2.95,2.95,2.6,2.6,1000,0.0,1.0
2000-08-30,2.55,2.6,2.55,2.6,2800,0.0,1.0
2000-08-31,2.6,2.95,2.6,2.95,3690,0.0,1.0
2000-09-01,2.95,2.95,2.95,2.95,0,0.0,1.0
2000-09-04,3.2,3.65,3,3.4,12700,0.0,1.0
2000-09-05,3.4,3.9,3.4,3.4,6251,0.0,1.0
2000-09-06,3.3,3.35,3.15,3.35,4000,0.0,1.0
2000-09-07,3,3.2,3,3.2,2300,0.0,1.0
2000-09-08,3.2,3.2,3.2,3.2,0,0.0,1.0
2000-09-11,2.7,2.7,2.7,2.7,200,0.0,1.0
2000-09-12,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-09-13,3.25,3.35,3.25,3.35,11100,0.0,1.0
2000-09-14,3.35,3.35,3.35,3.35,0,0.0,1.0
2000-09-15,3.1,3.1,3.1,3.1,800,0.0,1.0
2000-09-18,3.1,3.1,3.1,3.1,0,0.0,1.0
2000-09-19,3.1,3.1,3.1,3.1,0,0.0,1.0
2000-09-20,3.4,3.4,3.4,3.4,600,0.0,1.0
2000-09-21,3.3,3.3,3.3,3.3,500,0.0,1.0
2000-09-22,3.3,3.3,3.3,3.3,0,0.0,1.0
2000-09-25,3,3,3,3,2000,0.0,1.0
2000-09-26,3,3,3,3,0,0.0,1.0
2000-09-27,3,3,3,3,0,0.0,1.0
2000-09-28,3,3,3,3,0,0.0,1.0
2000-09-29,3,3,3,3,0,0.0,1.0
2000-10-02,3,3,3,3,0,0.0,1.0
2000-10-03,3,3,3,3,0,0.0,1.0
2000-10-04,3,3,3,3,0,0.0,1.0
2000-10-05,3,3,3,3,0,0.0,1.0
2000-10-06,2.7,2.7,2.7,2.7,2300,0.0,1.0
2000-10-09,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-10-10,3.15,3.15,3.15,3.15,1,0.0,1.0
2000-10-11,2.4,3,2.4,2.7,198,0.0,1.0
2000-10-12,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-10-13,2.5,2.5,2.25,2.25,202,0.0,1.0
2000-10-16,2.8,2.8,2.8,2.8,400,0.0,1.0
2000-10-17,2.8,2.8,2.8,2.8,0,0.0,1.0
2000-10-18,2.5,2.5,2.5,2.5,1000,0.0,1.0
2000-10-19,2.5,2.5,2.5,2.5,0,0.0,1.0
2000-10-20,2.5,2.5,2.5,2.5,0,0.0,1.0
2000-10-23,2.2,2.2,2.2,2.2,1000,0.0,1.0
2000-10-24,2.7,2.7,2.7,2.7,300,0.0,1.0
2000-10-25,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-10-26,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-10-27,2.7,2.7,2.7,2.7,0,0.0,1.0
2000-10-30,3.25,3.25,3.25,3.25,12000,0.0,1.0
