date,open,high,low,close,volume,dividend,split
2002-01-28,0.7,0.74,0.7,0.7025,3176200,0.0,1.0
2002-01-29,0.70875,0.7325,0.7,0.7075,1650360,0.0,1.0
2002-01-30,0.675,0.71375,0.675,0.69625,1690520,0.0,1.0
2002-01-31,0.71375,0.7625,0.70375,0.74625,2129200,0.0,1.0
2002-02-01,0.8,0.83125,0.76,0.7875,5009160,0.0,1.0
2002-02-04,0.8125,0.8375,0.78125,0.7925,2162520,0.0,1.0
2002-02-05,0.7875,0.935,0.7775,0.91875,7140840,0.0,1.0
2002-02-06,0.9475,1,0.8875,0.97,5132360,0.0,1.0
2002-02-07,1,1.0625,0.90875,0.92625,5313760,0.0,1.0
2002-02-08,0.9325,0.975,0.9025,0.94125,2556160,0.0,1.0
2002-02-11,0.995,1.06875,0.975,1.0175,3860280,0.0,1.0
2002-02-12,1.0475,1.05,0.98875,1,2420440,0.0,1.0
2002-02-13,1.0475,1.0475,0.98125,0.985,2262800,0.0,1.0
2002-02-14,1.01875,1.01875,0.94,0.95375,2384480,0.0,1.0
2002-02-15,0.9325,0.95,0.8275,0.87125,3054040,0.0,1.0
2002-02-18,0.9,1.0175,0.9,0.91125,4082880,0.0,1.0
2002-02-19,0.925,0.955,0.83125,0.84375,2018880,0.0,1.0
2002-02-20,0.8375,0.9,0.825,0.84625,1684400,0.0,1.0
2002-02-21,0.8875,0.8875,0.85,0.8625,1975640,0.0,1.0
2002-02-22,0.935,0.935,0.85625,0.8775,1623280,0.0,1.0
2002-02-25,0.875,0.895,0.8525,0.86,2093360,0.0,1.0
2002-02-26,0.8875,0.9125,0.85625,0.87125,1875360,0.0,1.0
2002-02-27,0.8875,0.91125,0.85,0.85625,1562280,0.0,1.0
2002-02-28,0.885,0.885,0.73875,0.75125,2229040,0.0,1.0
2002-03-01,0.75,0.78625,0.6875,0.7375,443240,0.0,1.0
2002-03-04,0.76375,0.82875,0.76375,0.78625,2648080,0.0,1.0
2002-03-05,0.7975,0.825,0.75125,0.8,3845720,0.0,1.0
2002-03-06,0.78125,0.7975,0.75125,0.7525,2054040,0.0,1.0
2002-03-07,0.7725,0.7725,0.75125,0.7625,1412000,0.0,1.0
2002-03-08,0.7575,0.76125,0.7325,0.73875,1266440,0.0,1.0
2002-03-11,0.7475,0.74875,0.71375,0.725,1350000,0.0,1.0
2002-03-12,0.71375,0.73375,0.6925,0.70375,1778600,0.0,1.0
2002-03-13,0.7125,0.7375,0.7,0.72125,3954560,0.0,1.0
2002-03-14,0.74,0.74,0.69375,0.70125,1820720,0.0,1.0
2002-03-15,0.71,0.7375,0.6875,0.6975,1411280,0.0,1.0
2002-03-18,0.725,0.8175,0.72,0.78125,5068720,0.0,1.0
2002-03-19,0.82,0.82,0.725,0.7275,2542280,0.0,1.0
2002-03-20,0.73125,0.7425,0.6975,0.70875,1931240,0.0,1.0
2002-03-21,0.7375,0.7725,0.7225,0.72875,1233400,0.0,1.0
2002-03-22,0.745,0.745,0.68875,0.7,1419000,0.0,1.0
2002-03-26,0.7575,0.7575,0.67625,0.6875,1424800,0.0,1.0
2002-03-27,0.69375,0.71125,0.69375,0.70125,1484440,0.0,1.0
2002-04-01,0.7175,0.725,0.685,0.68875,782800,0.0,1.0
2002-04-02,0.6875,0.6975,0.66875,0.68,552200,0.0,1.0
2002-04-03,0.6875,0.7,0.6475,0.65125,371000,0.0,1.0
2002-04-04,0.64375,0.66875,0.6375,0.64875,361800,0.0,1.0
2002-04-05,0.68625,0.68625,0.6425,0.65375,663600,0.0,1.0
