date,open,high,low,close,volume,dividend,split
2010-02-15,169.522003,172.962997,143.595001,146.785995,5968513,0.0,1.0
2010-02-16,146.537003,156.160004,139.307999,144.942001,3911211,0.0,1.0
2010-02-17,147.285004,148.580994,140.802994,142.149994,681858,0.0,1.0
2010-02-18,144.891998,146.487,141.102997,141.899994,301112,0.0,1.0
2010-02-19,135.617996,142.149994,130.233002,131.779007,220048,0.0,1.0
2010-02-22,134.621002,134.621002,123.950996,125.795998,211524,0.0,1.0
2010-02-23,119.663002,134.022003,119.663002,125.596001,566424,0.0,1.0
2010-02-24,121.956001,128.238998,120.760002,123.352997,303900,0.0,1.0
2010-02-25,123.652,129.035995,123.153,124.998001,292183,0.0,1.0
2010-02-26,125.147003,125.646004,120.660004,121.358002,85675,0.0,1.0
2010-03-02,123.452003,124.400002,121.158997,121.508003,55050,0.0,1.0
2010-03-03,121.857002,133.024994,118.666,127.241997,347820,0.0,1.0
2010-03-04,128.638,135.567993,127.141998,133.574005,321273,0.0,1.0
2010-03-05,134.072006,134.520996,127.241997,127.839996,116188,0.0,1.0
2010-03-08,130.432999,131.628998,127.790001,128.686996,60488,0.0,1.0
2010-03-09,128.139008,142,126.293999,139.007996,600667,0.0,1.0
2010-03-10,139.507004,147.882996,139.108002,141.151993,498355,0.0,1.0
2010-03-11,137.612,141.550995,135.718002,137.113998,90227,0.0,1.0
2010-03-12,136.117004,142.498993,136.117004,138.410004,128473,0.0,1.0
2010-03-15,138.261002,141.352005,135.667999,139.705994,105952,0.0,1.0
2010-03-16,140.802994,143.546005,139.856003,141.102997,115207,0.0,1.0
2010-03-17,142.100006,142.498993,140.852997,142,110853,0.0,1.0
2010-03-18,141.600998,144.093994,137.862,141.401993,84456,0.0,1.0
2010-03-19,142.598007,146.985992,140.205002,141.401993,317926,0.0,1.0
2010-03-22,139.705994,145.589996,136.166,137.960999,202924,0.0,1.0
2010-03-23,140.604004,143.496002,138.658997,139.507004,111521,0.0,1.0
2010-03-25,136.615005,144.343002,136.615005,140.205002,122260,0.0,1.0
2010-03-26,141.251999,153.916,140.802994,147.335007,755701,0.0,1.0
2010-03-29,149.529007,154.962997,143.246002,148.731003,288662,0.0,1.0
2010-03-30,148.082993,155.811005,148.082993,151.123993,177953,0.0,1.0
2010-03-31,152.520004,156.459,151.373993,154.863998,107383,0.0,1.0
2010-04-01,153.617004,159.052002,153.567001,156.608994,118225,0.0,1.0
2010-04-05,158.054993,160.498001,156.059998,159.401001,85639,0.0,1.0
2010-04-06,159.550995,160.548004,152.720001,157.705994,59637,0.0,1.0
2010-04-07,157.656006,158.602997,155.013,156.559006,97281,0.0,1.0
2010-04-08,156.757996,157.505997,151.572998,153.268005,83827,0.0,1.0
2010-04-09,154.264999,160.498001,153.069,156.459,31874,0.0,1.0
2010-04-12,158.503006,158.503006,152.669998,153.417999,10748,0.0,1.0
2010-04-13,153.468002,155.063004,151.572998,153.169006,17684,0.0,1.0
2010-04-15,155.960999,164.037994,153.169006,159.350998,104349,0.0,1.0
2010-04-16,159.75,162.492004,156.110001,157.307007,21091,0.0,1.0
2010-04-19,154.565002,157.556,152.820007,153.417999,13000,0.0,1.0
2010-04-20,155.263,156.408997,153.667007,154.115997,5220,0.0,1.0
2010-04-21,154.565002,156.110001,152.171005,153.867004,7184,0.0,1.0
2010-04-22,152.820007,155.063004,151.673004,153.367996,6515,0.0,1.0
2010-04-23,154.565002,156.059998,151.673004,153.817001,6680,0.0,1.0
2010-04-26,154.065994,160.548004,154.065994,158.054993,19068,0.0,1.0
2010-04-27,158.552994,158.901993,155.612,156.259995,247496,0.0,1.0
2010-04-28,155.362,155.561996,147.684006,149.279007,7250,0.0,1.0
2010-04-29,151.423004,155.063004,148.580994,154.016006,10846,0.0,1.0
2010-04-30,155.212997,167.528,154.514999,161.246002,96324,0.0,1.0
2010-05-03,161.544998,163.539001,153.567001,154.565002,23455,0.0,1.0
2010-05-04,157.556,161.794006,151.572998,152.570007,23621,0.0,1.0
2010-05-05,149.828003,151.223999,145.789001,149.778,32293,0.0,1.0
2010-05-06,151.572998,152.820007,148.781006,149.927994,4885,0.0,1.0
2010-05-07,150.475998,152.220993,145.091003,150.626007,11554,0.0,1.0
2010-05-10,153.567001,154.565002,149.778,152.619995,3785,0.0,1.0
2010-05-11,152.121002,154.166,149.927994,150.376007,3793,0.0,1.0
2010-05-12,154.365005,154.365005,147.834,148.731003,5616,0.0,1.0
2010-05-13,151.572998,154.414993,148.880997,149.479004,2711,0.0,1.0
2010-05-14,152.072006,152.072006,146.087997,146.636993,4087,0.0,1.0
2010-05-17,148.979996,148.979996,146.587006,147.932999,9195,0.0,1.0
2010-05-18,148.332001,150.475998,145.690002,146.886002,1452,0.0,1.0
2010-05-19,145.589996,152.570007,145.539993,147.184998,12650,0.0,1.0
2010-05-20,150.576004,150.576004,144.593002,144.692001,4943,0.0,1.0
2010-05-21,146.587006,146.587006,139.906006,142.947006,1990,0.0,1.0
2010-05-24,147.285004,147.285004,141.401993,144.194,3576,0.0,1.0
2010-05-25,142.100006,144.542999,138.658997,140.703995,8844,0.0,1.0
2010-05-26,143.595001,143.595001,138.610001,139.207993,2437,0.0,1.0
2010-05-27,139.606995,141.451996,137.712006,138.210999,1207,0.0,1.0
2010-05-28,143.595001,152.270996,139.257996,139.257996,940,0.0,1.0
2010-05-31,143.595001,143.595001,138.210999,139.606995,247,0.0,1.0
2010-06-01,143.445999,143.445999,134.820007,135.268997,785,0.0,1.0
2010-06-02,138.509995,139.307999,134.621002,137.212997,2566,0.0,1.0
2010-06-03,139.606995,139.606995,135.617996,136.266006,736,0.0,1.0
2010-06-04,142.598007,142.598007,137.113998,138.210999,1335,0.0,1.0
2010-06-07,138.509995,138.509995,131.878006,135.020004,885,0.0,1.0
2010-06-08,132.128006,136.565002,132.028,134.621002,1249,0.0,1.0
2010-06-09,138.460007,138.460007,130.781998,131.927994,767,0.0,1.0
2010-06-10,134.520996,134.621002,130.632004,131.179993,10135,0.0,1.0
2010-06-11,134.520996,139.108002,131.679001,133.772995,7431,0.0,1.0
2010-06-14,134.470993,140.304993,132.177994,133.574005,17538,0.0,1.0
2010-06-15,134.121994,135.518005,129.684998,132.477005,2527,0.0,1.0
2010-06-16,134.322006,137.113998,131.828995,132.128006,24135,0.0,1.0
2010-06-17,133.524002,134.272003,130.132996,130.531998,258449,0.0,1.0
2010-06-18,131.628998,132.477005,130.033997,131.628998,6858,0.0,1.0
2010-06-21,132.326996,134.621002,132.128006,134.470993,3673,0.0,1.0
2010-06-22,133.822998,135.518005,133.274994,133.822998,408,0.0,1.0
2010-06-23,134.520996,135.518005,132.925995,134.720001,2045,0.0,1.0
2010-06-24,134.720001,136.914001,134.272003,134.869995,14094,0.0,1.0
2010-06-25,133.923004,147.085999,133.923004,143.595001,36162,0.0,1.0
2010-06-28,146.487,147.533997,140.354996,145.041,18363,0.0,1.0
2010-06-29,146.487,151.324005,142.697998,143.744995,29431,0.0,1.0
2010-06-30,142.748001,144.593002,139.705994,141.003006,4173,0.0,1.0
2010-07-01,141.201996,147.485001,138.110992,142.748001,25402,0.0,1.0
2010-07-02,143.595001,145.589996,142,142.399002,3690,0.0,1.0
2010-07-05,143.595001,143.595001,139.806,140.654007,1502,0.0,1.0
2010-07-06,141.501007,142.598007,139.606995,141.003006,1539,0.0,1.0
2010-07-07,142.399002,142.399002,135.617996,136.764999,4341,0.0,1.0
2010-07-08,139.108002,139.606995,137.662003,138.160995,1933,0.0,1.0
2010-07-09,139.108002,139.406998,137.910995,138.559998,1473,0.0,1.0
2010-07-12,139.507004,139.507004,134.621002,136.863998,4029,0.0,1.0
2010-07-13,136.117004,139.057999,136.117004,137.412994,1685,0.0,1.0
2010-07-14,139.356995,141.600998,137.113998,138.460007,3921,0.0,1.0
2010-07-15,137.164001,138.061005,135.169006,136.067001,2113,0.0,1.0
2010-07-16,136.615005,141.600998,136.615005,140.852997,5017,0.0,1.0
2010-07-19,141.600998,145.589996,139.806,142.947006,6908,0.0,1.0
2010-07-20,143.395996,143.595001,139.207993,140.255005,6073,0.0,1.0
2010-07-21,143.296005,143.296005,139.007996,139.806,1184,0.0,1.0
2010-07-22,138.610001,140.005997,137.612,139.705994,1351,0.0,1.0
2010-07-23,135.119003,149.578995,135.119003,147.136002,28856,0.0,1.0
2010-07-26,148.580994,151.423004,146.087997,146.886002,10109,0.0,1.0
2010-07-27,145.589996,147.584,141.949997,142.748001,3065,0.0,1.0
2010-07-28,140.703995,143.595001,140.703995,141.302002,1695,0.0,1.0
2010-07-29,142.498993,142.498993,139.108002,139.507004,1882,0.0,1.0
2010-07-30,142.399002,143.395996,141.003006,141.201996,1279,0.0,1.0
2010-08-02,143.496002,144.492996,140.604004,141.302002,2296,0.0,1.0
2010-08-03,141.352005,141.352005,138.610001,139.057999,2008,0.0,1.0
2010-08-04,141.501007,141.501007,137.612,137.761993,1600,0.0,1.0
2010-08-05,138.610001,141.550995,138.610001,139.158005,1291,0.0,1.0
2010-08-06,140.503998,140.503998,137.811996,138.509995,4602,0.0,1.0
2010-08-09,140.604004,159.550995,139.507004,149.977997,353847,0.0,1.0
2010-08-10,151.473007,154.464996,144.093994,145.341003,69894,0.0,1.0
2010-08-11,139.755997,174.408997,139.755997,172.912994,775294,0.0,1.0
2010-08-12,164.535995,181.238998,164.535995,174.158997,695535,0.0,1.0
2010-08-13,169.671997,175.356003,168.126007,169.522003,63241,0.0,1.0
2010-08-16,170.619003,180.990005,164.535995,168.873993,170818,0.0,1.0
2010-08-17,169.970993,174.957001,165.632996,172.214996,162887,0.0,1.0
2010-08-18,174.110001,179.992996,172.014999,177.151001,184943,0.0,1.0
2010-08-19,177.5,190.462997,177.5,188.020004,499842,0.0,1.0
2010-08-20,185.477997,193.804001,181.488998,183.632996,281675,0.0,1.0
2010-08-23,184.828995,195.848007,179.744003,187.522003,212945,0.0,1.0
2010-08-24,188.468994,192.906998,178.496994,179.395004,102607,0.0,1.0
2010-08-25,178.597,184.479996,162.192993,165.632996,183852,0.0,1.0
2010-08-26,167.427994,178.298004,167.427994,172.664001,176307,0.0,1.0
2010-08-27,173.362,180.889999,168.574997,170.520004,152544,0.0,1.0
2010-08-30,173.910004,177.251007,165.235001,168.774994,45790,0.0,1.0
2010-08-31,166.679993,171.417007,162.841003,166.231995,64962,0.0,1.0
2010-09-01,169.423004,174.557999,167.528,168.675003,143063,0.0,1.0
2010-09-02,171.516998,172.363998,168.026993,168.524994,42907,0.0,1.0
2010-09-03,171.018005,183.033997,169.772003,179.694,370509,0.0,1.0
2010-09-06,181.587997,185.975998,176.003998,177.5,118876,0.0,1.0
2010-09-07,181.289001,182.985001,176.253006,177.5,108113,0.0,1.0
2010-09-08,177.5,179.195007,174.009995,176.552994,45031,0.0,1.0
2010-09-09,178.397003,178.397003,172.863007,174.259003,39641,0.0,1.0
2010-09-13,175.505997,177.300995,169.522003,170.320007,47090,0.0,1.0
2010-09-14,170.619003,173.511002,162.242996,168.625,73398,0.0,1.0
2010-09-15,169.024002,171.417007,165.632996,166.830002,19103,0.0,1.0
2010-09-16,167.578003,171.417007,163.539001,164.585999,46892,0.0,1.0
2010-09-17,166.231995,169.621994,164.735992,167.578003,60170,0.0,1.0
2010-09-20,169.373001,177.949005,167.727997,171.466995,91550,0.0,1.0
2010-09-21,172.464005,172.514008,165.632996,167.078995,39754,0.0,1.0
2010-09-22,167.528,168.524994,165.085007,166.231995,13849,0.0,1.0
2010-09-23,168.524994,170.619003,165.584,166.031998,28485,0.0,1.0
2010-09-24,168.425995,171.417007,166.082001,168.475006,19497,0.0,1.0
2010-09-27,170.520004,170.520004,164.886002,165.483994,31110,0.0,1.0
2010-09-28,167.477997,174.459,165.733002,170.570007,123697,0.0,1.0
2010-09-29,173.761002,176.302994,165.035004,166.481003,104197,0.0,1.0
2010-09-30,167.528,168.923996,164.037994,165.384003,17689,0.0,1.0
2010-10-01,166.580994,171.018005,164.636002,165.882996,22030,0.0,1.0
2010-10-04,168.524994,176.302994,166.979996,173.112,128407,0.0,1.0
2010-10-05,173.561005,179.494003,166.880005,167.727997,182675,0.0,1.0
2010-10-06,169.772003,171.268005,166.779999,169.123993,31685,0.0,1.0
2010-10-07,171.317001,173.511002,166.580994,167.727997,70830,0.0,1.0
2010-10-08,169.322998,170.419998,163.639008,166.380997,22359,0.0,1.0
2010-10-11,168.973999,169.322998,164.636002,165.035004,39136,0.0,1.0
2010-10-12,165.533997,168.524994,161.544998,167.078995,27298,0.0,1.0
2010-10-13,166.630997,171.218002,166.630997,167.727997,25755,0.0,1.0
2010-10-14,169.522003,169.522003,164.037994,165.832993,22815,0.0,1.0
2010-10-15,164.934998,167.528,160.048996,161.195999,25111,0.0,1.0
2010-10-18,161.544998,173.311996,158.304001,167.876999,72949,0.0,1.0
2010-10-19,169.522003,172.214996,163.738998,165.832993,32673,0.0,1.0
2010-10-20,166.031998,166.481003,161.893997,163.389999,9719,0.0,1.0
2010-10-21,163.539001,170.919006,162.542007,169.822006,38864,0.0,1.0
2010-10-22,171.317001,171.417007,168.524994,169.123993,19435,0.0,1.0
2010-10-25,170.768997,175.505997,168.725006,171.417007,61924,0.0,1.0
2010-10-26,172.214996,175.406006,167.528,169.074005,56047,0.0,1.0
2010-10-27,169.322998,172.014999,166.182007,167.427994,24708,0.0,1.0
2010-10-28,168.524994,169.423004,165.733002,168.076996,9674,0.0,1.0
2010-10-29,168.376007,169.522003,160.647003,161.843994,19226,0.0,1.0
2010-11-01,165.283997,167.776993,163.539001,165.483994,3974,0.0,1.0
2010-11-02,164.037994,165.384003,161.744003,163.289993,6788,0.0,1.0
2010-11-03,165.334,166.031998,163.539001,163.837997,4038,0.0,1.0
2010-11-04,165.533997,165.533997,161.645004,162.143005,8508,0.0,1.0
2010-11-08,166.531006,168.524994,164.287003,165.283997,14824,0.0,1.0
2010-11-09,164.535995,166.431,162.692001,163.339996,7943,0.0,1.0
2010-11-10,164.237,166.281998,161.744003,162.442001,11977,0.0,1.0
