date,open,high,low,close,volume,dividend,split
2011-10-24,33.450001,35.400002,13,17.75,23446414,0.0,1.0
2011-10-25,17.75,18.299999,14.25,14.4,4815961,0.0,1.0
2011-10-28,15,15.3,13.8,14.4,1048216,0.0,1.0
2011-10-31,14.5,15,13.45,13.85,680294,0.0,1.0
2011-11-01,13.45,13.85,11.9,12.69,864052,0.0,1.0
2011-11-02,12.1,12.15,11.43,11.43,324676,0.0,1.0
2011-11-03,11.75,12.3,11.52,12.11,430366,0.0,1.0
2011-11-04,12,13,12,12.77,627157,0.0,1.0
2011-11-08,12.99,13.59,12.5,12.82,472919,0.0,1.0
2011-11-09,12.6,13.5,12.41,12.62,473159,0.0,1.0
2011-11-11,12.5,12.85,12.2,12.35,180552,0.0,1.0
2011-11-14,12.35,13.58,11.95,13.57,1162306,0.0,1.0
2011-11-15,13.76,14.8,12.95,13.53,890445,0.0,1.0
2011-11-16,13.45,14,12.91,13.02,142015,0.0,1.0
2011-11-17,12.85,13.25,12.6,12.81,63948,0.0,1.0
2011-11-18,12.15,12.4,11.75,11.85,160532,0.0,1.0
2011-11-21,11.75,11.95,11,11.04,70157,0.0,1.0
2011-11-22,10.75,11.3,10.6,10.78,93743,0.0,1.0
2011-11-23,11,11.85,10.65,11.46,56863,0.0,1.0
2011-11-24,11.05,11.37,10.75,10.82,44616,0.0,1.0
2011-11-25,10.9,11.2,10.32,10.92,73539,0.0,1.0
2011-11-28,10.92,11.24,10.8,10.98,23822,0.0,1.0
2011-11-29,10.56,11.2,10.56,10.7,49403,0.0,1.0
2011-11-30,10.75,10.95,10.55,10.62,10580,0.0,1.0
2011-12-01,10.75,10.98,10.42,10.52,39518,0.0,1.0
2011-12-02,10.5,10.67,10.25,10.57,34875,0.0,1.0
2011-12-05,10.7,11.5,10.5,10.56,73725,0.0,1.0
2011-12-07,10.35,10.75,10.25,10.41,23933,0.0,1.0
2011-12-08,10.31,10.69,10.06,10.16,16775,0.0,1.0
2011-12-09,10,10.15,9.64,9.9,22379,0.0,1.0
2011-12-12,9.5,10,9.36,9.48,14475,0.0,1.0
2011-12-13,9,9.99,8.67,9.6,42572,0.0,1.0
2011-12-14,9.7,9.7,9.35,9.58,6733,0.0,1.0
2011-12-15,9.25,9.5,8.9,8.9,38438,0.0,1.0
2011-12-16,8.9,9.5,8.6,8.89,14827,0.0,1.0
2011-12-19,8.13,8.65,8.13,8.5,23661,0.0,1.0
2011-12-20,8.12,8.5,8.1,8.26,16500,0.0,1.0
2011-12-21,8,8.6,8,8.35,13832,0.0,1.0
2011-12-22,8,8.35,8,8.25,6003,0.0,1.0
