date,open,high,low,close,volume,dividend,split
2002-07-01,11.9,13.95,11.85,13.95,47990,0.0,1.0
2002-07-02,15,15.5,14,14.65,58494,0.0,1.0
2002-07-03,15.9,17.549999,15.85,17.549999,154969,0.0,1.0
2002-07-04,18.4,18.9,16.700001,17,139810,0.0,1.0
2002-07-05,17.25,18,17.200001,17.799999,51036,0.0,1.0
2002-07-08,18.5,18.5,16.700001,16.85,82013,0.0,1.0
2002-07-09,17.049999,17.549999,16.200001,16.25,29128,0.0,1.0
2002-07-10,16,16.299999,15.1,15.3,36132,0.0,1.0
2002-07-11,15,15.8,14.4,15.25,29296,0.0,1.0
2002-07-12,15,15.25,14.4,14.6,14683,0.0,1.0
2002-07-15,14.5,14.5,13,13.25,13103,0.0,1.0
2002-07-16,14.05,14.25,13,13,12760,0.0,1.0
2002-07-17,13,13.3,12.5,12.7,6344,0.0,1.0
2002-07-18,12.3,13.45,12.3,13.05,3152,0.0,1.0
2002-07-19,13,13.7,12.5,12.6,9076,0.0,1.0
2002-07-22,13.2,13.2,11.2,11.45,7356,0.0,1.0
2002-07-23,11.9,12.4,11.75,12.2,3500,0.0,1.0
2002-07-24,12.5,12.5,11.25,11.85,10230,0.0,1.0
2002-07-25,12.5,12.5,11.7,11.9,4925,0.0,1.0
2002-07-26,12,12,11.35,11.7,9150,0.0,1.0
2002-07-29,10.65,11.45,9.55,9.85,12531,0.0,1.0
2002-07-30,11,11,8.75,9.1,15184,0.0,1.0
2002-07-31,8.75,10.5,8.65,9.85,14900,0.0,1.0
2002-08-01,10.1,10.1,9.25,9.65,5977,0.0,1.0
2002-08-02,9.9,9.9,9,9,6650,0.0,1.0
2002-08-05,9,9.4,9,9.05,2200,0.0,1.0
2002-08-06,9,9.45,9,9.4,3600,0.0,1.0
2002-08-07,9.05,10,9,9.65,10413,0.0,1.0
2002-08-08,9.8,9.8,9.15,9.25,3394,0.0,1.0
2002-08-09,9.35,9.55,9.15,9.55,1280,0.0,1.0
2002-08-12,9.5,9.5,9.25,9.25,850,0.0,1.0
2002-08-13,9.15,10.9,9.15,10,9140,0.0,1.0
2002-08-14,10.6,11.6,10.5,11.15,29523,0.0,1.0
2002-08-16,11.45,11.45,10.55,10.65,13661,0.0,1.0
2002-08-19,10.9,10.9,10,10.05,2862,0.0,1.0
2002-08-20,10.4,10.4,9.35,9.9,3205,0.0,1.0
2002-08-21,10,10.35,9.55,9.6,5002,0.0,1.0
2002-08-22,9.7,9.7,9.4,9.5,8600,0.0,1.0
2002-08-23,9.35,9.7,9.25,9.25,4264,0.0,1.0
2002-08-26,9.45,9.5,8.85,8.95,10932,0.0,1.0
2002-08-27,9,9.05,8.8,8.85,2000,0.0,1.0
2002-08-28,8.8,9.1,8.5,8.7,4160,0.0,1.0
2002-08-29,8.3,8.65,8.3,8.45,800,0.0,1.0
2002-08-30,8.55,8.9,8.45,8.55,2105,0.0,1.0
2002-09-02,8.55,8.8,8.55,8.75,2800,0.0,1.0
2002-09-03,8.3,8.35,8.3,8.35,960,0.0,1.0
2002-09-04,8.15,8.7,8.15,8.7,3203,0.0,1.0
2002-09-05,9.45,9.45,8.3,8.3,355,0.0,1.0
2002-09-06,8.25,8.35,8,8.25,8950,0.0,1.0
2002-09-09,8.15,8.15,8.15,8.15,100,0.0,1.0
2002-09-11,8.4,8.4,8.1,8.4,1300,0.0,1.0
2002-09-12,8.4,8.4,8.05,8.05,2400,0.0,1.0
2002-09-13,8.1,8.1,8,8,9900,0.0,1.0
2002-09-16,8.1,8.1,7.9,7.95,5479,0.0,1.0
2002-09-17,8,8.3,8,8.25,1362,0.0,1.0
2002-09-18,8.25,8.25,7.8,7.9,4365,0.0,1.0
2002-09-19,7.8,7.8,7.55,7.65,2752,0.0,1.0
2002-09-20,7.7,8,7.7,8,650,0.0,1.0
2002-09-23,7.6,8.2,7.6,8,2603,0.0,1.0
2002-09-24,7.8,7.8,7.7,7.7,2200,0.0,1.0
2002-09-25,8.15,8.15,7.85,7.85,800,0.0,1.0
2002-09-26,8.25,8.25,7.7,7.7,702,0.0,1.0
2002-09-27,7.55,7.9,7.55,7.9,400,0.0,1.0
2002-09-30,7.7,7.85,7.55,7.7,1152,0.0,1.0
2002-10-01,7.65,7.8,7.65,7.7,2400,0.0,1.0
2002-10-03,7.65,7.65,7.5,7.65,3500,0.0,1.0
2002-10-04,7.5,7.7,7.4,7.6,2100,0.0,1.0
2002-10-07,7.55,7.55,7.55,7.55,700,0.0,1.0
2002-10-08,9.05,9.05,7.65,7.65,3077,0.0,1.0
2002-10-09,8.95,8.95,7.6,7.7,1463,0.0,1.0
2002-10-10,7.65,7.75,7.5,7.6,3774,0.0,1.0
2002-10-11,7.7,7.7,7.7,7.7,1000,0.0,1.0
