date,open,high,low,close,volume,dividend,split
2000-04-12,49.849998,49.849998,45.650002,46.349998,2200,0.0,1.0
2000-04-13,46,46,43,43.549999,3700,0.0,1.0
2000-04-14,43.549999,43.549999,43.549999,43.549999,0,0.0,1.0
2000-04-17,40.150002,44,40.150002,40.5,1400,0.0,1.0
2000-04-18,43,43,40.049999,41.599998,4200,0.0,1.0
2000-04-19,39.299999,39.700001,38.400002,38.400002,1400,0.0,1.0
2000-04-20,35.950001,35.950001,35.349998,35.400002,3000,0.0,1.0
2000-04-21,35.400002,35.400002,35.400002,35.400002,0,0.0,1.0
2000-04-24,35.400002,35.400002,35.400002,35.400002,0,0.0,1.0
2000-04-25,32.650002,32.650002,31.299999,31.299999,3600,0.0,1.0
2000-04-26,31.299999,31.299999,31.299999,31.299999,0,0.0,1.0
2000-04-27,36.400002,36.400002,36.400002,36.400002,1300,0.0,1.0
2000-04-28,39.299999,39.299999,35.150002,37.549999,7900,0.0,1.0
2000-05-01,37.549999,37.549999,37.549999,37.549999,0,0.0,1.0
2000-05-02,38,40.5,36.549999,39,9100,0.0,1.0
2000-05-03,39,39,39,39,0,0.0,1.0
2000-05-04,38,40.900002,37.5,40.650002,16900,0.0,1.0
2000-05-05,40.650002,40.650002,40.650002,40.650002,0,0.0,1.0
2000-05-08,40.650002,40.650002,40.650002,40.650002,0,0.0,1.0
2000-05-09,40.650002,40.650002,40.650002,40.650002,0,0.0,1.0
2000-05-10,40.650002,40.650002,40.650002,40.650002,0,0.0,1.0
2000-05-11,15.8,15.8,15.8,15.8,200,0.0,1.0
2000-05-12,17.049999,17.049999,17.049999,17.049999,1000,0.0,1.0
2000-05-15,17.049999,17.049999,17.049999,17.049999,0,0.0,1.0
2000-05-16,18.4,18.4,18.4,18.4,100,0.0,1.0
2000-05-17,19.85,19.85,19.5,19.5,4100,0.0,1.0
2000-05-18,18.75,19.4,18.75,19,1700,0.0,1.0
2000-05-19,19.4,19.4,19,19,1900,0.0,1.0
2000-05-22,18,18.5,18,18.5,1300,0.0,1.0
2000-05-23,18.200001,18.200001,17.25,17.950001,1000,0.0,1.0
