date,open,high,low,close,volume,dividend,split
2006-09-20,399,430.899994,375,417.049988,8445000,0.0,1.0
2006-09-21,429.399994,443.799988,420,427.850006,2799495,0.0,1.0
2006-09-22,429.899994,463.899994,424,454.350006,2430961,0.0,1.0
2006-09-25,464.899994,469,436.25,439.350006,1236711,0.0,1.0
2006-09-26,443.799988,448.950012,434.700012,436.75,401239,0.0,1.0
2006-09-27,440.049988,457.799988,433,439.799988,697457,0.0,1.0
2006-09-28,441,452.450012,436.100006,443.25,377969,0.0,1.0
2006-09-29,446,459.75,440.100006,452.950012,422330,0.0,1.0
2006-10-03,456.899994,457.700012,449.100006,450.549988,110775,0.0,1.0
2006-10-04,452.799988,472.799988,450.149994,454.049988,528529,0.0,1.0
2006-10-05,458.75,467.600006,451.600006,454.100006,211346,0.0,1.0
2006-10-06,457.700012,463.950012,450.25,451.450012,82938,0.0,1.0
2006-10-09,452,458,445.149994,447.25,65006,0.0,1.0
2006-10-10,450,473.899994,448.549988,464.200012,309286,0.0,1.0
2006-10-11,469.899994,472.649994,445,450.25,234173,0.0,1.0
2006-10-12,453.899994,467.700012,452,464.149994,112979,0.0,1.0
2006-10-13,472,495,461.5,480.399994,654301,0.0,1.0
2006-10-16,480.399994,496.399994,466.299988,471.950012,267120,0.0,1.0
2006-10-17,471.950012,479.399994,464.100006,468.850006,126833,0.0,1.0
2006-10-18,471.950012,477,460.5,462.799988,49647,0.0,1.0
2006-10-19,467.700012,472.399994,454.149994,457.649994,63578,0.0,1.0
2006-10-20,462,467.950012,448.100006,450.850006,36330,0.0,1.0
2006-10-23,459.5,467.5,453.100006,462.899994,40409,0.0,1.0
2006-10-26,466,467.75,453.899994,455.399994,28749,0.0,1.0
2006-10-27,462,467,456,462.149994,33149,0.0,1.0
2006-10-30,459,513,459,482.700012,539708,0.0,1.0
2006-10-31,486,488,456.200012,463.950012,133033,0.0,1.0
2006-11-01,467.799988,487,462,485.899994,197024,0.0,1.0
2006-11-02,488,497,478.100006,480.25,195850,0.0,1.0
2006-11-03,482.700012,487,475,477.049988,71738,0.0,1.0
2006-11-06,478.799988,487,475.5,481.350006,53481,0.0,1.0
2006-11-07,486.899994,535,483.100006,514.299988,845716,0.0,1.0
2006-11-08,520.099976,541.799988,505.5,511.350006,505325,0.0,1.0
2006-11-09,514,531.900024,491.850006,518.549988,290384,0.0,1.0
2006-11-10,522,522,494.100006,497.350006,115239,0.0,1.0
2006-11-13,495.399994,511.799988,490.049988,498.399994,99020,0.0,1.0
2006-11-14,503.899994,506,485.049988,489,58405,0.0,1.0
2006-11-15,494,497.899994,483,488.100006,34974,0.0,1.0
2006-11-16,490,554,490,536.200012,861411,0.0,1.0
2006-11-17,541,556.650024,514,543.150024,737685,0.0,1.0
2006-11-20,539.700012,544.299988,513.5,533.75,229029,0.0,1.0
2006-11-21,536.900024,634,536.849976,600.900024,1450423,0.0,1.0
2006-11-22,608.400024,622.900024,590,597.400024,640462,0.0,1.0
2006-11-23,602.400024,609.950012,572,575.049988,218153,0.0,1.0
2006-11-24,577.900024,602,567,576.950012,305855,0.0,1.0
2006-11-27,576.950012,598.400024,572,582.049988,190056,0.0,1.0
2006-11-28,577,595,561,581.5,265062,0.0,1.0
2006-11-29,588.099976,617,587,602.599976,471696,0.0,1.0
2006-11-30,609.950012,620,593,596.700012,207726,0.0,1.0
2006-12-01,602.700012,656.349976,598,632.349976,1030957,0.0,1.0
2006-12-04,625.099976,636.5,613,621.25,257490,0.0,1.0
2006-12-05,624,669.900024,622,656.099976,789252,0.0,1.0
2006-12-06,662.799988,692,631.5,684,670832,0.0,1.0
2006-12-07,675.349976,719,665,698.450012,815418,0.0,1.0
2006-12-08,699,711.900024,680,684.799988,266878,0.0,1.0
2006-12-11,687,687,625,638.450012,179161,0.0,1.0
2006-12-12,630,639.900024,586.400024,592.849976,256318,0.0,1.0
2006-12-13,600,631.900024,596.099976,626.049988,268017,0.0,1.0
2006-12-14,630,680,625.099976,671.25,366592,0.0,1.0
2006-12-15,674,701,670,678.049988,296112,0.0,1.0
2006-12-18,681.599976,692.849976,660,672,220832,0.0,1.0
2006-12-19,674.900024,678.5,650.049988,659.25,119138,0.0,1.0
2006-12-20,672.799988,675,638,642.799988,80856,0.0,1.0
2006-12-21,647,671.700012,635.200012,652.599976,151319,0.0,1.0
2006-12-22,653,666.900024,630,641.099976,69551,0.0,1.0
2006-12-26,642.599976,661,642.599976,651.349976,42409,0.0,1.0
2006-12-27,659.849976,665,648.25,652.299988,40456,0.0,1.0
2006-12-28,654.799988,711,652.900024,687.849976,453851,0.0,1.0
2006-12-29,691.700012,705.099976,674,677.650024,170059,0.0,1.0
2007-01-02,680,684.700012,675.5,676.400024,32819,0.0,1.0
2007-01-03,680,708.799988,680,698.299988,167301,0.0,1.0
