date,open,high,low,close,volume,dividend,split
2000-01-03,68,68,65.25,66,1350,0.0,1.0
2000-01-04,68,69.949997,66.25,67.150002,11550,0.0,1.0
2000-01-05,69.900002,71,68,68,4725,0.0,1.0
2000-01-06,72,73.400002,72,73.400002,3033,0.0,1.0
2000-01-07,71.699997,79,71.699997,74.099998,15525,0.0,1.0
2000-01-10,79,79.900002,75.199997,76.050003,7050,0.0,1.0
2000-01-11,79,79,74,74.150002,6750,0.0,1.0
2000-01-12,73.5,73.5,73.5,73.5,150,0.0,1.0
2000-01-13,73,73,68,71.5,4200,0.0,1.0
2000-01-14,71.5,73,71.5,72.300003,3525,0.0,1.0
2000-01-17,72.5,72.5,71,72.050003,1200,0.0,1.0
2000-01-18,73,73,70,71,1581,0.0,1.0
2000-01-19,70,70,70,70,900,0.0,1.0
2000-01-20,70,70.5,70,70.050003,2925,0.0,1.0
2000-01-21,70,70.5,65,65.099998,21000,0.0,1.0
2000-01-24,69,69,67,67,375,0.0,1.0
2000-01-25,65.050003,66,65,66,2775,0.0,1.0
2000-01-26,66,66,66,66,0,0.0,1.0
2000-01-27,67.400002,67.400002,67,67.050003,975,0.0,1.0
2000-01-28,65,67.400002,65,66.400002,1575,0.0,1.0
2000-01-31,63,63,61.5,61.5,450,0.0,1.0
2000-02-01,63,63,63,63,450,0.0,1.0
2000-02-02,61.75,61.75,60,60.950001,2250,0.0,1.0
2000-02-03,60.950001,60.950001,60.950001,60.950001,0,0.0,1.0
2000-02-04,63,63,61,61,825,0.0,1.0
2000-02-07,57,61,57,58.25,3075,0.0,1.0
2000-02-08,57.5,57.5,57.049999,57.099998,1050,0.0,1.0
2000-02-09,57,61.5,57,57,1200,0.0,1.0
2000-02-10,57,57,55,55,750,0.0,1.0
2000-02-11,54.150002,55.5,54,54.5,2700,0.0,1.0
2000-02-14,55.599998,55.599998,53,53,2100,0.0,1.0
2000-02-15,53,53,53,53,75,0.0,1.0
2000-02-16,50.549999,52,50.5,50.5,3300,0.0,1.0
2000-02-17,51.099998,51.349998,51.099998,51.349998,375,0.0,1.0
2000-02-18,51.25,53,51.25,52.549999,1125,0.0,1.0
2000-02-21,52.5,52.5,52.5,52.5,750,0.0,1.0
2000-02-22,52,52,50.049999,50.049999,300,0.0,1.0
2000-02-23,49.5,51,49.5,51,4575,0.0,1.0
2000-02-24,50.049999,52,50.049999,51.5,10800,0.0,1.0
2000-02-25,51,51,51,51,150,0.0,1.0
2000-02-28,52,52,52,52,150,0.0,1.0
2000-02-29,55,56.150002,52,55,2700,0.0,1.0
2000-03-01,51.099998,51.099998,51.099998,51.099998,150,0.0,1.0
2000-03-02,50.650002,51,48.049999,50.950001,1650,0.0,1.0
2000-03-03,50.950001,50.950001,50.950001,50.950001,0,0.0,1.0
2000-03-06,48,48,48,48,750,0.0,1.0
2000-03-07,48,48,48,48,75,0.0,1.0
2000-03-08,48,48,48,48,0,0.0,1.0
2000-03-09,48.049999,49.5,48.049999,49.5,825,0.0,1.0
2000-03-10,48.049999,48.049999,47,47,825,0.0,1.0
2000-03-13,47,47,47,47,0,0.0,1.0
2000-03-14,49,49,44.75,47.5,1125,0.0,1.0
2000-03-15,47.5,47.5,47.5,47.5,0,0.0,1.0
2000-03-16,46.5,46.549999,46.5,46.549999,37650,0.0,1.0
2000-03-17,46.549999,46.549999,46.549999,46.549999,0,0.0,1.0
2000-03-20,46.549999,46.549999,46.549999,46.549999,0,0.0,1.0
2000-03-21,46.549999,46.549999,46.549999,46.549999,0,0.0,1.0
2000-03-22,46.549999,46.549999,46.549999,46.549999,0,0.0,1.0
2000-03-23,46.5,46.5,46.25,46.299999,144750,0.0,1.0
2000-03-24,46.150002,46.150002,45.599998,45.799999,6750,0.0,1.0
2000-03-27,47.75,47.75,47,47.099998,2325,0.0,1.0
2000-03-28,46,50.849998,46,50.75,1800,0.0,1.0
2000-03-29,50.75,50.75,50.75,50.75,0,0.0,1.0
2000-03-30,47,47,47,47,150,0.0,1.0
2000-03-31,50.75,50.75,50.5,50.5,525,0.0,1.0
2000-04-03,50.5,50.5,50.5,50.5,0,0.0,1.0
2000-04-04,48,48.5,48,48,4875,0.0,1.0
2000-04-05,45,48,45,48,225,0.0,1.0
2000-04-06,45.700001,45.700001,45.700001,45.700001,75,0.0,1.0
2000-04-07,47.5,49.299999,47.5,49.200001,2325,0.0,1.0
2000-04-10,52.200001,52.400002,52.200001,52.400002,750,0.0,1.0
2000-04-11,52.400002,52.400002,52.400002,52.400002,0,0.0,1.0
2000-04-12,52.400002,52.400002,52.400002,52.400002,0,0.0,1.0
2000-04-13,50,50,50,50,900,0.0,1.0
2000-04-14,50,50,50,50,0,0.0,1.0
2000-04-17,48.049999,48.049999,48.049999,48.049999,150,0.0,1.0
2000-04-18,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-19,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-20,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-21,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-24,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-25,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-26,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-27,48.049999,48.049999,48.049999,48.049999,0,0.0,1.0
2000-04-28,47,47,47,47,150,0.0,1.0
2000-05-01,47,47,47,47,0,0.0,1.0
2000-05-02,44,44,44,44,300,0.0,1.0
2000-05-03,44,44,44,44,0,0.0,1.0
2000-05-04,44.099998,44.099998,44.099998,44.099998,150,0.0,1.0
2000-05-05,44.099998,44.099998,44.099998,44.099998,0,0.0,1.0
2000-05-08,44.099998,44.099998,44.099998,44.099998,0,0.0,1.0
2000-05-09,44.099998,44.099998,44.099998,44.099998,0,0.0,1.0
2000-05-10,44.099998,44.099998,44.099998,44.099998,0,0.0,1.0
2000-05-11,47.599998,47.599998,47,47.299999,300,0.0,1.0
2000-05-12,46.549999,46.549999,46.549999,46.549999,75,0.0,1.0
2000-05-15,48.25,48.25,48.25,48.25,150,0.0,1.0
2000-05-16,48.25,48.25,48.25,48.25,0,0.0,1.0
2000-05-17,47,47.5,46.049999,46.049999,450,0.0,1.0
2000-05-18,46.049999,46.049999,46.049999,46.049999,0,0.0,1.0
2000-05-19,46.799999,46.799999,44.400002,44.5,2775,0.0,1.0
2000-05-22,47,47,43.099998,43.099998,1275,0.0,1.0
2000-05-23,43.099998,43.099998,43.099998,43.099998,0,0.0,1.0
2000-05-24,43.099998,43.099998,43.099998,43.099998,0,0.0,1.0
2000-05-25,43.150002,43.650002,43.150002,43.599998,450,0.0,1.0
2000-05-26,43.599998,43.599998,43.599998,43.599998,0,0.0,1.0
2000-05-29,43.599998,43.599998,43.599998,43.599998,0,0.0,1.0
2000-05-30,44.25,44.25,42,42,3000,0.0,1.0
2000-05-31,43.25,43.25,43.25,43.25,150,0.0,1.0
2000-06-01,43.25,43.25,43.25,43.25,0,0.0,1.0
2000-06-02,44.049999,46,43,45.900002,3450,0.0,1.0
2000-06-05,45.900002,45.900002,45.900002,45.900002,0,0.0,1.0
2000-06-06,45.900002,45.900002,45.900002,45.900002,0,0.0,1.0
2000-06-07,45,45,45,45,450,0.0,1.0
