date,open,high,low,close,volume,dividend,split
2010-10-13,331,361.320007,330.220001,341.880005,26097000,0.0,1.0
2010-10-14,343,344.790009,330,333.25,1850210,0.0,1.0
2010-10-15,334.200012,349.959991,327.079987,343.019989,1812625,0.0,1.0
2010-10-18,338.799988,345,330.399994,336.899994,937930,0.0,1.0
2010-10-19,336.679993,342,333.01001,334.299988,512670,0.0,1.0
2010-10-20,333.98999,337.679993,328.019989,329.369995,169005,0.0,1.0
2010-10-21,329.369995,336.73999,327.5,330.799988,213960,0.0,1.0
2010-10-22,333.779999,340.799988,328.200012,337.690002,544800,0.0,1.0
2010-10-25,337.600006,338,310,325.529999,368585,0.0,1.0
2010-10-26,327,333.200012,324.01001,325.859985,88880,0.0,1.0
2010-10-27,325.799988,329.589996,318.019989,321.350006,120405,0.0,1.0
2010-10-28,322.200012,330.779999,320.799988,323.359985,160570,0.0,1.0
2010-10-29,323.200012,331.399994,320.230011,324.920013,103575,0.0,1.0
2010-11-01,326.200012,334.200012,324,328.910004,50040,0.0,1.0
2010-11-02,330.200012,338,328.420013,330.399994,114960,0.0,1.0
2010-11-03,333.399994,336.200012,327,333.140015,75645,0.0,1.0
2010-11-04,334.399994,334.899994,332.019989,334.040009,29400,0.0,1.0
2010-11-08,336.679993,337.98999,330.600006,331.589996,16610,0.0,1.0
2010-11-09,331,354.799988,331,341.600006,728570,0.0,1.0
2010-11-10,340,343,330.820007,332.570007,157140,0.0,1.0
2010-11-11,336,336.799988,328.200012,329.690002,36280,0.0,1.0
2010-11-12,330.200012,339.690002,328,336.410004,69320,0.0,1.0
2010-11-15,336,348.799988,332.200012,333.51001,177410,0.0,1.0
2010-11-16,334,338.98999,326.799988,329.690002,100680,0.0,1.0
2010-11-18,330.799988,337.600006,324.799988,332.140015,106445,0.0,1.0
2010-11-19,332,334.399994,329,333.059998,35210,0.0,1.0
2010-11-22,333,338,330.200012,334.359985,32410,0.0,1.0
2010-11-23,327,335,327,329.859985,28315,0.0,1.0
2010-11-24,330.600006,336.799988,330.600006,334.329987,161580,0.0,1.0
2010-11-25,335,340.76001,330,333.540009,52530,0.0,1.0
2010-11-26,332,333.799988,310,330.480011,52700,0.0,1.0
2010-11-29,331.600006,334,325.200012,327.220001,18800,0.0,1.0
2010-11-30,325,326.769989,323,323.720001,7155,0.0,1.0
