date,open,high,low,close,volume,dividend,split
2004-11-04,44,50,35.799999,37.799999,1946275,0.0,1.0
2004-11-05,39,39,35.450001,35.849998,377491,0.0,1.0
2004-11-08,36,42.099998,34.599998,40.400002,1399275,0.0,1.0
2004-11-09,40.900002,40.900002,38.049999,38.450001,313795,0.0,1.0
2004-11-10,38.900002,41.099998,38.099998,39.150002,299927,0.0,1.0
2004-11-11,39.799999,40.900002,39.5,40.049999,221795,0.0,1.0
2004-11-12,40.700001,40.900002,39.599998,40.099998,57049,0.0,1.0
2004-11-16,40.5,43.349998,39.450001,42.900002,726963,0.0,1.0
2004-11-17,42.950001,43.099998,40.599998,40.950001,322773,0.0,1.0
2004-11-18,41.599998,42.200001,40.299999,40.5,181424,0.0,1.0
2004-11-19,41.450001,41.75,38.599998,39.150002,250827,0.0,1.0
2004-11-22,38.200001,39.799999,38.200001,39.400002,64199,0.0,1.0
2004-11-23,39.700001,41.5,39.400002,39.900002,142354,0.0,1.0
2004-11-24,39.799999,40.849998,39.400002,39.549999,91065,0.0,1.0
2004-11-25,40.150002,40.25,38.900002,39.099998,89645,0.0,1.0
2004-11-29,39.599998,39.700001,38.150002,38.599998,50229,0.0,1.0
2004-11-30,39,39,36.5,36.849998,64931,0.0,1.0
2004-12-01,37.950001,37.950001,36,36.849998,43377,0.0,1.0
2004-12-02,37.200001,39.700001,36.549999,38.049999,76906,0.0,1.0
2004-12-03,38.049999,38.5,37.049999,37.25,21182,0.0,1.0
2004-12-06,38,38.5,37.200001,37.299999,27787,0.0,1.0
2004-12-07,37.450001,38,37.099998,37.400002,32601,0.0,1.0
2004-12-08,37.450001,37.950001,36.599998,36.900002,28309,0.0,1.0
2004-12-09,37,39.700001,36.799999,38.5,93670,0.0,1.0
2004-12-10,39,39.349998,37.5,37.900002,38499,0.0,1.0
2004-12-13,38.349998,41.950001,38.349998,40.849998,380732,0.0,1.0
2004-12-14,41.650002,44.75,41.5,44.25,732306,0.0,1.0
2004-12-15,44.799999,45.299999,42.5,42.950001,659751,0.0,1.0
2004-12-16,43.799999,43.900002,42.200001,42.599998,166697,0.0,1.0
2004-12-17,43.299999,43.299999,40.700001,40.950001,125554,0.0,1.0
2004-12-20,41.450001,43,41.150002,41.450001,144509,0.0,1.0
2004-12-21,42,42.150002,41.25,41.400002,91450,0.0,1.0
2004-12-22,41.400002,42,39,39.5,108639,0.0,1.0
2004-12-23,40.5,41.900002,39.799999,41.200001,113033,0.0,1.0
2004-12-24,42.200001,44,41.549999,42.349998,225870,0.0,1.0
2004-12-27,43,44.700001,42.200001,43,165732,0.0,1.0
2004-12-28,43.849998,44.5,42.900002,43.200001,106698,0.0,1.0
2004-12-29,43.599998,43.799999,41,42,58104,0.0,1.0
2004-12-30,42.849998,42.849998,40.150002,40.799999,67249,0.0,1.0
2004-12-31,41.900002,42.400002,40.900002,41.299999,50061,0.0,1.0
2005-01-03,42.700001,44.799999,42,43.400002,243720,0.0,1.0
2005-01-04,44.25,46.75,42.799999,46,610333,0.0,1.0
2005-01-05,46.349998,48,41.099998,42.950001,489848,0.0,1.0
2005-01-06,43.450001,44.299999,41.099998,42.25,136631,0.0,1.0
2005-01-07,43.75,44.799999,42.25,44.299999,156449,0.0,1.0
2005-01-10,44.799999,46,42.549999,43.049999,114912,0.0,1.0
2005-01-11,43.700001,43.900002,40.599998,41.5,72502,0.0,1.0
2005-01-12,42.450001,42.450001,37.75,38.25,85997,0.0,1.0
2005-01-13,41.849998,41.849998,39.25,40,56928,0.0,1.0
2005-01-14,40.349998,40.950001,38.549999,38.849998,29972,0.0,1.0
2005-01-17,38.700001,39.900002,36.25,37.5,36060,0.0,1.0
2005-01-18,38,39.400002,38,38.549999,82396,0.0,1.0
2005-01-19,37.599998,40.400002,37.599998,38.599998,21787,0.0,1.0
2005-01-20,38.75,38.75,37.25,37.549999,35753,0.0,1.0
2005-01-24,38.5,39,37.599998,38,17864,0.0,1.0
2005-01-25,37.5,38.599998,37.5,38.25,36324,0.0,1.0
2005-01-27,39.200001,40.400002,38.549999,39.599998,44537,0.0,1.0
2005-01-28,40.5,40.5,38.599998,38.900002,31589,0.0,1.0
2005-01-31,38.650002,41.5,38.5,40.200001,68104,0.0,1.0
2005-02-01,39.5,40.200001,39.200001,39.549999,23694,0.0,1.0
2005-02-02,39.900002,40.450001,39.349998,39.5,32948,0.0,1.0
2005-02-03,40.799999,41.299999,39.599998,40.150002,67036,0.0,1.0
2005-02-04,40.75,40.75,39.5,39.75,25830,0.0,1.0
2005-02-07,40.400002,40.400002,39,39.049999,33385,0.0,1.0
2005-02-08,39.950001,40.5,38.700001,39.049999,95906,0.0,1.0
2005-02-09,40.049999,42.700001,39.099998,42,377840,0.0,1.0
2005-02-10,42.5,44.75,41.900002,42.450001,202038,0.0,1.0
2005-02-11,42.900002,43.25,41.25,41.75,70844,0.0,1.0
2005-02-14,42.5,42.599998,40.049999,40.349998,44953,0.0,1.0
2005-02-15,41.200001,41.200001,39,39.099998,56438,0.0,1.0
2005-02-16,39.799999,40.5,39,39.299999,39747,0.0,1.0
2005-02-17,40,40.900002,39.200001,39.549999,76373,0.0,1.0
2005-02-18,40,47.450001,40,46.549999,1542490,0.0,1.0
2005-02-21,48.049999,48.700001,45.099998,45.849998,1516985,0.0,1.0
2005-02-22,45.799999,46.150002,44.150002,45.299999,387867,0.0,1.0
2005-02-23,45.450001,46.450001,44.150002,44.349998,305251,0.0,1.0
2005-02-24,44.799999,52.799999,44.799999,51.549999,3014225,0.0,1.0
2005-02-25,52.150002,53.900002,47.549999,48.200001,1922733,0.0,1.0
2005-02-28,48.900002,52.25,48.5,49.700001,876203,0.0,1.0
2005-03-01,50.400002,50.400002,48,48.400002,431370,0.0,1.0
2005-03-02,49,50.75,48.5,49,350831,0.0,1.0
2005-03-03,49.650002,53.200001,49.099998,52.349998,786341,0.0,1.0
2005-03-04,53,56.049999,52.5,53.200001,947593,0.0,1.0
2005-03-07,53.75,56.400002,53.549999,54.5,961300,0.0,1.0
2005-03-08,54.950001,56.700001,53.650002,55.400002,571734,0.0,1.0
