date,open,high,low,close,volume,dividend,split
2000-11-20,160,160,160,160,50,0.0,1.0
2000-11-21,166,166,166,166,100,0.0,1.0
2000-11-22,175,175,172,172,100,0.0,1.0
2000-11-23,167,167,167,167,50,0.0,1.0
2000-11-29,180,180,180,180,50,0.0,1.0
2000-12-05,178,178,178,178,50,0.0,1.0
2000-12-06,192,192.100006,192,192.100006,100,0.0,1.0
2001-02-20,182,182,182,182,6,0.0,1.0
2002-01-01,175,175,175,175,2,0.0,1.0
2002-01-03,175,175,175,175,20,0.0,1.0
2002-01-14,175,175,175,175,50,0.0,1.0
2002-01-18,175,175,175,175,50,0.0,1.0
2002-01-24,171.5,189,170,177.25,300,0.0,1.0
2002-01-25,178,178,174,176.75,100,0.0,1.0
2002-01-30,176.300003,176.300003,171.25,171.25,75,0.0,1.0
2002-01-31,184,184,168.199997,176,86,0.0,1.0
2002-02-04,175,175,175,175,18,0.0,1.0
2002-02-05,175,178,172,176.449997,100,0.0,1.0
2002-02-06,178.100006,179,178.050003,179,100,0.0,1.0
2002-02-07,179,184.350006,178,178,100,0.0,1.0
2002-02-08,180,185,180,181.600006,500,0.0,1.0
2002-02-19,192,192,192,192,25,0.0,1.0
2002-02-20,179,179,179,179,25,0.0,1.0
2002-02-21,180,186,180,186,55,0.0,1.0
2002-02-25,186,186,186,186,30,0.0,1.0
2002-02-26,186,186,185,185,70,0.0,1.0
2002-02-27,190,190,190,190,25,0.0,1.0
2002-03-06,180,190,180,190,400,0.0,1.0
2002-03-07,180,189,180,189,200,0.0,1.0
2002-03-08,182,182,182,182,50,0.0,1.0
2002-03-11,180,180,180,180,40,0.0,1.0
2002-03-12,189.5,190,189.5,190,100,0.0,1.0
2002-03-14,185,185,185,185,15,0.0,1.0
2002-03-15,185,190,185,190,75,0.0,1.0
2002-03-22,180,180,180,180,25,0.0,1.0
2002-03-26,178,178,178,178,1,0.0,1.0
2002-04-01,171.5,180,171,180,100,0.0,1.0
2002-04-02,185,185,185,185,1,0.0,1.0
