date,open,high,low,close,volume,dividend,split
2002-07-01,165,166.649994,161.669998,162.229996,1379,0.0,1.0
2002-07-02,162.669998,163.25,162.330002,162.970001,925,0.0,1.0
2002-07-03,163.330002,164.669998,162.669998,164.25,1584,0.0,1.0
2002-07-04,164.169998,164.199997,162,162.380005,1142,0.0,1.0
2002-07-05,163.330002,163.330002,159.699997,160.029999,4059,0.0,1.0
2002-07-08,160.669998,163.330002,160.669998,161.770004,2427,0.0,1.0
2002-07-09,163.330002,165,163.330002,164.080002,737,0.0,1.0
2002-07-10,163.369995,164.5,163.330002,163.630005,388,0.0,1.0
2002-07-11,165,165,163.330002,163.330002,1931,0.0,1.0
2002-07-12,164.669998,164.970001,160,161.020004,1120,0.0,1.0
2002-07-15,162,162,159.669998,160.179993,438,0.0,1.0
2002-07-16,161.669998,161.669998,160.330002,160.380005,572,0.0,1.0
2002-07-17,163,163,158.330002,158.619995,950,0.0,1.0
2002-07-18,160,161.580002,159.330002,160,1000,0.0,1.0
2002-07-19,160,165,158.669998,164.600006,1230,0.0,1.0
2002-07-22,165,165.169998,158.699997,159.369995,3964,0.0,1.0
2002-07-23,158.330002,162,158.330002,159.179993,1322,0.0,1.0
2002-07-24,159.330002,161.630005,158.330002,159.330002,605,0.0,1.0
2002-07-25,161.669998,163.330002,160.050003,161.25,495,0.0,1.0
2002-07-26,158.669998,161.550003,158.330002,159.100006,964,0.0,1.0
2002-07-29,158.669998,159.330002,155,155.070007,1371,0.0,1.0
2002-07-30,158.330002,160,155.330002,156.050003,18871,0.0,1.0
2002-07-31,156.669998,156.669998,154,154.600006,1731,0.0,1.0
2002-08-01,160,160.5,157.330002,158.279999,787,0.0,1.0
2002-08-02,158.330002,158.330002,156,156.429993,5290,0.0,1.0
2002-08-05,160,160,156.669998,159.449997,748,0.0,1.0
2002-08-06,158.350006,160.669998,157.669998,159.080002,1946,0.0,1.0
2002-08-07,160,161.669998,160,161.179993,1192,0.0,1.0
2002-08-08,161.669998,162,159,160.270004,308,0.0,1.0
2002-08-09,158.669998,158.669998,155.669998,156.369995,2179,0.0,1.0
2002-08-12,158.330002,158.330002,153.679993,154.880005,2511,0.0,1.0
2002-08-13,155,158.149994,153.669998,154.350006,1482,0.0,1.0
2002-08-14,155,156.580002,154.979996,155.130005,1031,0.0,1.0
2002-08-16,158.5,158.5,156.850006,157.380005,823,0.0,1.0
2002-08-19,158.330002,158.330002,155.830002,155.979996,58686,0.0,1.0
2002-08-20,157.330002,157.330002,156,156.419998,578,0.0,1.0
2002-08-21,158.949997,158.949997,155.330002,155.580002,1560,0.0,1.0
2002-08-22,157.970001,157.970001,155,155.929993,815,0.0,1.0
2002-08-23,155.5,155.669998,154.020004,154.529999,1451,0.0,1.0
2002-08-26,155.080002,155.080002,152.669998,153.220001,983,0.0,1.0
2002-08-27,152.669998,152.669998,149,149.550003,49888,0.0,1.0
2002-08-28,176.679993,176.679993,149.169998,149.669998,1983,0.0,1.0
2002-08-29,149.669998,150,149.350006,149.520004,13172,0.0,1.0
2002-08-30,149.350006,150.330002,145.229996,149.899994,3665,0.0,1.0
2002-09-02,151.330002,154,151.330002,152.970001,1569,0.0,1.0
2002-09-03,152.330002,154.25,152,153.630005,527,0.0,1.0
2002-09-04,159.300003,159.300003,153.330002,153.550003,1000,0.0,1.0
2002-09-05,156.330002,156.330002,151.830002,153.179993,313,0.0,1.0
2002-09-06,153.029999,153.830002,151.669998,152.5,1004,0.0,1.0
2002-09-09,153.330002,153.330002,149.330002,149.369995,1298,0.0,1.0
2002-09-11,149.720001,151.970001,148.350006,151,5017,0.0,1.0
2002-09-12,150,152.630005,150,151.669998,11075,0.0,1.0
2002-09-13,150.830002,151.330002,150,150.179993,418,0.0,1.0
2002-09-16,153.279999,156.649994,148.729996,155.830002,16760,0.0,1.0
2002-09-17,156,156,151.679993,154.570007,1770,0.0,1.0
2002-09-18,153.330002,156.669998,153.330002,154.779999,16684,0.0,1.0
2002-09-19,153.419998,155.669998,153.419998,155.669998,1014,0.0,1.0
2002-09-20,153.830002,156.300003,153.669998,156.119995,2325,0.0,1.0
2002-09-23,154.169998,157.669998,154.169998,157.630005,1690,0.0,1.0
2002-09-24,157.270004,158.330002,156.020004,157.199997,1012,0.0,1.0
2002-09-25,158.330002,161.669998,157,160.570007,4401,0.0,1.0
2002-09-26,160.330002,162.669998,158.429993,159.050003,338,0.0,1.0
2002-09-27,160,163.330002,159,161.830002,3802,0.0,1.0
2002-09-30,162.669998,162.899994,160.169998,161.520004,2687,0.0,1.0
2002-10-01,164,164,161.169998,162.880005,11342,0.0,1.0
2002-10-03,164,164,160,160.220001,10966,0.0,1.0
2002-10-04,163.169998,163.169998,158.369995,159.520004,806,0.0,1.0
