date,open,high,low,close,volume,dividend,split
2005-03-09,190,228,190,206.649994,2584749,0.0,1.0
2005-03-10,206.899994,207.649994,198,200,374116,0.0,1.0
2005-03-11,202.899994,203.5,190,192.449997,239152,0.0,1.0
2005-03-14,194.949997,195.899994,186.300003,187.300003,131117,0.0,1.0
2005-03-15,189.899994,189.899994,180,185.449997,166329,0.0,1.0
2005-03-16,185.399994,194.5,184.199997,190.649994,149305,0.0,1.0
2005-03-17,189.899994,192.399994,186.149994,187.449997,85614,0.0,1.0
2005-03-18,187,189.899994,181,185.600006,71761,0.0,1.0
2005-03-21,186,188.800003,183.399994,186.149994,28353,0.0,1.0
2005-03-22,187.899994,193.399994,181.100006,183,120753,0.0,1.0
2005-03-23,175,205,175,183.649994,338697,0.0,1.0
2005-03-24,186.75,189,173.75,176.899994,94136,0.0,1.0
2005-03-28,179.75,182,177,178.649994,66048,0.0,1.0
2005-03-29,179,179,173.5,174.199997,43967,0.0,1.0
2005-03-30,176,176.5,172.550003,174.050003,46016,0.0,1.0
2005-03-31,176,184,175.100006,179.199997,39039,0.0,1.0
2005-04-01,180.850006,181.850006,179,180.399994,32847,0.0,1.0
2005-04-04,182.5,185,178.100006,180.199997,94485,0.0,1.0
2005-04-05,179.350006,192,179.050003,188.5,144001,0.0,1.0
2005-04-06,193,197,188,192.550003,99662,0.0,1.0
2005-04-07,197,201.949997,193.949997,194.949997,173301,0.0,1.0
2005-04-08,195.25,198.100006,189.5,192.699997,60327,0.0,1.0
2005-04-11,191.600006,196,187.199997,188.550003,117974,0.0,1.0
2005-04-12,188.75,207.699997,180.5,201.300003,1085979,0.0,1.0
2005-04-13,203.800003,206.800003,193.149994,195.25,376098,0.0,1.0
2005-04-15,195.399994,195.399994,184.100006,184.899994,99323,0.0,1.0
2005-04-18,184,187.850006,180.050003,184,66739,0.0,1.0
2005-04-19,189,193.850006,184.149994,186.149994,146417,0.0,1.0
2005-04-20,181.199997,188.5,180,182.5,67290,0.0,1.0
2005-04-21,183.5,194,182.100006,192.699997,121801,0.0,1.0
2005-04-22,195,198.899994,185.300003,188.699997,96604,0.0,1.0
2005-04-25,188.5,188.800003,185.199997,186.600006,23827,0.0,1.0
2005-04-26,186.100006,192,183.5,184.699997,105046,0.0,1.0
2005-04-27,185,185,180,180.449997,32789,0.0,1.0
2005-04-28,180.300003,183.600006,179,180.449997,26510,0.0,1.0
2005-04-29,181.899994,181.899994,175.5,176.399994,58645,0.0,1.0
2005-05-02,179.949997,179.949997,170.600006,172.050003,29967,0.0,1.0
2005-05-03,171.75,175,171.600006,173.050003,20546,0.0,1.0
2005-05-04,173.5,178.5,173.5,175.399994,22502,0.0,1.0
2005-05-05,177,184.399994,176.5,177.850006,47797,0.0,1.0
2005-05-06,177.550003,182,177.550003,179.649994,23303,0.0,1.0
2005-05-09,182,183,179.050003,179.899994,24633,0.0,1.0
2005-05-10,179.899994,180.899994,178,179.850006,19758,0.0,1.0
2005-05-11,179.800003,180,176.100006,178.25,27885,0.0,1.0
2005-05-12,178.25,186.5,176.600006,182.600006,112140,0.0,1.0
2005-05-13,184,184.899994,176.649994,177.649994,65190,0.0,1.0
2005-05-16,180.449997,181.449997,176.600006,177.899994,30339,0.0,1.0
2005-05-17,179,179.5,172,173.199997,32173,0.0,1.0
2005-05-18,175.100006,178.449997,173,176,33956,0.0,1.0
2005-05-19,176.050003,179,176.050003,177.25,39657,0.0,1.0
2005-05-20,179,179.800003,175.600006,176.649994,23757,0.0,1.0
2005-05-23,176.5,182,176.5,180,70595,0.0,1.0
2005-05-24,182.100006,189.5,178.649994,179.649994,84896,0.0,1.0
2005-05-25,183.949997,183.949997,174.300003,175.550003,39876,0.0,1.0
2005-05-26,177,177.949997,172,172.5,34465,0.0,1.0
2005-05-27,175.699997,183.800003,173,179.800003,109536,0.0,1.0
2005-05-30,182.5,183,179.050003,180.149994,33849,0.0,1.0
2005-05-31,180,182.5,178,179.350006,24876,0.0,1.0
2005-06-01,179.25,182,179,180.149994,21099,0.0,1.0
2005-06-02,181.5,181.550003,178.600006,179.149994,24155,0.0,1.0
2005-06-03,179.050003,182,179.050003,181.25,30676,0.0,1.0
2005-06-06,184,190,182,183.25,86255,0.0,1.0
2005-06-07,184,185.600006,182.050003,182.699997,34016,0.0,1.0
2005-06-08,185.600006,199.699997,184,195.5,446614,0.0,1.0
2005-06-09,187.100006,220.600006,186.050003,216.550003,2764072,0.0,1.0
2005-06-10,216.800003,229.899994,215,225.600006,2984835,0.0,1.0
2005-06-13,227.75,227.75,214.100006,215.449997,302047,0.0,1.0
2005-06-14,216.5,217.800003,210,211.050003,135436,0.0,1.0
2005-06-15,211.25,225.75,211.25,220,403876,0.0,1.0
2005-06-16,221.5,224.850006,212,221,173060,0.0,1.0
2005-06-17,221,221,210.100006,212.350006,95968,0.0,1.0
2005-06-20,213,214.5,207.5,212.5,79743,0.0,1.0
2005-06-21,213.899994,218.800003,211.5,213.149994,62118,0.0,1.0
2005-06-22,214.899994,218.5,212,213.050003,68599,0.0,1.0
2005-06-23,214.899994,215.699997,210,212.550003,37942,0.0,1.0
2005-06-24,210.100006,217.949997,209.600006,210.699997,42051,0.0,1.0
2005-06-27,211,214.899994,209.550003,210.149994,43262,0.0,1.0
2005-06-28,212.800003,213.5,209,210.100006,27282,0.0,1.0
2005-06-29,208,212.850006,206,209.199997,35075,0.0,1.0
2005-06-30,205,227,205,216.25,223456,0.0,1.0
2005-07-01,217.800003,231.800003,215,225.550003,315857,0.0,1.0
2005-07-04,228.199997,232.899994,225.050003,227.350006,106837,0.0,1.0
2005-07-05,228.100006,229.25,224.75,225.5,53097,0.0,1.0
2005-07-06,227.399994,227.399994,219.25,220.199997,34963,0.0,1.0
2005-07-07,221,222.899994,216.5,217.550003,18878,0.0,1.0
2005-07-08,211.100006,237.899994,211.100006,232.350006,231103,0.0,1.0
2005-07-11,235.800003,242.699997,227.449997,236.100006,192169,0.0,1.0
2005-07-12,236,246.5,230.100006,235.25,175579,0.0,1.0
2005-07-13,237.199997,239,234.25,236.850006,54581,0.0,1.0
2005-07-14,238,252,232,243.850006,150158,0.0,1.0
2005-07-15,245.5,256,241.300003,254.050003,168619,0.0,1.0
2005-07-18,256.799988,264,255,258.049988,48915,0.0,1.0
2005-07-19,258,261,254,256.75,27483,0.0,1.0
2005-07-20,258,263.5,250,251.25,39004,0.0,1.0
2005-07-21,249,258,247.5,249.699997,20284,0.0,1.0
2005-07-22,249.25,264.899994,246,258.200012,42644,0.0,1.0
2005-07-25,258,260.600006,256,257.700012,28634,0.0,1.0
2005-07-26,258,260,238,241.300003,27094,0.0,1.0
2005-07-27,241.949997,241.949997,235,235.550003,12134,0.0,1.0
2005-07-29,235,235,230,231.649994,15853,0.0,1.0
2005-08-01,231.25,231.25,225.100006,228.899994,19853,0.0,1.0
2005-08-02,235.800003,242,227,238.050003,34922,0.0,1.0
2005-08-03,239.800003,245,233.050003,242.5,38385,0.0,1.0
2005-08-04,249,249,226,242.75,17016,0.0,1.0
2005-08-05,239,249.699997,235,237.25,30270,0.0,1.0
2005-08-08,202.199997,247,202.199997,232.800003,15504,0.0,1.0
2005-08-09,232,234,228.149994,230.199997,13544,0.0,1.0
2005-08-10,231,247,230,240.649994,30386,0.0,1.0
2005-08-11,202.199997,245,202.199997,230,58627,0.0,1.0
2005-08-12,231.75,241,225.100006,236.399994,84465,0.0,1.0
2005-08-16,241.899994,254,241.5,247.550003,174335,0.0,1.0
2005-08-17,249.449997,260,248.100006,258.600006,130397,0.0,1.0
2005-08-18,261,274,255.100006,258.700012,182461,0.0,1.0
2005-08-19,263.75,264.700012,250,252.149994,106832,0.0,1.0
2005-08-22,260,283.899994,254.050003,277.799988,330323,0.0,1.0
2005-08-23,279.899994,289.899994,271,274.700012,233573,0.0,1.0
2005-08-24,276,282,267.149994,271.399994,115413,0.0,1.0
2005-08-25,275.899994,281.649994,272.549988,274.200012,103110,0.0,1.0
2005-08-26,276.75,279.5,265.100006,271.75,54914,0.0,1.0
2005-08-29,274,275.899994,268,273.350006,43900,0.0,1.0
2005-08-30,235,287,235,282.100006,94130,0.0,1.0
2005-08-31,284,338.5,282,328.200012,721556,0.0,1.0
2005-09-01,332.899994,358.700012,312,331.850006,722906,0.0,1.0
2005-09-02,334.399994,334.399994,308.649994,310.549988,415862,0.0,1.0
2005-09-05,312.100006,339.399994,312,329.950012,614204,0.0,1.0
2005-09-06,310,365,286.75,291,1150332,0.0,1.0
2005-09-08,291,291,240,243.800003,2323044,0.0,1.0
2005-09-09,250,260.950012,240.050003,244.850006,1219275,0.0,1.0
2005-09-12,247.850006,253,235.550003,238.899994,878472,0.0,1.0
2005-09-13,241.899994,251,240,245.800003,772714,0.0,1.0
2005-09-14,247.449997,248.449997,233.25,236.350006,513090,0.0,1.0
2005-09-15,238.399994,243.649994,236.899994,239.050003,249940,0.0,1.0
2005-09-16,239.199997,241.5,235.149994,237.100006,188018,0.0,1.0
2005-09-19,238.899994,247.75,233.399994,239.800003,478596,0.0,1.0
